EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,PenaltyFtPoints,Charge Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFtPoints,SelfOReb,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,SelfORebPct,PenaltyAtRimFGM,OffThreePtRebounds,Offensive Fouls Drawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,FTOffRebounds,OffFTReboundPct,OffShortMidRangeReboundPct,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,Offensive Fouls,on,Corner3FGM,Corner3Assists,ThreePtShootingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,Defensive 3 Seconds Violations,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,4704.0,78,-14.0,142,146,42.0,46.0,18.0,288,5.0,9.0,2.0,3.0,7.0,4.0,1.0,1.0,4.0,10.0,2.0,4.0,8.0,20.0,4.0,11.0,6.0,34.0,148,2.0,6.0,2.0,5.0,10.0,4.0,12.0,3.0,9.0,10.0,4.0,2.0,5.0,4.0,9.0,4.0,2.0,1.0,2.0,22.0,1.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,9.0,8.0,2.0,5.0,10.0,42.0,0.25,0.25,0.25,0.36363636363636365,0.4,0.36363636363636365,0.4,0.3333333333333333,0.45161290322580644,0.45454545454545453,0.5,0.45454545454545453,0.3548387096774194,0.1,0.2222222222222222,22.839506172839506,0.3333333333333333,0.16666666666666666,0.0625,0.04,0.0547945205479452,0.21428571428571427,0.14285714285714285,0.2903225806451613,0.5555555555555556,0.7142857142857143,0.4,0.22580645161290322,0.42857142857142855,0.42857142857142855,0.12903225806451613,0.03225806451612903,0.3225806451612903,0.4,0.4,0.25,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.5,0.6451612903225806,0.4,0.46099333333333337,0.41581,0.14705882352941177,0.21739130434782608,0.29411764705882354,7.825,26.2,0.29577464788732394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1499,1610612755,Tony Battie,Tony Battie,1499,PHI,1517.0,25,-4.0,47,46,14.0,10.0,4.0,93,1.0,1.0,,1.0,2.0,3.0,,,,,,,2.0,6.0,,,,4.0,38,,,,,,2.0,2.0,,,,,,,,,,,,,,4.0,2.0,,6.0,7.0,,,,1.0,,,1.0,,1.0,2.0,2.0,1.0,,,,,14.0,0.5,1.0,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,13.461538461538462,1.0,,0.14285714285714285,0.26666666666666666,0.20689655172413793,,,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,0.5,,,,,,,,,,0.16666666666666666,,0.3980333333333333,,,,,12.950000000000001,,0.2978723404255319,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04,0.03571428571428571,0.1111111111111111,0.2857142857142857,0.36363636363636365,1.0,1.0,1.0,1.0,0.4129,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1882,1610612755,Elton Brand,Elton Brand,1882,PHI,3282.0,55,-5.0,95,96,32.0,38.0,13.0,191,2.0,2.0,,4.0,7.0,5.0,,,,,,,7.0,14.0,,,5.0,19.0,106,1.0,3.0,,,5.0,2.0,12.0,,,,,,1.0,1.0,2.0,1.0,1.0,,,5.0,2.0,3.0,1.0,6.0,9.0,,,,,,1.0,,,1.0,5.0,8.0,4.0,6.0,,2.0,5.0,32.0,0.14285714285714285,0.16666666666666666,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5588235294117647,0.5,,,,16.216216216216214,,0.16666666666666666,0.09375,0.14285714285714285,0.10869565217391304,,0.6666666666666666,0.14285714285714285,1.0,1.0,0.5,0.5,0.5714285714285714,0.5714285714285714,0.35714285714285715,,,,,,,,,,0.14285714285714285,,0.44399285714285713,0.5152333333333333,0.125,0.125,0.2631578947368421,11.671428571428573,,0.3368421052631579,,,1.0,2.0,2.0,2.0,3.0,3.0,,2.0,,2.0,1.0,0.5,0.5,0.5,0.07142857142857142,0.0625,0.07692307692307693,0.2222222222222222,,0.5,,,,0.57035,0.10526315789473684,1.0,3.0,1.0,1.0,2.0,1.0,0.1111111111111111,0.08333333333333333,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201950,1610612755,Jrue Holiday,Jrue Holiday,201950,PHI,3355.0,56,,100,99,47.0,57.0,17.0,199,3.0,7.0,1.0,,2.0,2.0,,,1.0,2.0,1.0,2.0,4.0,11.0,1.0,2.0,4.0,15.0,99,1.0,2.0,1.0,2.0,8.0,,8.0,,3.0,2.0,1.0,1.0,6.0,,6.0,,2.0,2.0,2.0,12.0,,4.0,,4.0,6.0,2.0,1.0,1.0,3.0,,1.0,,,4.0,1.0,3.0,2.0,5.0,,1.0,8.0,47.0,,,,0.5,0.5,0.5,0.36363636363636365,0.5,0.4230769230769231,0.625,0.4666666666666667,0.7,0.15384615384615385,0.09090909090909091,0.14285714285714285,16.10169491525424,0.75,,0.11764705882352941,,0.0784313725490196,0.08333333333333333,,0.5384615384615384,0.42857142857142855,0.5,,0.15384615384615385,,,0.15384615384615385,,0.15384615384615385,0.5,0.5,,0.25,,0.5,0.5,0.6923076923076923,0.5,0.4706576923076923,0.4768875,0.07142857142857142,0.08333333333333333,0.5333333333333333,7.281818181818181,25.25,0.47,,,,,1.0,,2.0,2.0,,,,1.0,1.0,,,,0.04081632653061224,0.03636363636363636,0.07142857142857142,0.18181818181818182,,1.0,,,,,0.06666666666666667,1.0,3.0,,1.0,,1.0,0.045454545454545456,0.09090909090909091,0.5,0.5,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
202323,1610612755,Evan Turner,Evan Turner,202323,PHI,5813.0,97,-22.0,174,176,62.0,62.0,23.0,350,6.0,13.0,7.0,4.0,10.0,10.0,1.0,,4.0,4.0,2.0,2.0,13.0,33.0,4.0,5.0,2.0,40.0,184,6.0,15.0,2.0,2.0,20.0,18.0,8.0,12.0,,4.0,4.0,8.0,3.0,1.0,4.0,1.0,3.0,,,9.0,7.0,11.0,1.0,19.0,23.0,3.0,1.0,2.0,,,,,,,7.0,9.0,3.0,2.0,,,20.0,62.0,0.6923076923076923,0.6923076923076923,1.0,0.8,1.0,0.8,0.3939393939393939,0.4,0.5,0.5294117647058824,0.5128205128205128,0.5555555555555556,0.13157894736842105,0.24242424242424243,0.23076923076923078,19.597989949748744,,0.125,0.19642857142857142,0.21875,0.20454545454545456,0.11764705882352941,0.4444444444444444,0.34210526315789475,0.46153846153846156,0.6,0.6666666666666666,0.2631578947368421,0.4,0.6666666666666666,0.2631578947368421,0.02631578947368421,0.10526315789473684,1.0,1.0,1.0,0.4117647058823529,,0.11764705882352941,1.0,0.47368421052631576,1.0,0.45808289473684205,0.4725970588235294,,,0.5,9.003030303030304,25.360000000000003,0.3563218390804598,3.0,4.0,4.0,6.0,8.0,,2.0,4.0,,1.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.02564102564102564,0.04395604395604396,,0.21052631578947367,0.13043478260869565,,0.75,0.6666666666666666,0.75,0.49758333333333327,0.2,3.0,2.0,,1.0,,1.0,0.07407407407407407,0.25,0.3,0.3333333333333333,,,,,,,,,,,3.0,2.0,2.0,0.4,0.1,0.15384615384615385,0.1111111111111111,0.25,0.6666666666666666,0.6666666666666666,0.42857142857142855,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201150,1610612755,Spencer Hawes,Spencer Hawes,201150,PHI,1537.0,26,-13.0,44,44,13.0,21.0,8.0,88,1.0,2.0,2.0,,3.0,1.0,,,,,,,1.0,6.0,,,,2.0,52,1.0,4.0,,,2.0,,2.0,,,,,1.0,2.0,,2.0,,2.0,,,4.0,,3.0,,3.0,5.0,,,,1.0,,,1.0,,1.0,3.0,4.0,1.0,,,,2.0,13.0,,,,,,,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,,0.16666666666666666,0.5,13.20754716981132,1.0,,0.17647058823529413,,0.11538461538461539,0.4,,0.3333333333333333,0.5,1.0,,0.5,,,0.16666666666666666,,,,,,0.5,,,,0.3333333333333333,,0.44003333333333333,0.449925,,,1.0,7.716666666666668,,0.29545454545454547,1.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,,,,,,0.2,0.2,0.2,0.047619047619047616,0.034482758620689655,,0.2,,,,0.4,0.5,0.45128,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,1.0,1.0,0.09090909090909091,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,2515.0,42,-5.0,74,74,29.0,24.0,9.0,148,1.0,2.0,,,,4.0,,,1.0,2.0,,1.0,3.0,6.0,1.0,2.0,1.0,10.0,81,2.0,2.0,,1.0,4.0,,6.0,3.0,,2.0,1.0,,4.0,1.0,5.0,1.0,2.0,1.0,1.0,11.0,5.0,5.0,2.0,12.0,12.0,1.0,,1.0,3.0,1.0,2.0,,,5.0,3.0,4.0,3.0,2.0,,1.0,4.0,29.0,,,1.0,0.5,,0.5,0.5,1.0,0.5625,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.25,,,16.666666666666668,0.6,0.5,0.20833333333333334,0.38461538461538464,0.2702702702702703,0.14285714285714285,,0.25,0.5,0.5,,,,,0.5,,0.25,0.5,0.5,1.0,,,0.3333333333333333,,0.5,0.5,0.42415624999999996,0.38339999999999996,0.1111111111111111,0.14285714285714285,0.4,12.716666666666669,24.9,0.3918918918918919,,,,,,,,,,,,,,,,,,,,,0.45454545454545453,,,,,,,2.0,,,,,,,0.4,0.5,0.5,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,4346.0,72,-28.0,130,133,44.0,35.0,17.0,263,10.0,19.0,7.0,2.0,10.0,7.0,,,,,,,15.0,36.0,,,5.0,35.0,144,9.0,13.0,,,20.0,22.0,8.0,,,,,4.0,2.0,,2.0,,1.0,1.0,,4.0,2.0,5.0,2.0,9.0,16.0,3.0,1.0,2.0,3.0,,3.0,2.0,3.0,6.0,4.0,7.0,8.0,8.0,2.0,4.0,20.0,44.0,0.7333333333333333,0.7857142857142857,,,,,0.4166666666666667,0.6923076923076923,0.4166666666666667,0.6923076923076923,0.44871794871794873,0.7142857142857143,,0.1111111111111111,0.10526315789473684,30.82191780821918,0.5,0.4,0.1282051282051282,0.08,0.109375,0.2,,0.5277777777777778,0.5263157894736842,0.5882352941176471,0.7,0.2777777777777778,0.2,0.25,0.19444444444444445,,,,,,0.5384615384615384,,,,0.5277777777777778,,0.47093611111111117,0.5163846153846153,0.10526315789473684,0.10526315789473684,0.5714285714285714,6.736111111111111,,0.3384615384615385,1.0,4.0,1.0,4.0,4.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.1206896551724138,0.10606060606060606,0.11764705882352941,0.15384615384615385,0.1,1.0,0.5,1.0,0.25,0.5397000000000001,0.11428571428571428,3.0,2.0,,1.0,,1.0,0.10526315789473684,0.0625,0.42857142857142855,0.42857142857142855,2.0,3.0,1.0,,2.0,,,,,0.17647058823529413,5.0,,,0.2,,,,,1.0,,0.7142857142857143,,,0.13636363636363635,,2.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201975,1610612755,Jodie Meeks,Jodie Meeks,201975,PHI,1330.0,22,-19.0,44,41,21.0,13.0,6.0,85,,1.0,1.0,,,,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,1.0,5.0,,3.0,49,,1.0,1.0,2.0,3.0,,,3.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,3.0,21.0,,,1.0,0.2,0.5,0.2,,,0.25,0.5,0.25,0.5,0.8333333333333334,,,14.0,,,,,,,,0.16666666666666666,,,,,,,,0.16666666666666666,0.6666666666666666,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,0.5076916666666667,0.5680833333333333,,,1.0,1.5,24.380000000000003,0.4772727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,
2804,1610612755,Andres Nocioni,Andres Nocioni,2804,PHI,327.0,5,-6.0,10,12,,3.0,,22,,,,,,,1.0,,,1.0,,,,,,2.0,,,12,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,30.0,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,1.0,,0.5448,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,
