EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,ShootingFouls,Fouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,AtRimAssists,FTDefRebounds,FG3APct,DefFTReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,HeaveMakes,HeaveAttempts,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,Offensive Fouls Drawn,ShortMidRangePctAssisted,NonHeaveArc3FGM,ShortMidRangeAssists,LostBallSteals,NonHeaveFg3Pct,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,on,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,Corner3Assists,DefThreePtRebounds,LostBallTurnovers,Charge Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,OffThreePtRebounds,FTOffRebounds,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SelfOReb,Clear Path Fouls,BlockingFoulsDrawn,OffensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,Blocked3s,BlockedCorner3,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Travels,LongMidRangePctBlocked,PenaltyCorner3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,3SecondViolations
101122,1610612754,Danny Granger,Danny Granger,101122,IND,175.0,3,5.0,7,6,7.0,5.0,13,1.0,1.0,1.0,1.0,1.0,1,2.0,4,1.0,1.0,2.0,2.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.767,0.767,1.0,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,515.0,9,7.0,17,16,7.0,5.0,33,1.0,2.0,,,2.0,3,4.0,11,1.0,1.0,2.0,4.0,1.0,1.0,2.0,7.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,27.77777777777778,0.6666666666666666,0.5,0.5,1.0,,,0.6666666666666666,0.4777666666666667,0.4266,0.5,8.033333333333333,0.4117647058823529,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201946,1610612754,Tyler Hansbrough,Tyler Hansbrough,201946,IND,291.0,5,5.0,10,10,7.0,5.0,20,,1.0,,,,2,,6,,1.0,,,,,,7.0,,,,,,,,,18.181818181818183,0.5,,,,,,0.5,0.47165,0.4252,,10.549999999999999,0.7,1.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,0.25,0.25,,0.5,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202331,1610612754,Paul George,Paul George,202331,IND,471.0,8,5.0,17,15,14.0,5.0,32,,,,,2.0,3,4.0,14,1.0,2.0,2.0,,,,2.0,14.0,,,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,21.05263157894737,,,,,,,0.25,0.4260625,0.42754999999999993,0.5,10.1,0.8235294117647058,2.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,0.5,0.5,0.25,0.3333333333333333,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,1610612754,T.J. Ford,T.J. Ford,2551,IND,811.0,14,7.0,27,25,14.0,5.0,52,,,,,2.0,2,7.0,21,1.0,1.0,5.0,2.0,,,5.0,14.0,0.5,0.5,1.0,1.0,1.1666666666666667,1.25,1.1666666666666667,1.25,16.666666666666668,,,,,,,0.3333333333333333,0.44225000000000003,0.4714,0.7142857142857143,17.35,0.5185185185185185,3.0,2.0,2.0,,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,0.5,0.16666666666666666,0.14285714285714285,,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,0.5,65.2,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201177,1610612754,Josh McRoberts,Josh McRoberts,201177,IND,224.0,4,2.0,7,6,,,13,,,,,1.0,1,2.0,5,,,,2.0,,,,,1.0,1.0,1.0,,1.0,,1.0,,14.285714285714285,,,,,,,,0.3978,,,8.7,,,,,1.0,1.0,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201575,1610612754,Brandon Rush,Brandon Rush,201575,IND,636.0,11,2.0,20,19,7.0,,39,,,,,,1,,17,,,,,,,,7.0,,,,,,,,,8.695652173913043,,,,,,,0.5,0.446525,,,18.0,0.35,3.0,,1.0,,,,,2.0,2.0,2.0,,,,,,,,,,,0.5,0.4,1.0,0.5,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,1.0,,1.0,,,1.0,,,,0.5,,,,,0.5,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,1610612754,Mike Dunleavy,Mike Dunleavy,2399,IND,636.0,11,2.0,20,19,7.0,,39,1.0,1.0,1.0,1.0,1.0,3,5.0,17,1.0,1.0,2.0,2.0,3.0,2.0,2.0,7.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,21.73913043478261,0.2,1.0,1.0,1.0,0.5,1.0,0.6,0.4814,0.530775,0.4,14.733333333333334,0.35,3.0,,2.0,,3.0,,6.0,,,,,,,,1.0,,,,,,,,,0.4,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,2.0,1.0,,2.0,3.0,1.0,,0.4,,,,,0.4,0.5,25.55,1.0,,1.0,,3.0,,,1.0,,,1.0,0.5,,0.5,0.5,1.0,,,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201579,1610612754,Roy Hibbert,Roy Hibbert,201579,IND,296.0,5,,10,9,7.0,,19,1.0,1.0,1.0,1.0,1.0,2,4.0,10,1.0,1.0,2.0,,,,2.0,7.0,,,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,25.0,0.5,1.0,1.0,,1.0,1.0,0.5,0.52925,0.6674,0.5,10.75,0.7,2.0,,1.0,,,,,,,2.0,,,,,1.0,,2.0,,1.0,,,,,0.5,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,2.0,2.0,,,,,0.6666666666666666,0.4,0.5,,1.0,0.6674,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101122,1610612754,Danny Granger,Danny Granger,101122,IND,10830.0,180,-63.0,339,339,88.0,84.0,678,15.0,21.0,3.0,4.0,34.0,66,106.0,388,6.0,13.0,21.0,18.0,5.0,2.0,17.0,86.0,0.2647058823529412,0.3,0.5151515151515151,0.46153846153846156,0.5168539325842697,0.375,0.5478723404255319,0.45652173913043476,25.505050505050505,0.23595505617977527,0.7142857142857143,0.7894736842105263,0.2,0.2,0.75,0.4943820224719101,0.4893758426966293,0.46905,0.19811320754716982,11.822727272727274,0.25958702064896755,46.0,17.0,37.0,4.0,16.0,1.0,36.0,13.0,22.0,28.0,4.0,2.0,7.0,6.0,9.0,,16.0,2.0,5.0,0.5714285714285714,0.10236220472440945,0.12087912087912088,0.08333333333333333,0.4157303370786517,0.4594594594594595,0.4594594594594595,0.35294117647058826,0.05434782608695652,0.07246376811594203,4.0,14.0,3.0,6.0,6.0,6.0,12.0,0.045454545454545456,0.09523809523809523,0.040268456375838924,0.03333333333333333,0.017241379310344827,0.16129032258064516,0.25,0.4961733333333333,2.0,8.0,19.0,6.0,23.0,7.0,50.0,19.0,12.0,4.0,,0.25842696629213485,,0.0898876404494382,0.25,0.2857142857142857,0.21348314606741572,0.3,25.082608695652173,7.0,1.0,8.0,1.0,24.0,,,5.0,2.0,3.0,1.0,0.34782608695652173,0.14285714285714285,0.3684210526315789,0.3684210526315789,1.0,0.16666666666666666,1.0,,7.0,3.0,3.0,0.34782608695652173,0.3684210526315789,4.0,14.0,10.0,,20.0,8.0,0.7142857142857143,0.625,0.625,0.05714285714285714,1.0,0.18867924528301888,False,1.0,4.0,1.0,1.0,1.0,2.0,6.0,3.0,9.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.125,0.16363636363636364,0.05357142857142857,0.08333333333333333,0.16666666666666666,0.15384615384615385,0.0449438202247191,0.25,0.25,1.0,0.0625,0.0625,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
