EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,Blocked2s,BlockedLongMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,SecondChancePointsPct,BadPassSteals,Loose Ball Fouls Drawn,SecondChanceAtRimFGM,PenaltyAtRimFGM,PtsPutbacks,SelfOReb,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,OffThreePtRebounds,BlockingFouls,Charge Fouls Drawn,BlockedAtRim,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceFtPoints,Charge Fouls,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3Assists,on,SecondChanceCorner3FGM,PenaltyCorner3FGM,Travels,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,Loose Ball Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,OffensiveGoaltends,DefensiveGoaltends,HeaveAttempts
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,4527.0,75,2,134,131,55,41.0,11.0,265,1.0,2.0,7.0,9.0,6.0,11.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,2.0,14.0,22.0,3.0,9.0,20.0,57.0,147.0,1.0,6.0,9.0,1.0,4.0,15.0,30.0,28.0,3.0,6.0,5.0,2.0,2.0,12.0,2.0,14.0,2.0,4.0,6.0,2.0,30.0,3.0,6.0,9.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,18.0,1.0,1.0,25.0,2.0,7.0,1.0,5.0,27.0,53,2.0,3.0,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.5967741935483871,0.5769230769230769,0.6785714285714286,0.6818181818181818,0.2903225806451613,0.09090909090909091,0.5,0.1111111111111111,30.344827586206897,0.13953488372093023,0.15789473684210525,0.14516129032258066,0.14285714285714285,0.21428571428571427,0.06666666666666667,0.1875,0.06451612903225806,0.5,1.0,0.2903225806451613,0.7777777777777778,0.875,0.3548387096774194,0.5454545454545454,0.5454545454545454,0.12903225806451613,0.25,0.25,1.0,0.16129032258064516,0.4,0.4,1.0,0.15384615384615385,0.15384615384615385,0.5,0.3548387096774194,0.4,0.43868870967741946,0.5688,0.4315961538461538,0.21621621621621623,0.25925925925925924,0.1,0.5263157894736842,12.736363636363636,25.166666666666668,0.41044776119402987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
101127,1610612740,Jarrett Jack,Jarrett Jack,101127,NOH,6678.0,111,-13,197,194,61,54.0,17.0,391,1.0,5.0,6.0,9.0,5.0,15.0,,1.0,,,,4.0,,1.0,12.0,29.0,,5.0,11.0,35.0,214.0,1.0,2.0,6.0,,1.0,5.0,9.0,16.0,,,4.0,,2.0,13.0,,13.0,,4.0,4.0,5.0,26.0,4.0,8.0,14.0,15.0,1.0,1.0,,2.0,,8.0,1.0,,4.0,11.0,1.0,,16.0,,4.0,1.0,2.0,9.0,59,2.0,2.0,,,,,0.41379310344827586,0.3333333333333333,0.35294117647058826,0.2857142857142857,0.4146341463414634,0.4,0.14705882352941177,0.06896551724137931,0.2,0.1111111111111111,22.685185185185183,0.11267605633802817,0.14285714285714285,0.12121212121212122,0.1,0.10526315789473684,0.125,0.13636363636363635,0.14705882352941177,0.2,0.25,0.2647058823529412,0.6666666666666666,0.75,0.4411764705882353,0.3333333333333333,0.3333333333333333,0.029411764705882353,,,,0.11764705882352941,,,,,0.14285714285714285,,0.29411764705882354,,0.4300264705882353,0.47423333333333334,0.39617857142857144,0.1282051282051282,0.12121212121212122,0.16666666666666666,0.2571428571428571,12.086206896551722,25.16,0.3096446700507614,1.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,2.0,1.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,0.75,0.2222222222222222,0.015625,0.011904761904761904,0.029411764705882353,0.16666666666666666,1.0,0.3333333333333333,0.2,0.25,0.25,0.14285714285714285,0.05714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201158,1610612740,Marco Belinelli,Marco Belinelli,201158,NOH,2345.0,39,-14,74,71,14,21.0,8.0,145,1.0,3.0,2.0,2.0,,1.0,,1.0,,1.0,,5.0,,,3.0,6.0,,6.0,2.0,8.0,79.0,,,,,1.0,,,4.0,,,5.0,,,1.0,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,2.0,,1.0,,,,14,1.0,,,,,,0.5,,0.25,,0.3076923076923077,,0.5,,,,15.294117647058824,,0.125,0.02857142857142857,,,,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,1.0,0.08333333333333333,,,0.08333333333333333,,,,0.4166666666666667,,,,1.0,,,0.75,,0.4834875,,0.49185,0.07692307692307693,0.14285714285714285,,,6.3999999999999995,25.816666666666666,0.1891891891891892,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,0.5,,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201160,1610612740,Jason Smith,Jason Smith,201160,NOH,2102.0,35,-6,66,63,20,16.0,4.0,129,,,,1.0,3.0,7.0,,,,,,,,,3.0,8.0,,,,6.0,69.0,,3.0,3.0,,,,6.0,,,,,,,1.0,,1.0,,,1.0,,2.0,2.0,3.0,5.0,5.0,2.0,,,,,,,5.0,8.0,2.0,,,,,,,,6.0,18,,,,,,,0.375,1.0,0.375,1.0,0.375,1.0,,,,,11.267605633802818,0.13636363636363635,0.2,0.15625,,0.16666666666666666,0.2,0.125,,,,0.125,,,0.875,0.42857142857142855,0.42857142857142855,,,,,,,,,,,,,,0.39670000000000005,,0.39496666666666663,,,,1.0,16.2375,,0.30303030303030304,,,,,,,6.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201189,1610612740,Aaron Gray,Aaron Gray,201189,NOH,2611.0,44,3,83,83,28,25.0,7.0,166,3.0,4.0,3.0,4.0,,,,,,,,,,,6.0,8.0,,,3.0,15.0,86.0,,1.0,1.0,,,1.0,3.0,2.0,,,,,,1.0,,1.0,,1.0,,,2.0,3.0,3.0,6.0,8.0,1.0,1.0,,3.0,,3.0,,5.0,7.0,4.0,,,6.0,2.0,4.0,,,3.0,28,,,,,,,0.75,1.0,0.75,1.0,0.75,1.5,,,,,14.285714285714285,0.11538461538461539,0.2727272727272727,0.16216216216216217,,0.2222222222222222,0.1,0.14285714285714285,0.5,0.75,0.75,0.5,0.75,0.75,,,,,,,,,,,,,,,0.5,,0.4899,0.5352666666666667,0.5556,0.4,0.4,,0.2,4.1,,0.3373493975903614,3.0,1.0,,2.0,3.0,4.0,10.0,2.0,,2.0,,,,,1.0,,1.0,,1.0,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.08695652173913043,0.06451612903225806,,0.5,0.6666666666666666,1.0,,1.0,,1.0,0.26666666666666666,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.14285714285714285,0.2,0.5,1.0,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2731,1610612740,Emeka Okafor,Emeka Okafor,2731,NOH,3784.0,63,-18,107,107,35,34.0,10.0,214,4.0,5.0,5.0,8.0,,1.0,,,,,,,,,9.0,14.0,,,3.0,21.0,125.0,,5.0,7.0,,,,10.0,4.0,,,,,1.0,,,,,,,,,1.0,3.0,6.0,12.0,3.0,1.0,,3.0,1.0,4.0,1.0,6.0,8.0,7.0,1.0,,7.0,1.0,4.0,,,10.0,35,,,,,,,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6176470588235294,0.7142857142857143,,0.07142857142857142,,0.125,17.796610169491526,0.07317073170731707,0.06666666666666667,0.07142857142857142,,,0.13636363636363635,0.07692307692307693,0.35714285714285715,0.8,0.8,0.5714285714285714,0.625,0.7142857142857143,0.07142857142857142,,,,,,,,,,,,,,0.35714285714285715,,0.4662714285714286,0.63805,0.45697142857142853,0.23529411764705882,0.23529411764705882,,0.47619047619047616,6.699999999999998,,0.32710280373831774,2.0,2.0,,2.0,2.0,4.0,14.0,4.0,2.0,6.0,1.0,1.0,,1.0,,,3.0,,3.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.25,0.4,0.1,0.11764705882352941,0.047619047619047616,,0.5,1.0,,1.0,,0.2857142857142857,0.19047619047619047,2.0,,2.0,2.0,4.0,,1.0,1.0,2.0,0.14285714285714285,0.16666666666666666,,0.3333333333333333,1.0,,1.0,2.0,1.0,1.0,2.0,0.18181818181818182,0.25,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201171,1610612740,Carl Landry,Carl Landry,201171,NOH,4041.0,67,-14,113,112,33,28.0,12.0,225,3.0,5.0,2.0,5.0,2.0,8.0,,,,,,,,,7.0,18.0,,,14.0,28.0,129.0,,,2.0,,,6.0,6.0,,,,,,,,,,,,,,,3.0,5.0,9.0,11.0,2.0,1.0,,1.0,,3.0,1.0,3.0,6.0,11.0,,,14.0,2.0,7.0,,1.0,6.0,31,,1.0,,,,,0.3888888888888889,,0.3888888888888889,,0.5833333333333334,0.6,,,,,21.428571428571427,0.1111111111111111,0.1875,0.13114754098360656,0.07142857142857142,0.07692307692307693,0.16666666666666666,0.23076923076923078,0.2777777777777778,0.6,0.6,0.2777777777777778,0.4,0.4,0.4444444444444444,0.25,0.25,,,,,,,,,,,,0.2777777777777778,,0.4096611111111111,,0.35114999999999996,0.30434782608695654,0.30434782608695654,,0.21428571428571427,10.216666666666665,,0.2920353982300885,,,,,,2.0,14.0,,1.0,2.0,2.0,,2.0,1.0,,,,,,1.0,1.0,,,1.0,0.6666666666666666,0.16666666666666666,,0.037037037037037035,,,1.0,1.0,1.0,,,,0.07142857142857142,1.0,,,,,,,,,,,,,,,,2.0,,,,0.15384615384615385,,2.0,1.0,0.4,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2584,1610612740,Willie Green,Willie Green,2584,NOH,2439.0,41,-8,72,70,10,9.0,5.0,142,,,3.0,5.0,2.0,9.0,,1.0,,1.0,1.0,1.0,,,5.0,14.0,1.0,2.0,1.0,14.0,77.0,1.0,,2.0,,1.0,,,4.0,3.0,,1.0,1.0,,1.0,,1.0,,,,1.0,2.0,3.0,,4.0,5.0,2.0,,,1.0,1.0,2.0,2.0,3.0,6.0,5.0,,1.0,3.0,1.0,2.0,,,,10,,,1.0,0.5,,0.5,0.35714285714285715,,0.40625,,0.4117647058823529,,0.125,,,,24.675324675324674,,0.23076923076923078,0.07692307692307693,,,,0.2727272727272727,,,,0.3125,0.6,0.6,0.5625,0.2222222222222222,0.2222222222222222,0.0625,,,,0.0625,1.0,1.0,,0.3333333333333333,,,0.125,1.0,0.426853125,,0.4077333333333333,0.11764705882352941,0.13333333333333333,,,14.87142857142857,24.4,0.1388888888888889,,,1.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,,,,,,,,0.6,0.6,,1.5,1.5,0.5,0.3333333333333333,,0.037037037037037035,,,,0.3333333333333333,1.0,,1.0,,0.21428571428571427,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,0.16666666666666666,,,,0.25,1.0,1.0,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,
2772,1610612740,Trevor Ariza,Trevor Ariza,2772,NOH,4211.0,70,-5,121,122,46,40.0,9.0,243,2.0,4.0,,2.0,2.0,3.0,,1.0,,,1.0,2.0,1.0,1.0,4.0,9.0,1.0,3.0,4.0,15.0,132.0,,1.0,3.0,1.0,1.0,3.0,8.0,,3.0,,2.0,1.0,,5.0,1.0,6.0,,1.0,3.0,1.0,13.0,2.0,9.0,12.0,13.0,2.0,,,,,2.0,1.0,3.0,6.0,4.0,,,7.0,1.0,2.0,,2.0,8.0,44,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4583333333333333,0.625,0.5,0.8,0.25,,,,12.977099236641221,0.1956521739130435,0.11764705882352941,0.1746031746031746,0.08333333333333333,0.2727272727272727,0.21739130434782608,0.08333333333333333,0.3333333333333333,0.5,0.5,0.16666666666666666,,,0.25,0.6666666666666666,0.6666666666666666,0.08333333333333333,,,,0.16666666666666666,0.5,0.5,,,0.25,1.0,0.5833333333333334,0.5,0.43839999999999996,,0.4003875,0.15384615384615385,0.2,,0.5333333333333333,8.399999999999999,25.23333333333333,0.38016528925619836,,1.0,,,,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.14285714285714285,0.02564102564102564,0.019230769230769232,0.05263157894736842,0.2,1.0,,1.0,,,0.25,0.13333333333333333,2.0,,,1.0,,,1.0,,,,,,,,,1.0,,2.0,,,,,2.0,,,,,,1.0,,,1.0,True,,,,,,,,,,,,,,,,,,,
2788,1610612740,DJ Mbenga,DJ Mbenga,2788,NOH,613.0,10,6,17,15,2,,1.0,32,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,12.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,1.0,,1.0,,,3.0,,,,,,,,,,2,,,,,,,1.0,,1.0,,1.0,,,,,,11.11111111111111,0.2857142857142857,,0.2,,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.3938,0.3938,,,,,,10.9,,0.11764705882352941,,,,1.0,1.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
