EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,FG3APct,FG3APctBlocked,Arc3PctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,FTDefRebounds,LostBallSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,PtsAssisted2s,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,Offensive Fouls Drawn,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,Arc3Assists,LongMidRangePctAssisted,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,on,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LongMidRangePctBlocked,OffFTReboundPct,BlocksRecoveredPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Corner3PctBlocked,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,BlockedArc3,Clear Path Fouls,BlockedLongMidRange
101122,1610612746,Danny Granger,Danny Granger,101122,LAC,574.0,10.0,19,19,9.0,19,2.0,38,2.0,2.0,1.0,2.0,2.0,21.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,3.0,0.5,0.5,0.5,19.047619047619047,0.5,0.2,1.0,0.5,0.5,1.0,0.5,0.4176875,0.36585,11.149999999999999,24.85,0.47368421052631576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200797,1610612746,Ryan Hollins,Ryan Hollins,200797,LAC,536.0,9.0,17,16,5.0,16,2.0,33,2.0,,,4.0,,20.0,,,,,,,,2.0,2.0,3.0,,,3.0,5.0,,,,,26.31578947368421,0.3333333333333333,0.18181818181818182,0.5,0.5,,,0.5,0.5576,0.5756,3.825,,0.29411764705882354,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.25,1.0,0.5,0.25,1.0,0.5,0.375,1.5,0.75,0.5,0.125,0.5,0.25,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.7547,0.25,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201162,1610612746,Jared Dudley,Jared Dudley,201162,LAC,869.0,14.0,29,30,13.0,30,3.0,59,,1.0,1.0,1.0,1.0,36.0,1.0,1.0,,,1.0,,3.0,,1.0,1.0,1.0,,,13.0,,0.5,,,6.25,,,,,0.5,0.5,0.5,0.47592500000000004,0.47592500000000004,19.0,25.6,0.4482758620689655,-3.0,,,,,,,,,3.0,,,,,,1.0,,3.0,,,,,,,,,,,,,3.0,,,,0.75,,0.75,0.75,,0.75,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201954,1610612746,Darren Collison,Darren Collison,201954,LAC,1161.0,19.0,40,41,17.0,41,4.0,81,,,,8.0,,46.0,,,,2.0,2.0,,4.0,,,1.0,,,,17.0,,,,,31.818181818181817,,,,,,,0.25,0.4706375,0.5977,13.2625,,0.425,-3.0,2.0,2.0,,,2.0,2.0,4.0,13.0,21.0,,,2.0,2.0,3.0,4.0,9.0,15.0,4.0,,,1.0,,,,,10.0,13.0,1.0,6.0,15.0,0.5,,0.75,0.5,,0.75,0.75,1.0,0.9375,,0.047619047619047616,,,0.25,1.0,1.0,,,0.5,1.0,,0.46153846153846156,0.46153846153846156,0.09523809523809523,0.7142857142857143,6.0,,,,,,,,,,,,,,,,0.75,,,,,,2.0,4.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.07692307692307693,0.14285714285714285,0.25,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,1610612746,Willie Green,Willie Green,2584,LAC,1161.0,19.0,40,41,17.0,41,4.0,81,,3.0,2.0,1.0,4.0,46.0,3.0,3.0,,1.0,1.0,1.0,2.0,1.0,7.0,7.0,3.0,2.0,3.0,17.0,,0.8,,,15.909090909090908,0.1111111111111111,0.29411764705882354,,,0.6,0.6666666666666666,0.8,0.50503,0.53065,23.0,24.875,0.425,-3.0,,,,,,,,2.0,5.0,,,,,,,,3.0,,,,,,1.0,3.0,,1.0,2.0,,1.0,3.0,,,,0.3,,0.5,0.4166666666666667,,0.5,,,,0.25,,,,,,,,,0.16666666666666666,0.5,,0.6,1.0,,,1.0,1.0,3.0,,,,2.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,0.5,0.2,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612746,Hedo Turkoglu,Hedo Turkoglu,2045,LAC,532.0,9.0,17,17,4.0,17,,34,,3.0,,,3.0,22.0,,3.0,,,1.0,,3.0,,1.0,1.0,,,,4.0,,1.0,,,17.64705882352941,,,,,1.0,,1.0,0.5256500000000001,,,25.666666666666668,0.23529411764705882,-4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,0.3333333333333333,,0.3333333333333333,0.5,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201175,1610612746,Glen Davis,Glen Davis,201175,LAC,420.0,7.0,16,17,8.0,17,1.0,33,1.0,,,4.0,,16.0,,,,,,,,,,1.0,,,,8.0,,,,,23.52941176470588,,,,0.25,,,,0.37029999999999996,0.4283,13.524999999999999,,0.5,-2.0,,,,,,,2.0,,4.0,,,,,1.0,2.0,,2.0,,,,1.0,,,,,,,,,2.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,,0.1,,,,,,,,,,,,,,0.5,3.0,,,,,,,,,,,,,,,,0.75,,,,,,2.0,4.0,,1.0,,,,1.0,1.0,0.16666666666666666,0.25,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,32.0,1.0,1,2,1.0,2,,3,,,,,,,,,,,,,,,,,,,,1.0,,,,,100.0,,,,,,,,,,,,1.0,2.0,,,,,,,,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,1.0,2.0,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,63.0,1.0,3,4,3.0,4,,7,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,93.0,2.0,4,5,4.0,5,1.0,9,,,,1.0,,3.0,,,,,,,,,,1.0,,,,4.0,,,,,20.0,,,,,,,1.0,0.3874,0.3874,1.6,,1.0,3.0,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
