EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Corner3Assists,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,BlockedShortMidRange,OffensiveGoaltends,3SecondViolations,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,Travels,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,on,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,Arc3PctBlocked,DefensiveGoaltends
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,18706.0,312,68.0,598,592,85.0,79.0,75.0,1190,26.0,42.0,7.0,11.0,4.0,7.0,27.0,52.0,15.0,44.0,1.0,68.0,138.0,1.0,26.0,162.0,598,12.0,16.0,10.0,34.0,8.0,17.0,5.0,21.0,98.0,38.0,14.0,1.0,9.0,11.0,4.0,15.0,4.0,6.0,2.0,3.0,34.0,3.0,22.0,1.0,14.0,33,1.0,48,26.0,74,6.0,2.0,1.0,1.0,8.0,1.0,5.0,2.0,3.0,10.0,1.0,2.0,9.0,17.0,4.0,1.0,27.0,5.0,2.0,31.0,1.0,15.0,1.0,10.0,10.0,10.0,3.0,21.0,84.0,1.0,1.0,0.7205882352941176,0.8032786885245902,0.4927536231884058,0.75,0.47058823529411764,0.4892086330935252,0.75,0.47058823529411764,0.525974025974026,0.8095238095238095,0.525,0.007194244604316547,0.06521739130434782,0.023809523809523808,0.15384615384615385,24.011713030746705,0.8,0.058823529411764705,0.06666666666666667,0.14102564102564102,0.09954751131221719,0.1686746987951807,0.04838709677419355,0.14826498422712933,0.08833922261484099,0.11864406779661017,0.0958904109589041,0.0898876404494382,0.023255813953488372,0.10526315789473684,0.14666666666666667,0.07142857142857142,0.17475728155339806,0.1864406779661017,0.125,0.1,0.3,0.302158273381295,0.6190476190476191,0.6341463414634146,0.6923076923076923,0.37410071942446044,0.5192307692307693,0.6136363636363636,0.6296296296296297,0.31654676258992803,0.3409090909090909,0.3409090909090909,0.9333333333333333,0.007194244604316547,0.6875,0.6363636363636364,0.14285714285714285,0.4117647058823529,0.5714285714285714,0.30935251798561153,0.4535176258992806,0.5308642857142857,0.4817352941176471,0.09803921568627451,0.09868421052631579,0.20987654320987653,0.12962962962962962,9.177536231884059,24.5,0.14214046822742474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,13943.0,232,96.0,453,449,157.0,152.0,46.0,902,12.0,19.0,2.0,2.0,6.0,7.0,11.0,20.0,6.0,15.0,34.0,29.0,54.0,42.0,33.0,139.0,439,3.0,6.0,5.0,17.0,10.0,18.0,23.0,58.0,28.0,30.0,2.0,34.0,1.0,29.0,9.0,38.0,6.0,26.0,1.0,2.0,85.0,1.0,2.0,,9.0,17,,26,3.0,29,,19.0,5.0,14.0,12.0,6.0,10.0,13.0,2.0,25.0,1.0,8.0,7.0,22.0,,1.0,32.0,,2.0,38.0,4.0,14.0,3.0,1.0,,1.0,,56.0,156.0,2.0,2.0,0.4827586206896552,0.5,0.5370370370370371,0.5,0.5555555555555556,0.5520833333333334,0.5,0.5147058823529411,0.6181818181818182,0.6071428571428571,0.625,0.4375,0.018518518518518517,,0.05,27.054108216432866,0.48,,,0.11409395973154363,0.01652892561983471,0.12857142857142856,0.015625,0.1187214611872146,0.016216216216216217,0.02564102564102564,,0.022222222222222223,0.023255813953488372,,0.06521739130434782,0.10638297872340426,0.16071428571428573,0.11538461538461539,0.16666666666666666,,,0.19791666666666666,0.631578947368421,0.631578947368421,0.5,0.20833333333333334,0.55,0.5789473684210527,0.36363636363636365,0.15625,0.4,0.4,0.6666666666666666,0.3541666666666667,0.16666666666666666,1.0,0.5,0.20588235294117646,0.8571428571428571,0.6354166666666666,0.49586770833333343,0.5008055555555555,0.49097352941176475,0.14018691588785046,0.21875,0.1223021582733813,0.4172661870503597,8.72222222222222,24.66904761904762,0.3465783664459161,2.0,8.0,2.0,1.0,3.0,14.0,2.0,4.0,4.0,13.0,16.0,2.0,6.0,5.0,16.0,30.0,18.0,14.0,3.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,0.625,0.38095238095238093,0.3333333333333333,0.3125,0.38095238095238093,0.08333333333333333,0.25,0.25,0.5,0.4117647058823529,0.4117647058823529,0.6428571428571429,0.16666666666666666,0.3333333333333333,0.5,1.0,0.08823529411764706,0.3333333333333333,0.38235294117647056,0.3076923076923077,0.4117647058823529,0.023255813953488372,,,,,,,,,,,,,,True,,,,,,
201158,1610612759,Marco Belinelli,Marco Belinelli,201158,SAS,7687.0,128,-32.0,248,245,76.0,58.0,27.0,493,2.0,7.0,,,,1.0,,1.0,5.0,10.0,11.0,7.0,18.0,13.0,9.0,41.0,285,,2.0,,6.0,2.0,7.0,5.0,9.0,14.0,,,11.0,1.0,1.0,4.0,5.0,3.0,,1.0,,14.0,,1.0,,5.0,11,3.0,19,1.0,20,,1.0,1.0,,5.0,,4.0,1.0,1.0,6.0,1.0,2.0,6.0,14.0,,,8.0,,,10.0,,4.0,1.0,,,,,9.0,76.0,1.0,1.0,1.0,1.0,0.3888888888888889,,0.2857142857142857,0.5161290322580645,0.5,0.2857142857142857,0.5694444444444444,0.5,0.45,0.41935483870967744,0.05555555555555555,0.14285714285714285,,15.053763440860214,0.8333333333333334,0.5,,0.14864864864864866,0.012987012987012988,0.16666666666666666,,0.15384615384615385,0.009174311926605505,0.03571428571428571,,,,,0.0967741935483871,0.13333333333333333,0.21428571428571427,0.10526315789473684,0.2727272727272727,,,0.22580645161290322,0.2857142857142857,0.3333333333333333,1.0,0.03225806451612903,,,,0.3225806451612903,0.5,0.5,1.0,0.3548387096774194,,,,0.14285714285714285,,0.6451612903225806,0.5136709677419354,0.48883,0.4232857142857143,0.11428571428571428,0.18181818181818182,0.14634146341463414,0.21951219512195122,11.694444444444446,24.830769230769235,0.3064516129032258,2.0,2.0,,,,4.0,2.0,4.0,,,6.0,2.0,4.0,,,18.0,,4.0,1.0,,1.0,1.0,,1.0,,,,1.0,0.46153846153846156,0.5,,0.46153846153846156,0.06451612903225806,1.0,1.0,1.0,0.36363636363636365,0.36363636363636365,1.0,,0.6666666666666666,0.5,1.0,,,,,0.36363636363636365,,,,,,,,,,,,,,,True,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,30965.0,516,100.0,995,991,222.0,205.0,112.0,1986,55.0,78.0,15.0,18.0,11.0,16.0,5.0,20.0,1.0,1.0,1.0,61.0,99.0,1.0,51.0,173.0,1021,15.0,20.0,7.0,37.0,12.0,19.0,16.0,40.0,96.0,26.0,22.0,,11.0,33.0,13.0,46.0,11.0,14.0,8.0,11.0,105.0,13.0,31.0,1.0,25.0,63,7.0,95,45.0,140,1.0,16.0,13.0,3.0,9.0,1.0,6.0,9.0,3.0,18.0,2.0,2.0,27.0,53.0,5.0,4.0,59.0,2.0,1.0,71.0,6.0,34.0,5.0,11.0,9.0,11.0,7.0,40.0,221.0,2.0,2.0,0.7868852459016393,0.96,0.6161616161616161,0.75,0.631578947368421,0.61,0.75,0.6,0.650375939849624,0.7115384615384616,0.6451612903225806,0.01,0.1111111111111111,0.10256410256410256,0.15,13.416815742397137,0.5,0.25925925925925924,0.03333333333333333,0.1836734693877551,0.09779179810725552,0.18115942028985507,0.104,0.18295218295218296,0.09954751131221719,0.10309278350515463,0.11224489795918367,0.08196721311475409,0.07954545454545454,0.16216216216216217,0.1810344827586207,0.1839080459770115,0.18571428571428572,0.21649484536082475,0.0975609756097561,0.037037037037037035,0.6363636363636364,0.78,0.7051282051282052,0.7857142857142857,0.7818181818181819,0.2,0.25,0.29411764705882354,0.8,0.01,1.0,1.0,1.0,0.01,0.9,0.8333333333333334,0.26666666666666666,0.8,0.6875,0.79,0.5720373737373737,0.5780125,0.5746578947368421,0.265625,0.2677165354330709,0.2138728323699422,0.23121387283236994,2.5767676767676764,60.8,0.22311557788944725,,,,,,,,,,1.0,,,,,1.0,,,,2.0,1.0,6.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.05,,,,1.0,2.0,1.0,1.0,,,,,,,,,,True,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,10535.0,176,39.0,335,339,113.0,117.0,31.0,674,4.0,8.0,,,3.0,4.0,2.0,4.0,14.0,28.0,29.0,20.0,40.0,41.0,4.0,101.0,363,1.0,1.0,,8.0,8.0,15.0,1.0,41.0,12.0,28.0,2.0,29.0,4.0,12.0,7.0,19.0,4.0,9.0,,3.0,45.0,,1.0,1.0,8.0,5,1.0,14,2.0,16,,7.0,4.0,3.0,3.0,1.0,3.0,6.0,,9.0,,2.0,1.0,13.0,,1.0,12.0,1.0,1.0,5.0,,,1.0,,,,,41.0,113.0,2.0,,0.3,0.3157894736842105,0.5,1.0,0.5333333333333333,0.5987654320987654,0.8,0.7142857142857143,0.608433734939759,0.8,0.7068965517241379,0.5061728395061729,0.1,0.25,,24.864864864864863,0.3333333333333333,0.1111111111111111,0.08333333333333333,0.04716981132075472,0.011764705882352941,0.17777777777777778,,0.08609271523178808,0.007194244604316547,0.03125,,,,,0.02631578947368421,0.06896551724137931,0.05128205128205128,0.2,0.1,,,0.09876543209876543,0.5,0.6666666666666666,0.75,0.04938271604938271,0.5,0.5,0.5,0.345679012345679,0.5,0.5384615384615384,0.14285714285714285,0.35802469135802467,,,,0.14285714285714285,0.75,0.6049382716049383,0.5068481481481483,0.5309333333333334,0.5179642857142858,0.012195121951219513,,0.07920792079207921,0.40594059405940597,14.392500000000002,24.59756097560976,0.3373134328358209,4.0,12.0,2.0,1.0,5.0,15.0,1.0,2.0,7.0,8.0,19.0,2.0,4.0,8.0,13.0,48.0,9.0,15.0,3.0,1.0,1.0,,1.0,2.0,,1.0,,0.8421052631578947,0.4634146341463415,0.5,0.6153846153846154,0.4634146341463415,0.14814814814814814,0.3333333333333333,0.3333333333333333,1.0,0.5172413793103449,0.5172413793103449,0.8,0.4,0.4,0.5,1.0,0.17857142857142858,0.2,0.2857142857142857,0.875,0.5172413793103449,0.023809523809523808,,,,,1.0,1.0,1.0,0.07142857142857142,0.5,1.0,,,,True,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,21266.0,354,58.0,685,678,127.0,91.0,88.0,1363,30.0,46.0,2.0,2.0,8.0,11.0,19.0,45.0,33.0,72.0,7.0,82.0,163.0,15.0,24.0,194.0,697,6.0,8.0,1.0,13.0,16.0,35.0,14.0,49.0,38.0,126.0,2.0,7.0,6.0,48.0,19.0,67.0,10.0,21.0,14.0,13.0,153.0,1.0,2.0,,5.0,13,,18,3.0,21,1.0,7.0,5.0,2.0,20.0,3.0,15.0,10.0,5.0,30.0,3.0,5.0,8.0,15.0,1.0,1.0,26.0,,2.0,34.0,3.0,11.0,7.0,1.0,1.0,1.0,1.0,49.0,126.0,,6.0,0.23170731707317074,0.2345679012345679,0.5030674846625767,0.75,0.45714285714285713,0.47752808988764045,0.6666666666666666,0.4605263157894737,0.5025906735751295,0.5909090909090909,0.5212765957446809,0.08426966292134831,0.03680981595092025,0.10869565217391304,0.022222222222222223,28.516624040920714,0.6666666666666666,,,0.05371900826446281,0.00816326530612245,0.05154639175257732,0.013333333333333334,0.05309734513274336,0.009375,0.014285714285714285,0.012195121951219513,,,0.045454545454545456,0.06097560975609756,0.034482758620689655,0.058823529411764705,0.045454545454545456,0.06451612903225806,0.011363636363636364,1.0,0.25842696629213485,0.6521739130434783,0.7317073170731707,0.3,0.25280898876404495,0.4222222222222222,0.4318181818181818,0.15789473684210525,0.4044943820224719,0.4583333333333333,0.4583333333333333,0.21212121212121213,0.03932584269662921,0.2222222222222222,1.0,0.5,0.2894736842105263,0.7272727272727273,0.34269662921348315,0.47948174157303375,0.46820625000000005,0.4850144736842105,0.05913978494623656,0.06432748538011696,0.06701030927835051,0.25257731958762886,10.773006134969323,24.42,0.1854014598540146,,8.0,,,1.0,2.0,,1.0,1.0,2.0,2.0,,1.0,1.0,3.0,6.0,,2.0,9.0,2.0,,,,,1.0,,,1.0,0.13333333333333333,,0.3333333333333333,0.13333333333333333,0.0449438202247191,,,,0.2857142857142857,0.2857142857142857,1.0,,0.1111111111111111,,,0.02631578947368421,,0.05263157894736842,0.5,0.2857142857142857,,,,,,,,2.0,,,,,,,True,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,17917.0,299,38.0,575,572,88.0,68.0,69.0,1147,5.0,11.0,,4.0,1.0,3.0,2.0,4.0,7.0,13.0,41.0,14.0,28.0,56.0,5.0,108.0,587,1.0,5.0,,8.0,2.0,5.0,,10.0,14.0,14.0,,41.0,4.0,6.0,3.0,9.0,2.0,1.0,2.0,3.0,21.0,2.0,3.0,2.0,11.0,26,2.0,39,7.0,46,1.0,22.0,5.0,17.0,9.0,,7.0,3.0,2.0,12.0,3.0,1.0,18.0,26.0,,,6.0,,,5.0,,2.0,,9.0,7.0,11.0,5.0,10.0,88.0,1.0,,0.5,0.5,0.5,0.2,0.4,0.6130952380952381,0.5,0.38461538461538464,0.622093023255814,0.5,0.38461538461538464,0.6666666666666666,0.14285714285714285,0.36363636363636365,,15.007656967840735,0.75,0.2857142857142857,0.14285714285714285,0.12149532710280374,0.015789473684210527,0.14473684210526316,0.027777777777777776,0.12758620689655173,0.019083969465648856,0.01694915254237288,,0.02702702702702703,0.038461538461538464,,0.06756756756756757,0.08163265306122448,0.18681318681318682,0.11320754716981132,0.21739130434782608,0.02702702702702703,0.45454545454545453,0.13095238095238096,0.45454545454545453,0.7142857142857143,0.4,0.047619047619047616,0.5,0.5,,0.15476190476190477,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.4880952380952381,0.5,,,0.23076923076923078,0.3333333333333333,0.7976190476190477,0.5197125000000001,0.49899166666666667,0.4621961538461538,0.023255813953488372,0.06666666666666667,0.07407407407407407,0.09259259259259259,10.10357142857143,24.674999999999994,0.15304347826086956,7.0,15.0,,,1.0,18.0,2.0,3.0,2.0,7.0,25.0,2.0,3.0,2.0,8.0,69.0,6.0,18.0,1.0,1.0,1.0,,,1.0,1.0,,,0.92,0.44642857142857145,0.6666666666666666,0.25,0.44642857142857145,0.17857142857142858,0.4666666666666667,0.4666666666666667,1.0,0.43902439024390244,0.43902439024390244,0.8888888888888888,,0.375,0.6666666666666666,1.0,0.07692307692307693,,0.5384615384615384,0.2857142857142857,0.43902439024390244,,,2.0,,,,1.0,,,,,2.0,2.0,1.0,True,,,,,,
202695,1610612759,Kawhi Leonard,Kawhi Leonard,202695,SAS,22667.0,378,103.0,727,725,122.0,132.0,81.0,1452,16.0,25.0,3.0,7.0,2.0,3.0,14.0,28.0,10.0,28.0,22.0,40.0,81.0,34.0,29.0,151.0,729,5.0,11.0,,13.0,4.0,7.0,10.0,24.0,20.0,60.0,4.0,22.0,4.0,16.0,7.0,23.0,5.0,9.0,,7.0,53.0,1.0,10.0,3.0,15.0,43,11.0,69,14.0,83,1.0,23.0,13.0,10.0,7.0,1.0,2.0,8.0,5.0,15.0,2.0,3.0,11.0,35.0,2.0,3.0,31.0,2.0,3.0,39.0,2.0,17.0,2.0,6.0,4.0,6.0,4.0,24.0,121.0,2.0,2.0,0.25,0.2631578947368421,0.49382716049382713,0.45454545454545453,0.5714285714285714,0.5304347826086957,0.4642857142857143,0.6363636363636364,0.5676691729323309,0.4642857142857143,0.7058823529411765,0.2956521739130435,0.04938271604938271,0.08,0.07142857142857142,18.159509202453986,0.4666666666666667,0.5238095238095238,0.13636363636363635,0.16731517509727625,0.04149377593360996,0.14705882352941177,0.012195121951219513,0.1615598885793872,0.034055727554179564,0.015151515151515152,0.0759493670886076,0.03125,0.01818181818181818,,0.13414634146341464,0.16923076923076924,0.19090909090909092,0.11764705882352941,0.20588235294117646,0.017543859649122806,0.6666666666666666,0.21739130434782608,0.64,0.6956521739130435,0.4375,0.24347826086956523,0.5,0.5384615384615384,,0.24347826086956523,0.35714285714285715,0.35714285714285715,0.3,0.19130434782608696,0.5,0.42857142857142855,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.5130434782608696,0.4988495652173913,0.5269625,0.5096772727272727,0.13740458015267176,0.17708333333333334,0.08609271523178808,0.15894039735099338,9.458024691358021,24.279411764705884,0.16781292984869325,6.0,12.0,3.0,1.0,1.0,8.0,,,1.0,3.0,14.0,1.0,3.0,2.0,4.0,39.0,3.0,8.0,2.0,1.0,,2.0,,3.0,,1.0,1.0,0.9285714285714286,0.4117647058823529,0.3333333333333333,0.5,0.4117647058823529,0.10434782608695652,0.5,0.5,1.0,0.36363636363636365,0.36363636363636365,0.875,0.21428571428571427,,,,0.09090909090909091,1.0,0.2727272727272727,0.3333333333333333,0.36363636363636365,0.02857142857142857,,1.0,,,1.0,,1.0,,0.3333333333333333,1.0,,,,True,,,,,,
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,249.0,4,10.0,9,10,9.0,8.0,2.0,19,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1.0,1.0,,,,,3.0,,,,1.0,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2564,1610612759,Boris Diaw,Boris Diaw,2564,SAS,9493.0,158,-3.0,305,309,87.0,91.0,27.0,614,10.0,21.0,2.0,4.0,2.0,4.0,4.0,10.0,1.0,5.0,9.0,15.0,36.0,12.0,8.0,44.0,337,2.0,4.0,,4.0,2.0,6.0,4.0,8.0,12.0,18.0,2.0,9.0,4.0,11.0,4.0,15.0,4.0,9.0,1.0,1.0,34.0,1.0,4.0,,2.0,13,,15,5.0,20,2.0,3.0,,3.0,2.0,1.0,2.0,3.0,,5.0,,1.0,4.0,5.0,,,10.0,1.0,,12.0,,4.0,2.0,2.0,2.0,2.0,1.0,8.0,87.0,,2.0,0.4,0.42857142857142855,0.4166666666666667,0.5,0.3333333333333333,0.375,0.5,0.2,0.4074074074074074,0.5,0.3076923076923077,0.25,0.1111111111111111,0.19047619047619047,,17.611940298507463,0.4,,,0.16049382716049382,0.04938271604938271,0.05128205128205128,0.018867924528301886,0.125,0.03731343283582089,0.09375,,0.038461538461538464,0.02702702702702703,,0.13333333333333333,0.23076923076923078,0.12,0.03571428571428571,0.09090909090909091,0.07407407407407407,0.5,0.4375,0.47619047619047616,0.5882352941176471,0.5,0.20833333333333334,0.4,0.4,,0.10416666666666667,0.2,0.2,1.0,0.1875,1.0,0.5,0.5,0.4,0.5,0.6875,0.509909375,0.5808,0.51043,0.07692307692307693,0.1,0.09090909090909091,0.18181818181818182,5.9111111111111105,24.191666666666666,0.28524590163934427,2.0,3.0,,,,,,,,4.0,2.0,,,,4.0,6.0,,,,,1.0,,,,,,,1.0,0.16666666666666666,,,0.16666666666666666,0.0625,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,0.4,,,,,,,1.0,,1.0,,,,,,,,True,,,,,,
