EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsPutbacks,FTDefRebounds,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Blocked3s,BlockedCorner3,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,Corner3FGM,PenaltyCorner3FGM,PtsAssisted3s,Assisted3sPct,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
201144,1610612763,Mike Conley,Mike Conley,201144,MEM,16010.0,267,-31,504,503,140.0,111.0,61.0,1007,25.0,40.0,1.0,2.0,9.0,13.0,12.0,24.0,4.0,11.0,6.0,1.0,3.0,21.0,1.0,1.0,3.0,41.0,75,3.0,27.0,20.0,111.0,537,2.0,4.0,1.0,2.0,6.0,14.0,23.0,1.0,4.0,9.0,40.0,22.0,60.0,9.0,21.0,3.0,5.0,46.0,9.0,55.0,7.0,2.0,22.0,11.0,13.0,119.0,1.0,4.0,8.0,19.0,27,5.0,32,4.0,14.0,9.0,5.0,10.0,4.0,7.0,5.0,3.0,1.0,15.0,2.0,4.0,6.0,1.0,14.0,29.0,2.0,2.0,3.0,26.0,3.0,1.0,10.0,4.0,1.0,1.0,1.0,37.0,136.0,2.0,0.2682926829268293,0.2682926829268293,0.1111111111111111,0.25,0.1111111111111111,0.5466666666666666,0.5,0.6086956521739131,0.44607843137254904,0.4,0.5740740740740741,0.48672566371681414,0.5,0.625,0.2647058823529412,0.06666666666666667,0.075,0.08333333333333333,22.338568935427574,0.6666666666666666,0.11875,0.018957345971563982,0.08888888888888889,0.02,0.108,0.019157088122605363,0.030303030303030304,0.023529411764705882,0.07692307692307693,0.1,0.08163265306122448,0.16393442622950818,0.07894736842105263,0.14285714285714285,0.07692307692307693,0.39215686274509803,0.625,0.6756756756756757,0.16,0.23529411764705882,0.5,0.5454545454545454,0.3333333333333333,0.10784313725490197,0.36363636363636365,0.36363636363636365,0.75,0.058823529411764705,0.20588235294117646,0.14285714285714285,0.14285714285714285,0.4,0.5,0.2,0.48148148148148145,0.6923076923076923,0.037037037037037035,0.1111111111111111,0.3333333333333333,0.6568627450980392,0.14285714285714285,0.4992637254901961,0.4119375,0.4976444444444444,0.09174311926605505,0.12195121951219512,0.05405405405405406,0.36036036036036034,6.561333333333333,24.65555555555556,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
201188,1610612763,Marc Gasol,Marc Gasol,201188,MEM,14764.0,246,-42,463,461,120.0,100.0,53.0,924,16.0,27.0,2.0,4.0,2.0,7.0,19.0,55.0,7.0,20.0,,,,,,,,42.0,102,,,19.0,103.0,506,2.0,5.0,,5.0,9.0,7.0,21.0,,,9.0,23.0,60.0,24.0,,,,8.0,21.0,3.0,24.0,1.0,2.0,8.0,6.0,7.0,51.0,2.0,8.0,8.0,23.0,32,10.0,42,5.0,9.0,8.0,1.0,6.0,,2.0,3.0,4.0,,9.0,2.0,4.0,11.0,,21.0,24.0,1.0,3.0,1.0,21.0,2.0,1.0,8.0,3.0,5.0,4.0,6.0,23.0,116.0,3.0,0.7142857142857143,0.7317073170731707,,,,0.4117647058823529,0.4,0.3333333333333333,0.4117647058823529,0.4,0.3333333333333333,0.4594594594594595,0.5714285714285714,0.44,,0.0784313725490196,0.1111111111111111,0.09090909090909091,22.98850574712644,0.6666666666666666,0.1597222222222222,0.042105263157894736,0.09876543209876543,0.044444444444444446,0.13777777777777778,0.0425531914893617,0.03508771929824561,0.03896103896103896,,0.13043478260869565,0.17073170731707318,0.17543859649122806,0.07352941176470588,0.23076923076923078,0.09803921568627451,0.2647058823529412,0.5925925925925926,0.6666666666666666,0.75,0.5392156862745098,0.34545454545454546,0.38,0.5789473684210527,0.19607843137254902,0.35,0.35,1.0,,,,,0.8,0.5,,0.3333333333333333,0.2857142857142857,,,,0.2647058823529412,,0.4485098039215686,0.58864,0.4349904761904762,0.07407407407407407,0.07407407407407407,0.08737864077669903,0.22330097087378642,8.171568627450979,,0.2591792656587473,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.1111111111111111,0.05357142857142857,0.0625,0.5,,,,,,,,,,,,,,,,,,,,True,,,
201584,1610612763,Courtney Lee,Courtney Lee,201584,MEM,11140.0,186,-19,353,354,84.0,70.0,38.0,707,6.0,13.0,,2.0,,3.0,7.0,10.0,4.0,10.0,5.0,1.0,3.0,8.0,,2.0,2.0,17.0,33,5.0,13.0,12.0,61.0,386,,2.0,,1.0,1.0,1.0,7.0,3.0,3.0,6.0,17.0,26.0,8.0,,8.0,3.0,6.0,6.0,1.0,7.0,,1.0,2.0,2.0,2.0,15.0,1.0,1.0,4.0,5.0,10,2.0,12,1.0,5.0,2.0,3.0,3.0,,2.0,,1.0,,3.0,,,11.0,,18.0,11.0,,,1.0,16.0,2.0,,5.0,4.0,2.0,2.0,2.0,16.0,81.0,3.0,0.7647058823529411,0.7647058823529411,0.38461538461538464,1.0,0.38461538461538464,0.5151515151515151,,0.14285714285714285,0.532608695652174,,0.55,0.5754716981132075,0.16666666666666666,0.6071428571428571,0.2826086956521739,0.18181818181818182,0.23076923076923078,0.2,14.249363867684478,1.0,0.04672897196261682,0.006993006993006993,0.07407407407407407,0.03571428571428571,0.055900621118012424,0.011695906432748537,0.022727272727272728,,,0.05555555555555555,0.03333333333333333,0.04878048780487805,0.06666666666666667,0.1111111111111111,0.05555555555555555,0.2826086956521739,0.46153846153846156,0.6,0.8333333333333334,0.21739130434782608,0.7,0.875,0.5714285714285714,0.21739130434782608,0.4,0.4444444444444444,1.0,0.10869565217391304,0.17391304347826086,0.375,0.375,1.0,,,0.3,,0.1,0.2,1.0,0.5652173913043478,0.375,0.516575,0.3946,0.47897999999999996,0.10204081632653061,0.1388888888888889,0.01639344262295082,0.2786885245901639,8.375757575757577,24.523076923076925,0.23796033994334279,,1.0,,,,,,,,,2.0,0.14285714285714285,,0.05263157894736842,,2.0,1.0,15.0,1.0,0.1,0.4,0.4,1.0,1.0,1.0,,,,,,,,,,True,,,
202334,1610612763,Ed Davis,Ed Davis,202334,MEM,348.0,6,-4,9,11,,1.0,,20,,,,,,,,1.0,,,,,,,,,,,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3,,3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,11.11111111111111,,0.5,,0.3333333333333333,,0.42857142857142855,,,,,1.0,,,0.3333333333333333,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.4025,,,,,,,7.3,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,
2216,1610612763,Zach Randolph,Zach Randolph,2216,MEM,12167.0,203,-19,381,381,87.0,81.0,43.0,762,21.0,32.0,4.0,8.0,5.0,7.0,9.0,33.0,8.0,23.0,,,,,,,,38.0,88,,,24.0,100.0,388,5.0,13.0,,7.0,17.0,6.0,16.0,,,9.0,21.0,56.0,20.0,,,,9.0,9.0,2.0,11.0,2.0,,1.0,6.0,2.0,24.0,3.0,7.0,14.0,16.0,31,10.0,41,1.0,5.0,4.0,1.0,5.0,,2.0,4.0,3.0,,9.0,1.0,2.0,5.0,,12.0,29.0,,2.0,1.0,38.0,4.0,,18.0,3.0,1.0,1.0,1.0,21.0,83.0,3.0,0.7368421052631579,0.7777777777777778,,,,0.4318181818181818,0.38461538461538464,0.375,0.4318181818181818,0.38461538461538464,0.375,0.47619047619047616,0.4722222222222222,0.45652173913043476,,0.10227272727272728,0.15625,0.12121212121212122,26.573426573426573,0.5555555555555556,0.128,0.04294478527607362,0.20588235294117646,0.07894736842105263,0.15544041450777202,0.04975124378109453,,0.09375,0.2222222222222222,0.1111111111111111,0.17073170731707318,0.10416666666666667,0.20689655172413793,0.2,0.024390243902439025,0.36363636363636365,0.65625,0.7777777777777778,0.7619047619047619,0.375,0.2727272727272727,0.3103448275862069,0.7777777777777778,0.26136363636363635,0.34782608695652173,0.34782608695652173,0.625,,,,,0.6153846153846154,0.5,,0.4375,0.7142857142857143,,,,0.36363636363636365,,0.4708375,0.5402909090909092,0.49484999999999996,0.17647058823529413,0.17647058823529413,0.17,0.21,7.329545454545454,,0.2283464566929134,4.0,1.0,,5.0,1.0,,,,1.0,,,0.16666666666666666,0.021739130434782608,0.034482758620689655,1.0,,,,,,,,,,,3.0,0.5,,,,,,,,True,,,
2754,1610612763,Tony Allen,Tony Allen,2754,MEM,9894.0,165,-1,315,314,126.0,84.0,46.0,629,19.0,32.0,5.0,12.0,8.0,13.0,,4.0,4.0,10.0,2.0,1.0,,1.0,,,,23.0,46,,3.0,13.0,59.0,337,6.0,15.0,,3.0,15.0,10.0,17.0,,1.0,3.0,23.0,22.0,24.0,,1.0,,6.0,6.0,,6.0,,,6.0,,,12.0,4.0,13.0,8.0,14.0,24,17.0,41,3.0,10.0,6.0,4.0,3.0,3.0,1.0,7.0,2.0,2.0,10.0,4.0,6.0,7.0,,18.0,12.0,,1.0,2.0,16.0,2.0,,7.0,2.0,1.0,1.0,1.0,22.0,122.0,1.0,0.4782608695652174,0.6111111111111112,,,,0.5,0.4,0.5882352941176471,0.46938775510204084,0.4,0.5555555555555556,0.5267857142857143,0.46875,0.575,0.061224489795918366,0.13043478260869565,0.15625,0.25,17.983651226158038,0.3,0.14583333333333334,0.10077519379844961,0.12903225806451613,0.14285714285714285,0.13924050632911392,0.10828025477707007,0.08695652173913043,0.12244897959183673,0.14285714285714285,0.14285714285714285,0.16,0.1388888888888889,0.1346153846153846,0.1,0.15,0.6530612244897959,0.59375,0.7037037037037037,0.42105263157894735,0.08163265306122448,,,,0.20408163265306123,0.4,0.4,0.75,0.04081632653061224,0.02040816326530612,,,0.8,0.4166666666666667,,0.7222222222222222,0.6153846153846154,0.05555555555555555,,,0.7142857142857143,,0.601930612244898,0.6310818181818182,0.6482388888888889,0.12962962962962962,0.13725490196078433,0.2542372881355932,0.3898305084745763,5.2760869565217385,23.5,0.4,10.0,2.0,,2.0,,,,,,,6.0,0.3333333333333333,0.08823529411764706,0.14285714285714285,,,,,,,,,,,,2.0,,,,,,,,,True,,,
202720,1610612763,Jon Leuer,Jon Leuer,202720,MEM,495.0,8,-4,16,15,12.0,,5.0,31,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,2.0,3,,,2.0,6.0,22,1.0,1.0,,2.0,4.0,2.0,3.0,,,2.0,6.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,2,2.0,4,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,1.0,,,,,6.0,12.0,,0.5,1.0,,,,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0,0.75,,,,,19.047619047619047,,,0.1111111111111111,0.6666666666666666,0.5,0.5,0.18181818181818182,,0.3333333333333333,,,,,0.6666666666666666,,1.0,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,0.6666666666666666,1.0,,,,0.6666666666666666,,0.615,,0.615,0.25,0.25,0.6666666666666666,1.0,3.3666666666666667,,0.75,2.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,True,,,
2419,1610612763,Tayshaun Prince,Tayshaun Prince,2419,MEM,5504.0,92,-21,161,168,8.0,19.0,16.0,329,2.0,4.0,1.0,2.0,,,,2.0,4.0,9.0,2.0,,,1.0,,,,6.0,15,1.0,3.0,,15.0,175,2.0,3.0,,,4.0,1.0,2.0,,,,2.0,8.0,4.0,,1.0,,1.0,5.0,,5.0,,,2.0,2.0,1.0,10.0,1.0,2.0,3.0,1.0,5,4.0,9,,1.0,1.0,,,,,1.0,,1.0,1.0,,,2.0,,6.0,,,,,,,,,,,,,2.0,8.0,,0.6666666666666666,0.8,0.3333333333333333,,0.3333333333333333,0.4,0.6666666666666666,0.5,0.4166666666666667,0.6666666666666666,0.5,0.4166666666666667,0.6666666666666666,0.5,0.16666666666666666,0.06666666666666667,,0.5,10.614525139664805,,0.01639344262295082,0.028985507246376812,0.12,0.05,0.046511627906976744,0.033707865168539325,0.05555555555555555,0.034482758620689655,,,0.041666666666666664,,0.15,,,0.2222222222222222,0.5,0.5,,0.1111111111111111,,,,0.5,0.4444444444444444,0.4444444444444444,1.0,0.1111111111111111,0.05555555555555555,,,0.6666666666666666,0.5,,,,,,,0.3888888888888889,,0.46761666666666674,0.4507333333333334,0.4088,,,0.26666666666666666,0.13333333333333333,12.7,23.7,0.049689440993788817,2.0,1.0,,,,,,,,,1.0,0.3333333333333333,,0.07142857142857142,,1.0,,3.0,1.0,,0.5,0.5,1.0,,,,,1.0,0.5,,,,,,True,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,6505.0,108,-20,212,207,77.0,63.0,25.0,419,,2.0,,1.0,,1.0,,1.0,,4.0,1.0,,8.0,19.0,3.0,3.0,5.0,,7,9.0,20.0,7.0,34.0,228,,1.0,3.0,,6.0,,2.0,3.0,5.0,6.0,15.0,,,3.0,19.0,8.0,2.0,6.0,1.0,7.0,,1.0,4.0,1.0,1.0,15.0,,1.0,10.0,6.0,16,1.0,17,,5.0,3.0,2.0,3.0,,2.0,,1.0,,3.0,,2.0,6.0,,11.0,5.0,,1.0,,9.0,,1.0,1.0,3.0,,,,15.0,76.0,3.0,,,0.45,0.6,0.45,,,,0.5,0.75,0.6428571428571429,0.532258064516129,0.75,0.75,0.7407407407407407,0.2857142857142857,0.5,1.0,14.049586776859504,1.0,0.09375,0.011904761904761904,0.23809523809523808,,0.1509433962264151,0.009174311926605505,0.041666666666666664,,,0.047619047619047616,0.10526315789473684,0.125,0.2222222222222222,0.3333333333333333,,0.07407407407407407,,,,0.037037037037037035,,,,0.14814814814814814,,,,0.037037037037037035,0.7037037037037037,0.42105263157894735,0.42105263157894735,0.25,,0.75,0.14285714285714285,,,0.7142857142857143,0.6,0.8148148148148148,0.42105263157894735,0.45156481481481475,0.4546875,0.47500000000000003,0.03571428571428571,0.125,0.17647058823529413,0.4411764705882353,11.814285714285715,25.505,0.3632075471698113,,,,1.0,,,,,,,,,,,,1.0,,24.0,0.8888888888888888,,1.0,1.0,1.0,0.875,,,,,,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,True,,,
201585,1610612763,Kosta Koufos,Kosta Koufos,201585,MEM,907.0,15,5,30,29,17.0,7.0,6.0,59,,3.0,,1.0,,2.0,2.0,3.0,,1.0,,,,,,,,2.0,7,,,,4.0,24,,1.0,,,,2.0,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,3,2.0,5,,,,,1.0,,,,1.0,,1.0,,,,,3.0,,,,,,,,,,2.0,1.0,2.0,4.0,17.0,,1.0,1.0,,,,0.2857142857142857,,0.5,0.2857142857142857,,0.5,0.2857142857142857,,0.5,,,,,20.51282051282051,1.0,0.07142857142857142,0.11764705882352941,0.3333333333333333,,0.15,0.09523809523809523,0.2857142857142857,,,,0.14285714285714285,,0.4,,,0.42857142857142855,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,,,,,,,,1.0,,,0.5,,,,,0.42857142857142855,,0.5251285714285714,0.6369,0.55085,,,,1.0,5.342857142857143,,0.5666666666666667,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,
