EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassTurnovers,PenaltyTurnovers,Charge Fouls Drawn,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,LostBallSteals,Charge Fouls,BlockedShortMidRange,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctAssisted,LongMidRangePctBlocked,Loose Ball Fouls Drawn,OffensiveGoaltends,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,on,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,BlockedLongMidRange,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3
101161,1610612761,Amir Johnson,Amir Johnson,101161,TOR,6678.0,111.0,-53.0,205,203.0,42,39.0,33.0,408,12.0,17.0,6.0,9.0,5.0,5.0,6.0,6.0,2.0,1.0,1.0,18.0,25.0,2.0,6.0,42.0,254.0,7.0,11.0,14.0,6.0,7.0,3.0,15.0,14.0,22.0,8.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,8.0,5.0,11.0,1.0,17.0,10.0,27.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,7.0,1.0,3.0,1.0,14.0,2.0,1.0,8.0,1.0,8.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,15.0,42,2.0,1.0,0.3888888888888889,0.5,0.72,0.6363636363636364,0.8571428571428571,0.6666666666666666,0.6363636363636364,0.8571428571428571,0.7,0.6363636363636364,0.9375,0.07407407407407407,15.481171548117153,0.5714285714285714,0.25,0.24444444444444444,0.12307692307692308,0.16666666666666666,0.0625,0.21333333333333335,0.10309278350515463,0.23529411764705882,0.09523809523809523,0.07407407407407407,0.1,0.4,0.11764705882352941,0.2777777777777778,0.19047619047619047,0.1111111111111111,0.125,0.5,0.6296296296296297,0.7058823529411765,0.7058823529411765,0.4166666666666667,0.2222222222222222,1.0,1.0,0.3333333333333333,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.8181818181818182,0.6666666666666666,0.7142857142857143,1.0,0.7037037037037037,0.5213962962962962,0.5323444444444445,0.5121428571428571,0.13793103448275862,0.14814814814814814,0.3333333333333333,0.35714285714285715,4.212,23.95,0.2048780487804878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
101236,1610612761,Chuck Hayes,Chuck Hayes,101236,TOR,496.0,8.0,9.0,17,16.0,12,14.0,2.0,33,1.0,3.0,,1.0,,1.0,,,,,,1.0,3.0,,2.0,4.0,18.0,,1.0,,,1.0,2.0,2.0,2.0,,,,,1.0,1.0,,1.0,,,,3.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,2.0,,2.0,,,1.0,,,,,,,2.0,12,,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,0.5,,0.5,,27.77777777777778,1.0,,,0.2,,,,0.16666666666666666,0.2,,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,1.0,,1.0,,1.0,0.48566666666666664,0.5118,0.3793,,,,0.5,1.9333333333333336,,0.7058823529411765,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
200768,1610612761,Kyle Lowry,Kyle Lowry,200768,TOR,8151.0,136.0,-11.0,257,248.0,74,58.0,37.0,505,3.0,10.0,,1.0,2.0,3.0,4.0,9.0,9.0,2.0,18.0,11.0,28.0,20.0,22.0,71.0,286.0,,1.0,8.0,4.0,9.0,14.0,37.0,,22.0,,17.0,18.0,2.0,20.0,1.0,1.0,9.0,6.0,3.0,42.0,1.0,2.0,4.0,4.0,,8.0,3.0,11.0,,,,7.0,5.0,2.0,,12.0,,2.0,,11.0,,1.0,20.0,1.0,24.0,,6.0,3.0,,,,,,,37.0,74,2.0,3.0,,,0.39285714285714285,,0.4444444444444444,0.5104166666666666,1.0,0.71875,0.5948275862068966,1.0,0.8043478260869565,0.4166666666666667,23.72881355932203,0.5833333333333334,,0.06451612903225806,0.02564102564102564,0.09523809523809523,0.027777777777777776,0.07692307692307693,0.02631578947368421,0.04,0.04,,0.043478260869565216,,0.08695652173913043,0.08333333333333333,0.125,,,,0.20833333333333334,0.3,0.375,,0.1875,0.4444444444444444,0.5,,0.1875,0.041666666666666664,0.375,0.3333333333333333,,0.1875,0.6666666666666666,0.625,0.44792021276595745,0.60705,0.4115599999999999,0.12727272727272726,0.17647058823529413,0.11267605633802817,0.5211267605633803,9.257142857142858,26.49,0.28793774319066145,5.0,5.0,3.0,4.0,1.0,1.0,1.0,8.0,2.0,2.0,4.0,6.0,9.0,2.0,2.0,2.0,5.0,7.0,21.0,6.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7777777777777778,0.45,1.0,0.7142857142857143,0.47368421052631576,0.10714285714285714,0.2,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.5,0.5,1.0,0.4444444444444444,0.4444444444444444,0.75,0.6666666666666666,1.0,1.0,0.0625,1.0,0.375,0.6666666666666666,0.47058823529411764,0.047619047619047616,,,,,,,,,,,,,,,True,,,,,,
201942,1610612761,DeMar DeRozan,DeMar DeRozan,201942,TOR,7839.0,131.0,-21.0,241,235.0,38,31.0,36.0,476,7.0,10.0,,1.0,2.0,2.0,2.0,9.0,24.0,7.0,3.0,17.0,43.0,10.0,35.0,81.0,285.0,,2.0,4.0,3.0,4.0,2.0,11.0,12.0,22.0,,3.0,10.0,4.0,14.0,3.0,1.0,6.0,3.0,1.0,32.0,1.0,1.0,3.0,3.0,1.0,7.0,2.0,9.0,1.0,3.0,1.0,9.0,2.0,6.0,,11.0,1.0,7.0,1.0,11.0,1.0,,25.0,1.0,39.0,2.0,19.0,1.0,1.0,,1.0,1.0,,,11.0,38,1.0,1.0,0.35294117647058826,0.35294117647058826,0.3953488372093023,,0.75,0.4339622641509434,,0.75,0.5633802816901409,0.5,0.7857142857142857,0.18867924528301888,29.6028880866426,0.8181818181818182,0.16666666666666666,0.04918032786885246,0.014285714285714285,0.08108108108108109,0.027777777777777776,0.061224489795918366,0.018867924528301886,0.045454545454545456,,,0.043478260869565216,0.07692307692307693,0.09090909090909091,,0.037037037037037035,0.2,0.034482758620689655,1.0,0.18867924528301888,0.7,0.7,0.42857142857142855,0.16981132075471697,0.2222222222222222,0.25,0.5,0.4528301886792453,0.1320754716981132,0.05660377358490566,0.5,,0.3333333333333333,1.0,0.37735849056603776,0.45016037735849057,0.4072,0.46503333333333324,0.2714285714285714,0.31666666666666665,0.04938271604938271,0.13580246913580246,12.309302325581394,23.919999999999998,0.15767634854771784,3.0,,,8.0,4.0,1.0,2.0,,,,,,4.0,,,4.0,1.0,2.0,6.0,6.0,,,1.0,,,1.0,1.0,1.0,,0.5,0.4,,0.5,0.4,0.023255813953488372,,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,,,,,,,0.3333333333333333,0.5,,,,,1.0,2.0,1.0,1.0,0.1,0.14285714285714285,0.25,,,,,,,,True,,,,,,
203082,1610612761,Terrence Ross,Terrence Ross,203082,TOR,9453.0,158.0,-22.0,297,288.0,85,74.0,41.0,585,5.0,8.0,,,1.0,3.0,3.0,5.0,10.0,11.0,13.0,10.0,23.0,24.0,3.0,35.0,341.0,1.0,1.0,2.0,2.0,8.0,,7.0,8.0,12.0,,13.0,1.0,1.0,2.0,,1.0,1.0,,,5.0,,1.0,4.0,9.0,,13.0,1.0,14.0,,6.0,4.0,3.0,5.0,1.0,,8.0,,8.0,3.0,19.0,2.0,,5.0,2.0,5.0,1.0,3.0,,3.0,1.0,3.0,,,,7.0,85,1.0,,0.4,0.4,0.43478260869565216,1.0,0.25,0.3404255319148936,0.25,0.25,0.35714285714285715,0.25,0.25,0.5106382978723404,16.715542521994134,0.375,,0.13043478260869565,0.011764705882352941,0.0851063829787234,,0.11206896551724138,0.007874015748031496,,,0.03125,,0.0625,0.15384615384615385,0.14814814814814814,0.08333333333333333,0.09090909090909091,,,0.1702127659574468,0.625,0.7142857142857143,0.4,0.10638297872340426,0.6,0.6,0.3333333333333333,0.2127659574468085,0.23404255319148937,0.2765957446808511,,,0.21428571428571427,0.3333333333333333,0.6808510638297872,0.5012414893617021,0.50785,0.5006571428571428,0.061224489795918366,0.12,0.05714285714285714,0.2,10.078260869565218,24.508333333333336,0.28619528619528617,2.0,2.0,,2.0,3.0,1.0,3.0,1.0,,3.0,,3.0,4.0,,3.0,,1.0,6.0,12.0,,,1.0,3.0,4.0,,1.0,,,,1.0,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.13043478260869565,0.125,,0.2,0.25,0.2727272727272727,0.2727272727272727,1.0,0.07692307692307693,0.07692307692307693,1.0,0.75,,,0.21428571428571427,0.3333333333333333,0.21428571428571427,,0.07692307692307693,,,2.0,,2.0,,,0.5,0.2,,,,,,,True,,,,,,
201946,1610612761,Tyler Hansbrough,Tyler Hansbrough,201946,TOR,591.0,10.0,-9.0,19,18.0,8,10.0,1.0,37,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,4.0,26.0,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,4.0,,,1.0,,2.0,,,1.0,,,,,,,2.0,8,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,14.285714285714286,,,,0.2,,,,0.14285714285714285,,,0.5,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.6025,,,,,0.5,0.5,1.6,,0.42105263157894735,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,
202335,1610612761,Patrick Patterson,Patrick Patterson,202335,TOR,3698.0,62.0,20.0,122,115.0,59,53.0,11.0,237,4.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,,8.0,10.0,2.0,6.0,25.0,130.0,2.0,3.0,6.0,1.0,1.0,6.0,11.0,12.0,4.0,2.0,,2.0,2.0,4.0,1.0,1.0,2.0,,,10.0,1.0,3.0,5.0,3.0,2.0,10.0,4.0,14.0,1.0,2.0,1.0,2.0,,1.0,,2.0,,1.0,,3.0,,,5.0,,6.0,,,3.0,1.0,1.0,1.0,1.0,,,11.0,59,2.0,3.0,0.75,0.8571428571428571,0.8,0.6666666666666666,1.0,0.7916666666666666,0.6666666666666666,1.25,0.8333333333333334,0.75,1.1,0.16666666666666666,12.686567164179104,1.0,0.6666666666666666,0.10714285714285714,0.1111111111111111,0.25,0.07142857142857142,0.16666666666666666,0.0975609756097561,0.08333333333333333,0.14285714285714285,0.125,,,0.18181818181818182,0.1,0.29411764705882354,,0.3333333333333333,1.0,0.4166666666666667,0.8,0.8,0.5,0.3333333333333333,0.75,0.75,1.0,0.08333333333333333,0.16666666666666666,,1.0,0.6666666666666666,0.5,1.0,0.5833333333333334,0.5059833333333333,0.5566666666666666,0.582925,,,0.24,0.44,7.19,22.75,0.48360655737704916,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,1.0,1.0,3.0,,,,,,,,1.0,,,1.0,0.5,,1.0,0.5,,,,1.0,1.0,0.5,0.5,1.0,,,,,,,0.5,1.0,,,,,,1.0,,,,,1.0,,2.0,,0.2,,,,True,,,,,,
202349,1610612761,Greivis Vasquez,Greivis Vasquez,202349,TOR,2666.0,44.0,17.0,89,82.0,52,49.0,8.0,171,2.0,3.0,,1.0,2.0,3.0,2.0,5.0,,1.0,5.0,4.0,8.0,6.0,2.0,10.0,91.0,,2.0,,3.0,6.0,,6.0,4.0,4.0,,5.0,8.0,2.0,10.0,1.0,1.0,6.0,2.0,,22.0,,,2.0,4.0,1.0,7.0,1.0,8.0,,,,,,,,,,2.0,,5.0,,,4.0,1.0,4.0,,1.0,1.0,,,,,,,6.0,52,1.0,1.0,0.5,0.5,0.5,,0.5,0.2857142857142857,,0.375,0.3125,,0.3333333333333333,0.42857142857142855,15.841584158415841,,0.3333333333333333,0.26666666666666666,,0.125,,0.1935483870967742,,,,,,0.25,0.3333333333333333,0.2,0.06666666666666667,1.0,,,0.21428571428571427,0.6666666666666666,1.0,0.5,0.35714285714285715,0.4,0.4,0.5,,0.07142857142857142,0.35714285714285715,0.5,,0.375,0.6666666666666666,0.6428571428571429,0.47649642857142854,0.4652,0.43988125,0.06666666666666667,0.1111111111111111,,0.6,6.0125,24.78333333333333,0.5842696629213483,,,,,,,,,,,,2.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,0.125,0.3333333333333333,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,1.0,0.25,,True,,,,,,
202685,1610612761,Jonas Valanciunas,Jonas Valanciunas,202685,TOR,7210.0,120.0,-22.0,219,215.0,38,23.0,35.0,434,14.0,19.0,4.0,6.0,,2.0,5.0,12.0,3.0,,,20.0,34.0,,5.0,45.0,247.0,4.0,7.0,9.0,2.0,5.0,1.0,5.0,30.0,10.0,8.0,,,,,,,,,,,4.0,9.0,11.0,16.0,2.0,29.0,14.0,43.0,2.0,,,8.0,4.0,6.0,,12.0,4.0,4.0,1.0,9.0,3.0,1.0,13.0,,7.0,3.0,4.0,1.0,3.0,,3.0,1.0,1.0,,5.0,38,,1.0,0.75,0.9375,0.5882352941176471,0.5714285714285714,0.4,0.5882352941176471,0.5714285714285714,0.4,0.625,0.6428571428571429,0.4166666666666667,,18.6046511627907,0.6666666666666666,0.3333333333333333,0.2711864406779661,0.13636363636363635,0.28205128205128205,0.11428571428571428,0.2755102040816326,0.12871287128712872,0.10526315789473684,0.2,0.1111111111111111,0.125,0.3076923076923077,0.18181818181818182,0.3333333333333333,0.27586206896551724,0.3,0.15384615384615385,0.3333333333333333,0.5588235294117647,0.7368421052631579,0.7777777777777778,0.7142857142857143,0.35294117647058826,0.4166666666666667,0.4166666666666667,0.8,0.08823529411764706,,,0.8571428571428571,0.6666666666666666,0.4,,0.5588235294117647,0.4671823529411765,0.5793600000000001,0.45724,0.11428571428571428,0.11428571428571428,0.2,0.1111111111111111,5.285294117647059,,0.1735159817351598,2.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,0.029411764705882353,0.05263157894736842,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,2.0,,0.09090909090909091,1.0,0.125,1.0,True,,,,,,
202361,1610612761,Landry Fields,Landry Fields,202361,TOR,175.0,3.0,-10.0,7,8.0,7,7.0,1.0,15,,,,,,,,1.0,,,,,1.0,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,22.22222222222222,1.0,,,,,1.0,,0.25,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.394,,0.394,,,,,6.2,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
