EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceFG2M,PtsAssisted3s,AtRimAssists,Assisted3sPct,SecondChanceFg2Pct,OffShortMidRangeReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,Corner3Assists,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,OffThreePtRebounds,FTDefRebounds,Offensive Fouls,Technical Free Throw Trips,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ThreePtShootingFoulsDrawn,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,Travels,on,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations
101145,1610612742,Monta Ellis,Monta Ellis,101145,DAL,6005.0,100,-39,198,201,64.0,78,24,399,10.0,15.0,5.0,5.0,4.0,6.0,5.0,16.0,1.0,1.0,4.0,13.0,1.0,1.0,3.0,19.0,37.0,4.0,14.0,12.0,62.0,235,1.0,1.0,1.0,3.0,8.0,14.0,4.0,8.0,24.0,10.0,28.0,12.0,1.0,12.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,10.0,1.0,15.0,1.0,2.0,1.0,15.0,3.0,7.0,2.0,22.0,61.0,3.0,0.2631578947368421,0.2631578947368421,0.2857142857142857,1.0,0.3076923076923077,0.5135135135135135,0.5714285714285714,0.49019607843137253,0.75,0.4444444444444444,0.543859649122807,0.75,0.5714285714285714,0.27450980392156865,0.05405405405405406,0.13333333333333333,26.905829596412556,0.6666666666666666,0.03225806451612903,0.0136986301369863,0.05,0.036585365853658534,0.009900990099009901,0.03125,0.045454545454545456,0.043478260869565216,0.058823529411764705,0.04,0.29411764705882354,0.6666666666666666,0.7692307692307693,0.4,0.11764705882352941,0.6666666666666666,0.6666666666666666,0.25,0.3137254901960784,0.3125,0.3125,0.0196078431372549,0.2549019607843137,0.3076923076923077,0.3076923076923077,0.5,1.0,0.2777777777777778,1.0,0.05555555555555555,0.16666666666666666,0.5686274509803921,0.3333333333333333,0.49428,0.55575,0.4501138888888889,0.12727272727272726,0.17073170731707318,0.04838709677419355,0.3870967741935484,10.127027027027026,27.92857142857142,0.32323232323232326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
101181,1610612742,Jose Calderon,Jose Calderon,101181,DAL,2216.0,37,20,78,73,20.0,36,14,151,,1.0,,,,,2.0,3.0,1.0,,,4.0,,1.0,,2.0,4.0,1.0,5.0,,7.0,83,1.0,,1.0,2.0,,,,,,2.0,2.0,,,4.0,,,2.0,1.0,3.0,1.0,,1.0,7.0,1.0,3.0,,3.0,1.0,4.0,,,,,,,,,,,,,3.0,,4.0,,,,,,,,,,,20.0,,0.5,0.5,0.2,,0.2,0.5,,0.3888888888888889,0.5,,0.3888888888888889,0.5,,0.5555555555555556,,,9.782608695652174,,,0.041666666666666664,0.42857142857142855,0.11538461538461539,0.02702702702702703,,,,0.5,,0.1111111111111111,,,,,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.4444444444444444,,,0.5,,,,,,0.6666666666666666,,0.5161833333333333,0.48235,,,,0.2857142857142857,,13.2,24.8,0.2564102564102564,1.0,1.0,3.0,1.0,1.0,1.0,0.1111111111111111,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1713,1610612742,Vince Carter,Vince Carter,1713,DAL,8341.0,139,25,276,272,69.0,80,36,548,5.0,10.0,1.0,3.0,4.0,11.0,6.0,12.0,4.0,1.0,7.0,14.0,2.0,3.0,2.0,15.0,33.0,10.0,18.0,9.0,69.0,286,4.0,2.0,3.0,12.0,1.0,5.0,3.0,3.0,11.0,10.0,20.0,6.0,,14.0,7.0,1.0,11.0,1.0,12.0,,2.0,5.0,25.0,4.0,4.0,10.0,14.0,4.0,18.0,1.0,,,,5.0,,,1.0,5.0,6.0,,,3.0,,7.0,,17.0,1.0,2.0,,12.0,,5.0,1.0,11.0,66.0,,0.3333333333333333,0.35714285714285715,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.45454545454545453,0.2,0.5882352941176471,0.8571428571428571,0.5,0.6052631578947368,0.8571428571428571,0.55,0.35294117647058826,0.030303030303030304,,20.12779552715655,0.8333333333333334,0.12987012987012986,0.044444444444444446,0.12121212121212122,0.12727272727272726,0.031496062992125984,0.02564102564102564,0.03571428571428571,0.1724137931034483,0.14814814814814814,0.04,0.19607843137254902,0.5,0.5,,0.21568627450980393,0.36363636363636365,0.4,,0.23529411764705882,0.5,0.5,0.0784313725490196,0.27450980392156865,0.5,0.5,0.42857142857142855,0.6666666666666666,0.375,0.3333333333333333,0.125,0.25,0.5490196078431373,0.5,0.47539607843137255,0.50398,0.47141875,0.08928571428571429,0.13157894736842105,0.17391304347826086,0.15942028985507245,10.281818181818181,24.644444444444446,0.25,3.0,3.0,24.0,4.0,0.8,0.75,0.07407407407407407,0.8333333333333334,0.75,0.75,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.09090909090909091,0.041666666666666664,0.2,1.0,0.7142857142857143,0.2857142857142857,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,8467.0,141,1,274,266,63.0,78,32,540,7.0,8.0,3.0,3.0,10.0,20.0,16.0,35.0,3.0,,,6.0,,1.0,2.0,33.0,63.0,,9.0,16.0,82.0,302,4.0,,1.0,9.0,8.0,12.0,2.0,7.0,23.0,28.0,38.0,,,6.0,,,5.0,1.0,6.0,1.0,1.0,,13.0,2.0,9.0,16.0,28.0,4.0,32.0,,3.0,2.0,1.0,6.0,,3.0,5.0,3.0,11.0,,1.0,5.0,,11.0,1.0,23.0,,1.0,1.0,18.0,1.0,7.0,2.0,23.0,63.0,,0.42424242424242425,0.45161290322580644,,,,0.5238095238095238,0.6666666666666666,0.4583333333333333,0.4,0.5714285714285714,0.50625,0.5625,0.6470588235294118,0.125,,,29.545454545454543,0.5454545454545454,0.21052631578947367,0.023529411764705882,0.2647058823529412,0.22727272727272727,0.031746031746031744,0.05263157894736842,0.16129032258064516,0.17857142857142858,0.17857142857142858,,0.1111111111111111,0.875,0.875,0.2857142857142857,0.2777777777777778,0.5,0.5,0.3,0.4861111111111111,0.45714285714285713,0.45714285714285713,0.041666666666666664,0.08333333333333333,,,0.2,,0.21428571428571427,1.0,,0.14285714285714285,0.2361111111111111,,0.43909295774647894,0.4908333333333334,0.4714807692307693,0.08974358974358974,0.10144927536231885,0.10975609756097561,0.2804878048780488,13.420634920634921,25.68888888888889,0.22992700729927007,,2.0,,4.0,,0.5,,0.5625,,,,1.0,2.0,,,,4.0,,1.0,3.0,3.0,3.0,2.0,2.0,,,,0.35294117647058826,0.6666666666666666,,0.4,0.5,,,,5.0,2.0,3.0,2.0,1.0,0.3333333333333333,0.04878048780487805,0.0625,0.6666666666666666,,,,,,,,,,,,,,,True,,
2734,1610612742,Devin Harris,Devin Harris,2734,DAL,10566.0,176,-4,342,344,84.0,109,45,686,9.0,16.0,4.0,5.0,5.0,9.0,6.0,16.0,2.0,1.0,11.0,23.0,,,7.0,20.0,41.0,11.0,25.0,7.0,80.0,380,2.0,,,6.0,8.0,12.0,8.0,3.0,28.0,2.0,38.0,24.0,2.0,21.0,11.0,3.0,19.0,8.0,27.0,3.0,6.0,4.0,62.0,1.0,3.0,13.0,16.0,1.0,17.0,1.0,2.0,2.0,,8.0,1.0,7.0,3.0,1.0,11.0,,2.0,3.0,2.0,13.0,,12.0,,2.0,1.0,8.0,1.0,3.0,,28.0,81.0,1.0,0.05,0.05,0.44,,0.4782608695652174,0.4878048780487805,0.6666666666666666,0.553030303030303,1.0,0.625,0.5797101449275363,1.0,0.6666666666666666,0.3787878787878788,0.07317073170731707,0.0625,20.512820512820515,0.7272727272727273,0.13131313131313133,0.008771929824561403,0.075,0.11510791366906475,0.006097560975609756,,0.02702702702702703,0.21052631578947367,0.08823529411764706,0.034482758620689655,0.24242424242424243,0.5625,0.6,0.1111111111111111,0.13636363636363635,0.5555555555555556,0.625,,0.24242424242424243,0.375,0.4,0.030303030303030304,0.3484848484848485,0.4782608695652174,0.4782608695652174,,,0.25,0.8,0.05,0.35,0.6212121212121212,0.5238095238095238,0.48451328125,,0.4911078947368421,0.057971014492753624,0.06976744186046512,0.075,0.35,9.629268292682926,26.968000000000004,0.24561403508771928,,2.0,9.0,9.0,0.2727272727272727,1.0,,,,,,2.0,2.0,,3.0,3.0,,5.0,,2.0,,2.0,1.0,,0.375,0.1111111111111111,0.03225806451612903,0.16666666666666666,0.5,0.2727272727272727,1.0,1.0,,,0.42857142857142855,2.0,,,2.0,,,,,,1.0,2.0,0.0625,0.5,0.038461538461538464,,,,,,,,,,True,,
201148,1610612742,Brandan Wright,Brandan Wright,201148,DAL,4135.0,69,-1,132,131,25.0,41,16,263,7.0,7.0,1.0,1.0,4.0,5.0,,1.0,,,,,,,,11.0,13.0,,,3.0,25.0,138,2.0,,,4.0,2.0,3.0,,1.0,5.0,16.0,6.0,,,,,,5.0,,5.0,,,4.0,10.0,2.0,1.0,3.0,5.0,5.0,10.0,,2.0,1.0,1.0,2.0,,1.0,,1.0,2.0,2.0,2.0,4.0,,6.0,,4.0,,,,6.0,2.0,3.0,1.0,5.0,25.0,,0.7272727272727273,0.8888888888888888,,,,0.8461538461538461,0.6666666666666666,0.8461538461538461,1.0,0.6666666666666666,0.8333333333333334,1.0,0.625,,,,11.564625850340136,1.0,0.07317073170731707,0.04878048780487805,0.05555555555555555,0.06779661016949153,0.08064516129032258,0.06666666666666667,0.08333333333333333,0.11764705882352941,0.06666666666666667,,0.5384615384615384,1.0,1.0,0.7142857142857143,0.38461538461538464,0.8,0.8,0.75,0.07692307692307693,,,,,,,,,0.3333333333333333,1.0,,,0.5384615384615384,,0.4645846153846154,0.4379,0.3997,0.21428571428571427,0.21428571428571427,0.16,0.2,5.338461538461539,,0.1893939393939394,,2.0,,1.0,,1.0,,,,,,2.0,2.0,,,,4.0,,,6.0,5.0,6.0,3.0,1.0,,,0.07692307692307693,,0.5,,1.0,1.0,,,,,3.0,1.0,,,0.5,0.14285714285714285,0.17647058823529413,,,,,,,1.0,1.0,,,,,,,,True,,
203109,1610612742,Jae Crowder,Jae Crowder,203109,DAL,4348.0,72,4,136,141,14.0,25,21,277,3.0,4.0,,,,1.0,,2.0,3.0,,1.0,3.0,,1.0,,3.0,7.0,3.0,6.0,,15.0,150,1.0,,1.0,,,2.0,,,,6.0,,3.0,,3.0,1.0,2.0,1.0,,1.0,,,,2.0,3.0,4.0,2.0,6.0,4.0,10.0,,2.0,2.0,,2.0,,1.0,1.0,1.0,3.0,1.0,,6.0,,13.0,,1.0,,1.0,,,,,,,13.0,,1.0,1.0,0.5,,0.5,0.42857142857142855,,0.5769230769230769,,,0.5769230769230769,,,0.46153846153846156,0.2857142857142857,0.25,10.0,0.6666666666666666,0.06060606060606061,0.06382978723404255,0.2,0.11320754716981132,0.06153846153846154,0.1,0.08333333333333333,0.06666666666666667,0.17647058823529413,,0.3076923076923077,0.75,1.0,1.0,0.07692307692307693,,,,0.15384615384615385,,,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.5,,,,,,0.7692307692307693,0.3333333333333333,0.5283038461538462,0.40525,0.29545,,,,,7.014285714285713,24.55,0.10294117647058823,2.0,,6.0,1.0,0.6666666666666666,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,0.08333333333333333,,1.0,,,,,,,,1.0,,,,,0.05555555555555555,0.09090909090909091,0.3333333333333333,,,,,,,,1.0,,,,,,,True,,
2223,1610612742,Samuel Dalembert,Samuel Dalembert,2223,DAL,1369.0,23,-19,38,43,2.0,11,6,81,,4.0,,,,1.0,,,,,,,,,,,5.0,,,2.0,2.0,60,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,5.0,2.0,4.0,8.0,5.0,13.0,1.0,,,,1.0,,1.0,,,1.0,,,,,1.0,,2.0,,,,4.0,,2.0,,,2.0,,,,,,,,,,,,0.14285714285714285,,,,0.6,0.5,17.391304347826086,1.0,0.3333333333333333,0.3125,0.5,0.375,0.21739130434782608,,0.4,0.2,0.6666666666666666,0.5,0.8,,,,0.2,,,,,,,,,,,,,,,,,0.8,,0.48624,0.486575,,0.2857142857142857,0.2857142857142857,,,2.5,,0.05263157894736842,,,,,,,0.16666666666666666,,,,,,3.0,,,,,,,,,,,,,1.0,0.6666666666666666,0.5,,,0.75,,,,,,,2.0,,,0.6666666666666666,,,,,,,,,,,,,,,,,,True,,
201961,1610612742,Wayne Ellington,Wayne Ellington,201961,DAL,189.0,3,-1,5,5,,5,1,10,,,,,,,,,2.0,,,,,,,,,,2.0,,,4,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,28.57142857142857,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,0.5478000000000001,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,True,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,3272.0,55,-26,103,115,36.0,42,15,218,2.0,5.0,1.0,2.0,1.0,6.0,,,2.0,,,2.0,,,1.0,3.0,11.0,,4.0,2.0,8.0,130,4.0,,1.0,4.0,2.0,3.0,1.0,1.0,5.0,4.0,2.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,5.0,3.0,2.0,5.0,7.0,6.0,13.0,1.0,,,,1.0,,,1.0,1.0,2.0,,1.0,3.0,,5.0,,3.0,,,,4.0,,1.0,1.0,4.0,33.0,,0.6666666666666666,1.0,,,,0.2727272727272727,0.6666666666666666,0.2,0.2,0.5,0.23529411764705882,0.2857142857142857,0.5,0.26666666666666666,0.09090909090909091,0.2,16.10169491525424,0.5,0.1282051282051282,0.07692307692307693,0.18181818181818182,0.14,0.07142857142857142,0.058823529411764705,0.09090909090909091,0.125,0.2,0.09090909090909091,0.3333333333333333,0.4,0.5,0.5,0.4,0.16666666666666666,0.16666666666666666,1.0,,,,0.13333333333333333,0.13333333333333333,,,,,0.5,0.5,,0.25,0.6,,0.5114933333333334,0.52251,0.535825,0.0625,0.08333333333333333,0.5,0.625,5.781818181818182,23.374999999999996,0.34951456310679613,,1.0,,,,0.25,,,,,,1.0,2.0,,,,2.0,,1.0,1.0,,1.0,,,,,0.18181818181818182,0.16666666666666666,,,0.4,0.5,,,,2.0,1.0,,1.0,,,0.058823529411764705,,,,,,,,1.0,,,1.0,0.2,2.0,0.2857142857142857,0.3333333333333333,,True,,
