EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,OffThreePtRebounds,Charge Fouls Drawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3PctBlocked,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,HeaveAttempts,on,BlockedLongMidRange,Clear Path Fouls,HeaveMakes
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,28326.0,472.0,76.0,935,933.0,319.0,242.0,129.0,1868,24.0,40.0,1.0,4.0,8.0,17.0,12.0,37.0,24.0,50.0,3.0,5.0,1.0,1.0,29.0,65.0,3.0,9.0,10.0,24.0,60.0,127.0,32.0,70.0,41.0,257.0,1034.0,5.0,14.0,3.0,9.0,3.0,22.0,17.0,43.0,11.0,25.0,17.0,84.0,10.0,110.0,33.0,63.0,4.0,65.0,29.0,6.0,99.0,35.0,134.0,23.0,12.0,45.0,19.0,35.0,303.0,12.0,16.0,25.0,2.0,43.0,12.0,55.0,7.0,37.0,17.0,20.0,21.0,5.0,16.0,18.0,3.0,5.0,2.0,39.0,3.0,13.0,17.0,1.0,50.0,6.0,2.0,2.0,57.0,2.0,8.0,1.0,53.0,3.0,2.0,9.0,4.0,12.0,80.0,312.0,9.0,7.0,0.08333333333333333,0.08620689655172414,0.34375,0.45714285714285713,0.3333333333333333,0.44,0.45714285714285713,0.47244094488188976,0.35714285714285715,0.3953488372093023,0.5482233502538071,0.41304347826086957,0.49264705882352944,0.5821917808219178,0.44,0.525,0.3553299492385787,0.047244094488188976,0.075,0.08108108108108109,23.664825046040516,0.5384615384615384,0.08,0.09363295880149813,0.043478260869565216,0.12121212121212122,0.10275689223057644,0.027906976744186046,0.053763440860215055,0.07692307692307693,0.009523809523809525,0.1,0.08247422680412371,0.1,0.13333333333333333,0.09523809523809523,0.07291666666666667,0.20304568527918782,0.6,0.6486486486486487,0.08333333333333333,0.18781725888324874,0.32432432432432434,0.35294117647058826,0.08333333333333333,0.25380710659898476,0.48,0.48,0.08333333333333333,0.025380710659898477,0.6,0.6,0.3333333333333333,0.3299492385786802,0.4461538461538462,0.4461538461538462,0.3448275862068966,0.17391304347826086,0.25,0.391304347826087,0.3333333333333333,0.6666666666666666,0.25,0.47058823529411764,0.014705882352941176,1.0,0.35294117647058826,0.4166666666666667,0.5583756345177665,0.4461538461538462,0.45647766497461933,0.44928888888888896,0.44174117647058825,0.06280193236714976,0.06766917293233082,0.05405405405405406,0.08560311284046693,0.32684824902723736,10.253543307086613,25.754285714285714,0.3411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101122,1610612746,Danny Granger,Danny Granger,101122,LAC,2935.0,49.0,31.0,95,94.0,34.0,33.0,12.0,189,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,6.0,1.0,1.0,,1.0,1.0,2.0,1.0,7.0,,5.0,84.0,1.0,1.0,1.0,1.0,,5.0,,,,2.0,,,,2.0,3.0,,2.0,6.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,1.0,,4.0,1.0,5.0,2.0,7.0,,,,,,,,,,,,,,,2.0,1.0,5.0,,,,1.0,1.0,,,,,,,,,,34.0,1.0,,,,1.0,0.14285714285714285,1.0,,0.14285714285714285,0.5,1.0,,0.2777777777777778,1.25,,0.2777777777777778,1.25,,0.7777777777777778,0.5,,1.0,8.333333333333332,,1.0,0.1111111111111111,0.04,,0.08333333333333333,0.021739130434782608,0.125,,,0.2222222222222222,0.06666666666666667,0.08333333333333333,,,,0.1111111111111111,1.0,1.0,,0.1111111111111111,,,,,,,,0.1111111111111111,,,,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,0.5,1.0,1.0,,,0.5,,0.5,,0.8888888888888888,0.16666666666666666,0.5165666666666666,0.58465,0.48675,,,,1.0,,4.5,25.057142857142857,0.35789473684210527,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,18801.0,313.0,78.0,626,621.0,197.0,144.0,88.0,1247,9.0,14.0,1.0,1.0,,2.0,8.0,16.0,15.0,34.0,8.0,15.0,1.0,4.0,14.0,40.0,1.0,6.0,6.0,14.0,32.0,64.0,22.0,55.0,24.0,154.0,683.0,5.0,6.0,2.0,9.0,,16.0,3.0,10.0,7.0,18.0,13.0,40.0,60.0,4.0,66.0,,,40.0,14.0,3.0,12.0,5.0,17.0,3.0,2.0,11.0,,1.0,39.0,3.0,7.0,6.0,4.0,17.0,4.0,21.0,,10.0,6.0,4.0,4.0,4.0,4.0,8.0,,,2.0,12.0,2.0,3.0,6.0,,19.0,,,1.0,19.0,,3.0,,25.0,,9.0,4.0,,4.0,34.0,192.0,2.0,1.0,0.9375,0.9375,1.0,0.4,0.2222222222222222,0.3888888888888889,0.4,0.5,0.8333333333333334,0.3,0.5462184873949579,0.5333333333333333,0.48214285714285715,0.5708661417322834,0.5333333333333333,0.5588235294117647,0.46218487394957986,0.046875,0.14285714285714285,,19.015047879616965,0.3333333333333333,0.2,0.034482758620689655,0.016304347826086956,0.07954545454545454,0.04961832061068702,0.014388489208633094,0.016129032258064516,0.02127659574468085,0.013333333333333334,0.029850746268656716,0.017241379310344827,0.061224489795918366,0.07017543859649122,0.0967741935483871,,0.11764705882352941,0.6428571428571429,0.75,0.8888888888888888,0.13445378151260504,0.5,0.5,0.875,0.2857142857142857,0.4411764705882353,0.45454545454545453,1.0,0.12605042016806722,0.5333333333333333,0.5333333333333333,1.0,0.33613445378151263,0.35,0.358974358974359,1.0,0.06666666666666667,1.0,0.4,0.16666666666666666,1.0,0.07142857142857142,,0.14285714285714285,0.25,0.5,0.42857142857142855,0.5798319327731093,0.35,0.4826668067226891,0.50265,0.4775642857142858,0.032520325203252036,0.058823529411764705,,0.1038961038961039,0.2597402597402597,12.921875,25.316363636363636,0.3146964856230032,,,1.0,3.0,1.0,1.0,3.0,0.01818181818181818,0.029411764705882353,0.025,0.010638297872340425,0.013888888888888888,1.0,0.2,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,True,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,23027.0,384.0,36.0,749,754.0,228.0,167.0,100.0,1503,42.0,56.0,15.0,24.0,12.0,15.0,2.0,4.0,,,,,,,,,,,,,44.0,60.0,,,30.0,118.0,840.0,15.0,25.0,,,12.0,42.0,12.0,16.0,,,18.0,42.0,68.0,20.0,,,20.0,,,2.0,6.0,2.0,8.0,2.0,,3.0,1.0,2.0,18.0,28.0,23.0,71.0,7.0,101.0,37.0,138.0,3.0,10.0,8.0,2.0,4.0,1.0,3.0,14.0,1.0,1.0,1.0,18.0,,6.0,18.0,,37.0,1.0,8.0,5.0,47.0,8.0,1.0,,66.0,6.0,,21.0,,15.0,42.0,226.0,4.0,6.0,0.7727272727272727,1.0,,,,,,0.7333333333333333,0.6,0.75,0.7333333333333333,0.6,0.75,0.6555555555555556,0.5833333333333334,0.6176470588235294,,0.03333333333333333,0.017857142857142856,0.25,12.456747404844291,0.2222222222222222,0.3888888888888889,0.32272727272727275,0.12389380530973451,0.2169811320754717,0.2883435582822086,0.10914454277286136,0.13333333333333333,0.15625,0.09195402298850575,0.25333333333333335,0.3026315789473684,0.42028985507246375,0.208955223880597,0.23076923076923078,0.21428571428571427,0.9333333333333333,0.75,0.7636363636363637,0.7619047619047619,0.06666666666666667,0.5,0.6666666666666666,1.0,,,,,,,,,,,,,0.96,0.625,,,,0.9375,0.8,,,,,0.9333333333333333,,0.5371633333333333,0.5463818181818181,0.5334125,0.28,0.28,,0.3559322033898305,0.3559322033898305,2.0966666666666667,,0.30440587449933243,,,,,,9.0,1.0,,,,0.07964601769911504,0.058823529411764705,0.3333333333333333,,,,1.0,29.0,21.0,8.0,29.0,14.0,2.0,3.0,1.0,0.14285714285714285,0.4827586206896552,,,,,,,True,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,23999.0,400.0,61.0,782,784.0,252.0,195.0,113.0,1566,58.0,91.0,11.0,19.0,21.0,33.0,16.0,36.0,29.0,66.0,1.0,3.0,,1.0,,3.0,,,,1.0,103.0,193.0,1.0,6.0,64.0,273.0,877.0,14.0,23.0,1.0,2.0,4.0,35.0,29.0,53.0,,2.0,30.0,88.0,138.0,68.0,3.0,,16.0,3.0,,10.0,28.0,15.0,43.0,11.0,4.0,21.0,2.0,5.0,101.0,24.0,20.0,24.0,2.0,46.0,30.0,76.0,9.0,11.0,6.0,5.0,15.0,1.0,6.0,11.0,1.0,9.0,1.0,26.0,3.0,8.0,15.0,1.0,42.0,1.0,4.0,6.0,80.0,7.0,4.0,,88.0,10.0,,37.0,,12.0,88.0,246.0,3.0,10.0,0.6699029126213593,0.7263157894736842,1.0,0.16666666666666666,0.5,,0.16666666666666666,0.533678756476684,0.6086956521739131,0.5471698113207547,0.5251256281407035,0.62,0.5272727272727272,0.5735294117647058,0.625,0.6027397260273972,0.03015075376884422,0.05181347150259067,0.06593406593406594,0.1111111111111111,28.884026258205687,0.5769230769230769,0.09523809523809523,0.11059907834101383,0.10084033613445378,0.1694915254237288,0.13134328358208955,0.07458563535911603,0.1728395061728395,0.11290322580645161,0.031578947368421054,0.14666666666666667,0.12987012987012986,0.046153846153846156,0.1625,0.18421052631578946,0.10714285714285714,0.457286432160804,0.6373626373626373,0.6823529411764706,0.6896551724137931,0.18090452261306533,0.4444444444444444,0.5,0.5,0.3316582914572864,0.4393939393939394,0.4393939393939394,0.7241379310344828,0.01507537688442211,0.3333333333333333,0.3333333333333333,1.0,0.01507537688442211,,,,0.76,0.5789473684210527,,,,0.6,0.6363636363636364,0.01818181818181818,,0.01818181818181818,,0.48743718592964824,,0.4699233668341708,0.5037272727272728,0.48738636363636356,0.16371681415929204,0.16818181818181818,,0.1282051282051282,0.32234432234432236,8.49533678756477,24.783333333333335,0.32225063938618925,3.0,0.08823529411764706,1.0,2.0,,3.0,2.0,,,,0.024193548387096774,0.02197802197802198,0.2727272727272727,0.08,0.5,1.0,,11.0,7.0,4.0,11.0,6.0,,1.0,,0.030303030303030304,0.5454545454545454,,,,,,,True,,,
2045,1610612746,Hedo Turkoglu,Hedo Turkoglu,2045,LAC,726.0,12.0,2.0,20,22.0,,,4.0,42,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,2.0,,3.0,17.0,,1.0,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,0.5,,,0.5,,,,0.5,,,0.5,,,0.6666666666666666,,,,12.5,,,0.16666666666666666,,0.25,0.2,,,,,,0.25,,0.25,,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,0.6666666666666666,,0.4771833333333333,0.4054,,,,,,,18.7,25.55,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,20912.0,349.0,31.0,690,696.0,213.0,178.0,99.0,1386,14.0,22.0,4.0,6.0,3.0,6.0,4.0,12.0,6.0,10.0,6.0,22.0,2.0,11.0,10.0,27.0,1.0,2.0,3.0,7.0,24.0,44.0,16.0,49.0,11.0,107.0,771.0,4.0,8.0,2.0,6.0,,14.0,6.0,14.0,5.0,18.0,2.0,29.0,38.0,10.0,45.0,3.0,6.0,27.0,10.0,5.0,16.0,4.0,20.0,3.0,1.0,10.0,1.0,5.0,44.0,5.0,15.0,15.0,3.0,33.0,20.0,53.0,1.0,10.0,7.0,3.0,9.0,,7.0,6.0,1.0,2.0,1.0,15.0,2.0,4.0,20.0,,37.0,1.0,4.0,,16.0,2.0,3.0,,15.0,1.0,,8.0,,,29.0,208.0,2.0,,0.7916666666666666,0.9047619047619048,0.9375,0.32653061224489793,0.3333333333333333,0.2777777777777778,0.32653061224489793,0.5454545454545454,0.5,0.42857142857142855,0.5161290322580645,0.5,0.421875,0.535,0.4666666666666667,0.4264705882352941,0.5268817204301075,0.11363636363636363,0.13636363636363635,0.16666666666666666,14.162561576354681,0.6,0.14285714285714285,0.07614213197969544,0.023474178403755867,0.16483516483516483,0.10416666666666667,0.056074766355140186,0.013888888888888888,0.05263157894736842,0.011904761904761904,0.06944444444444445,0.045454545454545456,0.11864406779661017,0.1896551724137931,0.12121212121212122,0.02127659574468085,0.23655913978494625,0.6363636363636364,0.7368421052631579,0.7142857142857143,0.12903225806451613,0.3333333333333333,0.4,0.75,0.10752688172043011,0.6,0.6,1.0,0.23655913978494625,0.2727272727272727,0.2857142857142857,1.0,0.2903225806451613,0.37037037037037035,0.37037037037037035,0.9,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.5,,0.1875,0.5,0.34375,0.18181818181818182,0.21875,0.42857142857142855,0.7634408602150538,0.37037037037037035,0.5166646739130435,0.4759625,0.5009629032258064,0.08,0.1568627450980392,,0.1308411214953271,0.27102803738317754,7.004545454545456,24.5,0.30869565217391304,2.0,0.05263157894736842,1.0,4.0,1.0,13.0,1.0,0.02040816326530612,,,0.12037037037037036,0.12345679012345678,0.25,0.2857142857142857,0.25,1.0,2.0,3.0,2.0,1.0,3.0,2.0,,,,0.1111111111111111,0.6666666666666666,0.045454545454545456,,,,,,True,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,11390.0,190.0,28.0,389,380.0,184.0,126.0,51.0,769,10.0,20.0,,1.0,4.0,8.0,6.0,14.0,9.0,17.0,2.0,9.0,2.0,5.0,15.0,43.0,1.0,5.0,6.0,16.0,25.0,51.0,17.0,52.0,22.0,123.0,434.0,1.0,2.0,1.0,6.0,,5.0,8.0,18.0,8.0,21.0,8.0,48.0,18.0,32.0,42.0,9.0,,43.0,15.0,4.0,12.0,3.0,15.0,1.0,2.0,9.0,2.0,1.0,33.0,3.0,4.0,4.0,1.0,9.0,5.0,14.0,2.0,8.0,4.0,4.0,9.0,1.0,2.0,1.0,,7.0,,10.0,,4.0,5.0,2.0,18.0,,,,17.0,1.0,,,25.0,3.0,1.0,8.0,5.0,,48.0,179.0,2.0,,0.36,0.36,0.8235294117647058,0.3269230769230769,0.16666666666666666,0.38095238095238093,0.3269230769230769,0.49019607843137253,0.5,0.4444444444444444,0.49029126213592233,0.3125,0.5128205128205128,0.5495495495495496,0.3125,0.5581395348837209,0.5048543689320388,0.0784313725490196,0.1,0.14285714285714285,27.25225225225225,0.9,0.1,0.03636363636363636,0.027522935779816515,0.08,0.05,0.022099447513812154,0.02564102564102564,0.02857142857142857,0.02857142857142857,0.034482758620689655,0.06382978723404255,,0.08333333333333333,0.07142857142857142,0.03636363636363636,0.1941747572815534,0.5,0.5555555555555556,0.3,0.13592233009708737,0.42857142857142855,0.5,0.16666666666666666,0.1650485436893204,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.08737864077669903,0.2222222222222222,0.2222222222222222,1.0,0.4174757281553398,0.3488372093023256,0.35714285714285715,0.8,0.125,,0.625,0.2,1.0,0.20512820512820512,0.5,0.1282051282051282,0.4,0.41025641025641024,0.375,0.6990291262135923,0.3488372093023256,0.4605116504854368,0.46378125,0.44857051282051286,0.11711711711711711,0.14285714285714285,0.09090909090909091,0.04065040650406504,0.3902439024390244,9.52941176470588,26.05384615384615,0.4730077120822622,1.0,0.07142857142857142,,1.0,1.0,1.0,,0.019230769230769232,,0.023255813953488372,0.013888888888888888,0.018867924528301886,,0.125,,,,,,,2.0,1.0,,,,,0.5,,2.0,2.0,1.0,1.0,,True,,,
201954,1610612746,Darren Collison,Darren Collison,201954,LAC,5821.0,97.0,25.0,203,197.0,101.0,75.0,26.0,400,7.0,12.0,1.0,3.0,3.0,6.0,2.0,5.0,2.0,7.0,1.0,4.0,1.0,3.0,,4.0,,2.0,,2.0,11.0,24.0,1.0,8.0,16.0,41.0,226.0,2.0,4.0,,3.0,,4.0,4.0,9.0,1.0,5.0,15.0,26.0,12.0,10.0,3.0,,2.0,3.0,,2.0,5.0,2.0,7.0,2.0,,1.0,1.0,3.0,16.0,2.0,4.0,2.0,,6.0,3.0,9.0,,5.0,3.0,2.0,2.0,,2.0,2.0,1.0,,1.0,4.0,1.0,1.0,1.0,,5.0,,1.0,,11.0,,1.0,,19.0,,1.0,2.0,,7.0,22.0,96.0,1.0,4.0,0.5454545454545454,0.6,1.0,0.125,,0.2,0.14285714285714285,0.4583333333333333,0.5,0.4444444444444444,0.390625,0.2857142857142857,0.39285714285714285,0.4878048780487805,0.2857142857142857,0.5652173913043478,0.25,0.08333333333333333,0.08333333333333333,0.2,19.48051948051948,0.5,,0.04,0.03571428571428571,0.125,0.07317073170731707,0.03333333333333333,,0.047619047619047616,0.0625,,0.08695652173913043,,0.14814814814814814,,,0.375,0.5833333333333334,0.6363636363636364,0.5714285714285714,0.15625,0.4,0.5,0.5,0.21875,0.2857142857142857,0.2857142857142857,0.5,0.125,0.25,0.25,1.0,0.125,,,,0.42857142857142855,0.3333333333333333,0.2857142857142857,,,0.42857142857142855,0.5,0.21428571428571427,0.3333333333333333,0.14285714285714285,,0.625,,0.5207322580645162,0.5392875,0.5732357142857144,0.058823529411764705,0.07692307692307693,,0.0975609756097561,0.6341463414634146,8.608333333333333,26.9,0.4975369458128079,,,,1.0,,1.0,,,,,0.029411764705882353,0.043478260869565216,,0.14285714285714285,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,True,,,
201162,1610612746,Jared Dudley,Jared Dudley,201162,LAC,702.0,12.0,6.0,24,22.0,4.0,4.0,1.0,46,,,,,,,,,,2.0,1.0,2.0,,,,1.0,,,,,,2.0,1.0,3.0,,3.0,27.0,,1.0,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,4.0,,,,,1.0,0.3333333333333333,,,0.3333333333333333,,,,0.3,,,0.3,,,0.6,,,,20.0,,,0.14285714285714285,,,0.1,,,,,,,0.3333333333333333,,,,,,,,,,,,0.4,,,,0.4,0.5,0.5,1.0,0.2,,,,,,,,,,,,,,,0.6,,0.52138,0.426,,,,,,,16.6,24.46666666666667,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
