EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,BlockedLongMidRange,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Corner3Assists,LostBallSteals,BlockingFouls,Blocked3s,BlockedArc3,on,3SecondViolations,Defensive 3 Seconds Violations,HeaveAttempts,Travels,Technical Free Throw Trips,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,Offensive Fouls Drawn,DefensiveGoaltends,SecondChanceAtRimPctAssisted,BlockedCorner3
101135,1610612744,David Lee,David Lee,101135,GSW,927.0,15.0,4,33.0,33,12.0,17,3.0,66,3.0,6.0,2.0,1.0,3.0,1.0,3.0,7.0,6.0,39,2.0,1.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,12.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.3333333333333333,18.91891891891892,0.3333333333333333,0.18181818181818182,0.15384615384615385,0.2,0.25,0.8571428571428571,0.5,0.75,1.0,0.14285714285714285,1.0,1.0,0.3333333333333333,0.8571428571428571,0.4951,0.4276,0.4523,0.3333333333333333,2.885714285714286,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201578,1610612744,Marreese Speights,Marreese Speights,201578,GSW,4080.0,68.0,-6,135.0,132,49.0,57,28.0,267,12.0,16.0,6.0,5.0,5.0,11.0,19.0,36.0,44.0,149,8.0,7.0,12.0,15.0,32.0,2.0,2.0,3.0,1.0,,7.0,7.0,2.0,13.0,9.0,22.0,3.0,12.0,15.0,49.0,0.8421052631578947,1.0,0.5277777777777778,0.5833333333333334,0.5277777777777778,0.5833333333333334,0.5365853658536586,0.5769230769230769,0.05555555555555555,,24.85549132947977,0.3333333333333333,0.1320754716981132,0.12162162162162163,0.15789473684210525,0.09090909090909091,0.4444444444444444,0.75,0.75,0.75,0.3055555555555556,0.75,0.4166666666666667,1.0,0.4444444444444444,0.46292777777777794,0.509675,0.46926666666666667,0.3409090909090909,8.241666666666667,0.362962962962963,3.0,4.0,3.0,9.0,6.0,3.0,1.0,7.0,1.0,6.0,6.0,1.0,1.0,1.0,2.0,4.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,12.0,2.0,7.0,4.0,2.0,2.0,4.0,4.0,4.0,0.375,0.375,0.3888888888888889,0.18181818181818182,0.5,0.1590909090909091,0.19047619047619047,0.09523809523809523,0.16923076923076924,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.18181818181818182,0.26666666666666666,0.05555555555555555,0.1875,0.2,0.13333333333333333,1.0,0.36363636363636365,0.4444444444444444,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.17073170731707318,0.17073170731707318,0.1590909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201939,1610612744,Stephen Curry,Stephen Curry,201939,GSW,2522.0,42.0,12,85.0,81,27.0,38,17.0,166,2.0,4.0,,1.0,2.0,2.0,4.0,8.0,23.0,86,1.0,2.0,3.0,13.0,,1.0,6.0,6.0,2.0,,12.0,2.0,,6.0,3.0,9.0,,1.0,13.0,27.0,,,0.5,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.71875,0.8125,0.125,0.25,19.444444444444443,,0.06060606060606061,0.06521739130434782,0.08333333333333333,0.06666666666666667,0.26666666666666666,0.5,0.6666666666666666,,0.13333333333333333,,0.2857142857142857,0.5,0.7333333333333333,0.4870900000000001,0.52325,0.4720928571428571,0.5652173913043478,7.4,0.3176470588235294,,1.0,1.0,2.0,3.0,1.0,1.0,6.0,3.0,8.0,,,,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,,5.0,2.0,1.0,,,5.0,,3.0,,,,,,,,,1.0,1.25,1.5,,0.6,0.1,0.375,0.07692307692307693,0.15789473684210525,,0.125,,0.14285714285714285,0.18181818181818182,,0.42857142857142855,,0.16666666666666666,,0.5,0.5,,0.13333333333333333,0.5,0.5,,,0.06666666666666667,,0.2608695652173913,1.0,4.0,6.0,1.0,1.0,2.0,4.0,4.0,7.0,1.0,1.0,2.0,4.0,3.0,9.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5714285714285714,1.0,0.5,0.5714285714285714,0.4666666666666667,0.06666666666666667,0.4,0.6666666666666666,0.6666666666666666,0.25,0.5,1.0,0.5714285714285714,0.5,0.6666666666666666,0.14285714285714285,25.914285714285715,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
202691,1610612744,Klay Thompson,Klay Thompson,202691,GSW,2321.0,39.0,-10,74.0,74,21.0,32,10.0,148,1.0,3.0,1.0,,1.0,3.0,4.0,10.0,14.0,94,2.0,1.0,4.0,8.0,6.0,,5.0,5.0,5.0,,10.0,1.0,,5.0,1.0,6.0,1.0,1.0,8.0,21.0,0.75,0.75,0.4,0.25,0.4583333333333333,0.5,0.5,0.5714285714285714,,,20.689655172413794,,0.03571428571428571,0.02857142857142857,0.1,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,0.2,,0.4166666666666667,0.47047083333333334,0.61845,0.45427,0.5714285714285714,11.5,0.28378378378378377,,,3.0,4.0,3.0,,1.0,4.0,3.0,2.0,,,,,,,5.0,,,,3.0,1.0,2.0,4.0,,1.0,,,4.0,,4.0,,1.0,1.0,,,1.0,,,,0.5,0.5,,0.75,0.23809523809523808,,,0.16666666666666666,,,,0.3333333333333333,0.2,0.25,,,,,,,,0.3333333333333333,0.75,0.75,0.6666666666666666,,0.07692307692307693,0.09090909090909091,0.2857142857142857,2.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,,,,,,,,,,,23.549999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,True,,,,,,,,,,,,
203084,1610612744,Harrison Barnes,Harrison Barnes,203084,GSW,2549.0,42.0,6,88.0,86,40.0,32,23.0,174,1.0,4.0,2.0,,3.0,2.0,4.0,10.0,16.0,84,3.0,3.0,7.0,8.0,4.0,1.0,,,,,,2.0,,8.0,4.0,12.0,2.0,3.0,8.0,40.0,0.5,0.6666666666666666,0.4,0.42857142857142855,0.4117647058823529,0.3333333333333333,0.4444444444444444,0.4,0.1,0.25,16.528925619834713,,0.05128205128205128,0.07272727272727272,0.06666666666666667,,0.23529411764705882,0.25,0.3333333333333333,1.0,0.11764705882352941,0.6666666666666666,0.3333333333333333,,0.6470588235294118,0.4948794117647059,0.4722,0.44355,0.5,8.739999999999998,0.45454545454545453,,,3.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,,,,2.0,4.0,4.0,1.0,,,1.0,1.0,1.0,2.0,,,,,3.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.5,,0.5,0.12903225806451613,0.23529411764705882,0.125,0.16666666666666666,0.1111111111111111,0.16666666666666666,,0.1111111111111111,0.1,0.16666666666666666,0.23076923076923078,0.25,0.1,,,,,0.23529411764705882,0.75,0.75,0.3333333333333333,,0.05555555555555555,0.09090909090909091,0.25,4.0,1.0,3.0,,,,1.0,2.0,7.0,,,,2.0,6.0,,3.0,1.0,,,,,,,,,1.0,0.2857142857142857,,,0.2857142857142857,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,,0.1111111111111111,,0.3333333333333333,,24.514285714285716,1.0,,,,1.0,,,,0.25,0.25,1.0,,,,0.1111111111111111,,,,,,,True,,,,,,,,,,,,
203110,1610612744,Draymond Green,Draymond Green,203110,GSW,1786.0,30.0,-1,62.0,58,22.0,29,10.0,120,,1.0,,,,1.0,1.0,2.0,2.0,63,,1.0,1.0,2.0,,,3.0,4.0,1.0,2.0,9.0,2.0,2.0,8.0,3.0,11.0,,3.0,2.0,22.0,,,0.5,1.0,0.125,0.3333333333333333,0.125,0.3333333333333333,,,13.924050632911392,0.6666666666666666,0.09090909090909091,0.08571428571428572,,0.25,0.125,,,,0.125,,,,0.875,0.51364375,,0.4713,1.0,7.3999999999999995,0.3548387096774194,,1.0,,,,,,,,2.0,,1.0,,,1.0,1.0,5.0,,,,1.0,2.0,1.0,3.0,,1.0,,2.0,1.0,,,,,2.0,2.0,,2.0,,,,,,,0.3333333333333333,0.2631578947368421,0.1111111111111111,0.07692307692307693,0.21428571428571427,,0.09090909090909091,,,0.2,0.5,,0.2,,,1.0,1.0,,,,,,,,,,1.0,,5.0,,1.0,,2.0,,6.0,,1.0,,2.0,,,5.0,,,,,,,,,,,,,,,0.75,0.125,0.625,,,,1.0,,0.6666666666666666,,,,25.233333333333334,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,
2738,1610612744,Andre Iguodala,Andre Iguodala,2738,GSW,1867.0,31.0,-3,58.0,59,10.0,34,9.0,117,2.0,3.0,,,,2.0,3.0,5.0,9.0,70,,,,,4.0,1.0,5.0,8.0,2.0,3.0,19.0,,,3.0,,3.0,2.0,3.0,,10.0,0.6666666666666666,0.6666666666666666,0.6,,0.6,,0.6428571428571429,,0.2,,13.432835820895521,,,,,,0.6,0.6666666666666666,0.6666666666666666,0.5,0.4,,,,0.6,0.49298000000000003,,,,3.6399999999999997,0.1724137931034483,,1.0,,,3.0,,,,,2.0,,3.0,1.0,,,1.0,2.0,,2.0,1.0,2.0,,,2.0,,,,,4.0,,5.0,,1.0,,,,,,,,,,0.5,1.0,0.125,0.125,,0.125,,,,,,0.25,0.16666666666666666,,,,0.5,1.0,1.0,,,,,,0.2857142857142857,0.16666666666666666,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,True,,,,,,,,,,,,
2581,1610612744,Steve Blake,Steve Blake,2581,GSW,1461.0,24.0,-17,47.0,47,24.0,20,12.0,94,1.0,1.0,,,,,1.0,1.0,5.0,58,,,,3.0,,,1.0,1.0,,,2.0,,,2.0,1.0,3.0,,1.0,3.0,24.0,,,1.0,,0.5,0.5,0.5,0.5,,,11.11111111111111,,,0.037037037037037035,,,0.2,1.0,1.0,,,,,,1.0,0.5352300000000001,0.60615,0.55895,0.6,1.9,0.5106382978723404,,,,,,,,3.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,2.0,,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,0.75,0.75,,1.0,0.07692307692307693,0.08333333333333333,0.1111111111111111,0.08,,0.125,,,0.3333333333333333,,,0.25,,,,,,,,,,,,,0.6,1.0,,3.0,,1.0,,2.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,,3.0,,1.0,,,,,,,,1.0,0.25,0.5,0.3333333333333333,0.25,0.8,0.2,0.6,,,,0.5,,0.6666666666666666,,,,25.2,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,,,,,,True,,,,,,,,,,,,
200756,1610612744,Hilton Armstrong,Hilton Armstrong,200756,GSW,509.0,8.0,-7,15.0,14,10.0,5,6.0,29,1.0,2.0,1.0,,1.0,,1.0,3.0,2.0,23,1.0,,2.0,,2.0,,1.0,1.0,1.0,,2.0,2.0,,1.0,2.0,3.0,,1.0,,10.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,27.272727272727273,,0.3333333333333333,0.25,1.0,,0.6666666666666666,0.5,0.5,1.0,,1.0,0.5,,0.6666666666666666,0.3783666666666667,0.3797,0.38825,,7.166666666666667,0.6666666666666666,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,2.0,,,,,1.0,1.0,,2.0,1.0,,,,,,0.3333333333333333,0.2,,,0.14285714285714285,0.3333333333333333,,,,1.0,,,,0.5,0.5,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,
202348,1610612744,Jordan Crawford,Jordan Crawford,202348,GSW,1675.0,28.0,-2,56.0,54,17.0,11,15.0,110,2.0,3.0,2.0,1.0,1.0,7.0,3.0,12.0,18.0,57,4.0,1.0,2.0,6.0,,,2.0,2.0,2.0,,4.0,3.0,,3.0,3.0,6.0,2.0,3.0,6.0,17.0,,,0.25,0.5,0.28125,0.3333333333333333,0.42857142857142855,0.6,,,29.487179487179485,,0.10344827586206896,0.07692307692307693,0.2,0.09090909090909091,0.1875,0.6666666666666666,0.6666666666666666,,0.4375,0.4,0.3333333333333333,1.0,0.4375,0.44544062500000003,0.48915000000000003,0.42083333333333334,0.3333333333333333,7.4750000000000005,0.30357142857142855,1.0,1.0,,2.0,9.0,1.0,,5.0,4.0,6.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,6.0,,11.0,1.0,6.0,,,,,,,0.25,0.5,0.5,,0.5,0.045454545454545456,0.18181818181818182,,0.09090909090909091,,,,0.2,,,0.125,0.3333333333333333,0.08333333333333333,,0.14285714285714285,0.14285714285714285,,0.125,,,,0.5,0.2857142857142857,0.35294117647058826,0.2777777777777778,1.0,,3.0,,,,1.0,1.0,4.0,1.0,1.0,,1.0,,3.0,3.0,,1.0,,1.0,,,,,,,0.25,1.0,,0.25,0.25,0.0625,0.1875,,,,,,0.3333333333333333,,,,26.275,1.0,1.0,1.0,,,,,,1.0,1.0,,0.2,1.0,,,,,,,,,True,,,,,,,,,,,,
