EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,PtsAssisted2s,Fg3aBlocked,DefTwoPtRebounds,Steals,BadPassSteals,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APctBlocked,Arc3PctBlocked,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,Corner3Frequency,PenaltyCorner3Frequency,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted3s,Arc3Assists,FTDefRebounds,LostBallSteals,BlockingFouls,Assisted3sPct,DefFTReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,PenaltyFtPoints,LongMidRangeAssists,LostBallTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,TwoPtShootingFoulsDrawnPct,BlockedShortMidRange,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceAtRimFGA,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,SelfOReb,PenaltyTurnovers,Clear Path Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,SelfORebPct,SecondChanceAtRimFrequency,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,on,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,DefensiveGoaltends,3SecondViolations,OffCorner3ReboundPct,Corner3PctBlocked,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,BlockedArc3
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,702.0,12.0,6.0,24,22,4.0,4,1.0,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,13.0,27,1.0,1.0,1.0,1.0,5.0,6.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.2,1.25,1.0833333333333333,1.25,0.4,24.0,0.3333333333333333,0.1,0.3333333333333333,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.5,1.0,0.5,1.0,0.6,1.0,0.40630999999999995,0.338375,0.16666666666666666,0.3333333333333333,0.38461538461538464,8.066666666666666,26.4,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101122,1610612746,Danny Granger,Danny Granger,101122,LAC,1265.0,21.0,3.0,39,41,14.0,16,4.0,80,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,1.0,3.0,,4.0,3.0,5.0,43,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,14.0,,,,0.3333333333333333,1.0,0.14285714285714285,0.3333333333333333,0.3125,0.3333333333333333,0.5714285714285714,18.6046511627907,0.2,0.15789473684210525,,0.14285714285714285,1.0,1.0,0.2857142857142857,,,,,,0.14285714285714285,,,0.3333333333333333,1.0,0.3333333333333333,,0.7142857142857143,,0.5358357142857143,0.6054499999999999,0.125,0.2,0.4,6.866666666666667,23.625000000000004,0.358974358974359,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,0.25,1.0,0.14285714285714285,0.25,0.16666666666666666,1.0,1.0,0.42857142857142855,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201162,1610612746,Jared Dudley,Jared Dudley,201162,LAC,2669.0,44.0,-6.0,87,88,23.0,44,8.0,175,,,,,,,,5.0,1.0,3.0,1.0,1.0,,5.0,3.0,6.0,,9.0,107,,1.0,1.0,1.0,3.0,,,3.0,1.0,,2.0,2.0,1.0,,6.0,,6.0,6.0,,,,3.0,23.0,0.5,1.0,0.5,,,0.4090909090909091,0.75,0.4090909090909091,0.75,0.5454545454545454,11.578947368421053,,0.09523809523809523,,,,,,,,0.45454545454545453,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,,,0.5,1.0,0.5454545454545454,0.3333333333333333,0.5047954545454545,0.47592500000000004,,,0.3333333333333333,18.98,24.36666666666667,0.26436781609195403,3.0,,,,4.0,1.0,,1.0,5.0,1.0,,,,,0.14285714285714285,0.1111111111111111,0.18181818181818182,,,0.2727272727272727,,2.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.125,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.491325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201175,1610612746,Glen Davis,Glen Davis,201175,LAC,1603.0,27.0,-1.0,48,52,8.0,20,4.0,100,4.0,4.0,,,,1.0,3.0,3.0,,,,,7.0,8.0,,,,14.0,55,1.0,2.0,,,2.0,2.0,,,,,,,,,,,4.0,8.0,1.0,,,2.0,8.0,,,,0.875,0.5,0.875,0.5,0.875,0.5,,18.867924528301884,,0.15384615384615385,,0.5,1.0,1.0,0.125,,,0.375,1.0,1.0,,,,,,,,0.5,,0.5315624999999999,0.4283,,,0.14285714285714285,7.575000000000001,,0.16666666666666666,,,12.0,,4.0,,,1.0,4.0,,0.8571428571428571,0.8571428571428571,,,0.2222222222222222,0.4,0.125,,0.75,,,,,,,,,,,,,,0.2,,,,,,,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.26666666666666666,0.16,0.4,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,1734.0,29.0,-7.0,55,55,7.0,11,5.0,110,,1.0,,,1.0,5.0,2.0,3.0,2.0,6.0,,1.0,3.0,9.0,2.0,7.0,9.0,21.0,67,,1.0,,1.0,3.0,6.0,3.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,6.0,10.0,2.0,3.0,7.0,0.2857142857142857,,0.2857142857142857,0.3333333333333333,,0.375,,0.5526315789473685,0.5,0.4375,35.0,0.125,0.07142857142857142,0.16666666666666666,0.0625,,,0.3125,0.2,0.2,0.1875,0.6666666666666666,0.6666666666666666,0.375,0.3333333333333333,0.3333333333333333,,,0.5,,0.5,0.3333333333333333,0.45453,0.4325,0.2631578947368421,0.2222222222222222,0.14285714285714285,13.777777777777779,26.95714285714286,0.12727272727272726,1.0,,,,1.0,,,,1.0,,,,,,0.05,,,,,0.0625,,,,1.0,,3.0,,,,,0.5,,0.14285714285714285,,,,0.5,,0.403,,,2.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,,3.0,1.0,1.0,2.0,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,245.0,4.0,11.0,9,8,4.0,4,1.0,17,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444444444444444,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,470.0,8.0,2.0,19,17,8.0,5,2.0,36,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42105263157894735,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,196.0,3.0,1.0,9,8,4.0,5,1.0,17,,,,,,,,,,,,,,,1.0,1.0,,3.0,12,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,1.0,,,1.5,1.5,1.5,1.5,1.0,10.0,,,,,,,,,,,,,,,,,,,,1.0,,0.54735,0.54735,,,1.0,,24.2,0.4444444444444444,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,3.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201954,1610612746,Darren Collison,Darren Collison,201954,LAC,2087.0,35.0,-7.0,68,69,20.0,40,7.0,137,5.0,8.0,4.0,4.0,,1.0,2.0,8.0,,,,,7.0,17.0,,,7.0,21.0,86,5.0,6.0,,,15.0,10.0,,,,4.0,1.0,5.0,1.0,2.0,11.0,2.0,2.0,4.0,7.0,7.0,,15.0,20.0,,,,0.4117647058823529,0.8333333333333334,0.4117647058823529,0.8333333333333334,0.525,0.9375,,28.0,0.18181818181818182,0.0625,0.1111111111111111,0.47058823529411764,0.625,1.0,0.058823529411764705,,,0.47058823529411764,0.25,0.25,,,,0.6666666666666666,1.0,,,0.47058823529411764,,0.5275294117647058,0.624,0.15789473684210525,,0.7142857142857143,9.382352941176473,,0.29411764705882354,,,4.0,,,,,,2.0,,0.2857142857142857,0.2857142857142857,,,,,,0.5,0.4,,,,,1.0,,,,,,,,,,,,,,,0.5436,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.08333333333333333,0.058823529411764705,,0.18181818181818182,,,5.0,2.0,,1.0,3.0,0.15789473684210525,,,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.17647058823529413,0.375,0.14285714285714285,1.0,0.09523809523809523,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,418.0,7.0,-18.0,13,15,1.0,6,1.0,28,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,24,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,14.285714285714285,,0.14285714285714285,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.4997,,,,,2.1,,0.07692307692307693,,,2.0,,1.0,,,1.0,2.0,,1.0,1.0,,,0.3333333333333333,,,,1.0,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
