EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGA,ShortMidRangeFrequency,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,on,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,Travels,ShootingFouls,Fouls,Clear Path Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,OffThreePtRebounds,ThreePtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,Offensive Fouls,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,StepOutOfBoundsTurnovers,Loose Ball Fouls,OffCorner3ReboundPct,ShortMidRangePctBlocked,Loose Ball Fouls Drawn,SecondChanceAtRimPctAssisted
201591,1610612766,DJ White,DJ White,201591,CHA,158.0,3.0,2.0,4,5.0,4,5.0,9,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4,25.0,0.4,0.4,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201604,1610612766,Chris Douglas-Roberts,Chris Douglas-Roberts,201604,CHA,158.0,3.0,2.0,4,5.0,4,5.0,9,1.0,1.0,1.0,,,,,4,25.0,0.2,0.2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7204,0.7204,1.0,1.3,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202390,1610612766,Gary Neal,Gary Neal,202390,CHA,158.0,3.0,2.0,4,5.0,4,5.0,9,,,,,,,,4,25.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,0.361,0.361,,4.2,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202687,1610612766,Bismack Biyombo,Bismack Biyombo,202687,CHA,158.0,3.0,2.0,4,5.0,4,5.0,9,,,,,,,,4,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,1610612766,Jannero Pargo,Jannero Pargo,2457,CHA,158.0,3.0,2.0,4,5.0,4,5.0,9,1.0,1.0,1.0,,,1.0,1.0,4,25.0,0.2,0.2,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201177,1610612766,Josh McRoberts,Josh McRoberts,201177,CHA,9231.0,154.0,-5.0,285,285.0,77,62.0,570,18.0,26.0,27.0,1.0,,6.0,1.0,77,13.75,0.1978021978021978,0.17692307692307693,0.23809523809523808,0.27017543859649124,6.0,10.0,1.0,2.0,7.0,16.0,46.0,1.0,4.0,14.0,8.0,14.0,0.5714285714285714,0.6666666666666666,0.4375,0.25,0.5757575757575758,0.55,0.6052631578947368,0.5833333333333334,0.125,0.30303030303030304,0.6,0.6666666666666666,0.5,0.2,0.5,0.8181818181818182,0.5213196969696969,0.52267,0.30434782608695654,6.5375000000000005,1.0,0.030303030303030304,1.0,1.0,1.0,,,12.0,15.0,8.0,33.0,5.0,3.0,0.8333333333333334,False,31.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,3.0,7.0,12.0,2.0,3.0,8.0,17.0,8.0,312.0,1.0,1.0,2.0,3.0,6.0,3.0,6.0,21.0,3.0,2.0,12.0,7.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,6.0,13.0,1.0,7.0,10.0,4.0,1.0,1.0,0.875,0.47058823529411764,0.5,0.47058823529411764,1.0,1.0,1.0,0.5151515151515151,0.0625,0.1,0.3333333333333333,0.011494252873563218,0.1282051282051282,0.007751937984496124,0.04,0.2,0.07692307692307693,0.23076923076923078,0.15151515151515152,0.2,0.2,1.0,0.15151515151515152,0.2,0.2,1.0,0.36363636363636365,0.5833333333333334,0.5833333333333334,0.8571428571428571,1.0,1.0,0.3,0.3333333333333333,0.3,0.6666666666666666,0.5833333333333334,0.6662,0.10810810810810811,0.2,0.043478260869565216,25.24117647058823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201229,1610612766,Anthony Tolliver,Anthony Tolliver,201229,CHA,1242.0,21.0,-8.0,44,42.0,18,15.0,86,1.0,3.0,4.0,,,,,18,6.382978723404256,0.09090909090909091,0.14285714285714285,0.2,0.4090909090909091,,,,,,,6.0,,,,,,,,,,0.75,,1.0,,,,,,,,,1.0,0.5929500000000001,,,,,,,,,,,1.0,1.0,,2.0,,,,False,3.0,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,3.0,55.0,,,,,,,,3.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,2.0,,1.0,3.0,,,,1.0,0.5,,0.5,,,,1.0,,,0.5,,0.3333333333333333,0.0625,,,0.5,,,,,,0.5,,,,0.5,1.0,1.0,1.0,,,,,,,1.0,,0.3333333333333333,,,23.8,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201945,1610612766,Gerald Henderson,Gerald Henderson,201945,CHA,7143.0,119.0,-28.0,224,225.0,55,46.0,449,7.0,15.0,16.0,1.0,,6.0,2.0,55,20.0,0.1,0.13402061855670103,0.14705882352941177,0.24553571428571427,6.0,8.0,1.0,2.0,14.0,28.0,39.0,2.0,4.0,6.0,16.0,6.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.3783783783783784,0.5,0.4431818181818182,0.5,0.05555555555555555,0.21621621621621623,0.75,0.75,0.5,0.5,0.5,0.4594594594594595,0.4839256756756756,0.5468,0.15384615384615385,11.025,6.0,0.16216216216216217,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,22.0,5.0,1.0,0.8333333333333334,False,24.0,,,4.0,14.0,,2.0,,,,7.0,,,,9.0,11.0,253.0,1.0,1.0,2.0,,,2.0,12.0,,,,7.0,,1.0,4.0,3.0,1.0,,3.0,,6.0,2.0,1.0,4.0,3.0,1.0,4.0,,9.0,12.0,,16.0,17.0,9.0,1.0,1.0,,,,,1.0,0.5,0.5,0.24324324324324326,0.03571428571428571,,0.18181818181818182,,0.2222222222222222,0.009900990099009901,,0.05555555555555555,0.21052631578947367,0.25,0.3783783783783784,0.2857142857142857,0.3076923076923077,0.5,0.05405405405405406,,,,0.1891891891891892,,,,,,,,,,,0.510825,0.20930232558139536,0.2647058823529412,0.05128205128205128,24.955555555555556,1.0,,0.03225806451612903,0.041666666666666664,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.07142857142857142,0.045454545454545456,0.6666666666666666,0.6666666666666666,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,
202390,1610612766,Gary Neal,Gary Neal,202390,CHA,6095.0,102.0,-32.0,195,195.0,78,74.0,390,3.0,5.0,8.0,4.0,,8.0,,78,28.372093023255815,0.057692307692307696,0.0625,0.08695652173913043,0.4,4.0,12.0,1.0,7.0,14.0,32.0,45.0,5.0,13.0,18.0,10.0,18.0,0.35714285714285715,0.35714285714285715,0.4375,0.38461538461538464,0.4,0.42105263157894735,0.42452830188679247,0.45,,0.24,0.3333333333333333,0.36363636363636365,,0.3684210526315789,0.14285714285714285,0.6,0.47664700000000004,0.4890921052631579,0.4,9.04375,11.0,0.22,,,,,,2.0,4.0,1.0,10.0,4.0,2.0,0.5,False,18.0,,1.0,5.0,9.0,1.0,2.0,1.0,1.0,3.0,16.0,1.0,5.0,4.0,18.0,5.0,240.0,,3.0,,2.0,6.0,2.0,18.0,9.0,3.0,,16.0,3.0,1.0,2.0,2.0,,1.0,,3.0,2.0,,3.0,,,,2.0,1.0,6.0,9.0,,5.0,7.0,4.0,,,0.75,0.2222222222222222,0.3333333333333333,0.2222222222222222,,,,0.36,0.03125,0.08333333333333333,,0.05555555555555555,0.07142857142857142,0.0375,,0.09090909090909091,0.047619047619047616,0.14285714285714285,0.18,0.5555555555555556,0.5555555555555556,0.6,0.04,0.5,0.5,1.0,0.32,0.1875,0.1875,0.6666666666666666,0.25,,0.05263157894736842,1.0,0.2631578947368421,0.2,0.1875,0.49545,0.07547169811320754,0.11428571428571428,,25.31666666666667,,,,,,5.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,0.03333333333333333,0.45454545454545453,0.45454545454545453,0.4,0.25,1.0,2.0,0.038461538461538464,0.18181818181818182,,,,,,,,,,,,,,,,,,,
202689,1610612766,Kemba Walker,Kemba Walker,202689,CHA,9172.0,153.0,-34.0,286,287.0,76,67.0,573,12.0,14.0,15.0,11.0,5.0,15.0,6.0,76,24.375,0.14634146341463414,0.11764705882352941,0.20512820512820512,0.26573426573426573,2.0,8.0,,2.0,14.0,31.0,78.0,2.0,8.0,27.0,2.0,27.0,0.07142857142857142,0.07142857142857142,0.45161290322580644,0.25,0.5818181818181818,0.6333333333333333,0.6190476190476191,0.7105263157894737,0.047619047619047616,0.14545454545454545,0.25,0.3333333333333333,,0.13333333333333333,,0.5818181818181818,0.4772427272727272,0.44161666666666666,0.34615384615384615,9.751612903225805,13.0,0.23636363636363636,2.0,,3.0,2.0,0.6666666666666666,16.0,24.0,9.0,56.0,4.0,,0.26666666666666666,False,31.0,1.0,1.0,4.0,10.0,1.0,3.0,,,11.0,21.0,5.0,7.0,12.0,24.0,14.0,327.0,1.0,1.0,5.0,5.0,7.0,8.0,26.0,21.0,15.0,,21.0,11.0,2.0,8.0,6.0,2.0,2.0,5.0,1.0,2.0,,1.0,8.0,5.0,3.0,4.0,,4.0,6.0,,20.0,18.0,7.0,3.0,3.0,0.5833333333333334,0.5,0.7142857142857143,0.5,1.0,0.8333333333333334,0.8333333333333334,0.43636363636363634,0.06451612903225806,0.25,,0.01098901098901099,0.05405405405405406,0.007633587786259542,,0.13636363636363635,0.08333333333333333,,0.18181818181818182,0.4,0.4,0.25,0.05454545454545454,0.3333333333333333,0.3333333333333333,1.0,0.38181818181818183,0.5238095238095238,0.5238095238095238,0.5454545454545454,0.3333333333333333,1.0,,,0.4666666666666667,0.7142857142857143,0.5238095238095238,0.55635,0.11666666666666667,0.19444444444444445,0.0641025641025641,25.012499999999992,,,,,,8.0,1.0,2.0,,4.0,,3.0,1.0,2.0,,,0.6153846153846154,0.6153846153846154,,0.3333333333333333,,,0.024390243902439025,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,,,,,,,
