EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,2pt And 1 Free Throw Trips,Technical Free Throw Trips,AtRimPctBlocked,DefFTReboundPct,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Blocked3s,BlockedArc3,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceCorner3FGA,Arc3FGM,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,Offensive Fouls,3SecondViolations,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,on,PenaltyCorner3FGM,PtsUnassisted3s,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,HeaveAttempts
1712,1610612742,Antawn Jamison,Antawn Jamison,1712,DAL,6635.0,111,-7.0,232,229,77,94,41.0,461,10.0,19.0,6.0,9.0,5.0,10.0,9.0,19.0,5.0,11.0,2.0,5.0,3.0,3.0,24.0,49.0,2.0,8.0,11.0,65.0,241,8.0,12.0,4.0,20.0,13.0,23.0,3.0,6.0,32.0,34.0,14.0,6.0,10.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,11.0,2.0,5.0,5.0,10.0,15.0,25.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,1.0,5.0,1.0,7.0,15.0,1.0,15.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,32.0,77,2.0,0.7083333333333334,0.8947368421052632,1.0,0.25,0.25,0.4897959183673469,0.6666666666666666,0.5652173913043478,0.47368421052631576,0.6666666666666666,0.5,0.5078125,0.7142857142857143,0.5333333333333333,0.14035087719298245,0.125,0.02040816326530612,0.05263157894736842,0.2,24.381625441696112,0.8,0.18181818181818182,0.06493506493506493,0.10784313725490197,0.20833333333333334,0.1111111111111111,0.09900990099009901,0.10833333333333334,0.09090909090909091,0.14705882352941177,0.08571428571428572,0.06666666666666667,0.3333333333333333,0.07407407407407407,0.08695652173913043,0.037037037037037035,0.2857142857142857,0.1,0.15384615384615385,1.0,0.3333333333333333,0.5263157894736842,0.5263157894736842,0.6,0.3333333333333333,0.47368421052631576,0.5,0.6666666666666666,0.19298245614035087,0.45454545454545453,0.45454545454545453,1.0,0.08771929824561403,0.4,0.5,1.0,0.05263157894736842,0.75,0.6666666666666666,0.3333333333333333,0.38461538461538464,0.5,0.11538461538461539,0.47368421052631576,0.47018245614035076,0.5074272727272727,0.46643846153846147,0.05,0.0392156862745098,0.1111111111111111,0.3076923076923077,0.49230769230769234,7.193877551020409,23.5125,0.33189655172413796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,5175.0,86,-6.0,176,173,39,54,26.0,349,6.0,11.0,1.0,3.0,2.0,4.0,4.0,11.0,8.0,16.0,1.0,1.0,,1.0,18.0,38.0,1.0,2.0,13.0,52.0,188,3.0,5.0,2.0,8.0,3.0,6.0,,6.0,12.0,16.0,20.0,3.0,6.0,1.0,1.0,,2.0,2.0,1.0,4.0,,6.0,,2.0,13.0,18.0,6.0,24.0,2.0,1.0,,3.0,2.0,,1.0,,3.0,,5.0,6.0,1.0,14.0,6.0,,1.0,3.0,2.0,1.0,3.0,3.0,12.0,39,1.0,0.4444444444444444,0.5333333333333333,1.0,0.5,0.5,0.47368421052631576,0.6,0.5,0.4875,0.6,0.5,0.5543478260869565,0.6666666666666666,0.6666666666666666,0.05,,0.02631578947368421,,,23.444976076555026,1.0,,0.20967741935483872,0.08333333333333333,0.1,,0.18292682926829268,0.07058823529411765,0.13043478260869565,0.12,,,,0.14285714285714285,0.3888888888888889,0.13043478260869565,,0.2857142857142857,0.1,1.0,0.275,0.5454545454545454,0.6,0.5,0.275,0.36363636363636365,0.36363636363636365,0.25,0.4,0.5,0.5,0.5,0.025,1.0,1.0,1.0,0.025,0.6,0.3333333333333333,,0.6666666666666666,0.5,,0.325,0.458795,0.53084,0.4926833333333333,0.13333333333333333,0.13953488372093023,,0.15384615384615385,0.23076923076923078,10.192105263157895,23.75,0.2215909090909091,1.0,3.0,1.0,1.0,1.0,0.09090909090909091,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,1280.0,21,-5.0,39,40,13,18,8.0,79,3.0,6.0,1.0,4.0,1.0,1.0,,,,,,,,,3.0,6.0,,,,6.0,47,1.0,4.0,,2.0,1.0,1.0,,,2.0,4.0,2.0,,2.0,,1.0,,2.0,2.0,2.0,4.0,1.0,4.0,,,1.0,2.0,5.0,7.0,1.0,,,1.0,,,1.0,,1.0,1.0,2.0,5.0,,,,,,,,,,,2.0,13,2.0,0.6666666666666666,1.0,,,,0.5,0.25,1.0,0.5,0.25,1.0,0.5,0.25,1.0,,,0.16666666666666666,,,13.72549019607843,1.0,,0.05263157894736842,0.2222222222222222,,0.25,0.045454545454545456,0.22727272727272727,0.14285714285714285,0.3333333333333333,0.2,,1.0,,0.3333333333333333,,,,0.5,,1.0,0.5,0.6,0.6666666666666666,,,,,,,,,,,,,,1.0,0.25,,1.0,1.0,,1.0,0.5745166666666667,0.5603666666666667,0.5943,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,1.0,,,,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,3137.0,52,-3.0,114,109,45,41,24.0,223,5.0,10.0,3.0,5.0,4.0,5.0,1.0,6.0,,4.0,,,,1.0,6.0,20.0,,1.0,3.0,15.0,107,3.0,7.0,,6.0,4.0,10.0,1.0,2.0,10.0,4.0,8.0,,6.0,1.0,1.0,,2.0,2.0,,4.0,2.0,7.0,,2.0,6.0,10.0,9.0,19.0,,5.0,4.0,3.0,2.0,2.0,1.0,,5.0,1.0,5.0,8.0,1.0,3.0,2.0,,,3.0,3.0,,4.0,2.0,10.0,45,,0.3333333333333333,0.6666666666666666,,,,0.3,0.42857142857142855,0.4,0.2857142857142857,0.375,0.36363636363636365,0.3409090909090909,0.375,0.4166666666666667,0.047619047619047616,,0.05,,,18.881118881118883,0.6,,0.16216216216216217,0.125,0.18181818181818182,0.3333333333333333,0.16666666666666666,0.14516129032258066,0.05555555555555555,0.13636363636363635,0.1875,0.5,,0.07692307692307693,0.25,0.1875,0.125,0.3333333333333333,,0.5,0.47619047619047616,0.5,0.5555555555555556,0.4,0.2857142857142857,0.16666666666666666,0.16666666666666666,,0.19047619047619047,,,,,,,,0.047619047619047616,0.625,0.6,,0.45454545454545453,0.8,,0.5238095238095238,0.49945,0.5069785714285714,0.5265136363636364,0.09090909090909091,0.09523809523809523,,0.4,0.6666666666666666,5.795,25.6,0.39473684210526316,,2.0,1.0,1.0,,0.1,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.125,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2605,1610612742,Marquis Daniels,Marquis Daniels,2605,DAL,4379.0,73,-9.0,161,159,64,64,27.0,320,4.0,8.0,,1.0,2.0,5.0,9.0,13.0,,5.0,,1.0,1.0,2.0,13.0,26.0,1.0,3.0,7.0,36.0,178,1.0,2.0,1.0,3.0,6.0,11.0,1.0,3.0,15.0,8.0,18.0,3.0,,2.0,1.0,,4.0,7.0,2.0,17.0,,,,2.0,4.0,7.0,,7.0,,7.0,5.0,7.0,4.0,3.0,3.0,,10.0,1.0,1.0,5.0,,11.0,5.0,,1.0,1.0,1.0,,1.0,1.0,15.0,64,1.0,0.3076923076923077,0.3076923076923077,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5454545454545454,0.5,0.3333333333333333,0.5,0.5294117647058824,0.375,0.5,0.10344827586206896,,0.038461538461538464,,,22.797927461139896,0.7,,0.0851063829787234,,0.13333333333333333,,0.0967741935483871,,,,,,,0.10526315789473684,,0.13333333333333333,0.1111111111111111,0.16666666666666666,,1.0,0.27586206896551724,0.5,0.5714285714285714,0.75,0.4482758620689655,0.6923076923076923,0.6923076923076923,0.1111111111111111,0.1724137931034483,,,,0.034482758620689655,,,,0.06896551724137931,0.3333333333333333,,,0.4166666666666667,0.4,0.08333333333333333,0.3793103448275862,0.4677724137931035,0.47450000000000003,0.5155583333333333,0.15151515151515152,0.16666666666666666,,0.08333333333333333,0.4166666666666667,7.553846153846153,25.133333333333336,0.39751552795031053,,1.0,2.0,1.0,,0.125,0.125,,,1.0,2.0,,,4.0,,,,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.5,,,,,,,,,,,,True,,,,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,4164.0,69,-8.0,141,138,43,60,22.0,279,3.0,5.0,,,1.0,1.0,2.0,5.0,2.0,8.0,,,,6.0,7.0,18.0,2.0,6.0,5.0,25.0,152,,1.0,,3.0,3.0,5.0,2.0,3.0,12.0,2.0,12.0,6.0,,6.0,,,16.0,19.0,7.0,41.0,,1.0,,1.0,6.0,7.0,1.0,8.0,,,,4.0,2.0,,2.0,,4.0,,5.0,10.0,,5.0,1.0,,1.0,,,,,,12.0,43,,0.14285714285714285,0.14285714285714285,1.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,,0.6,0.4166666666666667,0.75,0.6428571428571429,0.46153846153846156,0.75,0.6875,0.25,,,,,17.647058823529413,1.0,,0.13333333333333333,0.015873015873015872,0.06666666666666667,,0.11666666666666667,0.012987012987012988,0.05,,,,,0.2,0.058823529411764705,0.15384615384615385,0.14285714285714285,,,,0.20833333333333334,0.6,0.6,0.3333333333333333,0.20833333333333334,0.4,0.4,,0.3333333333333333,0.25,0.25,,,,,,0.25,,,,0.14285714285714285,1.0,,0.4583333333333333,0.4828354166666667,0.480575,0.4873142857142857,0.04,0.05263157894736842,,0.12,0.48,10.36111111111111,24.866666666666664,0.3049645390070922,4.0,,,,1.0,,,1.0,2.0,1.0,5.0,,,1.0,,,0.5,0.2857142857142857,,2.0,2.0,3.0,1.0,2.0,,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,True,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,4581.0,76,5.0,160,158,48,61,25.0,318,,,,,,,2.0,4.0,5.0,11.0,1.0,2.0,,6.0,7.0,15.0,2.0,8.0,1.0,21.0,161,,,,,5.0,8.0,3.0,,10.0,4.0,10.0,6.0,,6.0,2.0,,6.0,7.0,4.0,15.0,,,,2.0,2.0,4.0,,4.0,,1.0,,1.0,,3.0,1.0,,4.0,1.0,,2.0,,3.0,1.0,,,2.0,2.0,,2.0,1.0,10.0,48,,0.2857142857142857,0.2857142857142857,1.0,0.25,0.25,0.4666666666666667,,0.625,0.43478260869565216,,0.45454545454545453,0.4375,,0.45454545454545453,0.34782608695652173,,0.13333333333333333,,,14.583333333333334,0.25,,0.0392156862745098,,0.10526315789473684,,0.05714285714285714,,,,,,,,0.0625,0.07142857142857142,0.18181818181818182,,,0.5,,,,,0.17391304347826086,0.5,0.5,,0.4782608695652174,0.45454545454545453,0.5555555555555556,0.4,0.08695652173913043,0.5,0.5,1.0,0.2608695652173913,,,,,,,0.34782608695652173,0.4452652173913043,,0.4235227272727272,0.041666666666666664,0.0625,,,0.47619047619047616,14.266666666666667,24.362499999999997,0.3,2.0,,1.0,,1.0,,,,3.0,,,,1.0,,,,,0.2727272727272727,,1.0,1.0,1.0,1.0,,1.0,,0.16666666666666666,0.16666666666666666,1.0,,0.16666666666666666,,,,,,,,,,1.0,0.18181818181818182,True,,,,,,,,,
952,1610612742,Antoine Walker,Antoine Walker,952,DAL,2919.0,49,3.0,102,104,25,44,19.0,206,6.0,10.0,1.0,3.0,,,,3.0,,,,,,1.0,6.0,13.0,,1.0,2.0,14.0,100,1.0,3.0,1.0,3.0,,1.0,,,,8.0,4.0,,,1.0,1.0,,4.0,5.0,3.0,11.0,1.0,4.0,,2.0,5.0,9.0,5.0,14.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,5.0,,4.0,2.0,,,1.0,1.0,,1.0,,,25,1.0,0.6666666666666666,0.6666666666666666,,,,0.46153846153846156,0.3333333333333333,,0.42857142857142855,0.3333333333333333,,0.4375,0.375,,0.07142857142857142,,0.07692307692307693,,,16.935483870967744,0.6,,0.13157894736842105,0.08888888888888889,0.18181818181818182,0.1111111111111111,0.14285714285714285,0.09259259259259259,0.16666666666666666,,0.1111111111111111,0.125,,0.2,0.0625,0.16666666666666666,0.2,0.16666666666666666,0.2857142857142857,,0.7142857142857143,0.6,0.6666666666666666,0.6666666666666666,0.21428571428571427,,,,,,,,,,,,0.07142857142857142,1.0,0.3333333333333333,,,,,0.7857142857142857,0.5314357142857142,0.5945999999999999,0.3924,0.125,0.13333333333333333,,0.21428571428571427,,1.9230769230769231,24.6,0.24509803921568626,,2.0,,,,0.1,0.4,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,92.0,2,-1.0,3,4,3,4,,7,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
281,1610612742,Scott Williams,Scott Williams,281,DAL,476.0,8,-4.0,18,18,14,17,7.0,36,,1.0,,1.0,,,,,,1.0,,,,,,2.0,,,,,15,,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,2.0,3.0,,,,,,,,,,,2.0,3.0,,,,,,1.0,,1.0,1.0,1.0,,14,,,,,,,,,,,,,,,,,,,,,7.692307692307692,,,0.2,0.13333333333333333,,,0.16666666666666666,0.125,0.16666666666666666,,0.2,,,,,0.5,,,,1.0,0.5,,,,,,,,0.5,,,,,,,,,1.0,,,,,,0.5,0.4584,0.593,0.3238,,,,,,9.6,,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
