EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,RecoveredBlocks,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,BlockedAtRim,AtRimPctBlocked,DefShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,PtsPutbacks,FTOffRebounds,Loose Ball Fouls,Assisted3sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,OffThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Defensive 3 Seconds Violations,PenaltyArc3FGA,PenaltyArc3Frequency,HeaveAttempts,2pt And 1 Free Throw Trips,OffCorner3ReboundPct,on,Arc3Assists,Arc3PctAssisted,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,2754.0,46,-18,84,86,39.0,41.0,6.0,170,1.0,1.0,2.0,3.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,8.0,98,1.0,2.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,39.0,2.0,0.2,0.2,0.4,0.5,0.35,0.5,0.35,0.5,0.5,10.869565217391305,0.25,0.03225806451612903,0.023255813953488372,0.07142857142857142,0.1,0.1,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,0.2,0.6,0.2,0.4981400000000001,0.36924999999999997,0.25,13.780000000000001,25.04,0.4642857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1719,1610612763,Bonzi Wells,Bonzi Wells,1719,MEM,4267.0,71,-34,132,138,65.0,78.0,14.0,270,7.0,7.0,5.0,15.0,,,14.0,29.0,,1.0,6.0,34.0,158,8.0,16.0,20.0,16.0,,,,2.0,1.0,3.0,1.0,1.0,,1.0,7.0,4.0,,7.0,8.0,4.0,3.0,7.0,10.0,,20.0,65.0,1.0,,,0.4827586206896552,0.5,0.4666666666666667,0.47058823529411764,0.4857142857142857,0.5,0.03333333333333333,29.53020134228188,,0.0851063829787234,0.1111111111111111,0.05263157894736842,0.23333333333333334,0.23333333333333334,0.5,0.3333333333333333,0.35714285714285715,,,,0.26666666666666666,,0.46644500000000005,0.43504411764705886,0.5882352941176471,11.137931034482758,23.2,0.49242424242424243,5.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,12.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,5.0,1.0,9.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.5,0.034482758620689655,0.06666666666666667,0.4444444444444444,0.019230769230769232,0.1875,0.016129032258064516,0.05555555555555555,0.15,0.2,0.16666666666666666,0.7142857142857143,0.7142857142857143,0.2,0.5714285714285714,0.5714285714285714,0.25,0.8,0.03333333333333333,0.11764705882352941,1.0,0.058823529411764705,0.09090909090909091,0.09375,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1899,1610612763,James Posey,James Posey,1899,MEM,495.0,8,-5,17,19,16.0,11.0,1.0,36,2.0,1.0,,,,,1.0,3.0,,1.0,2.0,4.0,17,1.0,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,4.0,16.0,,,,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4,0.4,0.25,26.31578947368421,,,,,0.5,0.25,,,,,,,0.75,,0.580375,0.580375,1.0,3.733333333333333,23.9,0.9411764705882353,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,0.125,,0.1,,,,,0.5,0.5,1.0,,,,,0.25,0.5,0.5,0.25,,,0.5,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,2514.0,42,-16,78,78,31.0,41.0,5.0,156,9.0,7.0,,1.0,,,10.0,17.0,,,6.0,26.0,90,3.0,5.0,12.0,16.0,,,,1.0,1.0,2.0,1.0,,,1.0,5.0,4.0,1.0,6.0,6.0,1.0,1.0,2.0,6.0,,12.0,31.0,,,,0.5882352941176471,0.6,0.5882352941176471,0.6,0.65,0.75,,26.19047619047619,0.25,0.15384615384615385,0.13157894736842105,0.08333333333333333,0.5294117647058824,0.4117647058823529,0.058823529411764705,,,,,,0.5294117647058824,,0.4669058823529411,0.48322000000000004,0.46153846153846156,3.8,,0.3974358974358974,5.0,2.0,3.0,5.0,,,,,,6.0,4.0,2.0,,1.0,,,1.0,,1.0,1.0,,2.0,,1.0,,2.0,1.0,2.0,,2.0,0.2,0.2,,0.11764705882352941,,0.5,,0.08333333333333333,,,0.125,0.14285714285714285,,0.5555555555555556,0.625,0.2,0.7142857142857143,0.8333333333333334,0.2,,,0.6,0.6666666666666666,,0.10526315789473684,0.10526315789473684,,1.0,0.14285714285714285,,0.5,2.0,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,4305.0,72,-35,134,139,67.0,79.0,14.0,273,4.0,3.0,,1.0,,,3.0,8.0,3.0,7.0,4.0,19.0,161,2.0,4.0,6.0,4.0,,,,1.0,,1.0,,,1.0,,2.0,6.0,,6.0,12.0,,,17.0,6.0,,6.0,67.0,5.0,0.42857142857142855,0.42857142857142855,0.375,0.5,0.5,0.2857142857142857,0.5277777777777778,0.3333333333333333,0.4666666666666667,14.56953642384106,,0.1276595744680851,0.09375,0.21052631578947367,0.26666666666666666,0.2,0.06666666666666667,,,,,,0.7333333333333333,,0.5192,0.48193571428571425,0.3157894736842105,6.237500000000001,22.97142857142857,0.5,1.0,,,2.0,7.0,3.0,,5.0,3.0,2.0,2.0,1.0,5.0,,6.0,,1.0,,1.0,3.0,,4.0,1.0,9.0,3.0,3.0,,1.0,,1.0,0.3333333333333333,0.5,0.4166666666666667,0.125,,0.25,0.09615384615384616,,0.08064516129032258,0.1111111111111111,0.05,,,0.25,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.5,,0.4666666666666667,,,0.42857142857142855,0.16666666666666666,0.2727272727272727,0.2631578947368421,1.0,,0.06666666666666667,1.0,1.0,0.25,0.125,1.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,0.2,0.4166666666666667,0.2,0.10526315789473684,0.42857142857142855,0.42857142857142855,1.0,0.5,0.3333333333333333,0.16666666666666666,1.0,1.0,0.50838,,,,,,,,,,,,,,,True,,,,,,,,,,,
2415,1610612763,Ryan Humphrey,Ryan Humphrey,2415,MEM,286.0,5,1,9,10,9.0,2.0,1.0,19,1.0,,,,,,1.0,1.0,,,,2.0,9,1.0,1.0,2.0,2.0,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,2.0,9.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,9.090909090909092,,0.3333333333333333,0.3333333333333333,,1.0,,,,,,,,1.0,,0.6102,0.6102,1.0,1.4,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,0.3333333333333333,,0.3333333333333333,,,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,1.0,1.0,,0.5,,,,1.0,1.0,,,,0.6102,,,,,,,,,,,,,,,True,,,,,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,3570.0,60,-29,110,112,44.0,66.0,12.0,222,8.0,8.0,2.0,8.0,,,8.0,24.0,,,6.0,22.0,135,4.0,6.0,13.0,8.0,,,,2.0,,2.0,,1.0,,1.0,4.0,10.0,2.0,12.0,17.0,3.0,2.0,3.0,8.0,,13.0,44.0,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.39285714285714285,0.7222222222222222,,25.203252032520325,0.25,0.2631578947368421,0.18867924528301888,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.2857142857142857,,,,0.3333333333333333,,0.47288749999999996,0.4522333333333333,0.5909090909090909,7.654166666666666,,0.4,3.0,,1.0,3.0,,,,6.0,,5.0,8.0,3.0,4.0,,5.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,2.0,,2.0,2.0,5.0,1.0,5.0,0.5,0.6666666666666666,0.42857142857142855,0.125,0.125,0.3333333333333333,0.09523809523809523,,0.1,0.13333333333333333,0.35294117647058826,,,0.375,0.5,0.3333333333333333,0.375,0.375,0.3333333333333333,1.0,,0.16666666666666666,,,0.07692307692307693,0.07692307692307693,0.2727272727272727,1.0,,0.18181818181818182,0.2,3.0,0.25,0.25,1.0,3.0,,,,3.0,7.0,,,,4.0,,,,,0.42857142857142855,0.42857142857142855,,,,,,0.42857142857142855,0.3333333333333333,,,,0.48566666666666664,1.0,2.0,1.0,1.0,1.0,0.125,0.25,0.15384615384615385,,,,,,,True,,,,,,,,,,,
448,1610612763,Bo Outlaw,Bo Outlaw,448,MEM,1569.0,26,-18,49,53,29.0,38.0,8.0,102,1.0,2.0,,,,,,3.0,,,2.0,2.0,64,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,2.0,29.0,1.0,,,,,,,0.2,0.25,,8.620689655172415,0.25,,,,0.3333333333333333,0.6666666666666666,,,,,,,0.3333333333333333,,0.4703333333333333,0.475,1.0,3.1333333333333333,,0.5918367346938775,,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,0.5,,,0.25,0.25,,1.0,0.5,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.461,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,176.0,3,-3,5,6,5.0,,1.0,11,,,,,,,,,,,2.0,2.0,7,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,2.0,5.0,,,,,,,,1.0,1.0,,57.14285714285714,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,1.0,,1.0,2.0,,3.0,3.0,,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,True,,,,,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,38.0,1,-1,2,1,2.0,1.0,,3,,,,,,1.0,,,,1.0,,,3,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,50.0,,,,,,,,,,1.0,,,1.0,,0.22095,0.22095,,,25.9,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,
