EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,ShortMidRangeFGM,PenaltyFtPoints,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,NonShootingFoulsDrawn,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,FTDefRebounds,DefFTReboundPct,OffAtRimReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceTurnovers,Steals,BadPassSteals,LongMidRangePctBlocked,on,Arc3Assists,FTOffRebounds,SelfOReb,Travels,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,OffThreePtRebounds,BlockedAtRim,DefensiveGoaltends,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,HeaveAttempts,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGA,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Clear Path Fouls
1508,1610612745,Maurice Taylor,Maurice Taylor,1508,HOU,297.0,5,-5.0,9,10,4,4.0,19,1.0,1.0,9,1.0,1.0,1.0,2.0,2.0,1.0,4,1.0,1.0,1.0,11.11111111111111,0.3333333333333333,0.5,0.4,1.0,0.5,1.0,0.348,10.5,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,1610612745,Cuttino Mobley,Cuttino Mobley,1749,HOU,1061.0,18,,35,35,18,18.0,70,,4.0,27,,1.0,,1.0,2.0,1.0,18,,,,28.205128205128204,,0.25,0.058823529411764705,,0.25,,0.4527583333333334,8.775,0.5142857142857142,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.5,0.75,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.3333333333333333,0.75,0.1,0.08333333333333333,0.25,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0.5,0.6666666666666666,0.5634,0.3326,0.14285714285714285,0.2,0.2857142857142857,0.2857142857142857,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,1610612745,Steve Francis,Steve Francis,1883,HOU,1036.0,17,5.0,36,37,20,18.0,73,1.0,2.0,27,,,6.0,6.0,6.0,1.0,20,,,,17.5,0.4,,0.3157894736842105,0.2,,0.5,0.3903,10.7,0.5555555555555556,5.0,,,,,,1.0,,,1.0,,3.0,5.0,,,,,,,3.0,,2.0,,,,,1.0,1.0,,2.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,,,0.5,,,0.5,,,0.625,,0.75,,0.3333333333333333,,,,,,,0.5,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.6,,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,0.3333333333333333,0.5714285714285714,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1610612745,Clar. Weatherspoon,Clar. Weatherspoon,221,HOU,1291.0,22,,43,43,20,18.0,86,2.0,5.0,34,,1.0,,2.0,4.0,3.0,20,,,,16.666666666666668,,0.25,0.05,,0.25,0.4,0.4237,10.580000000000002,0.46511627906976744,6.0,1.0,1.0,,,,2.0,,,2.0,,3.0,7.0,,,3.0,1.0,1.0,,3.0,2.0,2.0,,,2.0,2.0,,,,,,,,1.0,6.0,3.0,3.0,0.5,0.5,0.4,,1.0,0.4,,1.0,0.4375,0.5,0.75,,,0.15384615384615385,0.13333333333333333,,0.2,1.0,1.0,0.4,,,,,,,,0.2,,0.5657,0.375,0.375,0.42857142857142855,0.42857142857142855,,1.0,1.0,,,,,,,,,,,,0.5,0.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1610612745,Jim Jackson,Jim Jackson,754,HOU,992.0,17,3.0,34,33,16,13.0,67,2.0,5.0,23,,,3.0,3.0,3.0,,16,,,,20.51282051282051,0.25,,0.2,0.2,,0.2857142857142857,0.38512142857142856,12.22,0.47058823529411764,6.0,,1.0,,,1.0,2.0,,,2.0,2.0,,7.0,,,,1.0,2.0,2.0,5.0,4.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,5.0,1.0,1.0,0.4,,0.5,0.5,,0.625,0.5,,0.625,0.2857142857142857,1.0,,,,0.14285714285714285,,,0.2857142857142857,0.5,0.5,1.0,,,,,0.42857142857142855,,0.36668750000000006,,,,0.7142857142857143,23.65,1.0,,,,,,,,,,,0.5,0.2,0.5,0.5,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,1.0,0.5,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,1610612745,Kelvin Cato,Kelvin Cato,1509,HOU,32.0,1,-1.0,2,2,2,2.0,4,,,1,,,,,,1.0,2,1.0,,,50.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,1610612745,Scott Padgett,Scott Padgett,1909,HOU,246.0,4,2.0,8,6,3,2.0,14,,,4,,,,,,1.0,3,,,,10.0,,,,,,,,,0.375,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,716.0,12,4.0,24,25,11,10.0,49,3.0,6.0,20,,,2.0,2.0,3.0,,11,,,,25.925925925925924,0.2,,0.16666666666666666,0.25,,0.5,0.4555333333333333,8.200000000000001,0.4583333333333333,3.0,1.0,2.0,,,,1.0,,,2.0,,2.0,6.0,,,,2.0,4.0,,4.0,2.0,2.0,,,1.0,1.0,,,,,,,,,2.0,1.0,4.0,0.5,0.5,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.42857142857142855,,0.5,,,0.125,0.1111111111111111,0.5,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,,,,,0.3333333333333333,,0.4825,0.14285714285714285,0.14285714285714285,,0.6666666666666666,,1.0,,2.0,,2.0,,1.0,,1.0,4.0,,0.5,,0.3333333333333333,0.3333333333333333,1.0,2.0,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1610612745,Mark Jackson,Mark Jackson,349,HOU,587.0,10,-5.0,17,17,4,5.0,34,1.0,2.0,18,,,1.0,1.0,1.0,,4,,,,10.526315789473685,0.16666666666666666,,0.14285714285714285,,,0.5,0.40905,16.15,0.23529411764705882,2.0,,,,,1.0,1.0,,,1.0,,,2.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,0.4088,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,1610612745,Bostjan Nachbar,Bostjan Nachbar,2411,HOU,197.0,3,-3.0,7,7,2,,14,,1.0,7,1.0,,,,,,2,,1.0,,14.285714285714285,,,,,,,0.3041,20.3,0.2857142857142857,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
