EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,HeaveAttempts,Corner3Assists,Travels,Loose Ball Fouls,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,BlockedLongMidRange,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGM,FTOffRebounds,DefensiveGoaltends,Arc3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Blocked3s,BlockedCorner3,on,3SecondViolations,SecondChanceCorner3FGM,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,4039.0,67.0,25.0,121,124.0,26,28.0,14.0,245,1.0,4.0,1.0,1.0,7.0,1.0,2.0,3.0,13.0,6.0,12.0,87.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,8.0,2.0,10.0,2.0,4.0,4.0,22.0,2.0,2.0,8.0,1.0,11.0,2.0,13.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,5.0,2.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,26,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.23076923076923078,0.35294117647058826,0.25,0.07692307692307693,0.14285714285714285,15.942028985507248,0.6,0.3333333333333333,0.13333333333333333,0.04,0.14285714285714285,0.13513513513513514,0.030303030303030304,0.07407407407407407,0.2,0.047619047619047616,0.1724137931034483,0.3333333333333333,1.0,0.3076923076923077,0.25,0.25,0.5384615384615384,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.5,0.5,1.0,0.3333333333333333,0.3076923076923077,0.4060307692307692,0.2885,0.3916666666666666,0.25,0.25,0.25,7.392307692307693,0.21487603305785125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,9891.0,165.0,31.0,318,326.0,84,96.0,44.0,644,11.0,20.0,3.0,2.0,8.0,11.0,26.0,24.0,54.0,21.0,90.0,291.0,7.0,13.0,14.0,24.0,16.0,32.0,4.0,24.0,1.0,25.0,1.0,11.0,10.0,51.0,5.0,3.0,7.0,,10.0,6.0,16.0,9.0,5.0,3.0,4.0,12.0,3.0,6.0,13.0,1.0,22.0,1.0,7.0,4.0,,,,,24.0,84,0.3333333333333333,0.34782608695652173,0.4444444444444444,0.4726027397260274,0.536144578313253,0.5476190476190477,0.07407407407407407,0.125,25.885558583106267,0.75,,0.050724637681159424,0.04201680672268908,0.1,0.05952380952380952,0.03680981595092025,0.03508771929824561,0.02564102564102564,0.06818181818181818,0.05454545454545454,0.18181818181818182,,0.273972602739726,0.55,0.6470588235294118,0.1095890410958904,0.25,0.2857142857142857,0.3561643835616438,0.4230769230769231,0.4230769230769231,0.2727272727272727,0.2,0.5342465753424658,0.497768493150685,0.49186250000000004,0.45482999999999996,0.08860759493670886,0.11666666666666667,0.26666666666666666,10.11296296296296,0.2641509433962264,3.0,3.0,3.0,3.0,5.0,4.0,14.0,1.0,3.0,2.0,7.0,19.0,5.0,1.0,3.0,4.0,17.0,5.0,2.0,18.0,3.0,2.0,14.0,4.0,3.0,1.0,1.0,11.0,7.0,4.0,1.0,1.0,3.0,1.0,0.8571428571428571,0.3684210526315789,0.3333333333333333,0.3684210526315789,0.7142857142857143,0.38461538461538464,0.65,0.3333333333333333,0.7083333333333334,0.2602739726027397,0.15,0.022727272727272728,0.03333333333333333,0.0625,0.06666666666666667,0.05263157894736842,0.02702702702702703,0.45454545454545453,0.0684931506849315,0.6,0.6,1.0,0.1917808219178082,0.2857142857142857,0.2857142857142857,0.75,0.3,1.0,0.3333333333333333,0.3,0.3333333333333333,1.0,1.0,0.13333333333333333,0.2857142857142857,0.18888888888888888,24.42631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,11074.0,185.0,26.0,355,361.0,121,108.0,49.0,716,13.0,16.0,5.0,2.0,8.0,10.0,20.0,25.0,44.0,17.0,67.0,346.0,7.0,10.0,10.0,22.0,28.0,22.0,3.0,12.0,7.0,19.0,5.0,7.0,5.0,45.0,14.0,4.0,29.0,4.0,37.0,17.0,54.0,4.0,3.0,3.0,1.0,7.0,1.0,13.0,20.0,,24.0,2.0,9.0,4.0,7.0,5.0,7.0,3.0,22.0,121,0.56,0.6666666666666666,0.5681818181818182,0.5,0.5491803278688525,0.5,0.06818181818181818,0.25,16.385542168674696,0.5714285714285714,0.4,0.19863013698630136,0.10852713178294573,0.125,0.1853932584269663,0.09550561797752809,0.13114754098360656,0.17647058823529413,0.14814814814814814,0.25862068965517243,,0.42857142857142855,0.32,0.8125,0.8666666666666667,0.16,0.25,0.3333333333333333,0.4,0.5,0.5,0.8,0.3333333333333333,0.44,0.46020102040816324,0.49861250000000007,0.49189642857142857,0.15789473684210525,0.17647058823529413,0.3283582089552239,9.165909090909093,0.3408450704225352,4.0,5.0,4.0,,,,6.0,,1.0,5.0,,6.0,4.0,,1.0,2.0,10.0,6.0,5.0,,,8.0,5.0,,,3.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,,,,,,0.5714285714285714,0.6,0.5,0.4,0.5,0.12,0.0625,0.061224489795918366,0.09090909090909091,0.08571428571428572,,0.18181818181818182,0.05,0.38461538461538464,,,,,0.12,,,,0.625,0.8,,0.125,,,0.8,0.3333333333333333,,0.14925373134328357,30.649999999999995,1.0,2.0,1.0,1.0,2.0,1.0,0.08823529411764706,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
324,1610612758,Anthony Peeler,Anthony Peeler,324,SAC,14179.0,236.0,12.0,453,463.0,156,163.0,64.0,916,3.0,9.0,,4.0,6.0,5.0,22.0,12.0,37.0,5.0,50.0,435.0,3.0,7.0,3.0,10.0,18.0,6.0,4.0,15.0,,15.0,,6.0,7.0,30.0,7.0,3.0,24.0,1.0,28.0,7.0,35.0,9.0,6.0,5.0,3.0,14.0,7.0,7.0,19.0,2.0,6.0,,2.0,1.0,2.0,1.0,2.0,2.0,10.0,156,0.75,0.75,0.32432432432432434,0.35714285714285715,0.3787878787878788,0.23809523809523808,0.10810810810810811,,15.065913370998118,0.6428571428571429,0.06666666666666667,0.1218274111675127,0.03954802259887006,0.07142857142857142,0.11297071129707113,0.029411764705882353,0.058823529411764705,0.11320754716981132,0.10606060606060606,0.14102564102564102,0.06666666666666667,1.0,0.14285714285714285,0.3333333333333333,0.6,0.09523809523809523,0.6666666666666666,0.6666666666666666,0.3492063492063492,0.22727272727272727,0.22727272727272727,1.0,,0.5555555555555556,0.4900976190476191,0.49197500000000005,0.5013184210526316,0.03076923076923077,0.05128205128205128,0.2,12.867567567567567,0.3443708609271523,,1.0,,1.0,13.0,6.0,13.0,,2.0,4.0,7.0,26.0,1.0,,3.0,1.0,3.0,2.0,12.0,21.0,,,13.0,6.0,2.0,,,14.0,8.0,6.0,,1.0,,,1.0,0.2692307692307692,,0.2692307692307692,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.18421052631578946,0.21428571428571427,0.4126984126984127,0.4444444444444444,,,0.044444444444444446,,0.07407407407407407,,0.6666666666666666,0.20634920634920634,0.07692307692307693,0.08333333333333333,1.0,0.20634920634920634,0.46153846153846156,0.46153846153846156,1.0,0.16666666666666666,,,0.3333333333333333,,,,0.21052631578947367,0.46153846153846156,0.06,23.880769230769236,,,,,,2.0,,0.5,1.0,8.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.038461538461538464,0.07692307692307693,0.16666666666666666,0.42105263157894735,0.25,,,,,,,,,,,True,,,,,,,,
57,1610612758,Doug Christie,Doug Christie,57,SAC,7902.0,132.0,10.0,251,258.0,98,85.0,39.0,509,7.0,10.0,3.0,,3.0,6.0,18.0,13.0,31.0,16.0,45.0,245.0,4.0,10.0,6.0,19.0,12.0,14.0,1.0,9.0,3.0,12.0,3.0,7.0,2.0,27.0,5.0,4.0,10.0,1.0,15.0,7.0,22.0,4.0,2.0,2.0,2.0,6.0,3.0,1.0,10.0,1.0,19.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,19.0,98,0.46153846153846156,0.5,0.41935483870967744,0.3625,0.4583333333333333,0.5277777777777778,0.03225806451612903,,17.880794701986755,0.6666666666666666,0.14285714285714285,0.08849557522123894,0.04950495049504951,0.18181818181818182,0.1037037037037037,0.044444444444444446,0.06521739130434782,0.06451612903225806,0.06060606060606061,0.12244897959183673,0.16666666666666666,1.0,0.25,0.7,0.7777777777777778,0.075,,,0.45,0.3333333333333333,0.3333333333333333,0.5,0.21428571428571427,0.475,0.48671375,0.5091749999999999,0.4877821428571429,0.15555555555555556,0.19444444444444445,0.4222222222222222,12.374193548387096,0.3904382470119522,3.0,3.0,3.0,1.0,3.0,,6.0,,1.0,2.0,1.0,9.0,3.0,,1.0,3.0,9.0,5.0,4.0,3.0,,2.0,6.0,,,1.0,,8.0,6.0,2.0,1.0,,,1.0,1.0,0.1111111111111111,,0.1111111111111111,0.75,0.5,0.6,0.4642857142857143,0.75,0.225,0.1,0.029411764705882353,0.037037037037037035,0.03571428571428571,,0.1875,,0.42857142857142855,0.075,0.3333333333333333,0.3333333333333333,1.0,0.15,,,,0.6,1.0,,0.2,,,1.0,0.14285714285714285,,0.2,24.47777777777778,,,,1.0,,2.0,0.047619047619047616,,,2.0,,1.0,1.0,,0.25,0.1111111111111111,,,0.14285714285714285,,1.0,1.0,1.0,0.16666666666666666,0.1111111111111111,0.5,,,,,True,,,,,,,,
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,10488.0,175.0,-2.0,323,334.0,105,129.0,49.0,657,12.0,22.0,6.0,3.0,10.0,7.0,18.0,22.0,50.0,19.0,81.0,322.0,10.0,14.0,8.0,33.0,24.0,20.0,7.0,2.0,2.0,4.0,1.0,,2.0,10.0,6.0,4.0,15.0,1.0,20.0,7.0,27.0,4.0,3.0,,1.0,4.0,2.0,3.0,10.0,,21.0,2.0,6.0,3.0,1.0,,1.0,,33.0,105,0.5454545454545454,0.6666666666666666,0.44,0.40789473684210525,0.4578313253012048,0.5740740740740741,0.14,0.2,22.538860103626945,1.0,0.08333333333333333,0.10714285714285714,0.043795620437956206,0.125,0.11046511627906977,0.0374331550802139,0.030303030303030304,0.07894736842105263,0.11764705882352941,0.11764705882352941,0.08333333333333333,,0.2894736842105263,0.5454545454545454,0.7058823529411765,0.13157894736842105,0.3,0.375,0.23684210526315788,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.25,0.631578947368421,0.5010506666666666,0.49996666666666667,0.49149999999999994,0.075,0.1111111111111111,0.4074074074074074,8.294,0.32507739938080493,4.0,7.0,5.0,,4.0,6.0,22.0,1.0,4.0,8.0,6.0,26.0,6.0,1.0,5.0,2.0,17.0,8.0,10.0,15.0,3.0,8.0,22.0,6.0,,1.0,,6.0,2.0,4.0,,,1.0,5.0,0.8333333333333334,0.23076923076923078,0.2,0.23076923076923078,0.6,0.5714285714285714,0.5,0.5208333333333334,0.5,0.34210526315789475,0.22727272727272727,0.02,0.05263157894736842,0.06060606060606061,0.058823529411764705,0.15,,0.5833333333333334,0.05263157894736842,,,,0.2894736842105263,0.2727272727272727,0.2857142857142857,0.8333333333333334,0.4666666666666667,0.5714285714285714,0.25,0.26666666666666666,0.25,,0.8333333333333334,0.3333333333333333,0.2727272727272727,0.20987654320987653,24.957692307692305,,1.0,,,1.0,3.0,,0.3333333333333333,1.0,2.0,3.0,3.0,1.0,,0.3,0.038461538461538464,,0.06666666666666667,0.08333333333333333,0.375,,,,0.045454545454545456,,,,,,,True,,,,,,,,
185,1610612758,Chris Webber,Chris Webber,185,SAC,8128.0,135.0,-16.0,260,261.0,105,108.0,38.0,521,17.0,29.0,9.0,5.0,19.0,7.0,22.0,29.0,70.0,12.0,73.0,274.0,8.0,22.0,10.0,30.0,40.0,18.0,3.0,7.0,3.0,10.0,2.0,4.0,2.0,23.0,9.0,4.0,19.0,4.0,27.0,10.0,37.0,7.0,4.0,7.0,3.0,14.0,5.0,6.0,11.0,1.0,18.0,,7.0,2.0,2.0,2.0,2.0,,30.0,105,0.6896551724137931,0.7407407407407407,0.4142857142857143,0.4236111111111111,0.4506172839506173,0.5172413793103449,0.04285714285714286,,31.045751633986928,0.5,0.4,0.18627450980392157,0.08653846153846154,0.14285714285714285,0.17692307692307693,0.072992700729927,0.0425531914893617,0.15151515151515152,0.21875,0.1891891891891892,0.1,,0.4027777777777778,0.5862068965517241,0.6538461538461539,0.2638888888888889,0.2631578947368421,0.2631578947368421,0.3055555555555556,0.3181818181818182,0.3181818181818182,1.0,0.4090909090909091,0.4305555555555556,0.4665131944444444,0.5477375,0.45924545454545457,0.08860759493670886,0.09090909090909091,0.410958904109589,7.755714285714285,0.40384615384615385,4.0,7.0,6.0,,,1.0,2.0,,,,1.0,2.0,4.0,,,1.0,9.0,10.0,,3.0,,4.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,2.0,,4.0,,1.0,0.5,,0.5,0.5,0.45454545454545453,0.5,0.45454545454545453,0.5,0.027777777777777776,0.10344827586206896,0.030303030303030304,0.14285714285714285,0.10344827586206896,0.07692307692307693,0.16666666666666666,0.10256410256410256,0.6470588235294118,,,,,0.027777777777777776,0.5,0.5,1.0,0.875,0.5714285714285714,0.25,,,,0.6666666666666666,,0.5,0.1232876712328767,24.3,,1.0,2.0,1.0,,4.0,,0.4,,,,,,,,,,,,,,,,,,,1.0,1.0,,,True,,,,,,,,
2443,1610612758,Darius Songaila,Darius Songaila,2443,SAC,3593.0,60.0,-14.0,123,126.0,34,49.0,17.0,249,6.0,9.0,2.0,1.0,3.0,,,7.0,12.0,2.0,16.0,119.0,3.0,2.0,,2.0,10.0,4.0,3.0,,1.0,1.0,1.0,,,3.0,3.0,,6.0,,6.0,5.0,11.0,2.0,1.0,3.0,1.0,5.0,1.0,2.0,10.0,1.0,2.0,,1.0,,,,,,2.0,34,0.7142857142857143,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5,0.25,0.3333333333333333,12.587412587412588,0.4,,0.10909090909090909,0.0625,,0.0967741935483871,0.07936507936507936,0.045454545454545456,0.3333333333333333,0.05263157894736842,,,,0.75,0.6666666666666666,0.8571428571428571,0.25,0.3333333333333333,0.5,,,,,1.0,0.75,0.5711083333333332,0.5377666666666666,0.5498,0.07692307692307693,0.07692307692307693,0.125,1.5333333333333332,0.2764227642276423,1.0,2.0,1.0,,,,,,,,,,1.0,,,,2.0,1.0,,,,2.0,,,,2.0,,,,,,,1.0,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,,0.2222222222222222,0.13333333333333333,0.11764705882352941,,,,,0.8333333333333334,,,,,,,,,0.6666666666666666,0.5,,,,,0.5,,,0.125,,,,1.0,,,3.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2074,1610612758,Jabari Smith,Jabari Smith,2074,SAC,478.0,8.0,-3.0,18,19.0,18,19.0,2.0,37,,,,,,1.0,2.0,1.0,2.0,3.0,5.0,17.0,1.0,2.0,3.0,5.0,,2.0,,,,,,,,,1.0,,2.0,,2.0,1.0,3.0,,,,,,,,2.0,,4.0,,1.0,1.0,1.0,,1.0,,5.0,18,,,0.5,0.5,0.625,0.625,,,20.0,,,0.16666666666666666,0.16666666666666666,,0.15384615384615385,0.14285714285714285,0.2,0.25,0.3333333333333333,,,,,,,,,,1.0,0.5,0.5,,,,0.3882,0.404,0.3882,0.3333333333333333,0.3333333333333333,1.0,15.9,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2222,1610612758,Gerald Wallace,Gerald Wallace,2222,SAC,976.0,16.0,-6.0,37,37.0,27,24.0,3.0,74,2.0,2.0,1.0,,,,3.0,2.0,5.0,1.0,5.0,33.0,,4.0,,2.0,2.0,2.0,,,1.0,1.0,,,,3.0,,,2.0,,2.0,,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,4.0,1.0,2.0,,1.0,,,,1.0,,2.0,27,0.5,0.5,0.4,0.4,0.4166666666666667,0.25,,,20.0,0.5,,0.09523809523809523,,,0.08695652173913043,,,0.125,0.14285714285714285,,,,0.4,1.0,1.0,,,,0.6,,,,0.25,0.4,0.47173999999999994,,0.43367500000000003,0.16666666666666666,0.16666666666666666,0.4,12.02,0.7297297297297297,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.25,,0.25,,,,,,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,
