EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,AtRimFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,ShortMidRangeFGA,FG2M,PtsAssisted2s,FTOffRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,OffFTReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Avg2ptShotDistance,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,LostBallSteals,FG2APctBlocked,AtRimPctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Assists,DefThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,DefThreePtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAssists,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefArc3ReboundPct,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,on,StepOutOfBoundsTurnovers,BlockedShortMidRange,SecondChanceAtRimPctAssisted,BlockedLongMidRange,LongMidRangePctBlocked,Travels,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
109,1610612759,Robert Horry,Robert Horry,109,SAS,441.0,7.0,-3.0,16,15,15,13,5.0,31,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,4.0,6.0,17.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,6.0,6.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,6.0,15,1.0,0.5,0.3333333333333333,0.5,0.5,0.6,0.375,0.6,0.6,0.375,0.6,0.8,19.23076923076923,0.25,0.4,0.16666666666666666,0.2727272727272727,0.3333333333333333,0.5,0.2,0.2,0.8,0.5,0.5,1.0,0.25,0.75,0.3333333333333333,1.0,0.2,0.8,0.5,1.0,0.5,0.49687000000000003,0.5089625,0.49687000000000003,0.5,1.0,25.1,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,708.0,12.0,-4.0,25,21,5,3,3.0,46,1.0,,,,,,,,,2.0,,,2.0,22.0,,,,,,,,,,,,,,,,1.0,1.0,,5,,,,,,0.5,,,0.5,,,,6.8965517241379315,,,,,,,,0.5,,,,,,,,,,,,0.5,,0.5569999999999999,,,,,,0.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,2324.0,39.0,1.0,80,80,33,41,11.0,160,5.0,1.0,1.0,2.0,6.0,,2.0,1.0,3.0,8.0,2.0,7.0,27.0,83.0,1.0,,2.0,4.0,2.0,1.0,4.0,10.0,6.0,6.0,2.0,,2.0,,1.0,2.0,3.0,10.0,33,1.0,0.2857142857142857,,0.25,0.2857142857142857,0.5333333333333333,0.3333333333333333,0.4166666666666667,0.625,0.5,0.5555555555555556,0.4666666666666667,24.0,,0.07692307692307693,,0.05263157894736842,0.1,,,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,,,0.16666666666666666,0.5,0.3333333333333333,0.8,0.3333333333333333,0.5099466666666667,0.566125,0.4940416666666667,0.14814814814814814,0.37037037037037035,25.185714285714287,0.4125,4.0,2.0,5.0,2.0,,0.2,0.25,0.625,,0.8,0.8,0.25,0.13333333333333333,4.3,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0,1.0,5.0,8.0,2.0,7.0,7.0,5.0,2.0,14.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,12.0,2.0,2.0,3.0,3.0,1.0,0.5,0.75,0.0625,0.05263157894736842,0.25,0.25,0.5,0.5,0.06666666666666667,0.06666666666666667,1.0,1.0,0.16666666666666666,0.11764705882352941,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,1225.0,20.0,-6.0,40,39,26,27,8.0,79,3.0,,1.0,1.0,1.0,,,,,9.0,1.0,1.0,12.0,47.0,,,,2.0,5.0,,,5.0,3.0,1.0,1.0,,1.0,,1.0,1.0,2.0,5.0,26,1.0,1.0,,,1.0,0.45,,0.2,0.5,1.0,0.35714285714285715,0.1,27.45098039215686,,0.05,,0.041666666666666664,,,,0.3,0.1,1.0,1.0,1.0,,,,,0.2,,,0.4,1.0,0.41866499999999995,,0.31804,0.16666666666666666,0.4166666666666667,24.4,0.65,1.0,,3.0,2.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,,13.488888888888889,,,,6.0,,,3.0,,2.0,1.0,3.0,4.0,,,3.0,,,9.0,1.0,1.0,,2.0,1.0,,,1.0,2.0,2.0,,1.0,1.0,4.0,,,2.0,1.0,,0.2,1.0,0.14285714285714285,0.09090909090909091,0.16666666666666666,1.0,,,0.6,,,,,,,2.0,1.0,3.0,3.0,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
990,1610612759,Malik Rose,Malik Rose,990,SAS,3416.0,57.0,-7.0,120,116,45,67,14.0,236,6.0,4.0,2.0,,1.0,,,,1.0,14.0,,2.0,10.0,124.0,6.0,,,,4.0,,2.0,3.0,,1.0,,4.0,5.0,2.0,5.0,12.0,17.0,3.0,45,,,,,,0.25,,0.16666666666666666,0.2777777777777778,,0.21428571428571427,0.125,18.055555555555557,0.3333333333333333,0.11627906976744186,0.2857142857142857,0.15789473684210525,0.21428571428571427,0.05263157894736842,0.4,0.375,0.0625,,,,0.6666666666666666,,,,0.3333333333333333,0.16666666666666666,,0.5,,0.447440625,0.45265,0.42767499999999997,,0.3,24.7,0.375,1.0,3.0,4.0,6.0,3.0,0.75,0.75,0.2857142857142857,0.6,0.16666666666666666,0.25,1.0,0.1875,8.457142857142857,,,2.0,5.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,3.0,6.0,3.0,,15.0,2.0,4.0,3.0,4.0,4.0,4.0,,,8.0,1.0,1.0,6.0,,4.0,,1.0,1.0,2.0,,0.25,0.5,0.09090909090909091,0.0967741935483871,0.1,,0.6666666666666666,0.6666666666666666,0.3125,0.0625,,,0.16666666666666666,0.058823529411764705,0.06666666666666667,1.0,2.0,3.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.2,0.2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.1111111111111111,0.125,0.16666666666666666,0.16666666666666666,0.1111111111111111,1.0,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,1742.0,29.0,9.0,60,61,18,24,6.0,121,6.0,1.0,2.0,,,,,,,12.0,,,21.0,57.0,1.0,,,2.0,4.0,,,6.0,,,,1.0,1.0,1.0,4.0,2.0,6.0,6.0,18,,,,,,0.5833333333333334,1.0,0.5,0.7,1.0,0.6,,26.086956521739133,1.0,0.05555555555555555,0.16666666666666666,0.08333333333333333,,,,0.5,,,,,1.0,,,,0.5,,,0.5,,0.446375,0.5612,0.511525,0.09523809523809523,0.2857142857142857,,0.3,5.0,5.0,7.0,10.0,,0.7142857142857143,0.8333333333333334,0.5833333333333334,,0.8333333333333334,1.0,0.8,0.4166666666666667,5.5249999999999995,1.0,2.0,2.0,1.0,,,7.0,1.0,,2.0,2.0,4.0,2.0,2.0,3.0,,,7.0,2.0,2.0,2.0,3.0,,,,3.0,3.0,,3.0,4.0,,7.0,,3.0,1.0,1.0,1.0,0.5,1.0,0.15384615384615385,0.2,0.25,,0.4,0.5,0.08333333333333333,,1.0,1.0,,0.21428571428571427,0.21428571428571427,,2.0,1.0,,,0.16666666666666666,0.16666666666666666,,,,1.0,1.0,1.0,,,,,,,,,0.5,0.4,,,0.3333333333333333,,0.5,2.0,1.0,0.2,0.5,1.0,,,,,,,,,,,,,True,,,,,,,,,
2045,1610612759,Hedo Turkoglu,Hedo Turkoglu,2045,SAS,2197.0,37.0,-10.0,79,77,24,38,9.0,156,,,,,4.0,,,,1.0,2.0,1.0,6.0,5.0,78.0,,,,,1.0,,1.0,2.0,3.0,4.0,,,,2.0,4.0,,4.0,2.0,24,1.0,0.16666666666666666,,,0.16666666666666666,0.1875,,,0.2777777777777778,,0.3333333333333333,0.75,10.309278350515465,0.5,,,,,,,,0.5,,,,,,,,,0.5,,0.75,,0.49310625,,0.467075,,0.4,24.95,0.3037974683544304,,,,,,,,,,,,,,18.6,,,,2.0,2.0,,2.0,,,,2.0,,,1.0,3.0,,1.0,8.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,3.0,4.0,,2.0,,,1.0,1.0,,,1.0,0.058823529411764705,0.09523809523809523,,,,,0.25,0.25,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,0.25,0.2,,0.25,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,True,,,,,,,,,
2484,1610612759,Devin Brown,Devin Brown,2484,SAS,1458.0,24.0,-3.0,53,50,27,37,8.0,103,5.0,1.0,3.0,1.0,1.0,,,,,6.0,1.0,2.0,9.0,58.0,1.0,,1.0,,3.0,,,6.0,3.0,1.0,1.0,1.0,,,5.0,1.0,6.0,6.0,27,1.0,0.5,,,0.5,0.4375,,0.6666666666666666,0.45,,0.6,0.25,16.176470588235293,,,0.1111111111111111,0.034482758620689655,,,0.16666666666666666,0.625,0.125,1.0,1.0,1.0,0.5,,,,1.0,,,0.875,1.0,0.5683625,,0.6284,,0.6666666666666666,24.0,0.5094339622641509,2.0,1.0,2.0,2.0,,0.5,0.5,0.3333333333333333,,0.4,0.6666666666666666,0.5,0.125,2.033333333333333,,2.0,,,1.0,,2.0,,,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,4.0,3.0,1.0,,1.0,1.0,,,,1.0,,1.0,4.0,,5.0,,2.0,1.0,2.0,,0.6666666666666666,1.0,0.42857142857142855,0.38461538461538464,,1.0,,,,0.125,,0.6666666666666666,,0.2222222222222222,0.2857142857142857,,3.0,,,1.0,0.5,0.4,,,,,2.0,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,,,,,1.0,1.0,,0.5,,,,,1.0,0.5,,,,,,,True,,,,,,,,,
2078,1610612759,Jason Hart,Jason Hart,2078,SAS,1526.0,25.0,-1.0,53,53,10,27,2.0,106,1.0,,1.0,,,,,,,9.0,,,8.0,55.0,,,,,3.0,,,4.0,,,,,,,1.0,,1.0,4.0,10,,,,,,0.4444444444444444,,0.6666666666666666,0.4444444444444444,,0.6666666666666666,,16.07142857142857,,,,,,,,0.1111111111111111,,,,,,,,,0.3333333333333333,,,0.1111111111111111,,0.4234777777777778,,0.48066666666666663,,0.5,,0.18867924528301888,,1.0,4.0,4.0,,0.5,0.5,0.4444444444444444,,,,,0.1111111111111111,14.299999999999999,,,1.0,7.0,,,,,,2.0,,4.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,2.0,,,,,,,,0.6666666666666666,,0.125,0.09090909090909091,,0.25,1.0,1.0,0.7777777777777778,,,,,,,3.0,,,,1.0,,,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1725,1610612759,Rasho Nesterovic,Rasho Nesterovic,1725,SAS,604.0,10.0,-12.0,18,18,2,8,2.0,36,,,,,,,,,,3.0,,,,27.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,2,,,,,,,,,,,,,22.727272727272727,,0.07692307692307693,,0.07692307692307693,,,,,,,,,,,,,,,,,,0.37753333333333333,0.3731,,,,,0.1111111111111111,,2.0,,,,,,,,,,,0.6666666666666666,12.433333333333332,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,2.0,,2.0,2.0,,,,,,,,,0.5,0.3333333333333333,0.16666666666666666,0.25,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,0.5,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
