EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,AtRimAssists,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,HeaveAttempts,Corner3Assists,SelfOReb,Technical Free Throw Trips,SecondChanceFg2Pct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,LongMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyFG3M,ShortMidRangeAssists,LostBallSteals,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefCorner3ReboundPct,PenaltyCorner3Accuracy,PtsPutbacks,Clear Path Fouls,3SecondViolations,OffShortMidRangeReboundPct,SecondChanceTurnovers,PenaltyArc3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,on,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,OffArc3ReboundPct,Offensive Fouls,DefensiveGoaltends,Defensive 3 Seconds Violations,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted
1548,1610612738,Mark Blount,Mark Blount,1548,BOS,2291.0,38.0,-6,66.0,70,20.0,22.0,5.0,136,2.0,4.0,1.0,2.0,3.0,3.0,4.0,10.0,4.0,12.0,67.0,1.0,1.0,2.0,5.0,2.0,6.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,4.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,2.0,1.0,6.0,20.0,1.0,1.0,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.2,0.5,18.055555555555557,0.1724137931034483,0.14285714285714285,0.14285714285714285,0.13513513513513514,0.14285714285714285,0.2,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.3076923076923077,0.5,0.4,0.5,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,0.3,0.2,0.4,0.47257999999999994,0.41346,0.25,0.25,0.08333333333333333,0.5,8.55,0.30303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,2397.0,40.0,-12,70.0,75,19.0,24.0,8.0,145,4.0,7.0,3.0,1.0,2.0,2.0,5.0,11.0,2.0,21.0,75.0,,3.0,3.0,4.0,,6.0,4.0,2.0,2.0,,2.0,,1.0,4.0,,1.0,8.0,10.0,1.0,11.0,,,,,5.0,3.0,2.0,,1.0,2.0,1.0,2.0,,6.0,19.0,0.4,0.4,0.45454545454545453,0.75,0.5277777777777778,0.6,0.5526315789473685,0.75,0.6,0.18181818181818182,0.2857142857142857,30.0,0.3333333333333333,0.037037037037037035,,0.2727272727272727,0.02702702702702703,,0.1,,0.6666666666666666,0.3333333333333333,,0.3888888888888889,0.5714285714285714,0.8,0.5,0.1111111111111111,0.5,0.5,,0.1111111111111111,0.6,0.7777777777777778,0.5384944444444444,0.55149,0.05263157894736842,0.08333333333333333,0.14285714285714285,0.2857142857142857,6.7,0.2714285714285714,2.0,3.0,7.0,1.0,2.0,1.0,3.0,7.0,1.0,2.0,1.0,6.0,6.0,3.0,7.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.42857142857142855,0.5,0.42857142857142855,0.75,0.3888888888888889,1.0,0.5,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,0.2,0.42857142857142855,0.6348,25.271428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1729,1610612738,Ricky Davis,Ricky Davis,1729,BOS,3210.0,54.0,-16,94.0,99,24.0,30.0,11.0,193,3.0,8.0,1.0,,,8.0,5.0,16.0,3.0,19.0,104.0,1.0,3.0,,1.0,,,2.0,1.0,4.0,2.0,6.0,1.0,1.0,14.0,,2.0,2.0,5.0,2.0,7.0,,,1.0,1.0,7.0,3.0,4.0,1.0,2.0,,,,,,24.0,0.2,0.2,0.3125,,0.38095238095238093,,0.4090909090909091,0.3333333333333333,,0.0625,0.125,27.102803738317757,0.05405405405405406,0.05714285714285714,,0.10638297872340426,0.043478260869565216,0.06666666666666667,0.07142857142857142,,,0.10526315789473684,,0.38095238095238093,0.375,0.42857142857142855,0.3333333333333333,,,,,0.38095238095238093,0.3333333333333333,0.6190476190476191,0.5006421052631578,0.698,0.09090909090909091,0.11764705882352941,0.15789473684210525,,9.99375,0.2553191489361702,,1.0,3.0,,,2.0,2.0,5.0,,,2.0,8.0,6.0,,2.0,1.0,3.0,3.0,,6.0,3.0,3.0,1.0,1.0,,,,1.0,0.4,,0.5,0.3333333333333333,0.23809523809523808,0.8571428571428571,,0.3,,0.375,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,,,,0.6666666666666666,0.5,0.5668666666666666,32.06,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.09090909090909091,0.25,0.25,0.09523809523809523,0.5,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1908,1610612738,Jumaine Jones,Jumaine Jones,1908,BOS,808.0,13.0,-15,26.0,28,11.0,9.0,3.0,54,1.0,1.0,,,,2.0,2.0,3.0,,4.0,33.0,,2.0,,1.0,,,4.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,11.0,1.0,1.0,0.6666666666666666,,0.5,,0.5,1.0,,,,14.285714285714285,0.1,,,0.07692307692307693,,,,,,0.125,,0.25,1.0,1.0,1.0,,,,,0.5,,0.5,0.529175,0.46185,,,0.5,,11.4,0.4230769230769231,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,0.25,,,,,,,,,,,,,,,,0.4096,22.7,,,1.0,,1.0,1.0,1.0,,,,,1.0,,0.5,0.5,0.25,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2556,1610612738,Marcus Banks,Marcus Banks,2556,BOS,3462.0,58.0,-22,103.0,110,29.0,38.0,11.0,213,1.0,4.0,,1.0,2.0,5.0,5.0,11.0,4.0,20.0,120.0,,2.0,3.0,3.0,,9.0,4.0,2.0,5.0,2.0,7.0,1.0,1.0,16.0,,1.0,4.0,6.0,1.0,7.0,2.0,1.0,,,3.0,9.0,4.0,,2.0,1.0,,1.0,,9.0,29.0,0.4,0.4,0.45454545454545453,1.0,0.5,0.75,0.5555555555555556,1.0,0.75,0.18181818181818182,,18.10344827586207,0.1,0.02631578947368421,,0.11764705882352941,0.02,0.0625,,,,0.2,,0.25,0.25,0.25,,0.125,0.5,1.0,,0.3125,,0.5625,0.457321875,0.4653833333333333,0.1111111111111111,0.15384615384615385,0.1,0.45,10.427272727272726,0.2815533980582524,,1.0,3.0,,,1.0,2.0,5.0,,,3.0,6.0,6.0,,3.0,1.0,3.0,2.0,,3.0,2.0,1.0,1.0,2.0,,1.0,3.0,1.0,0.4,,0.4,1.0,0.3125,1.0,,0.18181818181818182,,0.125,0.1875,0.3333333333333333,0.3333333333333333,1.0,,,,,0.16666666666666666,0.3333333333333333,0.4853,24.4,,,3.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,0.6,0.75,0.125,0.5,0.5,1.0,,,2.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.2,0.3333333333333333,0.5,,,,,,,,,,,True,,,,,,,,,,,
2036,1610612738,Chris Mihm,Chris Mihm,2036,BOS,2120.0,35.0,-19,64.0,68,15.0,32.0,7.0,132,2.0,4.0,1.0,1.0,3.0,1.0,4.0,8.0,,8.0,84.0,,4.0,1.0,2.0,,2.0,4.0,,,,,,,,,2.0,1.0,5.0,2.0,7.0,1.0,,,1.0,2.0,6.0,,,,2.0,2.0,2.0,1.0,2.0,15.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,,,13.698630136986301,0.05,0.09090909090909091,,0.15384615384615385,0.06666666666666667,0.125,,,,,0.5,0.5,0.5,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,,0.125,0.5,0.5,0.4594875,0.4738,,,0.5,0.25,5.925,0.234375,1.0,,,,,,,,,,,4.0,,,,,,3.0,1.0,1.0,,1.0,,3.0,1.0,,,,,,,0.6666666666666666,,0.5,0.5,0.5,0.16666666666666666,0.5,,,,,,,,1.0,,,0.4672666666666667,,1.0,2.0,1.0,,,2.0,3.0,,,,,0.6666666666666666,,1.0,1.0,,,,,0.6666666666666666,0.5,,1.0,,,,,1.0,,,,0.5,,2.0,1.0,1.0,0.25,,,,,,,True,,,,,,,,,,,
2599,1610612738,Brandon Hunter,Brandon Hunter,2599,BOS,481.0,8.0,-5,15.0,18,7.0,13.0,2.0,33,1.0,1.0,,,,,1.0,1.0,,2.0,22.0,,2.0,,,,,,,1.0,,1.0,,,2.0,,2.0,,1.0,2.0,3.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,7.0,,,1.0,,1.0,,1.0,1.0,,,,11.76470588235294,,0.4,,,0.3333333333333333,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,0.5124,,,,1.0,,2.9,0.4666666666666667,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,0.3333333333333333,,,,,,,,,,,,,,0.5124,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,,,True,,,,,,,,,,,
962,1610612738,Walter McCarty,Walter McCarty,962,BOS,1119.0,19.0,-2,33.0,34,8.0,7.0,3.0,67,,,,,,,,,,3.0,37.0,,,,,,3.0,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,3.0,8.0,,,,,0.75,1.5,0.75,,1.5,,,7.894736842105263,0.0625,,,0.05555555555555555,,,,,0.2,,,,,,,,,,,,,1.0,0.5223,0.5688,,,,1.0,,0.24242424242424243,,,1.0,,,,1.0,2.0,,,1.0,,3.0,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,0.5,,0.5,,1.0,1.0,,,,,0.5,,,,,,,,,,,25.2,,,,1.0,1.0,,,,,,,,,,,0.5,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
2412,1610612738,Jiri Welsch,Jiri Welsch,2412,BOS,1360.0,23.0,-13,42.0,45,10.0,14.0,4.0,87,,,,,1.0,4.0,2.0,5.0,2.0,9.0,56.0,,,,1.0,,3.0,2.0,,,2.0,2.0,1.0,,6.0,,,1.0,1.0,,1.0,1.0,,,,,,2.0,,1.0,,,,,3.0,10.0,0.5,0.5,0.4,,0.4375,0.75,0.5,,0.75,,,19.565217391304348,0.05263157894736842,,,0.043478260869565216,,,,,,,,,,,,0.125,,,,0.5,,0.375,0.43174375,0.42145,0.1111111111111111,0.16666666666666666,,0.3333333333333333,14.64,0.23809523809523808,,1.0,2.0,,,1.0,1.0,3.0,,,1.0,2.0,,3.0,2.0,1.0,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.375,,,,0.16666666666666666,,0.25,0.5,1.0,,,,,,0.5,0.5,,24.733333333333334,,,2.0,,1.0,,,,1.0,,,,,0.5,0.5,0.125,,,,,,,0.5,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,0.3333333333333333,0.5,1.0,True,,,,,,,,,,,
1565,1610612738,Michael Stewart,Michael Stewart,1565,BOS,4.0,,-2,,1,,1.0,,1,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
