EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceAtRimFGM,BadPassSteals,Loose Ball Fouls,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedAtRim,Offensive Fouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallTurnovers,Travels,DefCorner3ReboundPct,ShortMidRangePctAssisted,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,RecoveredBlocks,DefensiveGoaltends,BlocksRecoveredPct,OffensiveGoaltends,3SecondViolations,on,SecondChanceFtPoints,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,OffCorner3ReboundPct
1720,1610612743,Michael Doleac,Michael Doleac,1720,DEN,2403.0,40,20,75,73,30.0,38.0,13.0,148,1.0,2.0,1.0,2.0,4.0,6,5.0,8,10.0,65,2.0,3.0,4.0,2.0,4.0,4.0,10.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,4.0,5.0,2.0,7.0,3.0,7.0,4.0,30.0,2.0,1.0,1.0,0.625,0.6666666666666666,0.5,0.625,0.6666666666666666,0.5,0.625,0.6666666666666666,0.5,0.125,0.16666666666666666,8.88888888888889,0.15384615384615385,0.03333333333333333,0.5,0.14285714285714285,0.17857142857142858,0.05405405405405406,0.1,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.5,0.25,0.5,0.5,1.0,0.75,0.6666666666666666,0.8,1.0,0.5,0.5,0.25,0.3754875,0.3090333333333333,0.386575,0.4,0.4,14.450000000000001,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1763,1610612743,Ryan Bowen,Ryan Bowen,1763,DEN,321.0,5,10,11,12,11.0,9.0,1.0,23,,,,,1.0,1,1.0,1,2.0,7,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,2.0,11.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,8.333333333333334,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,0.4664,,0.4664,,1.0,20.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,7184.0,120,20,228,226,88.0,98.0,43.0,454,5.0,12.0,2.0,5.0,12.0,23,23.0,49,67.0,218,2.0,3.0,7.0,8.0,17.0,34.0,6.0,6.0,17.0,19.0,5.0,10.0,40.0,,6.0,3.0,2.0,6.0,6.0,12.0,1.0,6.0,34.0,88.0,1.0,0.13043478260869565,0.13636363636363635,0.46938775510204084,0.6666666666666666,0.47058823529411764,0.48412698412698413,0.875,0.56,0.5075757575757576,0.875,0.6071428571428571,0.12244897959183673,,25.9927797833935,0.02702702702702703,0.058823529411764705,0.2,,0.056179775280898875,0.047244094488188976,0.06666666666666667,,,0.05,0.2727272727272727,0.19047619047619047,0.4166666666666667,0.625,0.2,0.36507936507936506,0.5217391304347826,0.5217391304347826,0.16666666666666666,0.2,0.4,0.4126984126984127,0.47246129032258066,0.4614333333333333,0.4813,0.1044776119402985,0.5074626865671642,11.548979591836734,0.38596491228070173,1.0,6.0,14.0,5.0,14.0,1.0,1.0,4.0,8.0,5.0,14.0,6.0,1.0,1.0,4.0,8.0,6.0,40.0,3.0,12.0,2.0,1.0,13.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,6.0,4.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2,0.35714285714285715,1.0,0.5,0.38461538461538464,0.2222222222222222,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.06666666666666667,0.04,0.06382978723404255,0.025,0.03571428571428571,0.2222222222222222,0.42857142857142855,0.5,0.2222222222222222,0.35714285714285715,0.35714285714285715,0.2,0.25,0.25,1.0,0.32,0.5,0.38461538461538464,0.03125,0.04,26.50714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,3313.0,55,16,104,99,30.0,31.0,21.0,203,7.0,13.0,1.0,2.0,3.0,6,12.0,24,24.0,92,4.0,9.0,8.0,1.0,3.0,2.0,8.0,,3.0,5.0,2.0,1.0,12.0,2.0,2.0,2.0,1.0,4.0,4.0,8.0,2.0,6.0,2.0,30.0,2.0,0.3333333333333333,0.36363636363636365,0.5,0.4444444444444444,0.3333333333333333,0.48,0.4444444444444444,0.25,0.48,0.4444444444444444,0.25,,,20.47244094488189,0.03225806451612903,0.041666666666666664,0.2222222222222222,0.16666666666666666,0.075,0.06666666666666667,0.06666666666666667,0.2,,,0.3333333333333333,0.52,0.5384615384615384,0.5384615384615384,0.2857142857142857,0.24,0.5,0.5,0.6666666666666666,0.5,0.5,0.56,0.525674,0.5699333333333333,0.4828625,0.3333333333333333,0.08333333333333333,6.183333333333333,0.28846153846153844,9.0,2.0,5.0,,1.0,,,,1.0,,1.0,,,,,1.0,,16.0,,,2.0,,1.0,,2.0,2.0,,,1.0,,5.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,0.04,,,,0.2,,0.043478260869565216,0.045454545454545456,,0.2,0.4,0.4,0.04,,,,1.0,,,0.25,,,0.04,0.041666666666666664,28.6,4.0,4.0,2.0,0.4444444444444444,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2365,1610612743,Chris Andersen,Chris Andersen,2365,DEN,1397.0,23,27,46,45,22.0,22.0,8.0,91,3.0,5.0,,1.0,,1,3.0,6,6.0,30,1.0,2.0,2.0,,1.0,,4.0,1.0,1.0,2.0,,1.0,5.0,1.0,4.0,1.0,4.0,6.0,5.0,11.0,3.0,3.0,,22.0,,0.6666666666666666,1.0,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.16666666666666666,,14.545454545454545,0.2222222222222222,0.25,0.3333333333333333,0.2,0.23809523809523808,0.23809523809523808,0.16666666666666666,0.3333333333333333,,0.2,0.3333333333333333,0.8333333333333334,0.6,0.75,0.6666666666666666,0.16666666666666666,,,,1.0,,0.8333333333333334,0.5180666666666667,0.5674,0.5371,0.3333333333333333,,3.0833333333333335,0.4782608695652174,2.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,,,,0.2,,0.5,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.25,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2206,1610612743,Rodney White,Rodney White,2206,DEN,1285.0,21,-2,43,41,17.0,15.0,7.0,84,2.0,3.0,2.0,2.0,1.0,7,4.0,11,8.0,45,1.0,2.0,2.0,2.0,5.0,4.0,4.0,1.0,,,,,,1.0,,1.0,,4.0,1.0,5.0,,3.0,4.0,17.0,1.0,0.5,0.5,0.36363636363636365,0.5,0.4,0.2857142857142857,0.5,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,0.09090909090909091,,31.372549019607842,,,1.0,0.2,0.09090909090909091,0.041666666666666664,,0.2,,,1.0,0.21428571428571427,0.6666666666666666,1.0,0.5,0.5,0.14285714285714285,0.14285714285714285,1.0,0.2857142857142857,1.0,0.42857142857142855,0.4426321428571428,0.5944,0.42737857142857144,0.25,0.5,13.009090909090911,0.3953488372093023,2.0,1.0,1.0,,3.0,,,,2.0,,3.0,,,,,2.0,,4.0,,,,,3.0,,,,,,3.0,,2.0,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,0.21428571428571427,0.3333333333333333,,,0.6,,,,,0.07142857142857142,1.0,1.0,0.21428571428571427,,,,1.0,,,0.2857142857142857,,,,,24.933333333333337,1.0,2.0,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
468,1610612743,Jon Barry,Jon Barry,468,DEN,3822.0,64,18,122,120,45.0,55.0,26.0,242,,2.0,,,1.0,4,2.0,9,15.0,109,2.0,4.0,4.0,,,6.0,2.0,2.0,5.0,6.0,5.0,,13.0,1.0,2.0,1.0,6.0,7.0,3.0,10.0,,2.0,6.0,45.0,1.0,0.5,0.5,0.2222222222222222,0.5,,0.40625,0.5,1.5,0.4411764705882353,0.5,1.5,0.2222222222222222,0.25,12.337662337662337,0.13953488372093023,0.03571428571428571,0.14285714285714285,0.0625,0.14,0.041666666666666664,,0.07142857142857142,,0.09090909090909091,0.2,0.125,,,,0.25,0.25,0.3333333333333333,1.0,,,0.5625,0.51261875,0.4050666666666667,0.53415,0.26666666666666666,0.4,11.122222222222222,0.36885245901639346,,1.0,3.0,2.0,4.0,,,1.0,1.0,3.0,7.0,2.0,,,2.0,2.0,,2.0,9.0,,,,4.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,2.0,2.0,,2.0,,1.0,,,,,1.0,0.42857142857142855,,1.0,0.42857142857142855,0.4375,0.5,,,,0.15384615384615385,,0.23809523809523808,0.1111111111111111,0.1875,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,1.0,,,,0.5,1.0,0.5,0.058823529411764705,0.1,24.728571428571428,,,,,,,,,,1.0,3.0,1.0,1.0,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,,,,,,,,,,,,,,True,,,,,
2403,1610612743,Nene,Nene,2403,DEN,2890.0,48,-21,88,89,36.0,36.0,16.0,177,4.0,7.0,2.0,3.0,,4,5.0,14,14.0,101,,1.0,,2.0,4.0,6.0,8.0,,3.0,5.0,3.0,,12.0,1.0,5.0,2.0,2.0,4.0,6.0,10.0,3.0,4.0,6.0,36.0,,0.8,0.8,0.35714285714285715,,0.5,0.35714285714285715,,0.5,0.3888888888888889,,0.42857142857142855,,,19.81132075471698,0.08,0.11627906976744186,0.2,0.09090909090909091,0.11428571428571428,0.1111111111111111,0.125,0.1,,,0.14285714285714285,0.5,0.5714285714285714,0.5714285714285714,0.75,0.2857142857142857,,,,0.75,0.6666666666666666,0.5,0.46165,0.3635,0.590925,,0.42857142857142855,7.564285714285715,0.4090909090909091,,1.0,3.0,,,,,,,,,4.0,,,,,2.0,2.0,,,,,,,2.0,2.0,,,,1.0,1.0,,2.0,,,1.0,3.0,1.0,9.0,1.0,3.0,2.0,,,,,,,,,,,,0.6666666666666666,,0.15384615384615385,0.09090909090909091,0.15384615384615385,0.1111111111111111,0.21428571428571427,0.3333333333333333,0.3333333333333333,,,,,,,,,,,0.1875,0.1875,,,1.0,,,,,2.0,,,,,,,,,,,,,2.0,1.0,0.3333333333333333,1.0,,,,,,,,,,True,,,,,
702,1610612743,Voshon Lenard,Voshon Lenard,702,DEN,2891.0,48,16,94,94,38.0,51.0,16.0,188,2.0,3.0,2.0,3.0,,2,3.0,9,27.0,90,2.0,5.0,4.0,2.0,7.0,16.0,,1.0,2.0,3.0,1.0,1.0,7.0,2.0,1.0,,1.0,1.0,3.0,4.0,3.0,5.0,16.0,38.0,1.0,,,0.3333333333333333,0.4,0.2857142857142857,0.631578947368421,0.4,0.6153846153846154,0.6190476190476191,0.4,0.6153846153846154,0.1111111111111111,,21.10091743119266,0.03125,0.02857142857142857,,0.18181818181818182,0.029411764705882353,0.06521739130434782,,0.2,0.1,,,0.15789473684210525,0.6666666666666666,0.6666666666666666,,0.10526315789473684,,,,0.23076923076923078,0.6666666666666666,0.6842105263157895,0.4981657894736843,0.3948666666666667,0.5037615384615385,0.14814814814814814,0.5925925925925926,7.844444444444444,0.40425531914893614,3.0,1.0,4.0,6.0,9.0,,,4.0,6.0,6.0,10.0,3.0,,,4.0,6.0,,6.0,18.0,,4.0,,9.0,6.0,1.0,1.0,,,,,2.0,1.0,1.0,,,1.0,2.0,,5.0,,2.0,,,,,1.0,0.6,,0.6666666666666666,0.6,0.5263157894736842,,0.25,0.5,,0.1111111111111111,,,,0.21052631578947367,0.25,0.3333333333333333,0.47368421052631576,0.6666666666666666,0.75,1.0,0.6,,,0.46153846153846156,0.6666666666666666,0.6666666666666666,0.09523809523809523,0.18181818181818182,24.740000000000002,2.0,1.0,,0.6666666666666666,,,1.0,,1.0,,1.0,,,0.05263157894736842,,,,,,1.0,,,,1.0,1.0,0.1,0.1111111111111111,,,,,,True,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,4970.0,83,5,155,158,55.0,66.0,34.0,313,10.0,14.0,3.0,4.0,1.0,7,13.0,26,35.0,158,1.0,4.0,2.0,6.0,13.0,18.0,20.0,2.0,3.0,4.0,2.0,1.0,9.0,,6.0,,14.0,20.0,6.0,26.0,4.0,8.0,18.0,55.0,2.0,0.7692307692307693,0.8333333333333334,0.5,0.25,0.46153846153846156,0.5178571428571429,0.25,0.5357142857142857,0.5645161290322581,0.2,0.5294117647058824,0.07692307692307693,,16.06217616580311,0.28,0.08,,,0.22950819672131148,0.06451612903225806,0.04,,0.3,0.18181818181818182,,0.5,0.7142857142857143,0.8333333333333334,0.9,0.25,0.14285714285714285,0.14285714285714285,1.0,0.2857142857142857,0.75,0.5714285714285714,0.5149444444444444,0.4767,0.4886571428571429,0.05714285714285714,0.5142857142857142,6.7153846153846155,0.3548387096774194,1.0,2.0,5.0,1.0,2.0,,,1.0,1.0,1.0,2.0,6.0,,,1.0,1.0,3.0,6.0,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,6.0,,2.0,1.0,,,,,,,11.0,5.0,7.0,1.0,4.0,1.0,4.0,1.0,0.5,,1.0,1.0,0.07142857142857142,0.14285714285714285,,,0.75,0.058823529411764705,0.12121212121212122,0.3103448275862069,,0.17857142857142858,0.4,0.4,0.07142857142857142,0.5,0.5,1.0,0.25,,,0.07142857142857142,1.0,1.0,0.23333333333333334,0.25,40.25,,1.0,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.5,,,True,,,,,
