EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Usage,PenaltyOffPossPct,SecondChanceOffPoss,Corner3FGM,Corner3FGA,FG3M,FG3A,Points,PtsAssisted3s,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,PenaltyFG2A,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,FTA,Technical Free Throw Trips,Fg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyShotQualityAvg,Avg2ptShotDistance,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,LostBallTurnovers,TwoPtShootingFoulsDrawn,DefLongMidRangeReboundPct,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,PenaltyAtRimFGM,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,Steals,BadPassSteals,Loose Ball Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,NonHeaveArc3FGM,ShortMidRangeAssists,NonShootingFoulsDrawn,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,LostBallSteals,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimAssists,FTOffRebounds,OffRebounds,OffFTReboundPct,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,LongMidRangePctBlocked,SelfORebPct,Travels,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations
109,1610612759,Robert Horry,Robert Horry,109,SAS,90.0,2,-3.0,5,5,5.0,5,10,6,1.0,1.0,1.0,1.0,5.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,639.0,11,-6.0,21,19,6.0,6,40,17,,,,,6.0,8.695652173913043,0.2857142857142857,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0,0.2,1.0,0.5,0.5,1.0,1.0,0.52155,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,388.0,6,1.0,10,11,4.0,5,21,9,,,1.0,,4.0,30.769230769230766,0.4,2.0,,,,,3.0,,,2.0,2.0,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.336,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.25,1.0,0.4,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.3184,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,687.0,11,-1.0,20,20,4.0,5,40,14,2.0,2.0,3.0,,4.0,30.434782608695652,0.2,2.0,,,,2.0,,,,1.0,1.0,,,,,,,,0.6666666666666666,,,,,,0.6666666666666666,0.52065,24.549999999999997,,,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,0.3333333333333333,0.125,,0.1111111111111111,,,,,,,,0.5667,18.3,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,0.2,0.3333333333333333,0.6666666666666666,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,1610612759,Kevin Willis,Kevin Willis,788,SAS,1446.0,24,-4.0,51,47,18.0,32,98,45,,,,,18.0,14.545454545454545,0.35294117647058826,3.0,,,,1.0,6.0,,3.0,6.0,6.0,3.0,5.0,,,,0.375,0.375,0.125,0.42857142857142855,,,,,0.375,0.4514125,26.3,2.0,1.0,2.0,3.0,3.0,7.0,,1.0,,,1.0,2.0,,,1.0,,0.42857142857142855,,,,0.16666666666666666,0.25,0.1875,0.3333333333333333,,0.25,0.375,0.6666666666666666,0.6666666666666666,1.0,0.7216,7.785714285714286,2.0,1.0,,,1.0,,,,,,,,,1.0,0.125,0.25,0.125,,0.125,0.14285714285714285,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,1610612759,Jason Hart,Jason Hart,2078,SAS,610.0,10,1.0,23,21,14.0,21,44,25,,,,,14.0,20.833333333333336,0.6086956521739131,1.0,,,,,6.0,,,,,,,,,,0.6,0.6,,,,,,,0.2,0.42225999999999997,,1.0,1.0,,,3.0,5.0,,4.0,6.0,,,,,,,,0.6,,,,,,,,,0.2,,,,0.25,0.432425,14.24,4.0,,,,,,,,,,,,,,,0.8,,,,,,,3.0,6.0,,,,,,6.0,,,,0.75,0.75,0.75,,,,,,,1.0,3.0,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,1610612759,Devin Brown,Devin Brown,2484,SAS,645.0,11,-1.0,27,25,16.0,25,52,27,,,,,16.0,17.24137931034483,0.5925925925925926,2.0,,,1.0,1.0,6.0,3.0,,3.0,3.0,,1.0,1.0,1.0,1.0,0.75,0.6,0.5,,,,,,0.5,0.4873,24.8,,,,1.0,,1.0,3.0,,,1.0,2.0,1.0,,,6.0,,,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.5,,1.0,,0.5,,,,0.5733,12.2,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,,0.5,1.0,0.3333333333333333,0.5,,,,6.0,,,,,,6.0,1.0,,,,1.5,0.75,0.5,,,,,,1.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,670.0,11,-1.0,19,18,3.0,3,37,14,,,2.0,,3.0,18.181818181818183,0.15789473684210525,2.0,,,,,4.0,,2.0,2.0,2.0,3.0,3.0,,,,1.0,1.0,,0.4,,,,,,0.34695,,,,,,2.0,2.0,,2.0,2.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,0.34695,16.65,2.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,2.0,4.0,2.0,1.0,1.0,,,4.0,,0.5,0.5,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,4.0,1.0,1.0,1.0,0.5,0.34695,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612759,Hedo Turkoglu,Hedo Turkoglu,2045,SAS,683.0,11,-6.0,25,21,,10,46,18,,,,,,12.0,,,,,,1.0,,,1.0,2.0,2.0,1.0,2.0,,,,,,0.3333333333333333,0.25,,,,,0.3333333333333333,0.42160000000000003,25.2,,,,,,2.0,,,,,,1.0,,,1.0,1.0,,,,,0.16666666666666666,,0.125,,,,,,,,,17.55,2.0,1.0,,,1.0,1.0,,1.0,,,,2.0,,,0.2,0.6666666666666666,0.3333333333333333,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1610612759,Charlie Ward,Charlie Ward,369,SAS,686.0,11,,27,24,10.0,24,51,25,,,2.0,,10.0,24.999999999999996,0.37037037037037035,1.0,1.0,1.0,2.0,2.0,8.0,3.0,,,,1.0,2.0,0.5,1.0,1.0,0.8,0.8,0.4,,0.2,1.0,1.0,1.0,0.4,0.44672999999999996,23.8,,,,1.0,1.0,3.0,,2.0,2.0,,,,2.0,,,,0.3333333333333333,,,1.0,,,,,,,0.2,,,,0.46681666666666666,18.533333333333335,2.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,2.0,2.0,,,0.4,0.2,,,,,,1.0,5.0,,2.0,,,,5.0,1.0,,,0.5,0.8333333333333334,0.8333333333333334,,,,,,,0.625,1.0,0.5,0.5,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,3.0,,1.5,1.5,,0.66255,0.375,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
