EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,LongMidRangeFGA,FG2A,PenaltyFG2A,DefTwoPtRebounds,DefRebounds,Rebounds,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,TsPct,PenaltyTsPct,LiveBallTurnoverPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SecondChanceShotQualityAvg,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PtsUnassisted2s,PtsPutbacks,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChancePointsPct,on,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Offensive Fouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyCorner3FGA,SecondChanceFtPoints,OffThreePtRebounds,LostBallSteals,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,DefensiveGoaltends,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Corner3FGM,SecondChanceCorner3FGM,SecondChanceFG3M,FTOffRebounds,Loose Ball Fouls,SecondChanceFg3Pct,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3FGA,2pt And 1 Free Throw Trips,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,176.0,3,-3,5,6,5,1.0,11,7,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,1610612763,Bonzi Wells,Bonzi Wells,1719,MEM,176.0,3,-3,5,6,5,1.0,11,7,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.285714285714285,0.5,0.5,0.5,1.0,0.3694,0.3694,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,176.0,3,-3,5,6,5,1.0,11,7,5,1.0,,,,,,,57.14285714285714,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,176.0,3,-3,5,6,5,1.0,11,7,5,1.0,1.0,1.0,1.0,,,1.0,14.285714285714285,,,,1.0,0.379,0.379,16.6,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,0.5,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,1610612763,Ryan Humphrey,Ryan Humphrey,2415,MEM,176.0,3,-3,5,6,5,1.0,11,7,5,1.0,,1.0,1.0,1.0,1.0,2.0,14.285714285714285,0.5,0.5,0.5,,0.6102,0.6102,1.4,,2.0,,2.0,,,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,7592.0,127,-30,231,231,51,19.0,462,265,51,0.22077922077922077,10.0,25.0,4.0,4.0,8.0,9.0,21.73913043478261,0.05555555555555555,0.06451612903225806,0.09090909090909091,0.21739130434782608,0.5124380434782608,0.37851999999999997,9.863999999999999,7.0,43.0,,4.0,4.0,3.0,3.0,,7.0,2.0,7.0,2.0,4.0,0.4166666666666667,0.4,0.5714285714285714,0.041666666666666664,0.07407407407407407,0.09302325581395349,1.0,1.0,1.0,0.011764705882352941,0.009174311926605505,,0.606025,4.0,10.0,,1.0,,,9.0,,,2.0,16.0,,0.36,,0.5,0.391304347826087,,0.4,,0.21739130434782608,0.4,0.4444444444444444,0.5,,,,0.6739130434782609,,False,74.0,2.0,5.0,3.0,1.0,1.0,6.0,20.0,1.0,6.0,21.0,1.0,1.0,2.0,15.0,3.0,20.0,6.0,1.0,16.0,2.0,18.0,1.0,1.0,7.0,5.0,4.0,38.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,10.0,1.0,3.0,2.0,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.45652173913043476,0.04,0.1,0.16666666666666666,0.09523809523809523,0.03333333333333333,0.06451612903225806,0.2222222222222222,0.03333333333333333,0.10869565217391304,0.4,0.4,0.3,0.3,0.3333333333333333,0.021739130434782608,0.43478260869565216,0.3,0.3,0.8333333333333334,0.5,0.2,0.3,25.01904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,1610612763,Bonzi Wells,Bonzi Wells,1719,MEM,5481.0,91,-26,173,174,76,17.0,347,200,76,0.4393063583815029,17.0,35.0,17.0,6.0,9.0,11.0,27.083333333333336,0.1016949152542373,0.1111111111111111,0.13636363636363635,0.4722222222222222,0.46681805555555556,0.4318472222222222,10.582857142857142,9.0,47.0,6.0,24.0,4.0,3.0,5.0,,9.0,5.0,14.0,5.0,24.0,0.5465116279069767,0.5454545454545454,0.4444444444444444,0.12195121951219512,0.125,0.5106382978723404,2.0,1.0,2.0,0.016129032258064516,0.02631578947368421,,0.5143,8.0,10.0,1.0,1.0,2.0,2.0,19.0,1.0,3.0,9.0,22.0,,0.5428571428571428,0.5,0.5294117647058824,0.5277777777777778,0.5,0.5,0.5,0.2777777777777778,0.8,0.8,0.5,1.0,0.1111111111111111,1.0,0.3055555555555556,0.06382978723404255,False,102.0,5.0,8.0,6.0,1.0,,,,,,1.0,,1.0,16.0,,,,,1.0,3.0,1.0,4.0,,1.0,2.0,,1.0,9.0,3.0,,,4.0,3.0,1.0,1.0,4.0,8.0,2.0,,1.0,0.42105263157894735,0.42105263157894735,,,,0.027777777777777776,0.02857142857142857,,,0.13636363636363635,0.047619047619047616,0.125,0.125,,0.2222222222222222,0.625,0.625,0.35294117647058826,0.375,0.6666666666666666,0.027777777777777776,,,,,,,,23.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.058823529411764705,0.07142857142857142,0.125,0.14285714285714285,0.375,0.2,1.0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1610612763,James Posey,James Posey,1899,MEM,7710.0,128,-26,232,231,33,19.0,463,246,33,0.14224137931034483,4.0,31.0,3.0,11.0,14.0,22.0,20.622568093385215,0.16176470588235295,0.13953488372093023,0.125,0.10810810810810811,0.5328432432432433,0.580375,4.938709677419355,19.0,50.0,2.0,4.0,3.0,3.0,3.0,,6.0,,21.0,8.0,4.0,0.5319148936170213,0.4,0.5,0.1956521739130435,0.20512820512820512,0.08,3.0,6.0,8.0,0.06976744186046512,0.07207207207207207,0.07142857142857142,0.45299999999999996,13.0,19.0,2.0,2.0,1.0,2.0,14.0,3.0,10.0,1.0,16.0,2.0,0.45161290322580644,1.0,0.3333333333333333,0.4189189189189189,1.0,0.25,1.0,0.5135135135135135,0.6842105263157895,0.7647058823529411,0.6666666666666666,1.0,0.5,0.5,0.6756756756756757,0.2,False,54.0,1.0,8.0,,3.0,,1.0,3.0,,1.0,6.0,,1.0,12.0,3.0,,3.0,1.0,6.0,1.0,3.0,4.0,3.0,,,,1.0,11.0,1.0,2.0,1.0,9.0,3.0,,,4.0,13.0,2.0,,1.0,0.42857142857142855,0.46153846153846156,1.0,0.16666666666666666,0.16666666666666666,0.16216216216216217,0.1935483870967742,0.10526315789473684,0.2222222222222222,0.05555555555555555,0.03571428571428571,0.19047619047619047,,0.0625,0.21621621621621623,0.125,0.25,,,,0.08108108108108109,0.08108108108108109,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,23.616666666666664,1.0,4.0,2.0,6.0,1.0,2.0,1.0,2.0,,,0.08,0.058823529411764705,0.07692307692307693,0.46153846153846156,,,0.25,1.0,1.0,1.0,2.0,0.5,0.1,0.125,0.17391304347826086,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,4436.0,74,-34,139,140,55,14.0,279,174,55,0.39568345323741005,8.0,26.0,8.0,11.0,13.0,19.0,21.428571428571427,0.24444444444444444,0.1746031746031746,0.3684210526315789,0.3076923076923077,0.4835153846153846,0.4919375,7.065384615384615,6.0,24.0,5.0,15.0,1.0,1.0,2.0,1.0,3.0,1.0,8.0,2.0,15.0,0.4,0.6818181818181818,0.3333333333333333,0.07142857142857142,0.07142857142857142,0.625,8.0,5.0,6.0,0.1,0.1016949152542373,,0.5092428571428572,4.0,10.0,2.0,4.0,1.0,3.0,9.0,4.0,8.0,5.0,10.0,6.0,0.34615384615384615,0.5,0.625,0.34615384615384615,0.5,0.625,0.5,0.38461538461538464,0.4,0.5,0.5,0.5,0.375,0.3333333333333333,0.38461538461538464,0.3333333333333333,False,85.0,3.0,8.0,2.0,,,,,,,,,,8.0,,,,,3.0,3.0,,3.0,,,2.0,,1.0,6.0,,2.0,3.0,3.0,2.0,1.0,,3.0,6.0,,,,0.4444444444444444,0.6666666666666666,,,,,0.11538461538461539,0.2,0.2,,0.16666666666666666,0.13636363636363635,,0.21428571428571427,0.3076923076923077,0.375,0.375,0.25,0.2857142857142857,1.0,,,,,,,,,,,,1.0,1.0,2.0,6.0,1.0,6.0,1.0,0.125,0.1111111111111111,0.2,,0.25,0.3333333333333333,,,,,4.0,2.0,,0.18181818181818182,,0.25,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,8056.0,134,-39,245,245,48,20.0,490,278,48,0.19591836734693877,4.0,49.0,7.0,11.0,16.0,20.0,23.88059701492537,0.14666666666666667,0.13402061855670103,0.12,0.08163265306122448,0.4532918367346939,0.4957000000000001,4.26530612244898,18.0,74.0,12.0,22.0,4.0,3.0,1.0,,5.0,,20.0,5.0,22.0,0.6271186440677966,0.8461538461538461,0.8,0.09259259259259259,0.09259259259259259,0.2972972972972973,1.0,3.0,4.0,0.03260869565217391,0.03361344537815126,,0.5679,15.0,24.0,1.0,1.0,4.0,5.0,28.0,1.0,3.0,5.0,36.0,2.0,0.5714285714285714,1.0,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,0.75,0.4897959183673469,0.625,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8,0.4897959183673469,0.04054054054054054,False,81.0,11.0,21.0,2.0,,,,,,,,,,20.0,,,,,5.0,4.0,6.0,10.0,5.0,1.0,3.0,,1.0,26.0,2.0,3.0,,4.0,3.0,,1.0,3.0,10.0,,,,0.35714285714285715,0.37037037037037035,,,,,0.10204081632653061,0.125,0.23076923076923078,0.09090909090909091,0.030303030303030304,0.10344827586206896,0.1111111111111111,,0.42857142857142855,0.5238095238095238,0.5789473684210527,0.5,0.5,0.5,,,,,,,,,,,1.0,1.0,1.0,5.0,6.0,,6.0,,,0.037037037037037035,0.05,0.07692307692307693,0.4,0.2727272727272727,,,,,6.0,3.0,0.09523809523809523,0.07142857142857142,,0.23809523809523808,0.5,,,,,,,,,,,,,,,,,,,,,,
