EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Blocked2s,Blocked3s,BlockedArc3,BlockedLongMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,HeaveAttempts,OffThreePtRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,Offensive Fouls,BlockedAtRim,OffCorner3ReboundPct,LongMidRangePctBlocked,Clear Path Fouls,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Technical Free Throw Trips,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,on,FTOffRebounds,OffFTReboundPct,BlockedCorner3
1508,1610612745,Maurice Taylor,Maurice Taylor,1508,HOU,4383.0,73,-19.0,128,130,43,60,10.0,258,4.0,6.0,1.0,1.0,3.0,4.0,7.0,5.0,11.0,13.0,24.0,8.0,34.0,156,2.0,5.0,1.0,5.0,4.0,9.0,1.0,9.0,16.0,10.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,6.0,2.0,8.0,3.0,11.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,8.0,10.0,2.0,12.0,5.0,1.0,9.0,43,2.0,0.6153846153846154,0.6666666666666666,0.5416666666666666,0.4,0.4444444444444444,0.5416666666666666,0.4,0.4444444444444444,0.5666666666666667,0.4166666666666667,0.45,0.08333333333333333,0.3333333333333333,23.404255319148938,0.6666666666666666,0.25,0.10909090909090909,0.07317073170731707,0.09230769230769231,0.05454545454545454,0.10526315789473684,0.08333333333333333,0.13333333333333333,0.13333333333333333,0.1111111111111111,0.25,0.6666666666666666,1.0,0.5,0.2916666666666667,0.5714285714285714,0.5714285714285714,0.25,0.4583333333333333,0.45454545454545453,0.45454545454545453,1.0,0.2,0.3333333333333333,0.3333333333333333,0.25,0.4204166666666667,0.44762,0.4311666666666667,0.1724137931034483,0.1724137931034483,0.14705882352941177,0.2647058823529412,11.362500000000002,0.3359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1749,1610612745,Cuttino Mobley,Cuttino Mobley,1749,HOU,9990.0,166,-2.0,298,302,78,84,35.0,600,11.0,16.0,2.0,3.0,4.0,1.0,13.0,7.0,16.0,19.0,45.0,5.0,55.0,298,1.0,5.0,,2.0,4.0,10.0,3.0,11.0,14.0,24.0,,3.0,6.0,10.0,2.0,1.0,24.0,4.0,12.0,,16.0,4.0,20.0,,8.0,,4.0,,12.0,3.0,5.0,8.0,2.0,6.0,1.0,2.0,11.0,78,,0.3684210526315789,0.3684210526315789,0.4222222222222222,0.2,0.4,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.4365079365079365,0.16666666666666666,0.39285714285714285,0.06666666666666667,,22.123893805309734,0.6666666666666666,,0.08955223880597014,0.034782608695652174,0.0975609756097561,0.026845637583892617,0.058823529411764705,,0.10526315789473684,0.1111111111111111,,0.26666666666666666,0.6875,0.6875,0.45454545454545453,0.21666666666666667,0.07692307692307693,0.1,1.0,0.26666666666666666,0.4375,0.4375,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.75,0.5166666666666667,0.491085,0.45814000000000005,0.4668125,0.01639344262295082,0.021739130434782608,0.03636363636363636,0.2,8.913333333333334,0.26174496644295303,1.0,2.0,5.0,2.0,10.0,1.0,2.0,4.0,15.0,1.0,2.0,9.0,3.0,10.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,2.0,0.75,0.26666666666666666,0.26666666666666666,0.25,0.23076923076923078,0.13333333333333333,0.041666666666666664,0.030303030303030304,0.17391304347826086,0.08333333333333333,0.4,0.4,1.0,0.16666666666666666,0.2,0.2,0.5,0.5,0.16666666666666666,0.16666666666666666,0.2,24.46666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1883,1610612745,Steve Francis,Steve Francis,1883,HOU,10336.0,172,-14.0,310,317,85,93,36.0,627,7.0,12.0,2.0,3.0,6.0,4.0,8.0,4.0,19.0,15.0,39.0,25.0,73.0,323,2.0,4.0,1.0,8.0,7.0,15.0,14.0,34.0,2.0,28.0,2.0,3.0,30.0,35.0,18.0,6.0,75.0,3.0,25.0,2.0,29.0,5.0,34.0,,10.0,7.0,3.0,1.0,13.0,2.0,8.0,12.0,,32.0,12.0,5.0,34.0,85,1.0,0.06666666666666667,0.07142857142857142,0.38461538461538464,0.5,0.4666666666666667,0.4528301886792453,0.5833333333333334,0.5,0.5367647058823529,0.5714285714285714,0.6071428571428571,0.07692307692307693,0.16666666666666666,22.946175637393768,0.7692307692307693,0.125,0.1893939393939394,0.025423728813559324,0.16981132075471697,0.032467532467532464,0.018867924528301886,0.023809523809523808,0.10526315789473684,0.2222222222222222,,0.22641509433962265,0.5833333333333334,0.7,0.14285714285714285,0.1509433962264151,0.5,0.5714285714285714,,0.3584905660377358,0.21052631578947367,0.21052631578947367,,0.3333333333333333,0.3,0.5,0.49056603773584906,0.4631192307692308,0.53227,0.4591526315789473,0.19047619047619047,0.24489795918367346,0.1095890410958904,0.4657534246575342,10.925641025641026,0.27419354838709675,2.0,3.0,3.0,3.0,11.0,2.0,5.0,6.0,14.0,2.0,5.0,15.0,3.0,10.0,3.0,5.0,1.0,4.0,6.0,2.0,7.0,4.0,3.0,1.0,,3.0,1.0,,,,1.0,0.8333333333333334,0.42857142857142855,0.46153846153846156,0.2641509433962264,0.125,0.07407407407407407,0.043478260869565216,0.22580645161290322,0.05,0.05660377358490566,1.0,1.0,1.0,0.20754716981132076,0.2727272727272727,0.2727272727272727,0.6666666666666666,1.0,0.3333333333333333,0.25,0.3,27.52857142857143,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.4,0.05555555555555555,0.08,0.14285714285714285,1.0,0.5,0.4,,,,,,,,,,,,,,True,,,
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,11254.0,188,-19.0,338,343,87,100,39.0,681,12.0,16.0,5.0,6.0,7.0,13.0,38.0,6.0,14.0,31.0,68.0,13.0,75.0,351,4.0,8.0,2.0,10.0,10.0,16.0,4.0,24.0,48.0,14.0,8.0,7.0,5.0,9.0,3.0,,22.0,8.0,17.0,5.0,26.0,11.0,37.0,1.0,9.0,4.0,4.0,2.0,13.0,5.0,16.0,20.0,1.0,17.0,9.0,1.0,24.0,87,1.0,0.7741935483870968,0.8888888888888888,0.45588235294117646,0.5,0.625,0.45588235294117646,0.5,0.625,0.5,0.5555555555555556,0.6666666666666666,0.10294117647058823,0.125,22.916666666666668,0.6923076923076923,0.2777777777777778,0.11971830985915492,0.0625,0.12209302325581395,0.0658682634730539,0.08620689655172414,0.022222222222222223,0.17073170731707318,0.058823529411764705,0.03333333333333333,0.23529411764705882,0.75,0.8571428571428571,0.6666666666666666,0.5588235294117647,0.34210526315789475,0.3939393939393939,0.8461538461538461,0.20588235294117646,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.625,0.4375,0.8571428571428571,0.23529411764705882,0.4395191176470588,0.4906,0.49198125000000004,0.12162162162162163,0.12162162162162163,0.13333333333333333,0.32,8.55,0.257396449704142,4.0,,,,,,,,,,,,,,,4.0,2.0,2.0,2.0,4.0,2.0,2.0,,,1.0,5.0,7.0,,,1.0,7.0,,,,,0.13157894736842105,0.13333333333333333,0.08,0.18181818181818182,0.08695652173913043,,,,,,,,,0.8,,,,,,,,,,3.0,,3.0,3.0,1.0,5.0,1.0,,,0.07692307692307693,0.037037037037037035,0.2857142857142857,0.7142857142857143,,,1.0,5.0,0.16666666666666666,,,,,,,,,,,True,,,
2411,1610612745,Bostjan Nachbar,Bostjan Nachbar,2411,HOU,1533.0,26,1.0,50,50,12,18,6.0,100,2.0,3.0,,,,,,,1.0,2.0,4.0,1.0,8.0,57,,,,,,,,,2.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,,,,1.0,,2.0,7.0,,1.0,1.0,,,12,,0.5,0.5,0.5,,,0.5,,,0.5714285714285714,,,0.25,,14.035087719298247,1.0,0.3333333333333333,0.15384615384615385,0.06666666666666667,0.1875,0.047619047619047616,,,0.25,0.125,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,0.14285714285714285,,,,,,,0.8571428571428571,0.5713499999999999,,,0.14285714285714285,0.25,,,5.075,0.24,,,1.0,1.0,2.0,,,1.0,3.0,,,3.0,,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.3333333333333333,0.3333333333333333,,,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,1.0,,,,0.5,25.066666666666666,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,True,,,
349,1610612745,Mark Jackson,Mark Jackson,349,HOU,1782.0,30,-26.0,54,55,8,20,5.0,109,,,,,,,2.0,1.0,1.0,1.0,3.0,,2.0,67,,,,,,1.0,,,,2.0,,,4.0,4.0,1.0,,8.0,,3.0,,3.0,,3.0,,1.0,1.0,,,1.0,,,1.0,,,,,,8,,,,0.3333333333333333,,,0.16666666666666666,,,0.16666666666666666,,,,,11.864406779661017,1.0,,0.17647058823529413,,0.14285714285714285,,,,,0.25,,,,,,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,,,,,0.5,0.4532583333333333,,0.458125,,,,,15.299999999999999,0.14814814814814814,,,,,3.0,,1.0,,3.0,,1.0,,,3.0,,,,,3.0,,2.0,1.0,1.0,,,,,,,,,,,,0.5,,,,0.3333333333333333,,,,,,0.5,,,,,,0.5,,25.633333333333336,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,
754,1610612745,Jim Jackson,Jim Jackson,754,HOU,10146.0,169,-18.0,304,308,80,88,35.0,612,3.0,6.0,1.0,1.0,2.0,4.0,13.0,10.0,15.0,17.0,34.0,5.0,57.0,313,1.0,2.0,,2.0,2.0,7.0,,7.0,12.0,22.0,2.0,2.0,8.0,9.0,1.0,6.0,19.0,1.0,26.0,5.0,36.0,2.0,38.0,,4.0,1.0,2.0,,6.0,1.0,4.0,8.0,,6.0,3.0,,7.0,80,1.0,0.35294117647058826,0.375,0.5,0.5,0.2857142857142857,0.4642857142857143,0.3333333333333333,0.2916666666666667,0.4827586206896552,0.3333333333333333,0.2916666666666667,0.058823529411764705,0.16666666666666666,18.497109826589597,0.6666666666666666,0.29411764705882354,0.1984732824427481,0.008620689655172414,0.19745222929936307,0.013333333333333334,,0.023255813953488372,0.24324324324324326,0.1746031746031746,,0.10714285714285714,0.5,0.6,0.3333333333333333,0.23214285714285715,0.3076923076923077,0.3333333333333333,0.25,0.26785714285714285,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.16666666666666666,0.5,0.5,0.48154107142857144,0.465325,0.4705458333333333,0.05172413793103448,0.08333333333333333,0.03508771929824561,0.12280701754385964,11.970588235294118,0.2631578947368421,1.0,4.0,12.0,2.0,10.0,,1.0,6.0,22.0,1.0,5.0,15.0,3.0,10.0,2.0,1.0,1.0,,1.0,5.0,3.0,1.0,2.0,1.0,,3.0,1.0,,,1.0,1.0,0.8333333333333334,0.2727272727272727,0.2727272727272727,0.39285714285714285,0.07692307692307693,0.19230769230769232,,0.1935483870967742,0.25,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.17857142857142858,0.2,0.2,0.5,1.0,,0.08333333333333333,0.2,24.2,,,,1.0,,1.0,1.0,,1.0,,1.0,,,0.2,0.029411764705882353,0.043478260869565216,,1.0,,,,,,,,1.0,1.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.25,,True,,,
1509,1610612745,Kelvin Cato,Kelvin Cato,1509,HOU,6130.0,102,-2.0,184,185,31,27,26.0,369,9.0,14.0,2.0,,,2.0,4.0,,1.0,11.0,19.0,1.0,23.0,170,3.0,4.0,1.0,7.0,,2.0,,,18.0,4.0,4.0,,1.0,1.0,1.0,,2.0,10.0,11.0,1.0,16.0,11.0,27.0,,,,1.0,,1.0,,8.0,12.0,,5.0,4.0,,,31,1.0,0.8181818181818182,1.0,0.5789473684210527,0.75,,0.5789473684210527,0.75,,0.575,0.7,,,,9.813084112149532,,0.1,0.14473684210526316,0.12658227848101267,0.1595744680851064,0.10679611650485436,0.08823529411764706,0.22580645161290322,0.18181818181818182,0.15151515151515152,,0.7368421052631579,0.6428571428571429,0.6428571428571429,0.8888888888888888,0.21052631578947367,0.5,0.5,0.5,0.05263157894736842,,,,0.5,,,0.7368421052631579,0.5499210526315789,0.5279499999999999,0.42635,0.2,0.2,0.30434782608695654,,2.6526315789473682,0.16847826086956522,2.0,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,,1.0,,,3.0,,,,3.0,,,,,,0.2222222222222222,,0.09523809523809523,0.21428571428571427,,,,,,,,,1.0,,,,,,,,,,1.0,,,3.0,,1.0,1.0,,,0.041666666666666664,0.0625,0.25,0.3333333333333333,,,,3.0,,,,,,,,,,,0.5,True,,,
221,1610612745,Clar. Weatherspoon,Clar. Weatherspoon,221,HOU,716.0,12,4.0,24,25,11,10,3.0,49,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,3.0,3.0,5.0,20,,,3.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,2.0,,6.0,3.0,,3.0,11,,1.0,1.0,0.3333333333333333,,1.0,0.3333333333333333,,1.0,0.4166666666666667,0.5,0.75,,,22.22222222222222,,,,0.125,,0.1111111111111111,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,,,1.0,1.0,0.3333333333333333,0.4502,,0.5657,0.5,0.5,0.6,0.6,9.666666666666666,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1508,1610612745,Maurice Taylor,Maurice Taylor,1508,HOU,2754.0,46,-17.0,85,83,34,26,7.0,168,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,9.0,5.0,14.0,5.0,15.0,82,1.0,2.0,3.0,5.0,1.0,4.0,5.0,7.0,4.0,6.0,2.0,1.0,2.0,3.0,2.0,,7.0,1.0,1.0,,3.0,2.0,5.0,,2.0,1.0,2.0,,4.0,,5.0,10.0,,5.0,3.0,,7.0,34,1.0,0.4,0.5,0.35714285714285715,0.5,0.25,0.35714285714285715,0.5,0.25,0.46875,0.8333333333333334,0.5833333333333334,0.07142857142857142,,21.50537634408602,0.5,,0.03225806451612903,0.04,0.07692307692307693,0.02857142857142857,0.1,,0.1,,,0.07142857142857142,1.0,1.0,,0.2857142857142857,0.25,0.3333333333333333,,0.6428571428571429,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.25,1.0,0.07142857142857142,0.38589285714285715,0.44525,0.41059999999999997,0.1875,0.1875,0.3333333333333333,0.4666666666666667,14.621428571428572,0.4,1.0,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,0.25,0.25,,,0.2857142857142857,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,False,1.0,0.5,
