EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,BadPassSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,HeaveMakes,ThreePtAssists,Arc3Assists,Corner3Assists,LostBallOutOfBoundsTurnovers,Fg3Pct,PenaltyFg3Pct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,FTOffRebounds,Assisted3sPct,NonHeaveFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,Technical Free Throw Trips,Travels,on,BlockedCorner3,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,2949.0,49,-23,88,110,47,55,11.0,198,4.0,6.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,10.0,1.0,10.0,80,1.0,2.0,2.0,3.0,4.0,1.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,4.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,47,1.0,1.0,0.5,0.5,0.75,0.45454545454545453,0.5,0.6,0.45454545454545453,0.5,0.6,0.09090909090909091,0.1,1.0,13.461538461538462,0.3333333333333333,0.07894736842105263,0.125,0.05263157894736842,0.08888888888888889,0.23076923076923078,0.09090909090909091,0.13333333333333333,0.058823529411764705,0.2,1.0,0.5454545454545454,0.6666666666666666,0.6666666666666666,1.0,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,1.0,0.5,1.0,0.6,1.0,0.2,0.6363636363636364,0.5112954545454546,0.55615,0.5482099999999999,0.2,0.6,6.37,25.3,0.5340909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,9565.0,159,-13,283,307,125,118,42.0,590,7.0,21.0,4.0,12.0,2.0,8.0,9.0,2.0,4.0,1.0,1.0,11.0,34.0,1.0,31.0,270,4.0,13.0,9.0,6.0,16.0,1.0,14.0,14.0,,4.0,5.0,5.0,,10.0,14.0,22.0,34.0,18.0,52.0,2.0,7.0,4.0,2.0,1.0,1.0,3.0,5.0,,,5.0,8.0,,,12.0,10.0,12.0,9.0,1.0,14.0,125,0.6363636363636364,0.875,0.3235294117647059,0.3076923076923077,0.375,0.3142857142857143,0.3076923076923077,0.35294117647058826,0.34444444444444444,0.32142857142857145,0.3333333333333333,0.02857142857142857,0.11764705882352941,,14.411764705882353,0.4,0.23157894736842105,0.11290322580645161,0.21641791044776118,0.11612903225806452,0.18,0.06818181818181818,0.15151515151515152,0.21739130434782608,0.10526315789473684,0.75,0.6,0.3333333333333333,0.4117647058823529,0.42857142857142855,0.2571428571428571,0.11428571428571428,0.5,0.5,1.0,0.02857142857142857,0.9230769230769231,0.3333333333333333,,0.47058823529411764,0.25,0.058823529411764705,0.6285714285714286,0.4855764705882353,0.5278916666666666,0.45075625,0.2903225806451613,0.45161290322580644,3.605882352941176,44.2,0.4416961130742049,2.0,9.0,1.0,2.0,8.0,6.0,1.0,4.0,1.0,4.0,7.0,5.0,3.0,1.0,1.0,21.0,1.0,7.0,4.0,1.0,1.0,2.0,0.19047619047619047,0.38461538461538464,0.1794871794871795,0.12903225806451613,0.06666666666666667,0.08333333333333333,0.2857142857142857,0.4375,0.2,0.14285714285714285,0.2222222222222222,0.2222222222222222,1.0,0.17073170731707318,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,6446.0,107,-20,197,204,101,83,29.0,401,9.0,23.0,,4.0,5.0,14.0,1.0,1.0,5.0,10.0,4.0,11.0,29.0,15.0,43.0,211,,4.0,2.0,5.0,16.0,7.0,28.0,8.0,8.0,2.0,11.0,14.0,2.0,31.0,3.0,4.0,9.0,4.0,13.0,2.0,4.0,,4.0,,3.0,2.0,6.0,,2.0,4.0,10.0,2.0,,,,,,,28.0,101,0.36363636363636365,0.36363636363636365,0.3793103448275862,,0.3125,0.2840909090909091,,0.2826086956521739,0.39814814814814814,0.2,0.45161290322580644,0.3409090909090909,0.06896551724137931,,25.53191489361702,0.6666666666666666,0.07547169811320754,0.04,0.08974358974358974,0.036036036036036036,0.05714285714285714,0.045454545454545456,0.18181818181818182,0.06451612903225806,0.07142857142857142,,0.5227272727272727,0.391304347826087,0.42857142857142855,0.2222222222222222,0.022727272727272728,0.11363636363636363,0.2,0.2,1.0,0.22727272727272727,1.0,,,0.6086956521739131,0.35714285714285715,0.17391304347826086,0.8636363636363636,0.5069511627906976,0.5488666666666666,0.501415909090909,0.046511627906976744,0.6511627906976745,3.786206896551724,26.613333333333333,0.5126903553299492,1.0,18.0,2.0,15.0,14.0,,1.0,7.0,2.0,1.0,3.0,2.0,4.0,1.0,,20.0,,5.0,5.0,,,4.0,0.08695652173913043,0.2,0.12,0.027777777777777776,,0.037037037037037035,,,0.1875,,1.0,1.0,1.0,0.10204081632653061,0.14705882352941177,5.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.06666666666666667,0.14285714285714285,0.11363636363636363,0.1,0.1,0.13043478260869565,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,6734.0,112,-23,213,220,127,98,26.0,433,7.0,11.0,2.0,3.0,3.0,5.0,5.0,2.0,7.0,7.0,3.0,9.0,23.0,10.0,35.0,215,2.0,4.0,4.0,4.0,14.0,5.0,21.0,12.0,7.0,3.0,8.0,11.0,3.0,25.0,5.0,3.0,14.0,7.0,21.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,5.0,,3.0,7.0,14.0,,,2.0,2.0,2.0,1.0,,21.0,127,0.6666666666666666,0.8571428571428571,0.391304347826087,0.5,0.2857142857142857,0.36363636363636365,0.4,0.3684210526315789,0.4375,0.4,0.4375,0.30303030303030304,0.13043478260869565,,18.0,0.6,0.04477611940298507,0.058823529411764705,0.09473684210526316,0.05172413793103448,0.09090909090909091,0.037037037037037035,0.043478260869565216,0.05555555555555555,0.05263157894736842,0.5,0.3333333333333333,0.6363636363636364,0.7,0.5714285714285714,0.15151515151515152,0.21212121212121213,0.2857142857142857,0.4,1.0,0.21212121212121213,0.6,0.6666666666666666,,0.2631578947368421,0.6,0.15789473684210525,0.6363636363636364,0.48786212121212125,0.50844,0.46370526315789473,0.11428571428571428,0.6,6.717391304347827,24.85,0.596244131455399,,11.0,,7.0,6.0,4.0,,4.0,1.0,1.0,6.0,5.0,,,,14.0,,5.0,2.0,,,5.0,0.09090909090909091,0.4166666666666667,0.21428571428571427,0.03225806451612903,0.04,0.041666666666666664,,,0.2777777777777778,0.1,,,,0.13157894736842105,0.17857142857142858,3.0,2.0,1.0,1.0,2.0,2.0,,,3.0,2.0,1.0,1.0,0.2,0.4,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.10526315789473684,0.3333333333333333,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.2,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2,0.5,0.14285714285714285,,,,,,,,,,,,,,True,,,,,,,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,15998.0,267,-36,488,515,214,190,70.0,1003,6.0,12.0,1.0,2.0,3.0,4.0,4.0,5.0,19.0,21.0,5.0,12.0,35.0,30.0,56.0,459,2.0,4.0,7.0,5.0,13.0,6.0,21.0,12.0,21.0,2.0,17.0,21.0,4.0,46.0,4.0,23.0,28.0,5.0,33.0,1.0,18.0,11.0,8.0,3.0,7.0,5.0,13.0,2.0,4.0,10.0,42.0,,2.0,3.0,1.0,4.0,2.0,,21.0,214,0.5,0.5,0.34285714285714286,0.5,0.38461538461538464,0.34615384615384615,0.4375,0.34210526315789475,0.39436619718309857,0.4375,0.45652173913043476,0.46153846153846156,0.05714285714285714,0.25,14.558058925476605,0.6153846153846154,0.14465408805031446,0.020618556701030927,0.11739130434782609,0.019455252918287938,0.0136986301369863,0.015625,0.12727272727272726,0.136986301369863,0.023255813953488372,0.5,0.18461538461538463,0.5,0.5454545454545454,0.3333333333333333,0.06153846153846154,0.2923076923076923,0.2631578947368421,0.2631578947368421,0.8,0.3230769230769231,0.25,0.5,1.0,0.21052631578947367,0.75,0.2631578947368421,0.6461538461538462,0.4750907692307691,0.50109375,0.4434684210526316,0.125,0.375,11.517142857142858,25.15,0.4385245901639344,1.0,11.0,,8.0,12.0,,,7.0,6.0,1.0,4.0,1.0,7.0,1.0,,12.0,,3.0,3.0,2.0,,5.0,0.08333333333333333,0.045454545454545456,0.056338028169014086,0.015873015873015872,0.03508771929824561,0.021739130434782608,,0.1935483870967742,0.06382978723404255,0.041666666666666664,0.25,0.3333333333333333,,0.04411764705882353,0.07894736842105263,9.0,1.0,5.0,1.0,7.0,1.0,6.0,,4.0,3.0,1.0,,0.23333333333333334,0.16666666666666666,0.13846153846153847,0.23809523809523808,0.23809523809523808,0.05263157894736842,0.2,2.0,,3.0,4.0,15.0,5.0,,0.7142857142857143,0.23333333333333334,,,0.2222222222222222,0.2222222222222222,1.0,0.6,0.375,,0.23809523809523808,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.125,0.3333333333333333,1.0,,,,True,,,,,,,,,
722,1610612765,Corliss Williamson,Corliss Williamson,722,DET,8917.0,149,-20,275,279,98,83,43.0,554,16.0,33.0,3.0,6.0,8.0,15.0,16.0,1.0,9.0,,,22.0,58.0,,55.0,255,5.0,10.0,12.0,11.0,23.0,,27.0,34.0,,5.0,4.0,4.0,1.0,8.0,7.0,9.0,16.0,9.0,25.0,1.0,2.0,,8.0,1.0,4.0,10.0,18.0,1.0,5.0,11.0,34.0,4.0,7.0,1.0,1.0,1.0,1.0,,27.0,98,0.7727272727272727,0.85,0.3793103448275862,0.5,0.4782608695652174,0.3793103448275862,0.5,0.4782608695652174,0.4296875,0.5454545454545454,0.5192307692307693,,0.08620689655172414,0.125,25.07645259938838,0.4444444444444444,0.1111111111111111,0.061946902654867256,0.11570247933884298,0.0625,0.08888888888888889,0.058823529411764705,0.06451612903225806,0.10344827586206896,0.03225806451612903,1.0,0.5689655172413793,0.48484848484848486,0.5333333333333333,0.75,0.27586206896551724,0.15517241379310345,0.1111111111111111,0.1111111111111111,1.0,,0.6,0.5,0.3333333333333333,0.6521739130434783,0.5333333333333333,,0.5689655172413793,0.48313103448275874,0.49515,0.48435652173913035,0.21818181818181817,0.4909090909090909,5.386206896551724,,0.3563636363636364,5.0,11.0,2.0,5.0,10.0,4.0,,2.0,1.0,2.0,5.0,2.0,2.0,4.0,,12.0,,4.0,2.0,,,4.0,0.09090909090909091,0.16666666666666666,0.125,0.06451612903225806,0.029411764705882353,0.08333333333333333,,0.19047619047619047,0.12,0.13333333333333333,0.3125,0.35714285714285715,0.8,0.06451612903225806,0.06451612903225806,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,6871.0,115,-10,208,212,82,72,33.0,420,5.0,9.0,,4.0,2.0,5.0,14.0,1.0,8.0,13.0,8.0,12.0,31.0,17.0,46.0,192,,7.0,1.0,4.0,12.0,11.0,19.0,18.0,13.0,,5.0,6.0,,13.0,5.0,17.0,27.0,9.0,36.0,,2.0,,2.0,3.0,1.0,7.0,9.0,,3.0,3.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,19.0,82,0.75,0.75,0.3870967741935484,,0.3333333333333333,0.375,,0.3695652173913043,0.4339622641509434,0.05555555555555555,0.3958333333333333,0.3541666666666667,,,24.899598393574294,0.2222222222222222,0.288135593220339,0.05434782608695652,0.29069767441860467,0.07258064516129033,0.08108108108108109,0.034482758620689655,0.25,0.375,,1.0,0.1875,0.5555555555555556,0.5555555555555556,0.8,0.2916666666666667,0.16666666666666666,0.125,0.125,,0.2708333333333333,0.5,,,0.21739130434782608,0.4,0.34782608695652173,0.5416666666666666,0.4419499999999999,0.51472,0.45088260869565217,0.021739130434782608,0.41304347826086957,9.16451612903226,25.49411764705882,0.3942307692307692,6.0,10.0,1.0,2.0,6.0,,,4.0,1.0,4.0,8.0,2.0,2.0,1.0,,12.0,2.0,7.0,,,,1.0,,0.2222222222222222,0.2962962962962963,0.125,0.038461538461538464,0.14285714285714285,0.09090909090909091,0.2,0.125,0.5454545454545454,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.1320754716981132,0.19444444444444445,4.0,3.0,2.0,2.0,4.0,3.0,3.0,,1.0,1.0,,2.0,0.23529411764705882,0.2727272727272727,0.08333333333333333,0.15384615384615385,0.15384615384615385,0.13043478260869565,0.25,2.0,1.0,1.0,1.0,9.0,2.0,,0.75,0.23529411764705882,,,0.5,0.5,0.5,1.0,0.125,0.3333333333333333,0.15384615384615385,,,,,,,,,,,1.0,,,True,,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,6180.0,103,-1,184,193,76,76,27.0,377,10.0,14.0,4.0,5.0,2.0,2.0,11.0,4.0,13.0,3.0,2.0,19.0,38.0,5.0,62.0,171,5.0,7.0,14.0,4.0,9.0,4.0,27.0,22.0,2.0,6.0,9.0,11.0,2.0,24.0,3.0,5.0,8.0,3.0,11.0,,4.0,2.0,4.0,,2.0,3.0,7.0,,2.0,,10.0,,3.0,,,,,,27.0,76,0.5789473684210527,0.5789473684210527,0.5,0.7142857142857143,0.4444444444444444,0.5116279069767442,0.7142857142857143,0.5384615384615384,0.5882352941176471,0.8125,0.6842105263157895,0.11627906976744186,0.15789473684210525,0.2727272727272727,26.72811059907834,0.5714285714285714,0.07936507936507936,0.0379746835443038,0.08235294117647059,0.03125,0.06896551724137931,0.045454545454545456,0.10526315789473684,0.07407407407407407,,,0.32558139534883723,0.7142857142857143,0.8333333333333334,0.5,0.2558139534883721,0.3023255813953488,0.3076923076923077,0.3333333333333333,0.75,0.06976744186046512,0.7142857142857143,0.8,0.5,0.15384615384615385,1.0,0.15384615384615385,0.4418604651162791,0.4852309523809524,0.58482,0.47097083333333334,0.22580645161290322,0.43548387096774194,8.889473684210525,28.880000000000003,0.41304347826086957,5.0,18.0,4.0,13.0,16.0,,1.0,4.0,3.0,,2.0,1.0,2.0,2.0,,21.0,3.0,7.0,4.0,,,2.0,0.14285714285714285,0.16666666666666666,0.09090909090909091,,,,,0.058823529411764705,0.125,,0.45454545454545453,0.625,0.6,0.14893617021276595,0.16666666666666666,2.0,2.0,1.0,1.0,2.0,2.0,,,2.0,1.0,1.0,,0.4,0.5,0.046511627906976744,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.5,1.0,1.0,,,6.0,1.0,,1.0,0.5,0.07692307692307693,,0.5,0.5,1.0,1.0,,0.5,0.5,,,,,,,,,,,,2.0,,True,,,,,,,,,
2229,1610612765,Mike James,Mike James,2229,DET,5729.0,95,-6,184,202,65,81,27.0,386,6.0,10.0,,2.0,3.0,5.0,5.0,,7.0,8.0,5.0,8.0,22.0,9.0,30.0,154,1.0,3.0,5.0,4.0,9.0,5.0,9.0,4.0,8.0,1.0,9.0,10.0,2.0,21.0,3.0,6.0,8.0,3.0,11.0,2.0,3.0,3.0,4.0,,2.0,2.0,6.0,1.0,2.0,5.0,12.0,1.0,2.0,,,,,,9.0,65,0.25,0.25,0.36363636363636365,0.3333333333333333,0.4444444444444444,0.45161290322580644,0.5,0.2857142857142857,0.46875,0.5,0.32142857142857145,0.2903225806451613,0.045454545454545456,,17.35159817351598,0.6666666666666666,0.0967741935483871,0.04411764705882353,0.07368421052631578,0.031578947368421054,,0.08,,0.19230769230769232,0.125,,0.3225806451612903,0.6,0.6666666666666666,0.16666666666666666,0.16129032258064516,0.22580645161290322,,,,0.25806451612903225,0.4,,,0.35714285714285715,0.6,0.35714285714285715,0.6129032258064516,0.4786661290322579,0.5167625,0.4607107142857143,0.16666666666666666,0.3,7.359090909090909,26.81111111111111,0.3532608695652174,2.0,2.0,,1.0,12.0,,,5.0,2.0,,1.0,1.0,,2.0,,3.0,1.0,2.0,,,,3.0,0.1,0.1,0.030303030303030304,,0.05,,,0.125,0.045454545454545456,,0.4,0.4,0.5,0.0625,0.08695652173913043,1.0,,3.0,,4.0,,,,1.0,,1.0,,0.4444444444444444,,0.03225806451612903,0.375,0.375,,,1.0,,2.0,2.0,12.0,3.0,,1.0,0.4444444444444444,,,1.0,1.0,1.0,1.0,0.4,,0.375,,1.0,1.0,,,,0.5,,0.5,1.0,,,,True,,,,,,,,,
2246,1610612765,Mehmet Okur,Mehmet Okur,2246,DET,6634.0,111,-17,199,210,67,43,23.0,409,8.0,10.0,4.0,5.0,5.0,7.0,12.0,4.0,8.0,,,18.0,30.0,1.0,43.0,176,7.0,9.0,17.0,8.0,14.0,,19.0,12.0,,1.0,5.0,7.0,,16.0,6.0,9.0,16.0,10.0,26.0,,2.0,1.0,5.0,2.0,2.0,6.0,11.0,,2.0,5.0,8.0,,1.0,2.0,1.0,2.0,2.0,,19.0,67,0.3333333333333333,0.4,0.6,0.7777777777777778,0.5714285714285714,0.5806451612903226,0.7777777777777778,0.5714285714285714,0.581081081081081,0.7083333333333334,0.5588235294117647,0.03225806451612903,0.03333333333333333,,21.238938053097346,0.45454545454545453,0.1232876712328767,0.09375,0.1553398058252427,0.10344827586206896,0.06666666666666667,0.038461538461538464,0.24,0.05555555555555555,,1.0,0.3225806451612903,0.8,0.8888888888888888,0.5,0.3870967741935484,0.25806451612903225,0.5,0.5,0.25,,0.5555555555555556,0.8,0.25,0.5,0.7142857142857143,,0.3548387096774194,0.4306741935483872,0.4617,0.4621785714285714,0.3953488372093023,0.4418604651162791,8.593333333333335,24.4,0.33668341708542715,6.0,7.0,3.0,3.0,24.0,6.0,,3.0,2.0,3.0,7.0,,1.0,3.0,,12.0,,6.0,,1.0,,1.0,0.1,,0.23333333333333334,0.13043478260869565,0.17391304347826086,0.11764705882352941,0.16666666666666666,0.08333333333333333,0.19047619047619047,0.3333333333333333,0.5,0.5,0.16666666666666666,0.16216216216216217,0.16666666666666666,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,0.03225806451612903,,,,,,,,,,,1.0,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,2.0,True,,,,,,,,,
