EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,Fg2aBlocked,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefAtRimReboundPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGA,SecondChanceFG2A,PenaltyFtPoints,Corner3Assists,FTDefRebounds,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,DefFTReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,Arc3FGM,NonHeaveArc3FGM,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,OffShortMidRangeReboundPct,on,SecondChanceTurnovers,LongMidRangePctBlocked,OffAtRimReboundPct,SelfOReb,Loose Ball Fouls,Blocked3s,BlockedCorner3,SelfORebPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,PenaltyArc3Accuracy,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGA,SecondChanceFG3A,Defensive 3 Seconds Violations,SecondChanceArc3Frequency,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy
1065,1610612749,Erick Strickland,Erick Strickland,1065,MIL,2391.0,40,-22,81,80,30.0,37.0,5.0,161,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,5.0,7.0,5.0,4.0,14.0,91,2.0,2.0,2.0,3.0,3.0,4.0,2.0,8.0,4.0,8.0,1.0,9.0,1.0,4.0,1.0,3.0,19.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,4.0,30.0,2.0,0.2,0.2,0.7142857142857143,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.5,1.0,0.3333333333333333,0.4166666666666667,19.54022988505747,0.3333333333333333,0.11538461538461539,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.25,0.2,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.5,0.25,0.6666666666666666,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5833333333333334,0.4760041666666666,0.49324166666666663,0.14285714285714285,0.2222222222222222,0.14285714285714285,0.2857142857142857,9.914285714285715,26.619999999999997,0.37037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,1610612749,Keith Van Horn,Keith Van Horn,1496,MIL,2082.0,35,-20,71,70,30.0,27.0,5.0,141,3.0,6.0,2.0,3.0,,1.0,,4.0,3.0,,,3.0,11.0,3.0,1.0,10.0,78,,,2.0,5.0,2.0,7.0,4.0,2.0,,,,,,,,,,,4.0,4.0,4.0,,,,1.0,1.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,7.0,30.0,,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.4,0.32142857142857145,0.5,0.35714285714285715,,0.5,0.21428571428571427,23.376623376623375,0.25,0.16666666666666666,,0.12121212121212122,0.2857142857142857,0.14285714285714285,,,0.42857142857142855,0.5,0.6,0.07142857142857142,,,0.2857142857142857,,,,0.21428571428571427,,0.42857142857142855,0.6666666666666666,,0.6428571428571429,0.5208785714285715,0.50825,0.07142857142857142,0.09090909090909091,,0.7,7.154545454545455,23.566666666666666,0.4225352112676056,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.18181818181818182,0.16666666666666666,1.0,0.1,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,1610612749,Brevin Knight,Brevin Knight,1510,MIL,1286.0,21,-19,40,42,15.0,25.0,4.0,82,,2.0,,,,,1.0,1.0,,,,1.0,3.0,,4.0,6.0,50,,,1.0,1.0,,4.0,2.0,,,4.0,1.0,5.0,,3.0,,1.0,11.0,1.0,,2.0,2.0,3.0,3.0,,,1.0,2.0,,2.0,2.0,1.0,4.0,4.0,1.0,4.0,15.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6,,1.0,,15.555555555555555,,,0.3333333333333333,0.05555555555555555,,,1.0,,0.6666666666666666,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.6666666666666666,0.4991666666666667,0.3835,0.25,0.25,,0.6666666666666666,6.6000000000000005,,0.375,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5065,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,1610612749,Brian Skinner,Brian Skinner,1730,MIL,625.0,10,-7,20,20,,9.0,3.0,40,2.0,3.0,,,1.0,1.0,,,,,,3.0,4.0,,1.0,7.0,26,,4.0,,,,,2.0,4.0,,,,,,,,,,,1.0,1.0,3.0,,,,2.0,,,1.0,2.0,,,,2.0,1.0,,,,0.3333333333333333,1.0,0.75,,0.75,,0.7,1.0,,,30.434782608695652,1.0,0.3333333333333333,,0.25,,0.5,,,0.75,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,,,,,,,,,,0.75,0.5923750000000001,,0.2,0.2,0.5714285714285714,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,2.0,,,,,,,0.5,0.439,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.5,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1610612749,Toni Kukoc,Toni Kukoc,389,MIL,1984.0,33,-19,66,64,23.0,29.0,4.0,130,2.0,3.0,,,1.0,1.0,,,2.0,2.0,,3.0,4.0,4.0,3.0,15.0,80,,,,,,1.0,6.0,,2.0,,1.0,1.0,,,,,3.0,1.0,2.0,4.0,4.0,,,,,,,,,,1.0,3.0,4.0,1.0,1.0,23.0,,1.0,1.0,0.75,,0.75,,0.75,,0.5,0.5,14.285714285714286,,0.08333333333333333,0.16666666666666666,0.1,0.16666666666666666,0.125,,0.3333333333333333,0.375,0.6666666666666666,1.0,0.125,1.0,1.0,,,,,0.25,0.25,,,,0.875,0.53119375,,0.1111111111111111,0.2,,0.06666666666666667,1.625,24.95,0.3484848484848485,1.0,,,2.0,,6.0,1.0,,,,,1.0,1.0,,1.0,1.0,0.5,,0.5,0.25,0.3333333333333333,,,1.0,0.5,0.5,1.0,,,,,1.0,1.0,1.0,,1.0,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,1610612749,Desmond Mason,Desmond Mason,2046,MIL,1281.0,21,-13,45,43,21.0,16.0,1.0,88,1.0,3.0,,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,3.0,9.0,1.0,,6.0,47,,,,2.0,1.0,,4.0,2.0,1.0,,,,,,,,,2.0,,2.0,3.0,,,,1.0,,2.0,1.0,3.0,2.0,1.0,5.0,,,,21.0,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.3,,0.3,,,0.1,28.26086956521739,0.3333333333333333,,0.2857142857142857,0.07407407407407407,,,0.3333333333333333,0.25,0.3,0.3333333333333333,0.5,0.2,0.5,0.5,0.4,0.25,0.25,1.0,,0.1,0.3333333333333333,,0.3333333333333333,0.4,0.4133050000000001,0.3520833333333333,,,,,9.444444444444445,25.7,0.4666666666666667,,,,,,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,0.1111111111111111,0.3333333333333333,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,0.3513,,,,,1.0,1.0,,,,0.07142857142857142,,0.05555555555555555,0.16666666666666666,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,384.0,6,-12,16,16,12.0,11.0,1.0,32,,,,,,,,1.0,,,,,1.0,,2.0,2.0,21,,,,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,,,,2.0,,1.0,1.0,3.0,2.0,,1.0,2.0,1.0,,12.0,,,,,,,,0.5,,,,29.41176470588235,0.6666666666666666,0.5,0.3333333333333333,0.4,,1.0,,0.3333333333333333,,,,,,,1.0,,,,,,,,,,0.3087,0.3087,0.5,0.5,,,17.7,,0.75,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,1610612749,Marcus Haislip,Marcus Haislip,2409,MIL,177.0,3,2,6,7,2.0,7.0,1.0,13,,,,,,,1.0,1.0,,,,1.0,1.0,,,2.0,4,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,12.5,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.3698,0.3698,,,,1.0,18.6,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.3333333333333333,,0.2,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,1610612749,Dan Gadzuric,Dan Gadzuric,2429,MIL,177.0,3,2,6,7,2.0,7.0,1.0,13,,,,,,1.0,,1.0,,,,,2.0,,,,4,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,25.0,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,0.37155,,,,,,12.55,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,0.3868,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612749,Joe Smith,Joe Smith,693,MIL,680.0,11,-6,23,21,6.0,10.0,,44,1.0,1.0,,,,,,1.0,,,,1.0,2.0,,,2.0,25,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,6.0,,1.0,1.0,0.5,,0.5,,0.5,,,,8.695652173913043,,0.2,,0.125,,0.25,,,0.5,1.0,1.0,,,,0.5,,,,,,,,,0.5,0.4353,,,,,,9.45,,0.2608695652173913,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
