EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,HeaveAttempts,FTDefRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,FG3APct,Usage,DefFTReboundPct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,ShootingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,BlockedLongMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,PenaltyFtPoints,NonHeaveArc3FGA,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyArc3Frequency,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Corner3Assists,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,on,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Corner3PctBlocked,DefensiveGoaltends,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct
120,1610612740,Steven Smith,Steven Smith,120,NOH,351.0,6,-8.0,11,11,5,22,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.181818181818183,0.5,1.0,1.0,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,1977.0,33,-8.0,60,61,16,121,,,53,,,9.0,10.0,,1.0,1.0,7.0,,3.0,,1.0,,13.636363636363635,,,0.42857142857142855,,10.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,2.0,8.0,1.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,10.0,1.0,1.0,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.5,0.14285714285714285,0.3333333333333333,0.22727272727272727,0.05263157894736842,0.3076923076923077,0.2571428571428571,0.038461538461538464,0.2,0.2222222222222222,0.3333333333333333,0.2727272727272727,0.5,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,0.3333333333333333,0.5,1.0,0.14285714285714285,1.0,0.25,1.0,0.4788571428571429,0.5602,0.428025,0.25,0.25,0.5,5.728571428571429,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2561,1610612740,David West,David West,2561,NOH,4730.0,79,14.0,143,137,33,280,,,117,,2.0,15.0,22.0,1.0,3.0,5.0,9.0,,6.0,,,,18.072289156626507,0.25,,0.5454545454545454,,34.0,18.0,8.0,12.0,4.0,,1.0,1.0,8.0,2.0,10.0,22.0,4.0,24.0,8.0,,3.0,,12.0,2.0,4.0,5.0,1.0,11.0,6.0,5.0,8.0,7.0,2.0,1.0,5.0,,,3.0,4.0,3.0,4.0,2.0,,34.0,0.6,0.75,0.45454545454545453,,0.45454545454545453,,0.48,,0.09090909090909091,0.125,0.15384615384615385,0.11320754716981132,0.21739130434782608,0.17333333333333334,0.10144927536231885,0.10526315789473684,0.23529411764705882,0.1111111111111111,0.2,0.3333333333333333,0.5,0.5454545454545454,0.6666666666666666,0.7272727272727273,0.625,0.36363636363636365,0.125,0.14285714285714285,,0.09090909090909091,0.5,0.3333333333333333,,0.48786363636363633,0.49548571428571425,0.4399,0.12,0.12,,4.636363636363637,0.23776223776223776,2.0,1.0,3.0,6.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.375,0.375,0.375,0.08333333333333333,0.4,0.0625,0.1875,0.05555555555555555,0.06666666666666667,0.125,0.1,0.5,0.5,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,9970.0,166,-13.0,298,298,75,596,1.0,1.0,289,,2.0,15.0,19.0,3.0,7.0,13.0,13.0,1.0,18.0,,2.0,0.020833333333333332,20.23121387283237,0.125,0.020833333333333332,0.22916666666666666,35.0,99.0,40.0,3.0,10.0,2.0,,2.0,9.0,18.0,19.0,18.0,47.0,16.0,52.0,4.0,4.0,10.0,18.0,20.0,2.0,6.0,7.0,,15.0,3.0,4.0,9.0,4.0,6.0,3.0,6.0,1.0,,4.0,1.0,,1.0,,18.0,99.0,0.5555555555555556,0.5555555555555556,0.3829787234042553,0.4,0.375,0.36363636363636365,0.45614035087719296,0.5294117647058824,0.0425531914893617,,0.0782608695652174,0.02702702702702703,0.08695652173913043,0.08074534161490683,0.02666666666666667,,0.047619047619047616,0.1346153846153846,0.075,0.16666666666666666,,0.20833333333333334,0.3,0.375,1.0,0.375,0.5,0.5,0.3333333333333333,0.3958333333333333,0.5,0.18181818181818182,,0.4238106382978724,0.34115,0.40115,0.07692307692307693,0.0784313725490196,0.34615384615384615,10.725531914893617,0.33221476510067116,,6.0,1.0,4.0,16.0,,1.0,1.0,5.0,1.0,1.0,1.0,3.0,6.0,3.0,3.0,2.0,2.0,,0.25,0.25,0.4,0.2,0.46153846153846156,0.02564102564102564,0.03225806451612903,0.04,0.02857142857142857,,0.037037037037037035,0.3157894736842105,0.3157894736842105,0.6666666666666666,,0.07692307692307693,1.0,2.0,1.0,10.0,1.0,1.0,1.0,5.0,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
353,1610612740,Darrell Armstrong,Darrell Armstrong,353,NOH,5909.0,98,-20.0,173,175,38,348,14.0,15.0,167,,1.0,7.0,10.0,2.0,3.0,9.0,6.0,1.0,3.0,1.0,1.0,0.6818181818181818,16.243654822335024,0.1111111111111111,0.6363636363636364,0.7727272727272727,24.646666666666665,34.0,20.0,,2.0,,,,,,5.0,2.0,7.0,3.0,16.0,1.0,,2.0,2.0,4.0,1.0,7.0,9.0,5.0,20.0,1.0,1.0,5.0,3.0,5.0,4.0,1.0,,,,,,,,2.0,34.0,1.0,1.0,0.2857142857142857,,0.29545454545454547,,0.32608695652173914,0.2,0.14285714285714285,,0.06578947368421052,0.015873015873015872,0.045454545454545456,0.061224489795918366,0.033707865168539325,,,0.10810810810810811,0.05555555555555555,,,0.09090909090909091,,,,,,,,0.22727272727272727,,,,0.5530045454545455,0.5742,0.5029875,,,0.125,14.742857142857142,0.19653179190751446,,2.0,,,,,2.0,2.0,2.0,,2.0,,1.0,6.0,2.0,4.0,1.0,1.0,,,,,0.5,0.6666666666666666,0.07692307692307693,,0.038461538461538464,0.08333333333333333,0.07692307692307693,,0.4,0.4,1.0,,,2.0,,2.0,2.0,14.0,,,1.0,,0.5,1.0,3.0,2.0,3.0,2.0,9.0,3.0,1.0,1.0,0.2,0.2,0.06666666666666667,0.07142857142857142,0.045454545454545456,0.21428571428571427,0.23076923076923078,1.0,0.6666666666666666,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1742,1610612740,Shammond Williams,Shammond Williams,1742,NOH,497.0,8,-3.0,14,12,2,26,,,11,,,,,,1.0,1.0,1.0,,2.0,,,,17.64705882352941,,,,,3.0,3.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,3.0,,,,,,,0.25,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3088,,,,,1.0,11.9,0.21428571428571427,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,5764.0,96,-13.0,173,173,41,346,,,176,,4.0,22.0,32.0,,2.0,3.0,10.0,1.0,18.0,,1.0,,17.171717171717173,0.4,,0.5454545454545454,,67.0,23.0,5.0,12.0,8.0,2.0,6.0,3.0,8.0,2.0,8.0,22.0,14.0,30.0,9.0,2.0,8.0,11.0,12.0,3.0,1.0,1.0,1.0,2.0,7.0,7.0,11.0,10.0,2.0,2.0,5.0,,,6.0,3.0,2.0,3.0,1.0,11.0,67.0,0.75,0.8571428571428571,0.36363636363636365,0.25,0.36363636363636365,0.25,0.4838709677419355,0.4230769230769231,0.13636363636363635,0.125,0.15942028985507245,0.109375,0.30434782608695654,0.1956521739130435,0.11494252873563218,0.11764705882352941,0.2,0.16129032258064516,0.2857142857142857,0.5,0.3333333333333333,0.5454545454545454,0.4166666666666667,0.5,0.8,0.36363636363636365,0.375,0.42857142857142855,0.6666666666666666,0.09090909090909091,0.8888888888888888,0.75,0.3333333333333333,0.49560454545454546,0.5698166666666667,0.5481750000000001,0.21428571428571427,0.21428571428571427,0.36666666666666664,4.218181818181819,0.3872832369942196,4.0,,4.0,11.0,4.0,2.0,,,,,3.0,1.0,,1.0,,1.0,1.0,,,0.4444444444444444,0.4444444444444444,0.5,0.16666666666666666,0.3333333333333333,0.13043478260869565,0.2222222222222222,0.034482758620689655,0.10526315789473684,0.07692307692307693,0.09090909090909091,,,,0.5,0.36666666666666664,,3.0,,7.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,5039.0,84,-3.0,155,154,56,309,7.0,9.0,150,,,5.0,5.0,,3.0,4.0,8.0,,15.0,1.0,,0.4090909090909091,18.0327868852459,,0.3181818181818182,0.45454545454545453,24.244444444444444,89.0,23.0,1.0,1.0,,,,,,12.0,6.0,13.0,11.0,32.0,,3.0,9.0,20.0,12.0,,4.0,4.0,,8.0,,4.0,1.0,,2.0,1.0,5.0,1.0,,1.0,,,,,20.0,89.0,1.0,1.0,0.46153846153846156,0.3333333333333333,0.4772727272727273,0.32142857142857145,0.5517241379310345,0.47619047619047616,,,0.02040816326530612,,0.13793103448275862,0.0641025641025641,,,,0.05,0.15384615384615385,,,0.045454545454545456,1.0,1.0,1.0,,,,,0.5454545454545454,,,,0.4767272727272727,,0.4612071428571428,0.043478260869565216,0.07142857142857142,0.625,18.73846153846154,0.5741935483870968,,5.0,,2.0,,,,,2.0,2.0,,,1.0,1.0,1.0,,1.0,3.0,,,,0.5,,0.25,,,,,,,0.4166666666666667,0.4166666666666667,1.0,,0.0625,3.0,2.0,5.0,11.0,7.0,,,6.0,,0.21428571428571427,2.0,2.0,1.0,3.0,1.0,9.0,2.0,,1.0,0.3333333333333333,0.3333333333333333,,,0.09090909090909091,0.2857142857142857,0.2857142857142857,1.0,1.0,0.2857142857142857,,,,,1.0,1.0,2.0,1.0,0.2,0.5,0.5,1.0,0.14285714285714285,0.5,,,,,,,,,,,,,True,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,6439.0,107,-15.0,190,194,47,384,,,202,,1.0,14.0,29.0,,,2.0,6.0,1.0,4.0,,1.0,,15.859030837004406,0.125,,0.25,,71.0,32.0,6.0,8.0,5.0,1.0,2.0,1.0,3.0,21.0,13.0,32.0,4.0,30.0,6.0,4.0,11.0,10.0,16.0,1.0,2.0,3.0,1.0,7.0,11.0,2.0,11.0,15.0,,,5.0,,,1.0,5.0,3.0,5.0,2.0,10.0,71.0,0.6153846153846154,0.8888888888888888,0.40625,0.36363636363636365,0.40625,0.36363636363636365,0.4411764705882353,0.4166666666666667,0.03125,,0.1506849315068493,0.14864864864864866,0.07142857142857142,0.12871287128712872,0.1485148514851485,0.125,0.06451612903225806,0.2222222222222222,0.08,,0.4,0.25,0.75,0.75,0.3333333333333333,0.09375,0.3333333333333333,0.3333333333333333,,0.65625,0.8333333333333334,0.18181818181818182,0.5,0.417690625,0.5278166666666667,0.4104999999999999,0.030303030303030304,0.030303030303030304,0.3333333333333333,11.815625,0.3736842105263158,4.0,6.0,5.0,10.0,10.0,8.0,1.0,1.0,1.0,,4.0,2.0,,2.0,2.0,,,1.0,,0.8333333333333334,0.8333333333333334,0.8333333333333334,,1.0,0.14814814814814814,0.2857142857142857,0.08108108108108109,0.12,0.2,0.1111111111111111,0.2857142857142857,0.3,1.0,0.8,0.3333333333333333,,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.047619047619047616,,,,,,,,,,,,True,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,8391.0,140,4.0,251,250,52,501,30.0,32.0,246,,,15.0,18.0,3.0,4.0,10.0,8.0,,22.0,,,0.5079365079365079,27.891156462585034,,0.47619047619047616,0.7936507936507936,24.459374999999998,78.0,36.0,11.0,18.0,2.0,2.0,4.0,1.0,4.0,9.0,15.0,31.0,17.0,77.0,3.0,2.0,7.0,20.0,6.0,3.0,19.0,24.0,11.0,53.0,3.0,3.0,12.0,3.0,5.0,3.0,3.0,1.0,3.0,8.0,4.0,3.0,4.0,1.0,20.0,78.0,0.2,0.23076923076923078,0.4838709677419355,0.2857142857142857,0.47619047619047616,0.40625,0.5347222222222222,0.5,0.0967741935483871,,0.12121212121212122,0.03296703296703297,0.07692307692307693,0.10869565217391304,0.023809523809523808,,0.10526315789473684,0.11363636363636363,0.09090909090909091,,0.25,0.2857142857142857,0.6111111111111112,0.6875,0.2727272727272727,0.06349206349206349,0.25,0.25,,0.14285714285714285,0.2857142857142857,0.25,0.5,0.5194333333333333,0.458,0.542759375,0.13043478260869565,0.2222222222222222,0.2597402597402597,6.516129032258065,0.3107569721115538,2.0,3.0,2.0,8.0,24.0,4.0,5.0,4.0,6.0,2.0,,1.0,2.0,6.0,2.0,4.0,,2.0,1.0,0.6666666666666666,0.5,0.5714285714285714,0.1111111111111111,0.6,,0.06666666666666667,0.02631578947368421,,0.17647058823529413,0.029411764705882353,0.3333333333333333,0.375,,1.0,0.1038961038961039,8.0,1.0,9.0,7.0,30.0,,,3.0,,0.5,2.0,10.0,4.0,10.0,4.0,12.0,10.0,,0.4,0.3125,0.3125,,,0.031746031746031744,0.3333333333333333,0.3333333333333333,0.4,0.5714285714285714,0.3333333333333333,,,,,,,1.0,3.0,0.3333333333333333,,,,0.0625,,0.1111111111111111,1.0,3.0,1.0,18.0,1.0,1.0,0.25,0.25,1.0,0.375,0.030303030303030304,True,,,,,,,
