EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,SecondChanceTurnovers,PenaltyTurnovers,BlockedAtRim,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyArc3FGM,PtsUnassisted3s,HeaveAttempts,ShortMidRangeAssists,Travels,Loose Ball Fouls,AtRimPctBlocked,PenaltyArc3Accuracy,SelfOReb,SelfORebPct,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,BlockedShortMidRange,on,BlockedArc3,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,Technical Free Throw Trips,LongMidRangePctBlocked,Clear Path Fouls
1508,1610612745,Maurice Taylor,Maurice Taylor,1508,HOU,2433.0,41.0,-13.0,75,72.0,29,22.0,7.0,147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,9.0,5.0,13.0,5.0,15.0,73.0,1.0,2.0,3.0,5.0,1.0,4.0,5.0,7.0,4.0,6.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,9.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,29,0.4,0.5,0.38461538461538464,0.5,0.25,0.38461538461538464,0.5,0.25,0.5,0.8333333333333334,0.5833333333333334,22.89156626506024,0.5,0.5,0.043478260869565216,0.16666666666666666,0.029411764705882353,0.03225806451612903,0.1111111111111111,0.2,1.0,0.07692307692307693,1.0,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,0.25,1.0,0.07692307692307693,0.38880769230769235,0.44525,0.41059999999999997,0.2,0.2,0.3333333333333333,0.4666666666666667,14.93846153846154,0.38666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1509,1610612745,Kelvin Cato,Kelvin Cato,1509,HOU,8764.0,146.0,-12.0,265,263.0,66,55.0,34.0,528,11.0,16.0,3.0,3.0,1.0,1.0,2.0,5.0,,1.0,13.0,22.0,3.0,29.0,248.0,4.0,5.0,1.0,9.0,1.0,3.0,,2.0,20.0,6.0,6.0,2.0,,2.0,,2.0,4.0,12.0,,6.0,20.0,14.0,34.0,2.0,1.0,1.0,3.0,1.0,5.0,9.0,18.0,2.0,7.0,3.0,5.0,4.0,,4.0,1.0,2.0,66,0.7692307692307693,1.0,0.5909090909090909,0.8,0.3333333333333333,0.5909090909090909,0.8,0.3333333333333333,0.6041666666666666,0.75,0.3333333333333333,9.570957095709572,0.4,,0.11764705882352941,0.23076923076923078,0.1450381679389313,0.1044776119402985,0.09302325581395349,0.2,0.25,0.7272727272727273,0.6875,0.6875,0.22727272727272727,0.4,0.4,0.045454545454545456,,,,0.6,1.0,0.3333333333333333,1.0,0.7272727272727273,0.5405863636363636,0.5323399999999999,0.4618,0.20833333333333334,0.20833333333333334,0.3103448275862069,0.06896551724137931,2.6636363636363636,0.2490566037735849,2.0,13.0,1.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,0.05555555555555555,0.12380952380952381,0.0625,0.05555555555555555,0.17073170731707318,0.09090909090909091,0.08333333333333333,0.1875,0.10204081632653061,0.3333333333333333,0.8181818181818182,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1749,1610612745,Cuttino Mobley,Cuttino Mobley,1749,HOU,7840.0,131.0,-14.0,235,237.0,52,35.0,31.0,472,8.0,11.0,1.0,1.0,2.0,2.0,1.0,9.0,4.0,12.0,13.0,32.0,7.0,48.0,223.0,1.0,3.0,,2.0,2.0,4.0,3.0,10.0,8.0,18.0,,6.0,4.0,10.0,2.0,2.0,24.0,1.0,,4.0,13.0,1.0,14.0,4.0,1.0,2.0,5.0,2.0,9.0,6.0,8.0,,8.0,,2.0,,,1.0,1.0,10.0,52,0.3076923076923077,0.3076923076923077,0.40625,0.3333333333333333,0.5,0.4270833333333333,0.16666666666666666,0.5833333333333334,0.46153846153846156,0.16666666666666666,0.625,22.59259259259259,0.4444444444444444,,0.010638297872340425,0.17391304347826086,0.11016949152542373,0.00819672131147541,0.024390243902439025,0.16666666666666666,1.0,0.22916666666666666,0.7272727272727273,0.7272727272727273,0.1875,0.1111111111111111,0.14285714285714285,0.25,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,1.0,0.3333333333333333,1.0,0.5625,0.4992260416666667,0.484325,0.4961083333333334,0.04,0.058823529411764705,0.041666666666666664,0.20833333333333334,9.165625,0.22127659574468084,,9.0,,2.0,1.0,,5.0,,,,,0.09473684210526316,,,,,0.041666666666666664,0.19230769230769232,0.06666666666666667,0.2,0.25,1.0,,3.0,6.0,1.0,1.0,2.0,10.0,3.0,1.0,5.0,16.0,3.0,1.0,2.0,15.0,10.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.3125,0.5,0.3125,0.3333333333333333,0.0625,0.2222222222222222,0.125,0.5,0.5,1.0,0.20833333333333334,0.2,0.2,1.0,0.5,0.16666666666666666,1.0,0.16666666666666666,0.2,24.225,,,,,,,,,,,,,,,True,,,,,,,,
1883,1610612745,Steve Francis,Steve Francis,1883,HOU,8763.0,146.0,-12.0,265,262.0,66,54.0,34.0,527,11.0,15.0,2.0,2.0,4.0,7.0,2.0,7.0,5.0,19.0,18.0,41.0,10.0,61.0,248.0,2.0,4.0,,4.0,10.0,18.0,4.0,30.0,8.0,28.0,2.0,18.0,4.0,22.0,1.0,9.0,48.0,1.0,,2.0,21.0,4.0,25.0,10.0,1.0,7.0,6.0,3.0,16.0,8.0,14.0,1.0,16.0,2.0,8.0,,,,,30.0,66,0.2222222222222222,0.23529411764705882,0.43902439024390244,0.5,0.5555555555555556,0.49038461538461536,0.4,0.5416666666666666,0.5169491525423728,0.4,0.5769230769230769,24.752475247524753,0.625,,0.00980392156862745,0.07692307692307693,0.1450381679389313,0.029850746268656716,0.023255813953488372,0.05,,0.28846153846153844,0.7333333333333333,0.8461538461538461,0.1346153846153846,0.2857142857142857,0.3333333333333333,0.36538461538461536,0.2631578947368421,0.2631578947368421,,0.4,1.0,0.2916666666666667,0.5714285714285714,0.5,0.46288333333333326,0.5286125,0.4576913043478261,0.13793103448275862,0.1702127659574468,0.06557377049180328,0.4918032786885246,10.23658536585366,0.2490566037735849,3.0,17.0,2.0,4.0,2.0,1.0,2.0,,1.0,2.0,0.11764705882352941,0.1619047619047619,0.09375,,,0.13636363636363635,0.20833333333333334,0.1875,0.12244897959183673,0.16666666666666666,0.36363636363636365,,,3.0,3.0,,,2.0,8.0,1.0,6.0,5.0,11.0,1.0,2.0,6.0,12.0,7.0,2.0,3.0,3.0,5.0,2.0,,1.0,1.0,,,0.8,0.45454545454545453,0.3333333333333333,0.5,0.21153846153846154,0.07317073170731707,0.14285714285714285,0.057692307692307696,1.0,1.0,1.0,0.15384615384615385,0.25,0.25,0.5,0.2,,,0.25,0.2857142857142857,26.281818181818185,2.0,3.0,1.0,4.0,3.0,1.0,0.13333333333333333,0.3333333333333333,,,,,,,True,,,,,,,,
2411,1610612745,Bostjan Nachbar,Bostjan Nachbar,2411,HOU,944.0,16.0,5.0,29,24.0,9,6.0,6.0,53,1.0,2.0,,,,,,,,1.0,1.0,3.0,2.0,7.0,24.0,,,,,,,2.0,2.0,2.0,,,,,,,,,1.0,,,3.0,1.0,4.0,1.0,,,,1.0,1.0,1.0,3.0,,2.0,,,,,,,2.0,9,1.0,1.0,0.3333333333333333,,,0.625,,,0.7,,1.0,16.666666666666668,1.0,,0.1,,0.25,0.07142857142857142,,,,0.5,0.5,0.5,,,,0.25,,,,,,,,0.75,0.5252875,,,,,,0.2857142857142857,5.466666666666666,0.3103448275862069,,2.0,1.0,,,1.0,,,,,0.5,0.2857142857142857,,0.5,,,,0.25,0.3333333333333333,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,0.25,,,,,,,0.25,1.0,1.0,1.0,,,,,1.0,25.5,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,
754,1610612745,Jim Jackson,Jim Jackson,754,HOU,8293.0,138.0,-14.0,252,251.0,64,55.0,31.0,503,4.0,5.0,1.0,1.0,2.0,2.0,2.0,9.0,8.0,14.0,14.0,28.0,4.0,38.0,234.0,2.0,3.0,,4.0,3.0,8.0,,6.0,10.0,18.0,2.0,7.0,1.0,8.0,1.0,2.0,17.0,1.0,,6.0,35.0,3.0,38.0,4.0,1.0,2.0,3.0,2.0,7.0,2.0,5.0,,7.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,64,0.35714285714285715,0.38461538461538464,0.5,0.6666666666666666,0.375,0.37777777777777777,0.4,0.3333333333333333,0.3958333333333333,0.4,0.3,19.23076923076923,0.5714285714285714,,0.010309278350515464,0.23076923076923078,0.21705426356589147,0.023622047244094488,,0.3,1.0,0.1111111111111111,0.8,1.0,0.2,0.2222222222222222,0.2222222222222222,0.3111111111111111,0.5714285714285714,0.5714285714285714,0.375,0.2,1.0,0.2222222222222222,1.0,0.4888888888888889,0.48446555555555565,0.45055,0.44042777777777775,0.08333333333333333,0.12903225806451613,0.10526315789473684,0.15789473684210525,12.432142857142859,0.25396825396825395,2.0,22.0,7.0,3.0,2.0,,,,,1.0,0.4117647058823529,0.21359223300970873,0.06666666666666667,,0.02564102564102564,0.05,0.20833333333333334,0.0967741935483871,0.2916666666666667,,0.5,,,,7.0,,1.0,2.0,10.0,,,2.0,17.0,2.0,,1.0,6.0,10.0,2.0,1.0,,,1.0,1.0,1.0,,,,1.0,0.11764705882352941,,0.11764705882352941,0.37777777777777777,0.03571428571428571,,0.15555555555555556,,,,0.2222222222222222,0.2,0.2,1.0,,0.1111111111111111,,,0.2,24.258823529411767,,,,5.0,,,0.2,,1.0,0.03571428571428571,2.0,0.1,0.4,,True,,,,,,,,
221,1610612745,Clar. Weatherspoon,Clar. Weatherspoon,221,HOU,32.0,1.0,-1.0,2,2.0,2,2.0,1.0,4,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,6130.0,102.0,-2.0,184,185.0,31,27.0,26.0,369,5.0,8.0,3.0,4.0,3.0,3.0,8.0,26.0,4.0,10.0,17.0,44.0,4.0,38.0,170.0,3.0,7.0,2.0,8.0,3.0,7.0,,6.0,26.0,8.0,6.0,2.0,2.0,4.0,1.0,2.0,10.0,5.0,,1.0,12.0,8.0,20.0,6.0,,2.0,2.0,4.0,8.0,10.0,11.0,,7.0,1.0,4.0,3.0,,3.0,1.0,6.0,31,0.7647058823529411,0.9285714285714286,0.38636363636363635,0.42857142857142855,0.42857142857142855,0.38636363636363635,0.42857142857142855,0.42857142857142855,0.40425531914893614,0.5,0.42857142857142855,25.700934579439252,0.75,,0.06329113924050633,0.05555555555555555,0.09574468085106383,0.07766990291262135,0.11764705882352941,,0.3333333333333333,0.18181818181818182,0.625,0.8333333333333334,0.5909090909090909,0.3076923076923077,0.38095238095238093,0.22727272727272727,0.4,0.4,1.0,0.5714285714285714,0.75,0.42857142857142855,1.0,0.18181818181818182,0.43117272727272726,0.47732,0.4860142857142857,0.0851063829787234,0.0851063829787234,0.21052631578947367,0.15789473684210525,9.097727272727273,0.16847826086956522,3.0,8.0,3.0,2.0,2.0,1.0,2.0,2.0,,,0.3,0.10526315789473684,0.125,0.07142857142857142,,0.0625,0.14285714285714285,0.13636363636363635,0.06060606060606061,0.25,0.4,0.875,,,,,,,,,,,,,,,,,,7.0,1.0,,,1.0,,,,,,,,,,0.1590909090909091,0.19230769230769232,,,,,,,,,,,,,,,,,,,1.0,,0.25,,1.0,0.05,,0.25,,1.0,True,,,,,,,,
1909,1610612745,Scott Padgett,Scott Padgett,1909,HOU,169.0,3.0,4.0,4,4.0,4,4.0,,8,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
349,1610612745,Mark Jackson,Mark Jackson,349,HOU,260.0,4.0,,7,8.0,4,8.0,,15,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,2.0,,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.56505,,,,,,,,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,25.6,,,,,,,,,,,,,,,True,,,,,,,,
