EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffThreePtRebounds,Steals,BadPassSteals,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Blocked3s,BlockedArc3,Blocks,Fg3Pct,NonHeaveFg3Pct,FG3APct,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,Fg2aBlocked,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,Travels,Offensive Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,Arc3Assists,DefThreePtRebounds,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Arc3PctAssisted,SecondChanceCorner3FGA,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimFGM,Blocked2s,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,Clear Path Fouls,DefAtRimReboundPct,FTOffRebounds,BlockedAtRim,OffFTReboundPct,on,SecondChanceFtPoints,ShortMidRangePctBlocked,DefArc3ReboundPct,DefensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,BlockedCorner3,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy
1508,1610612745,Maurice Taylor,Maurice Taylor,1508,HOU,1412.0,24,-8,42,39,7,9.0,4.0,81,1.0,1.0,2.0,3.0,4.0,4.0,7.0,2.0,10.0,49,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,7,1.0,0.75,0.75,0.5714285714285714,0.5,0.5714285714285714,0.5,0.625,0.5,20.833333333333336,1.0,0.09090909090909091,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1111111111111111,0.2,0.14285714285714285,1.0,1.0,0.2857142857142857,0.5714285714285714,0.75,0.75,1.0,0.14285714285714285,0.40657142857142853,0.4124,0.42355,0.125,0.125,0.2,13.528571428571427,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1509,1610612745,Kelvin Cato,Kelvin Cato,1509,HOU,944.0,16,5,29,24,9,6.0,6.0,53,1.0,1.0,,,,1.0,1.0,,2.0,24,1.0,1.0,2.0,,,2.0,,,,,3.0,1.0,1.0,4.0,5.0,,,,,,1.0,,,,9,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.7777777777777777,,0.14285714285714285,0.3,0.125,0.2857142857142857,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,1.0,0.5725,0.5725,,,,1.0,,0.3103448275862069,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.4,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1749,1610612745,Cuttino Mobley,Cuttino Mobley,1749,HOU,1059.0,18,1,33,31,6,10.0,5.0,64,2.0,3.0,2.0,1.0,1.0,3.0,6.0,,9.0,35,,,,1.0,4.0,2.0,1.0,2.0,,5.0,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,6,,0.6666666666666666,0.6666666666666666,0.5,,0.5,,0.5,,25.64102564102564,,0.1111111111111111,,0.08333333333333333,,,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,0.5286944444444444,0.5985,0.384,,,,6.283333333333334,0.18181818181818182,,,,,,,,,,,,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,25.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1883,1610612745,Steve Francis,Steve Francis,1883,HOU,1575.0,26,1,50,48,14,14.0,6.0,98,,1.0,2.0,1.0,4.0,2.0,7.0,7.0,17.0,54,,,,3.0,,4.0,5.0,5.0,2.0,10.0,,4.0,5.0,,5.0,1.0,,1.0,3.0,,2.0,,8.0,2.0,14,,,,0.2857142857142857,,0.5,,0.6071428571428571,,29.31034482758621,0.3333333333333333,0.3076923076923077,,0.26666666666666666,,,0.25,0.1,,,0.2,0.4,0.25,0.25,,0.4,0.440405,,0.4483125,0.16666666666666666,0.2222222222222222,,13.985714285714286,0.28,,,,,1.0,,,,,,,1.0,2.0,,2.0,3.0,,3.0,2.0,1.0,,,2.0,,2.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.3,,0.2,0.5,0.5,,0.5,24.433333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,0.5,1.0,0.3333333333333333,0.625,0.7142857142857143,0.14285714285714285,1.0,0.3333333333333333,0.4,0.5,0.5,0.1,1.0,1.0,1.0,0.25,0.25,1.0,0.5882352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
2411,1610612745,Bostjan Nachbar,Bostjan Nachbar,2411,HOU,2310.0,38,1,76,73,27,28.0,9.0,149,3.0,4.0,,,2.0,3.0,6.0,5.0,14.0,79,,,,,4.0,2.0,1.0,2.0,,5.0,1.0,2.0,5.0,1.0,6.0,1.0,,1.0,2.0,2.0,9.0,,5.0,2.0,27,,0.6666666666666666,0.6666666666666666,0.5,,0.5,,0.6363636363636364,,14.942528735632184,0.5,0.1111111111111111,0.05,0.13043478260869565,0.03225806451612903,,0.1111111111111111,0.4444444444444444,0.75,0.75,,0.2222222222222222,,,,0.7777777777777778,0.5461833333333334,,,0.2,0.2857142857142857,,6.116666666666667,0.35526315789473684,,,,,1.0,1.0,,,,,,1.0,2.0,,1.0,3.0,,,2.0,1.0,1.0,,,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5,0.5,,0.5,25.066666666666666,,,,1.0,,,,,,4.0,4.0,3.0,1.0,1.0,2.0,,,,1.0,4.0,1.0,,,,1.0,0.16666666666666666,,0.5,0.14285714285714285,,,0.1111111111111111,,,,,,,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.25,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
754,1610612745,Jim Jackson,Jim Jackson,754,HOU,1278.0,21,-2,45,45,23,21.0,4.0,90,,,4.0,,1.0,1.0,5.0,2.0,7.0,49,,1.0,,2.0,,2.0,,,,,,,,1.0,1.0,3.0,2.0,1.0,3.0,,1.0,,3.0,1.0,23,1.0,,,0.2,,0.2777777777777778,,0.3,,26.0,1.0,,,,0.07142857142857142,,,,,,0.4444444444444444,0.1111111111111111,,,,0.4444444444444444,0.42678333333333335,0.3287,0.40571250000000003,0.1,0.16666666666666666,,13.34,0.5111111111111111,,,,1.0,1.0,1.0,0.2,,,,,1.0,2.0,,1.0,4.0,1.0,,2.0,1.0,,,,,,1.0,,,,0.25,0.25,0.4444444444444444,,0.2222222222222222,0.5,0.5,,0.5,24.025,,1.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,3.0,,,,,,,,6.0,1.0,0.5,0.5,0.625,0.6,,,,,0.25,0.25,0.2222222222222222,,,,,0.5,0.5,0.8571428571428571,,,1.0,,,,,,,,0.14285714285714285,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,1533.0,26,1,50,50,12,18.0,6.0,100,3.0,3.0,3.0,1.0,2.0,6.0,8.0,2.0,14.0,57,2.0,2.0,4.0,2.0,8.0,4.0,,1.0,,3.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,,4.0,3.0,12,1.0,0.6666666666666666,1.0,0.75,1.0,0.75,1.0,0.7777777777777778,1.0,19.29824561403509,1.0,0.23076923076923078,0.13333333333333333,0.1875,0.09523809523809523,0.14285714285714285,,0.375,1.0,1.0,0.375,0.25,0.5,0.5,1.0,0.375,0.4606125,0.575,0.5979,0.3333333333333333,0.3333333333333333,0.2857142857142857,7.8375,0.24,2.0,2.0,4.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,0.3333333333333333,,,,,,,2.0,2.0,,,,,2.0,,,,4.0,,,,,,,,,4.0,,,1.0,1.0,1.0,,,,0.75,0.6666666666666666,0.6666666666666666,,,,,1.0,,,0.2857142857142857,1.0,,,,,2.0,,,0.3333333333333333,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,
349,1610612745,Mark Jackson,Mark Jackson,349,HOU,718.0,12,-1,26,24,13,14.0,3.0,50,,,1.0,1.0,1.0,1.0,2.0,,2.0,25,,,,,,2.0,3.0,3.0,1.0,6.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,,1.0,,,,13,,,,0.5,,0.25,,0.25,,20.689655172413794,1.0,0.4,,0.25,,,1.0,,,,0.25,0.25,1.0,1.0,,0.5,0.436425,,0.50745,,,,16.1,0.5,,,,,1.0,1.0,,,,,,,2.0,,,2.0,,,2.0,,,,2.0,,,1.0,,,,,,0.5,,0.5,,,,,25.65,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,True,,,,,,,,,,,,,,,,,
1909,1610612745,Scott Padgett,Scott Padgett,1909,HOU,262.0,4,5,11,12,11,10.0,1.0,23,1.0,2.0,,,,1.0,2.0,,5.0,8,1.0,1.0,2.0,2.0,,2.0,,,,,,1.0,2.0,1.0,3.0,,,,,,,,,,11,,,,0.5,1.0,0.625,1.0,0.625,1.0,33.333333333333336,,1.0,,1.0,,,,0.5,0.5,0.5,,,,,,1.0,0.5067125,0.5179,0.5067125,,,0.4,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,,1.0,2.0,,,2.0,1.0,,,,,,,,,1.0,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,25.3,2.0,,,,1.0,2.0,1.0,1.0,2.0,,5.0,3.0,,,,,,,,5.0,1.0,0.5,0.5,0.625,0.625,,,,,,,,,,,0.5,0.5,0.5,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,0.5,,1.0,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,
2366,1610612745,Mike Wilks,Mike Wilks,2366,HOU,262.0,4,5,11,12,11,10.0,1.0,23,,,,,,,,,,8,,,,,,,,1.0,,3.0,,,,,,1.0,1.0,,1.0,,,,,,11,,,,,,,,,,8.333333333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
