EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,PenaltyTurnovers,FTA,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedShortMidRange,3SecondViolations,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Corner3Assists,DefensiveGoaltends,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,on,LongMidRangePctBlocked,OffensiveGoaltends
1720,1610612743,Michael Doleac,Michael Doleac,1720,DEN,1803.0,30,-2,56,52,14,13.0,5.0,108,1.0,3.0,1.0,2.0,1.0,3.0,2.0,6.0,4.0,52,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,14,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,11.290322580645162,1.0,0.3333333333333333,0.041666666666666664,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5,0.44188333333333335,0.3417,0.45966666666666667,0.5,0.5,9.466666666666667,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1763,1610612743,Ryan Bowen,Ryan Bowen,1763,DEN,98.0,2,2,3,3,3,,,6,,,,,1.0,1.0,1.0,1.0,2.0,2,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,2.0,3,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,33.333333333333336,,,,,,,,,1.0,1.0,1.0,1.0,,,,0.4664,,0.4664,,1.0,20.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,3313.0,55,16,104,99,30,31.0,21.0,203,,3.0,,,3.0,10.0,5.0,17.0,21.0,92,1.0,1.0,5.0,,2.0,8.0,2.0,2.0,9.0,10.0,2.0,21.0,,2.0,6.0,3.0,3.0,3.0,1.0,2.0,8.0,30,1.0,0.2,0.25,0.29411764705882354,1.0,,0.35185185185185186,1.25,0.5,0.375,1.25,0.5714285714285714,0.11764705882352941,0.3333333333333333,24.409448818897637,1.0,,0.03333333333333333,,0.1111111111111111,,,,0.37037037037037035,0.3,0.3,0.3333333333333333,,,0.48148148148148145,0.4578538461538462,0.4443,0.38902000000000003,0.23809523809523808,0.38095238095238093,12.7,0.28846153846153844,2.0,4.0,3.0,10.0,1.0,1.0,2.0,4.0,3.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,8.0,3.0,6.0,2.0,1.0,9.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,0.3333333333333333,0.3,1.0,0.5,0.3333333333333333,0.37037037037037035,0.25,0.03225806451612903,0.041666666666666664,0.3333333333333333,0.1,0.06666666666666667,0.043478260869565216,0.14285714285714285,0.5,0.14814814814814814,0.5,0.6666666666666666,0.37037037037037035,0.3,0.3,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,27.080000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,10529.0,175,-24,330,329,63,71.0,51.0,659,22.0,35.0,2.0,4.0,6.0,16.0,34.0,70.0,77.0,347,8.0,17.0,17.0,2.0,6.0,4.0,28.0,2.0,12.0,16.0,7.0,36.0,4.0,15.0,23.0,3.0,1.0,10.0,5.0,16.0,4.0,63,2.0,0.4117647058823529,0.45161290322580644,0.4857142857142857,0.47058823529411764,0.3333333333333333,0.4722222222222222,0.47058823529411764,0.2857142857142857,0.5066666666666667,0.5,0.2857142857142857,0.02857142857142857,0.02857142857142857,21.963824289405686,0.3,0.15384615384615385,0.0847457627118644,0.2,0.4861111111111111,0.6285714285714286,0.6470588235294118,0.5,0.2222222222222222,0.375,0.375,0.3333333333333333,0.5714285714285714,0.5,0.5138888888888888,0.5090270833333332,0.5416727272727273,0.5487785714285714,0.22077922077922077,0.05194805194805195,6.4957142857142856,0.19090909090909092,6.0,19.0,,2.0,,,,1.0,,2.0,9.0,,,,1.0,,40.0,,,6.0,,2.0,,4.0,4.0,1.0,4.0,11.0,3.0,3.0,8.0,3.0,11.0,,,,,,,0.027777777777777776,0.05263157894736842,0.024193548387096774,0.0728476821192053,0.12,0.040268456375838924,0.0975609756097561,0.0759493670886076,,0.15789473684210525,0.2638888888888889,0.3157894736842105,0.3333333333333333,0.027777777777777776,,,,,,0.14285714285714285,,,26.700000000000003,7.0,14.0,1.0,2.0,3.0,8.0,7.0,1.0,4.0,7.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,7.0,0.2222222222222222,0.03225806451612903,0.043478260869565216,0.08571428571428572,0.16666666666666666,0.8235294117647058,0.5,0.2857142857142857,0.09333333333333334,0.0958904109589041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2365,1610612743,Chris Andersen,Chris Andersen,2365,DEN,1239.0,21,5,36,39,9,14.0,7.0,75,2.0,4.0,,1.0,,2.0,2.0,7.0,4.0,33,1.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,,3.0,1.0,4.0,8.0,1.0,1.0,2.0,,,,9,,0.5,1.0,0.2857142857142857,1.0,,0.2857142857142857,1.0,,0.2857142857142857,1.0,,0.14285714285714285,0.25,20.454545454545453,0.5,0.2,0.2,0.25,0.5714285714285714,0.5,0.6666666666666666,0.5,0.2857142857142857,,,,1.0,,0.5714285714285714,0.49339999999999995,0.5676,0.5371,0.5,,6.442857142857143,0.25,,1.0,,,,,,,,,,,,,,,2.0,,,2.0,,,,1.0,1.0,,,3.0,,4.0,4.0,,,,,,,,,,,0.2,0.2,,0.17391304347826086,0.3333333333333333,0.16666666666666666,0.3333333333333333,,0.14285714285714285,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,0.2,,,1.0,1.0,,,,2.0,2.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,
2206,1610612743,Rodney White,Rodney White,2206,DEN,507.0,8,-15,17,16,6,5.0,2.0,33,,,,,,2.0,,2.0,,26,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,6,1.0,,,,,,,,,,,,,,21.05263157894737,,,,,,,,,0.6666666666666666,,,,,,0.3333333333333333,0.39568333333333333,,0.398375,,,18.6,0.35294117647058826,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,0.3333333333333333,,,,,,0.5,,,25.1,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
468,1610612743,Jon Barry,Jon Barry,468,DEN,2945.0,49,-25,92,90,10,10.0,17.0,182,1.0,2.0,,,2.0,6.0,3.0,8.0,9.0,101,,2.0,,,,,2.0,,4.0,4.0,3.0,8.0,,1.0,11.0,1.0,,3.0,1.0,2.0,,10,,0.3333333333333333,0.3333333333333333,0.375,,,0.4090909090909091,,,0.4090909090909091,,,,,12.389380530973453,0.3333333333333333,,0.018518518518518517,,0.18181818181818182,0.5,0.5,1.0,0.5454545454545454,0.3333333333333333,0.3333333333333333,,,,0.45454545454545453,0.5028,0.4141,,,,14.425,0.10869565217391304,,,1.0,3.0,,,,,1.0,3.0,,,,,,,4.0,3.0,,,,3.0,1.0,,,,1.0,1.0,1.0,9.0,10.0,,1.0,,1.0,0.3333333333333333,,,0.3333333333333333,0.2727272727272727,,0.24324324324324326,0.022222222222222223,0.16666666666666666,0.23255813953488372,0.06666666666666667,,0.2857142857142857,0.25,,,,0.2727272727272727,0.3333333333333333,0.5,1.0,,,,,0.3333333333333333,24.900000000000002,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,0.3333333333333333,,,,,,0.09090909090909091,0.125,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,True,,
2403,1610612743,Nene,Nene,2403,DEN,6483.0,108,-13,203,202,18,24.0,31.0,405,10.0,13.0,1.0,1.0,2.0,9.0,15.0,31.0,35.0,210,1.0,2.0,4.0,1.0,2.0,3.0,26.0,,10.0,11.0,6.0,23.0,3.0,9.0,21.0,3.0,1.0,8.0,5.0,20.0,3.0,18,1.0,0.8666666666666667,0.8666666666666667,0.4838709677419355,0.5,0.5,0.4838709677419355,0.5,0.5,0.5147058823529411,0.6666666666666666,0.5,,,17.647058823529413,0.375,0.16666666666666666,0.07964601769911504,0.07142857142857142,0.41935483870967744,0.7692307692307693,0.7692307692307693,0.8,0.2903225806451613,0.2222222222222222,0.2222222222222222,1.0,0.5,1.0,0.41935483870967744,0.4752774193548387,0.3961,0.5783,0.11428571428571428,0.08571428571428572,8.129032258064516,0.08866995073891626,3.0,9.0,,,,,,,,,5.0,,,,,1.0,4.0,,,,,,,1.0,1.0,,4.0,6.0,3.0,8.0,12.0,1.0,7.0,1.0,,,,,,,,0.09523809523809523,0.06315789473684211,0.15,0.10576923076923077,0.16666666666666666,0.021739130434782608,0.043478260869565216,0.13333333333333333,0.2903225806451613,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,2.0,1.0,1.0,4.0,1.0,3.0,,5.0,,2.0,2.0,2.0,,2.0,1.0,,3.0,0.14285714285714285,0.04,0.05,0.0625,1.0,,,,0.09090909090909091,0.09090909090909091,3.0,1.0,3.0,1.0,0.3333333333333333,,,,2.0,1.0,0.5,0.23809523809523808,0.2,,,,,,,,,,,,,,,,True,,
702,1610612743,Voshon Lenard,Voshon Lenard,702,DEN,8295.0,138,-13,260,260,44,59.0,37.0,520,6.0,14.0,1.0,2.0,11.0,27.0,20.0,47.0,73.0,281,2.0,8.0,4.0,1.0,6.0,13.0,20.0,5.0,9.0,10.0,4.0,21.0,1.0,3.0,11.0,6.0,2.0,7.0,7.0,11.0,13.0,44,1.0,0.5,0.5263157894736842,0.425531914893617,0.25,0.16666666666666666,0.47761194029850745,0.25,0.36363636363636365,0.5,0.25,0.4642857142857143,0.10638297872340426,0.2857142857142857,26.333333333333332,0.8571428571428571,0.05,0.023255813953488372,0.06666666666666667,0.208955223880597,0.42857142857142855,0.6,0.5,0.40298507462686567,0.4074074074074074,0.4074074074074074,0.5454545454545454,0.18181818181818182,0.5,0.5074626865671642,0.49273712121212115,0.4339833333333334,0.48838,0.0547945205479452,0.1780821917808219,12.374468085106383,0.16923076923076924,3.0,6.0,7.0,14.0,,,1.0,3.0,8.0,20.0,9.0,,,2.0,5.0,5.0,20.0,18.0,6.0,2.0,,14.0,7.0,1.0,1.0,2.0,3.0,2.0,2.0,6.0,8.0,,13.0,,0.75,0.4,,0.4,0.4,0.29850746268656714,0.16666666666666666,0.058823529411764705,0.01834862385321101,0.11764705882352941,0.06722689075630252,,0.01694915254237288,0.037037037037037035,0.07692307692307693,0.08955223880597014,0.5,0.6,0.208955223880597,0.5,0.5833333333333334,0.7142857142857143,,,0.2727272727272727,0.3333333333333333,0.5,24.985,1.0,4.0,,,,4.0,2.0,2.0,,1.0,,4.0,,1.0,,1.0,1.0,2.0,6.0,,0.041666666666666664,0.03636363636363636,,0.3333333333333333,0.5,0.25,,0.08333333333333333,0.11538461538461539,,,,,,2.0,0.1,0.14285714285714285,,,,0.15,0.25,1.0,6.0,1.0,2.0,0.08955223880597014,0.16666666666666666,0.16666666666666666,1.0,0.18181818181818182,0.5,,,,,,True,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,9339.0,156,-25,295,297,54,61.0,47.0,592,11.0,15.0,1.0,1.0,6.0,16.0,17.0,34.0,37.0,316,5.0,8.0,10.0,2.0,5.0,4.0,20.0,1.0,10.0,11.0,6.0,23.0,1.0,12.0,47.0,6.0,4.0,6.0,9.0,17.0,4.0,54,1.0,0.5882352941176471,0.7692307692307693,0.5,0.625,0.4,0.5,0.625,0.4,0.5285714285714286,0.625,0.4,0.029411764705882353,0.06666666666666667,11.815561959654177,1.0,0.047619047619047616,0.075,0.0625,0.4411764705882353,0.7333333333333333,0.7857142857142857,0.36363636363636365,0.47058823529411764,0.375,0.375,1.0,0.2,1.0,0.4411764705882353,0.48698823529411767,0.5323857142857144,0.44154,0.2702702702702703,0.10810810810810811,9.573529411764707,0.18305084745762712,,3.0,,,,,,,,,3.0,,,,,,14.0,,,8.0,,,,1.0,,1.0,3.0,11.0,2.0,27.0,35.0,1.0,5.0,,,,,,,,,0.24770642201834864,0.07913669064748201,0.08695652173913043,0.2196969696969697,0.05128205128205128,0.0945945945945946,0.18518518518518517,0.11764705882352941,0.08823529411764706,,,,,,,,,,,,,4.0,6.0,,6.0,1.0,3.0,1.0,2.0,,,,2.0,,,1.0,,3.0,,4.0,0.75,0.07692307692307693,0.31746031746031744,0.0625,,0.75,0.6666666666666666,,0.11428571428571428,0.11428571428571428,4.0,4.0,4.0,3.0,0.75,,,,,,,0.10526315789473684,,,,,,,,,,,,1.0,1.0,,,,True,,
