EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,LongMidRangePctBlocked,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyFG2M,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,FtPoints,PenaltyFtPoints,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,ShortMidRangePctAssisted,SecondChanceAtRimFGM,Corner3FGA,Arc3FGA,FG3A,SecondChanceFG2M,SecondChancePoints,NonHeaveArc3FGA,Arc3Assists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefAtRimReboundPct,Corner3Frequency,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Arc3FGM,PenaltyArc3FGA,PtsUnassisted3s,NonHeaveArc3FGM,Technical Free Throw Trips,ShortMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PtsPutbacks,PenaltyArc3FGM,Arc3PctAssisted,PenaltyArc3Accuracy,on,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,DefensiveGoaltends,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct
1720,1610612743,Michael Doleac,Michael Doleac,1720,DEN,457.0,8,-8,14,13,3.0,3,2.0,27,1.0,2.0,1.0,2.0,2.0,16,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,11.76470588235294,0.16666666666666666,1.0,0.2857142857142857,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.278,0.1665,0.1665,19.9,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,2019.0,34,6,67,65,23.0,25,9.0,132,1.0,4.0,10.0,18.0,20.0,61,1.0,6.0,2.0,1.0,,1.0,2.0,5.0,23.0,0.1,0.1,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.05555555555555555,,23.076923076923077,0.043478260869565216,,0.038461538461538464,,,0.2222222222222222,0.25,0.25,,0.5154277777777777,0.5542,0.58325,8.083333333333334,0.34328358208955223,5.0,7.0,1.0,2.0,3.0,4.0,7.0,4.0,8.0,18.0,7.0,1.0,8.0,1.0,2.0,1.0,4.0,17.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,8.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.16666666666666666,0.10344827586206896,0.09090909090909091,0.125,0.1,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.3888888888888889,0.7142857142857143,0.8333333333333334,0.2,0.3888888888888889,0.5714285714285714,0.5714285714285714,1.0,0.5,0.6666666666666666,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,3445.0,57,-7,110,111,39.0,46,15.0,221,4.0,6.0,7.0,12.0,15.0,111,1.0,3.0,14.0,1.0,1.0,5.0,8.0,9.0,39.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5769230769230769,0.08333333333333333,,12.598425196850393,0.13157894736842105,0.2,0.13953488372093023,0.15384615384615385,0.2,0.5,0.6666666666666666,0.6666666666666666,1.0,0.4337583333333333,0.589,0.38000000000000006,10.975000000000001,0.35454545454545455,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,,2.0,,2.0,,1.0,,1.0,4.0,1.0,2.0,1.0,,2.0,1.0,14.0,2.0,,,7.0,1.0,1.0,0.875,0.3333333333333333,0.3333333333333333,0.0196078431372549,0.017857142857142856,0.1,,,0.13636363636363635,,0.25,0.6666666666666666,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.25,,,0.4666666666666667,1.0,1.0,1.0,2.0,3.0,3.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,2811.0,47,-7,90,91,35.0,44,13.0,181,4.0,12.0,10.0,22.0,24.0,93,5.0,8.0,10.0,2.0,,4.0,4.0,7.0,35.0,0.5,0.5,0.45454545454545453,0.4166666666666667,0.4444444444444444,0.09090909090909091,0.08333333333333333,32.38095238095238,0.13333333333333333,,0.11764705882352941,0.09090909090909091,,0.5,0.3333333333333333,0.36363636363636365,0.25,0.44845208333333336,0.5118199999999999,0.4108125,11.881818181818181,0.3888888888888889,2.0,5.0,3.0,1.0,1.0,4.0,5.0,4.0,11.0,10.0,3.0,1.0,4.0,,1.0,1.0,1.0,9.0,3.0,,3.0,,3.0,,2.0,6.0,,2.0,11.0,0.5,0.5,0.55,0.2,,0.06818181818181818,0.061224489795918366,0.2222222222222222,,0.038461538461538464,0.1111111111111111,,0.20833333333333334,0.4,0.5,1.0,0.20833333333333334,0.8,0.8,0.6,0.125,1.0,0.2916666666666667,0.07692307692307693,0.08333333333333333,0.4583333333333333,4.0,3.0,3.0,,4.0,7.0,2.0,,,1.0,1.0,,,,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2,0.2,0.2,0.08333333333333333,0.42857142857142855,1.0,0.041666666666666664,0.041666666666666664,0.3333333333333333,1.0,0.08333333333333333,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
468,1610612743,Jon Barry,Jon Barry,468,DEN,1680.0,28,5,55,55,13.0,17,7.0,110,1.0,4.0,1.0,6.0,5.0,44,1.0,,,1.0,,4.0,4.0,5.0,13.0,,,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.25,15.625,0.2,,0.17391304347826086,,,0.4444444444444444,0.25,0.3333333333333333,,0.45157777777777774,0.4348,0.5172,15.416666666666666,0.23636363636363636,,,,,,,2.0,,3.0,2.0,3.0,,3.0,,3.0,,,6.0,1.0,,1.0,1.0,,,,,,,3.0,,1.5,1.5,,,0.04,0.03571428571428571,,0.125,,0.36363636363636365,0.16666666666666666,,,,,0.2222222222222222,,,,,,0.3333333333333333,,,0.6,,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,24.3,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
702,1610612743,Voshon Lenard,Voshon Lenard,702,DEN,1903.0,32,-16,59,59,21.0,26,8.0,118,,4.0,3.0,8.0,15.0,67,,3.0,6.0,1.0,,1.0,1.0,1.0,21.0,1.0,1.0,0.375,0.5,0.5384615384615384,0.125,,25.37313432835821,0.045454545454545456,,0.041666666666666664,,,0.3333333333333333,,,,0.4962454545454546,,0.49212,11.5125,0.3559322033898305,2.0,2.0,,,,1.0,2.0,,5.0,,2.0,,2.0,,,1.0,1.0,4.0,,,,,,,4.0,3.0,,1.0,5.0,,0.25,0.35714285714285715,,,,,,,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,,,,0.5,0.07692307692307693,0.1111111111111111,0.3333333333333333,3.0,2.0,,,2.0,4.0,,2.0,,2.0,,,,,,1.0,,2.0,2.0,4.0,,,2.0,,2.0,,2.0,,1.0,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,26.974999999999998,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,3.0,1.0,1.0,0.5,0.5,0.5,0.16666666666666666,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,1698.0,28,-9,53,55,23.0,25,7.0,108,,4.0,2.0,10.0,5.0,60,3.0,4.0,,,,,,2.0,23.0,,,0.2,0.2,0.2,,,20.0,,,,,,0.4,,,,0.48163,0.48596666666666666,0.5777749999999999,8.34,0.4339622641509434,2.0,4.0,2.0,1.0,3.0,,2.0,1.0,2.0,4.0,3.0,,3.0,,3.0,,,6.0,2.0,,2.0,,1.0,,3.0,1.0,,,2.0,0.25,0.25,0.25,,,0.08333333333333333,0.07692307692307693,,0.25,0.058823529411764705,,,0.4,0.5,0.5,,0.2,,,0.6666666666666666,0.75,0.3333333333333333,0.4,,,0.4,1.0,,1.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2365,1610612743,Chris Andersen,Chris Andersen,2365,DEN,803.0,13,12,27,26,11.0,17,4.0,53,,1.0,1.0,4.0,2.0,19,1.0,,2.0,,1.0,1.0,2.0,3.0,11.0,1.0,1.0,0.25,0.25,0.25,,,12.903225806451614,0.125,0.5,0.2,,0.5,0.25,,,,0.43032499999999996,0.5672,,8.25,0.4074074074074074,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,0.1,0.07692307692307693,,0.3333333333333333,,0.2,,0.5,0.5,0.5,1.0,0.25,,,1.0,,,0.5,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,1816.0,30,-10,57,61,23.0,24,8.0,118,,1.0,3.0,7.0,10.0,66,1.0,1.0,4.0,1.0,,5.0,5.0,8.0,23.0,0.6666666666666666,1.0,0.42857142857142855,0.5625,0.625,0.14285714285714285,,12.121212121212121,0.25,,0.22727272727272727,0.16666666666666666,,0.125,,,,0.5303875,0.5745,0.4402,3.657142857142857,0.40350877192982454,3.0,5.0,1.0,,,,1.0,,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,,7.0,3.0,,3.0,,,,3.0,1.0,1.0,1.0,3.0,,0.75,0.75,0.2,,0.10714285714285714,0.1,,,0.1875,0.3076923076923077,,0.625,0.6,0.75,0.6666666666666666,0.125,,,1.0,,,0.75,0.125,0.14285714285714285,0.3,1.0,,,,,,,1.0,1.0,,,,,,2.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,0.125,,,,0.125,1.0,,0.2,25.1,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
2206,1610612743,Rodney White,Rodney White,2206,DEN,428.0,7,5,14,14,4.0,2,2.0,28,1.0,2.0,3.0,4.0,6.0,11,,2.0,4.0,,1.0,,3.0,3.0,4.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,,,31.25,,1.0,0.16666666666666666,,1.0,0.5,0.5,0.5,1.0,0.378275,,0.3667,11.3,0.2857142857142857,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,2.0,0.5,0.5,0.5,,0.6666666666666666,,,,,,,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,0.5,1.0,0.25,,,0.3333333333333333,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
