EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,NonHeaveArc3FGA,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,FG3APct,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefTwoPtRebounds,DefTwoPtReboundPct,DefLongMidRangeReboundPct,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,on,PlusMinus,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,FG3M,PtsAssisted3s,PtsPutbacks,Fg3aBlocked,AtRimAssists,OffThreePtRebounds,BadPassTurnovers,DeadBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,ThreePtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,AtRimPctBlocked,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3Assists,DefensiveGoaltends,3SecondViolations,PenaltyArc3FGM,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,HeaveAttempts
1712,1610612742,Antawn Jamison,Antawn Jamison,1712,DAL,337.0,6,14,13,14,13,6.0,27,3.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,8.0,4.0,10.0,11,1.0,3.0,2.0,4.0,3.0,8.0,4.0,10.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,10.0,14,0.6666666666666666,0.6666666666666666,0.375,0.3333333333333333,0.375,0.375,0.3333333333333333,0.375,0.5,0.5,0.5,0.125,0.25,47.61904761904762,1.0,0.18181818181818182,1.0,0.25,0.16666666666666666,0.3333333333333333,0.25,1.0,0.25,0.375,0.5,0.5,0.6666666666666666,0.5,0.125,1.0,1.0,1.0,0.6666666666666666,0.375,0.375,0.4412,0.4926333333333333,0.4412,0.4,1.0,6.2875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,337.0,6,14,13,14,13,6.0,27,,,,,1.0,,1.0,,2.0,,,11,,,,,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,14,,,,,,,,,,,,,,14.285714285714286,,0.09090909090909091,,,0.08333333333333333,,0.25,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.3333333333333333,0.45121666666666665,0.53685,0.45121666666666665,,,13.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,25.6,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,1610612742,Marquis Daniels,Marquis Daniels,2605,DAL,337.0,6,14,13,14,13,6.0,27,1.0,,1.0,,,,2.0,,3.0,1.0,1.0,11,,,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,2.0,,1.0,14,,,,,,,,,0.125,0.5,0.125,,,23.80952380952381,,,,,,,,,,0.3333333333333333,,,,,0.6666666666666666,,,,,0.3333333333333333,0.3333333333333333,0.5754333333333334,,0.5754333333333334,1.0,1.0,12.1,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,1610612742,Scott Williams,Scott Williams,281,DAL,337.0,6,14,13,14,13,6.0,27,,,,,,,1.0,,1.0,,,11,,,,,,1.0,,,,,,1.0,,,1.0,1.0,2.0,,,,,14,,,,,,,,,,,,,,4.761904761904762,,0.09090909090909091,,0.25,0.08333333333333333,,0.25,,,,,,,,1.0,,,,,,,0.3238,,0.3238,,,19.2,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,1610612742,Tony Delk,Tony Delk,960,DAL,337.0,6,14,13,14,13,6.0,27,,,,,,,,,,,,11,,,,,,,,,,,,,,,1.0,,1.0,,,,,14,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,2.0,2.0,1.0,1.0,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,1610612742,Antawn Jamison,Antawn Jamison,1712,DAL,6298.0,105,218,216,63,81,35.0,434,16.0,7.0,7.0,7.0,15.0,4.0,10.0,21.0,41.0,7.0,55.0,230,7.0,9.0,2.0,16.0,10.0,15.0,2.0,22.0,30.0,12.0,,9.0,1.0,4.0,9.0,12.0,21.0,3.0,11.0,2.0,22.0,63,0.7142857142857143,0.9375,0.5121951219512195,0.7777777777777778,0.6666666666666666,0.4897959183673469,0.7777777777777778,0.5555555555555556,0.5092592592592593,0.8,0.55,,,22.519083969465647,0.1,0.0989010989010989,0.17391304347826086,0.09278350515463918,0.10185185185185185,0.12903225806451613,0.06451612903225806,0.23076923076923078,0.13636363636363635,0.32653061224489793,0.30612244897959184,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.20408163265306123,0.4,0.4,1.0,0.7777777777777778,0.3888888888888889,0.4897959183673469,0.4749142857142856,0.512975,0.4776555555555555,0.2909090909090909,0.4,7.370731707317074,0.2889908256880734,3.0,,,8.0,,3.0,3.0,5.0,5.0,,7.0,15.0,2.0,1.0,2.0,0.16326530612244897,0.061224489795918366,,,23.5125,4.0,2.0,5.0,,2.0,0.8,0.057692307692307696,0.046511627906976744,5.0,0.06756756756756757,0.04,2.0,2.0,,,4.0,False,-7.0,10.0,6.0,5.0,2.0,5.0,3.0,2.0,6.0,10.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,0.25,0.125,0.2,0.11764705882352941,0.10344827586206896,0.07142857142857142,0.3333333333333333,0.07692307692307693,0.08695652173913043,0.1,1.0,0.625,0.625,0.6,0.10204081632653061,0.4,0.5,1.0,0.8571428571428571,0.3333333333333333,0.7142857142857143,0.16666666666666666,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,12672.0,211,425,422,80,104,79.0,847,20.0,6.0,7.0,5.0,17.0,22.0,48.0,38.0,85.0,36.0,133.0,436,7.0,12.0,4.0,24.0,4.0,12.0,17.0,28.0,40.0,36.0,2.0,11.0,,8.0,46.0,13.0,59.0,5.0,42.0,7.0,28.0,80,0.5263157894736842,0.5882352941176471,0.4470588235294118,0.5833333333333334,0.3333333333333333,0.485,0.7142857142857143,0.36666666666666664,0.55,0.75,0.56,0.023529411764705882,0.058823529411764705,24.18426103646833,,0.05759162303664921,0.16666666666666666,0.19607843137254902,0.053497942386831275,0.08620689655172414,,0.15625,0.09615384615384616,0.2,0.17,0.29411764705882354,0.3125,0.2,0.48,0.4583333333333333,0.4583333333333333,0.5909090909090909,0.42857142857142855,0.4666666666666667,0.35,0.46353500000000003,0.5137653846153846,0.48249333333333333,0.18045112781954886,0.21052631578947367,12.023529411764706,0.18823529411764706,13.0,2.0,2.0,15.0,2.0,3.0,13.0,7.0,6.0,1.0,11.0,16.0,13.0,10.0,13.0,0.15,0.13,0.14285714285714285,0.13333333333333333,24.313333333333333,6.0,3.0,6.0,,14.0,1.0,0.12389380530973451,0.14285714285714285,32.0,0.20512820512820512,0.14,6.0,7.0,1.0,2.0,15.0,False,5.0,11.0,3.0,3.0,2.0,2.0,1.0,7.0,18.0,8.0,,3.0,2.0,3.0,,,2.0,1.0,,3.0,8.0,2.0,0.8571428571428571,0.4666666666666667,0.4666666666666667,,,0.038461538461538464,0.08695652173913043,0.04878048780487805,,0.1864406779661017,0.2978723404255319,0.1875,0.6153846153846154,0.55,0.5789473684210527,0.5454545454545454,0.02,1.0,1.0,1.0,0.5,0.3333333333333333,0.42857142857142855,0.06666666666666667,,1.0,5.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,6.0,1.0,1.0,1.0,0.3333333333333333,0.05,0.42857142857142855,0.38461538461538464,0.38461538461538464,0.8,1.0,1.0,1.0,0.38461538461538464,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,3364.0,56,108,109,34,39,21.0,217,9.0,6.0,1.0,,,,2.0,5.0,11.0,2.0,12.0,94,2.0,6.0,,4.0,1.0,2.0,2.0,4.0,6.0,4.0,1.0,9.0,,3.0,7.0,10.0,17.0,1.0,2.0,,4.0,34,0.6,1.0,0.45454545454545453,0.3333333333333333,0.5,0.45454545454545453,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.09090909090909091,,10.37037037037037,,0.1956521739130435,0.23076923076923078,0.08196721311475409,0.16666666666666666,0.25,0.17647058823529413,0.3333333333333333,0.2,0.8181818181818182,,,,,0.18181818181818182,,,,1.0,0.5,0.8181818181818182,0.5413545454545455,0.56296,0.48235000000000006,0.3333333333333333,0.3333333333333333,2.9454545454545453,0.3148148148148148,,,,,,,,3.0,3.0,,5.0,12.0,2.0,1.0,2.0,,,,,,2.0,2.0,2.0,,1.0,1.0,0.08333333333333333,0.08333333333333333,2.0,0.041666666666666664,,3.0,3.0,,1.0,6.0,False,20.0,5.0,2.0,1.0,,,,,,4.0,,2.0,1.0,,,,2.0,2.0,,1.0,,4.0,,,,,,0.07142857142857142,0.17647058823529413,,0.3333333333333333,0.0625,0.09090909090909091,0.14285714285714285,,0.5555555555555556,0.625,0.6,,,,,0.3333333333333333,,1.0,,,,,,,,,,,,2.0,,,,,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,4869.0,81,168,163,58,57,36.0,331,15.0,8.0,7.0,2.0,9.0,,5.0,7.0,29.0,10.0,27.0,156,4.0,12.0,2.0,13.0,5.0,13.0,8.0,21.0,4.0,10.0,2.0,11.0,,3.0,15.0,16.0,31.0,1.0,11.0,1.0,21.0,58,0.2857142857142857,0.6666666666666666,0.2413793103448276,0.3333333333333333,0.38461538461538464,0.25757575757575757,0.34375,0.4642857142857143,0.35526315789473684,0.38235294117647056,0.5833333333333334,0.06896551724137931,,21.126760563380284,,0.12941176470588237,0.14285714285714285,0.14814814814814814,0.15841584158415842,0.1,0.20833333333333334,0.07692307692307693,0.043478260869565216,0.45454545454545453,0.2727272727272727,0.2222222222222222,0.2222222222222222,,0.15151515151515152,,,,0.5,0.5,0.5757575757575758,0.4956363636363637,0.5173916666666666,0.52235,0.48148148148148145,0.7777777777777778,5.5344827586206895,0.34523809523809523,3.0,3.0,,4.0,4.0,1.0,3.0,4.0,4.0,,4.0,11.0,3.0,2.0,5.0,0.12121212121212122,0.09090909090909091,0.1875,,24.474999999999998,4.0,2.0,7.0,1.0,5.0,0.5714285714285714,0.13513513513513514,0.15151515151515152,9.0,0.15,0.24,4.0,4.0,,3.0,8.0,False,-2.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,8.0,,1.0,5.0,2.0,3.0,,1.0,2.0,,1.0,3.0,2.0,1.0,0.25,0.25,,,0.3125,0.0967741935483871,0.35714285714285715,,0.05263157894736842,0.125,0.25,0.6,0.3333333333333333,0.38461538461538464,0.4,0.030303030303030304,1.0,1.0,1.0,0.375,,0.5714285714285714,0.07142857142857142,,1.0,,,1.0,1.0,,,,,3.0,1.0,,0.25,1.0,0.13333333333333333,0.3333333333333333,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0625,1.0,1.0,,,,,,,,
2605,1610612742,Marquis Daniels,Marquis Daniels,2605,DAL,10773.0,180,369,365,89,91,65.0,734,28.0,8.0,8.0,12.0,27.0,3.0,10.0,31.0,65.0,13.0,78.0,382,6.0,12.0,4.0,16.0,9.0,16.0,5.0,23.0,30.0,32.0,4.0,8.0,,4.0,21.0,10.0,31.0,2.0,20.0,2.0,23.0,89,0.4838709677419355,0.5172413793103449,0.47692307692307695,0.5,0.5625,0.4513888888888889,0.46153846153846156,0.5294117647058824,0.48148148148148145,0.5333333333333333,0.5476190476190477,0.06153846153846154,,21.252796420581657,,0.05063291139240506,0.10810810810810811,0.11695906432748537,0.05025125628140704,0.06,0.03508771929824561,0.125,0.058823529411764705,0.3888888888888889,0.375,0.4444444444444444,0.4444444444444444,0.08333333333333333,0.1388888888888889,0.3,0.3,0.6666666666666666,0.6153846153846154,0.47058823529411764,0.4861111111111111,0.4926979166666666,0.49110999999999994,0.5085058823529413,0.20512820512820512,0.2948717948717949,6.243076923076923,0.24119241192411925,5.0,,,7.0,1.0,1.0,5.0,10.0,7.0,3.0,3.0,14.0,3.0,3.0,3.0,0.09722222222222222,0.06944444444444445,,,24.842857142857145,10.0,4.0,14.0,3.0,9.0,0.7142857142857143,0.11392405063291139,0.125,16.0,0.11940298507462686,0.15,9.0,15.0,,4.0,36.0,False,11.0,16.0,3.0,5.0,,2.0,1.0,1.0,3.0,4.0,,5.0,2.0,6.0,4.0,,1.0,,,,2.0,3.0,1.0,0.14285714285714285,0.14285714285714285,,,0.04878048780487805,0.058823529411764705,0.06666666666666667,,0.1320754716981132,0.07317073170731707,0.07692307692307693,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.75,0.027777777777777776,,,,0.375,0.6666666666666666,0.625,0.058823529411764705,,,1.0,,,,,1.0,6.0,3.0,1.0,2.0,,,,0.14285714285714285,0.08333333333333333,0.2,0.2,1.0,,,,0.2,,1.0,,,2.0,,,,0.07692307692307693,,,3.0,1.0,1.0,,,,,
