EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,DefArc3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,HeaveAttempts,Fg3aBlocked,FTOffRebounds,Travels,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,on,Blocked3s,BlockedCorner3
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,12356.0,206,-14,388,390,37,39,53,778,18.0,33.0,6.0,9.0,1.0,6.0,21.0,5.0,11.0,29.0,65.0,13.0,71,389,8.0,12.0,6.0,22.0,1.0,4.0,3.0,5.0,26.0,32.0,12.0,6.0,15.0,3.0,18.0,1.0,2.0,4.0,1.0,10.0,39.0,4.0,16.0,3.0,26.0,2.0,31.0,20.0,51.0,3.0,4.0,2.0,2.0,9.0,6.0,4.0,1.0,3.0,13.0,1.0,2.0,12.0,28.0,7.0,2.0,18.0,7.0,2.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,37,0.4482758620689655,0.5652173913043478,0.4461538461538462,0.6666666666666666,0.25,0.4461538461538462,0.6666666666666666,0.25,0.4797297297297297,0.6875,0.35714285714285715,0.09230769230769231,0.12121212121212122,0.09523809523809523,19.247787610619472,0.6923076923076923,0.3333333333333333,0.15568862275449102,0.09195402298850575,0.07317073170731707,0.125,0.13942307692307693,0.0970873786407767,0.125,0.043478260869565216,0.09722222222222222,0.1,0.16666666666666666,0.175,0.10416666666666667,0.17721518987341772,0.23076923076923078,0.1,0.8,0.5076923076923077,0.5454545454545454,0.6206896551724138,0.4444444444444444,0.3230769230769231,0.2857142857142857,0.3157894736842105,0.16923076923076924,0.45454545454545453,0.45454545454545453,1.0,0.75,0.6666666666666666,0.25,0.5076923076923077,0.4733553846153846,0.5200636363636364,0.40464999999999995,0.09722222222222222,0.09722222222222222,0.30985915492957744,0.07042253521126761,5.707692307692308,0.09536082474226804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,23134.0,386,9,765,766,213,146,93,1531,23.0,42.0,5.0,5.0,12.0,6.0,19.0,17.0,49.0,46.0,110.0,36.0,188,784,9.0,13.0,4.0,34.0,15.0,35.0,25.0,70.0,42.0,50.0,4.0,14.0,55.0,11.0,66.0,6.0,5.0,22.0,4.0,29.0,143.0,1.0,4.0,6.0,23.0,2.0,31.0,5.0,36.0,3.0,15.0,6.0,9.0,16.0,13.0,13.0,2.0,3.0,29.0,1.0,7.0,15.0,33.0,1.0,3.0,42.0,15.0,7.0,5.0,2.0,2.0,5.0,3.0,,70.0,213,0.45652173913043476,0.4772727272727273,0.41818181818181815,0.6923076923076923,0.42857142857142855,0.49673202614379086,0.75,0.4891304347826087,0.5433526011560693,0.7727272727272727,0.603448275862069,0.12727272727272726,0.21428571428571427,0.21052631578947367,23.298731257208765,0.5517241379310345,0.08333333333333333,0.07371794871794872,0.013937282229965157,0.07058823529411765,0.013333333333333334,0.07304785894206549,0.013812154696132596,0.021739130434782608,0.0273972602739726,,,0.03225806451612903,0.0425531914893617,0.046511627906976744,0.11363636363636363,0.08333333333333333,0.04225352112676056,0.6,0.27450980392156865,0.5476190476190477,0.696969696969697,0.391304347826087,0.12418300653594772,0.3157894736842105,0.4,0.3202614379084967,0.3469387755102041,0.3541666666666667,0.5294117647058824,0.25,1.0,0.2608695652173913,0.5555555555555556,0.4983267973856208,0.48918823529411765,0.47518260869565215,0.09036144578313253,0.12195121951219512,0.18085106382978725,0.3723404255319149,9.948181818181817,0.2784313725490196,7.0,8.0,15.0,1.0,2.0,1.0,2.0,12.0,28.0,3.0,5.0,4.0,9.0,20.0,43.0,4.0,7.0,5.0,11.0,57.0,3.0,28.0,12.0,6.0,2.0,1.0,4.0,0.95,0.46511627906976744,0.5714285714285714,0.45454545454545453,0.46511627906976744,0.28104575163398693,0.02040816326530612,0.06557377049180328,0.5,0.09803921568627451,0.5333333333333333,0.5333333333333333,1.0,0.1830065359477124,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.4,0.1,0.5,1.0,0.25,0.6,1.0,0.5833333333333334,0.043478260869565216,0.5,0.1956521739130435,0.4444444444444444,0.42857142857142855,24.430232558139537,,,,,,,,,,,,,,,,True,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,15742.0,262,13,530,527,225,155,61,1057,21.0,27.0,6.0,8.0,10.0,2.0,10.0,14.0,26.0,37.0,63.0,19.0,96,545,7.0,11.0,3.0,17.0,13.0,23.0,13.0,42.0,54.0,20.0,10.0,6.0,19.0,8.0,27.0,6.0,2.0,8.0,3.0,8.0,62.0,5.0,15.0,5.0,38.0,7.0,50.0,20.0,70.0,1.0,5.0,2.0,3.0,11.0,10.0,5.0,1.0,1.0,16.0,2.0,6.0,18.0,35.0,2.0,2.0,32.0,8.0,8.0,7.0,6.0,1.0,7.0,4.0,,42.0,225,0.7297297297297297,0.84375,0.5873015873015873,0.6363636363636364,0.5652173913043478,0.5833333333333334,0.6363636363636364,0.5576923076923077,0.5853658536585366,0.53125,0.5833333333333334,0.09523809523809523,0.07407407407407407,0.4,16.387959866220733,0.6875,0.3684210526315789,0.18811881188118812,0.07772020725388601,0.09090909090909091,0.09259259259259259,0.16731517509727625,0.08097165991902834,0.10344827586206896,0.11363636363636363,0.04395604395604396,0.06060606060606061,0.14285714285714285,0.1864406779661017,0.23728813559322035,0.15476190476190477,0.2,0.047619047619047616,0.5714285714285714,0.4090909090909091,0.7777777777777778,0.84,0.6190476190476191,0.15151515151515152,0.2,0.3333333333333333,0.3939393939393939,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.7272727272727273,0.75,0.38461538461538464,0.45454545454545453,0.4807446153846154,0.5155222222222222,0.493588,0.10810810810810811,0.11267605633802817,0.17708333333333334,0.4375,8.71111111111111,0.42452830188679247,6.0,1.0,1.0,,,1.0,1.0,,2.0,,,,2.0,1.0,3.0,,,1.0,3.0,3.0,,1.0,,1.0,,,3.0,1.0,0.3333333333333333,,0.3333333333333333,0.5,0.045454545454545456,,0.05,1.0,0.015151515151515152,1.0,1.0,1.0,0.030303030303030304,,,,0.16666666666666666,,,,,,,0.6,0.038461538461538464,1.0,0.07692307692307693,,,32.800000000000004,1.0,,,,,,,,,,,,,,,True,,
1934,1610612758,Rodney Buford,Rodney Buford,1934,SAC,812.0,14,-11,25,27,2,7,2,52,,1.0,,,,,,,2.0,,3.0,,3,32,,,,,,,,,,,,,3.0,,3.0,,,2.0,,1.0,6.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,2,,,,,,0.375,,,0.375,,,,,,14.285714285714285,,0.3333333333333333,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.5,,,,,,,0.5,0.47652500000000003,,,,,,,13.566666666666668,0.08,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,1.0,1.0,,,1.0,0.25,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,23.3,,,,,,,,,,,,,,,,True,,
57,1610612758,Doug Christie,Doug Christie,57,SAC,27700.0,462,-7,907,908,279,210,115,1815,23.0,44.0,5.0,9.0,11.0,2.0,9.0,18.0,55.0,43.0,108.0,41.0,166,934,6.0,12.0,8.0,26.0,10.0,22.0,25.0,60.0,50.0,36.0,4.0,6.0,30.0,17.0,47.0,11.0,6.0,19.0,2.0,9.0,111.0,3.0,13.0,12.0,44.0,1.0,57.0,17.0,74.0,2.0,22.0,16.0,6.0,12.0,7.0,10.0,,5.0,22.0,1.0,6.0,5.0,35.0,4.0,3.0,48.0,14.0,10.0,5.0,4.0,1.0,5.0,2.0,,60.0,279,0.5813953488372093,0.6097560975609756,0.39814814814814814,0.5,0.45454545454545453,0.4432624113475177,0.5625,0.5,0.5092592592592593,0.6842105263157895,0.6122448979591837,0.05555555555555555,0.11363636363636363,0.1111111111111111,17.675312199807877,0.5454545454545454,0.03571428571428571,0.11827956989247312,0.036827195467422094,0.12371134020618557,0.03296703296703297,0.11940298507462686,0.036036036036036036,0.035398230088495575,0.045454545454545456,0.03289473684210526,0.03636363636363636,0.027777777777777776,0.11009174311926606,0.12149532710280374,0.12179487179487179,0.07142857142857142,0.02631578947368421,0.4,0.3120567375886525,0.5227272727272727,0.5897435897435898,0.5217391304347826,0.06382978723404255,0.2222222222222222,0.25,0.3900709219858156,0.32727272727272727,0.32727272727272727,0.7222222222222222,0.5625,0.5555555555555556,0.3142857142857143,0.5460992907801419,0.5025335714285715,0.5484321428571429,0.4892823529411765,0.09868421052631579,0.11864406779661017,0.1566265060240964,0.3614457831325301,10.535185185185187,0.30760749724366043,7.0,8.0,16.0,1.0,2.0,3.0,6.0,5.0,17.0,1.0,2.0,2.0,7.0,13.0,33.0,2.0,4.0,5.0,13.0,33.0,6.0,16.0,5.0,5.0,4.0,,11.0,0.8461538461538461,0.3939393939393939,0.5,0.38461538461538464,0.40625,0.23404255319148937,,0.14492753623188406,,0.11347517730496454,0.5,0.5,1.0,0.12056737588652482,0.29411764705882354,0.3125,0.6,0.2,0.125,0.5,1.0,0.125,0.5,,0.6363636363636364,0.17142857142857143,0.5,0.2,0.2857142857142857,0.3125,25.26666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030303030303030304,0.058823529411764705,0.037037037037037035,0.029411764705882353,,,,,True,,
324,1610612758,Anthony Peeler,Anthony Peeler,324,SAC,7902.0,132,10,251,258,98,85,39,509,1.0,4.0,,,,3.0,4.0,4.0,12.0,8.0,20.0,3.0,31,245,1.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,14.0,2.0,,2.0,5.0,,5.0,,,4.0,,1.0,10.0,,5.0,1.0,13.0,1.0,15.0,5.0,20.0,,9.0,4.0,5.0,2.0,1.0,3.0,,1.0,5.0,,4.0,3.0,12.0,,2.0,4.0,1.0,1.0,1.0,,,1.0,1.0,,6.0,98,0.875,0.875,0.4,0.5,0.5,0.4117647058823529,0.3333333333333333,0.35714285714285715,0.4305555555555556,0.375,0.375,0.1,0.5,,13.57615894039735,0.4,0.14285714285714285,0.11504424778761062,0.04950495049504951,0.045454545454545456,,0.1037037037037037,0.037037037037037035,,0.03571428571428571,0.08695652173913043,,,0.06451612903225806,0.09090909090909091,0.16326530612244897,,,1.0,0.11764705882352941,0.25,0.5,1.0,0.11764705882352941,0.75,0.75,0.35294117647058826,0.3333333333333333,0.3333333333333333,1.0,,,,0.5294117647058824,0.48338235294117654,0.43165000000000003,0.5365428571428571,0.02857142857142857,0.047619047619047616,0.0967741935483871,0.1935483870967742,13.63,0.3904382470119522,,,7.0,,,,4.0,4.0,7.0,,1.0,1.0,1.0,4.0,14.0,,1.0,1.0,5.0,12.0,,7.0,4.0,,,1.0,2.0,1.0,0.2857142857142857,,0.2,0.2857142857142857,0.4117647058823529,,0.0625,0.6666666666666666,0.20588235294117646,,,,0.20588235294117646,0.5714285714285714,0.5714285714285714,1.0,,,,,0.3333333333333333,,,,0.5714285714285714,,0.14285714285714285,1.0,0.5714285714285714,23.985714285714284,,1.0,,,,,,0.07142857142857142,,,,0.14285714285714285,,,,True,,
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,24389.0,406,-27,794,794,245,191,102,1588,17.0,38.0,2.0,6.0,9.0,3.0,19.0,19.0,41.0,39.0,98.0,29.0,170,837,6.0,12.0,3.0,21.0,11.0,27.0,13.0,62.0,42.0,36.0,6.0,15.0,9.0,6.0,15.0,4.0,2.0,3.0,2.0,4.0,36.0,2.0,10.0,13.0,37.0,3.0,53.0,12.0,65.0,2.0,16.0,11.0,5.0,11.0,8.0,2.0,,3.0,13.0,2.0,3.0,8.0,20.0,1.0,1.0,32.0,11.0,2.0,3.0,2.0,1.0,3.0,1.0,,62.0,245,0.5384615384615384,0.5833333333333334,0.3979591836734694,0.5,0.4074074074074074,0.44339622641509435,0.47368421052631576,0.5444444444444444,0.47941176470588237,0.47368421052631576,0.5918367346938775,0.15306122448979592,0.21052631578947367,0.3157894736842105,20.0,0.8461538461538461,0.125,0.11490683229813664,0.031545741324921134,0.14606741573033707,0.024691358024691357,0.12165450121654502,0.03015075376884422,0.047619047619047616,0.013157894736842105,0.029411764705882353,0.020833333333333332,0.030303030303030304,0.05319148936170213,0.13541666666666666,0.14393939393939395,0.15384615384615385,0.024390243902439025,0.3333333333333333,0.2389937106918239,0.4473684210526316,0.5666666666666667,0.7058823529411765,0.11949685534591195,0.15789473684210525,0.23076923076923078,0.2578616352201258,0.4634146341463415,0.475,0.3684210526315789,0.3157894736842105,0.3333333333333333,0.2,0.6226415094339622,0.5058723270440252,0.47531249999999997,0.46463777777777776,0.07142857142857142,0.102803738317757,0.12352941176470589,0.36470588235294116,9.414285714285713,0.30856423173803527,4.0,5.0,19.0,,4.0,1.0,4.0,16.0,42.0,2.0,3.0,8.0,14.0,21.0,61.0,2.0,7.0,9.0,18.0,60.0,3.0,42.0,16.0,,2.0,,5.0,0.9523809523809523,0.3442622950819672,0.2857142857142857,0.5,0.3442622950819672,0.3836477987421384,0.024390243902439025,0.14285714285714285,0.6666666666666666,0.11949685534591195,0.2631578947368421,0.2631578947368421,1.0,0.2641509433962264,0.38095238095238093,0.3902439024390244,0.9375,,0.21052631578947367,,,0.15789473684210525,0.6666666666666666,0.5,0.4444444444444444,0.08888888888888889,0.25,0.3111111111111111,0.5714285714285714,0.38095238095238093,24.259016393442625,,1.0,,,7.0,1.0,,0.01639344262295082,0.023809523809523808,,0.01639344262295082,,1.0,1.0,1.0,True,,
185,1610612758,Chris Webber,Chris Webber,185,SAC,22599.0,377,-4,748,740,233,155,88,1488,31.0,58.0,4.0,11.0,12.0,14.0,42.0,27.0,60.0,72.0,160.0,36.0,180,771,7.0,19.0,4.0,18.0,20.0,42.0,18.0,58.0,94.0,50.0,8.0,13.0,29.0,9.0,38.0,4.0,5.0,15.0,3.0,11.0,85.0,1.0,22.0,14.0,46.0,8.0,68.0,23.0,91.0,4.0,14.0,6.0,8.0,15.0,9.0,16.0,,6.0,31.0,3.0,6.0,16.0,30.0,3.0,3.0,57.0,24.0,6.0,9.0,7.0,1.0,9.0,5.0,1.0,58.0,233,0.6527777777777778,0.6911764705882353,0.45,0.3684210526315789,0.47619047619047616,0.4444444444444444,0.35,0.45454545454545453,0.47619047619047616,0.391304347826087,0.4915254237288136,0.08125,0.1896551724137931,0.047619047619047616,25.91283863368669,0.4838709677419355,0.32,0.15333333333333332,0.07913669064748201,0.16279069767441862,0.0136986301369863,0.15544041450777202,0.06552706552706553,0.12359550561797752,0.07042253521126761,0.05084745762711865,,0.034482758620689655,0.09195402298850575,0.16279069767441862,0.1889763779527559,0.07692307692307693,0.05263157894736842,0.5555555555555556,0.35802469135802467,0.5344827586206896,0.6595744680851063,0.5806451612903226,0.25925925925925924,0.3333333333333333,0.35,0.37037037037037035,0.45,0.45,0.8888888888888888,0.55,0.36363636363636365,0.2727272727272727,0.37037037037037035,0.4580243827160495,0.4812083333333333,0.44309204545454545,0.13114754098360656,0.13259668508287292,0.1,0.32222222222222224,8.964374999999999,0.3114973262032086,7.0,,,,,,,,2.0,,1.0,,2.0,,2.0,,1.0,,2.0,,,2.0,,6.0,3.0,1.0,4.0,,,,,,0.012345679012345678,,0.2,0.35714285714285715,,,,,0.012345679012345678,,,,0.25,,,,0.05,,,0.5833333333333334,,,0.045454545454545456,,,24.2,,,,5.0,,,,,,,,,1.0,,,True,,
2443,1610612758,Darius Songaila,Darius Songaila,2443,SAC,3042.0,51,-10,98,102,42,43,18,200,4.0,6.0,1.0,1.0,5.0,1.0,1.0,,,5.0,7.0,4.0,14,108,1.0,1.0,2.0,4.0,3.0,5.0,2.0,8.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,3.0,1.0,,5.0,1.0,6.0,4.0,10.0,,,,,2.0,1.0,2.0,,1.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,4.0,2.0,,1.0,1.0,,1.0,,,8.0,42,0.6,0.75,0.7142857142857143,1.0,0.6,0.7142857142857143,1.0,0.6,0.7777777777777778,1.0,0.6666666666666666,0.14285714285714285,0.16666666666666666,,10.833333333333334,0.5,0.25,0.11627906976744186,0.02631578947368421,,0.23076923076923078,0.09615384615384616,0.0784313725490196,0.06666666666666667,,,0.2222222222222222,0.25,0.29411764705882354,,,,,,0.8571428571428571,0.6666666666666666,0.8,0.75,0.14285714285714285,1.0,1.0,,,,,1.0,1.0,1.0,0.8571428571428571,0.5475000000000001,0.5062,0.56608,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.5714285714285714,0.7285714285714285,0.42857142857142855,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,True,,
2074,1610612758,Jabari Smith,Jabari Smith,2074,SAC,176.0,3,3,7,6,7,6,1,13,,,,,,,,,,,,2.0,2,4,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,2.0,,1.0,,,,,,,2.0,7,,,,,,,,,1.0,,1.0,,,,12.5,,,0.16666666666666666,,,,0.16666666666666666,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
