EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,SecondChanceFtPoints,Technical Free Throw Trips,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsAssisted3s,DefThreePtRebounds,PenaltyTurnovers,BlockedShortMidRange,Assisted3sPct,DefThreePtReboundPct,DefArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallTurnovers,RecoveredBlocks,BlocksRecoveredPct,on,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,Fg2aBlocked,Fg3aBlocked,Arc3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Offensive Fouls,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,Travels,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Clear Path Fouls,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted
1088,1610612738,Chucky Atkins,Chucky Atkins,1088,BOS,148.0,2,-6.0,4,3,3.0,7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,1610612738,Mark Blount,Mark Blount,1548,BOS,212.0,4,-4.0,6,6,6.0,12,6.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,50.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.3812,0.3737,1.0,14.333333333333334,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,222.0,4,,6,7,3.0,13,6.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,14.285714285714285,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,1610612738,Jiri Welsch,Jiri Welsch,2412,BOS,449.0,7,-13.0,14,14,13.0,28,24.0,5.0,,2.0,1.0,,3.0,5.0,,1.0,3.0,,3.0,5.0,,,,,0.3,0.75,0.4166666666666667,0.75,40.0,0.4,,,,0.2,0.41833,0.42145,0.6,12.1,0.35714285714285715,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.4,0.25,0.25,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.5,1.0,0.4,1.0,0.16666666666666666,0.25,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,1610612738,Brandon Hunter,Brandon Hunter,2599,BOS,629.0,10,-11.0,19,21,16.0,40,28.0,7.0,,,,1.0,1.0,2.0,,,,,,7.0,,,1.0,,1.0,,1.0,,9.523809523809524,,,,,,0.5124,,,2.9,0.3684210526315789,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2857142857142857,0.25,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5124,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,1610612738,Ricky Davis,Ricky Davis,1729,BOS,401.0,7,-10.0,11,13,8.0,24,17.0,2.0,,,2.0,1.0,3.0,3.0,,,,,,2.0,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,23.076923076923077,,,,,0.6666666666666666,0.4070666666666667,,,13.9,0.18181818181818182,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,,,,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,1610612738,Marcus Banks,Marcus Banks,2556,BOS,481.0,8,-5.0,15,18,13.0,33,22.0,7.0,,,1.0,1.0,1.0,5.0,1.0,1.0,5.0,,5.0,7.0,,,1.0,1.0,1.25,1.25,1.25,1.25,17.64705882352941,,,,,0.5,0.462825,0.462825,1.0,14.8,0.4666666666666667,2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,0.5,,0.16666666666666666,,,0.5,,,,,,0.5,,,,23.5,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,1610612738,Chris Mihm,Chris Mihm,2036,BOS,417.0,7,-7.0,13,15,10.0,28,22.0,5.0,,,,,,,,,,,,5.0,,,,,,,,,6.666666666666667,,,,,,,,,,0.38461538461538464,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,2.0,2.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,1610612738,Jumaine Jones,Jumaine Jones,1908,BOS,186.0,3,1.0,7,8,8.0,15,9.0,5.0,,,1.0,,1.0,,,1.0,,,,5.0,,,,,,,,,14.285714285714285,,,,,1.0,0.3339,0.3339,,17.0,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,1610612738,Chucky Atkins,Chucky Atkins,1088,BOS,7910.0,132,-39.0,255,252,43.0,507,279.0,86.0,,4.0,9.0,14.0,29.0,54.0,5.0,13.0,20.0,8.0,20.0,86.0,0.2857142857142857,0.2857142857142857,0.4827586206896552,0.38461538461538464,0.47435897435897434,0.3125,0.5625,0.47619047619047616,20.422535211267608,0.10256410256410256,,,,0.23076923076923078,0.5095115384615385,0.5144375,0.37037037037037035,8.437931034482759,0.33725490196078434,24.0,8.0,6.0,10.0,0.8,2.0,1.0,8.0,,3.0,3.0,10.0,17.0,,3.0,3.0,8.0,1.0,5.0,15.0,,35.0,6.0,11.0,14.0,3.0,2.0,19.0,7.0,0.3,,0.3,0.2564102564102564,0.06451612903225806,0.0873015873015873,0.029411764705882353,0.12121212121212122,0.05128205128205128,0.20512820512820512,0.125,0.14285714285714285,0.1875,,0.6666666666666666,0.125,0.15555555555555556,0.2,25.059999999999995,9.0,16.0,,,,1.0,2.0,20.0,,10.0,,2.0,,3.0,,,2.0,,,,,,,0.25,,0.024390243902439025,0.027777777777777776,0.029411764705882353,0.05,0.41025641025641024,0.5625,0.6428571428571429,,,,0.037037037037037035,5.0,2.0,,0.5555555555555556,0.5555555555555556,2.0,,,6.0,5.0,4.0,,0.6666666666666666,0.15151515151515152,0.14285714285714285,1.0,1.0,1.0,,,2.0,,,False,4.0,9.0,2.0,2.0,10.0,2.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.1,0.06896551724137931,0.125,0.125,0.038461538461538464,0.043478260869565216,0.038461538461538464,0.2,0.05555555555555555,0.3333333333333333,0.2,0.6666666666666666,0.5625,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,
