EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,HeaveAttempts,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,DefThreePtRebounds,DefRebounds,Rebounds,FTA,NonShootingFoulsDrawn,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Fg2aBlocked,FTDefRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Offensive Fouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,BlockedShortMidRange,ShortMidRangePctAssisted,ShortMidRangeAssists,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallSteals,Fg3aBlocked,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefAtRimReboundPct,on,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,LostBallTurnovers,Travels,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,3SecondViolations,OffCorner3ReboundPct,DefCorner3ReboundPct,DefensiveGoaltends,ThreePtShootingFoulsDrawn,OffensiveGoaltends,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct
1720,1610612743,Michael Doleac,Michael Doleac,1720,DEN,532.0,9,9,16,16,11.0,9.0,2.0,32,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.2631578947368425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5667,0.5667,1.0,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,1610612743,Ryan Bowen,Ryan Bowen,1763,DEN,274.0,5,7,9,9,9.0,6.0,1.0,18,,,,,1.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,,,,,,,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,,,,,,,,0.4664,0.4664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,1397.0,23,27,46,45,22.0,22.0,8.0,91,2.0,4.0,1.0,2.0,11.0,16.0,24.0,30.0,6.0,8.0,14.0,4.0,2.0,3.0,,7.0,,,14.0,22.0,0.18181818181818182,0.18181818181818182,0.6875,0.75,0.6111111111111112,0.6666666666666666,0.631578947368421,0.7,34.54545454545454,0.2222222222222222,0.5,0.5,0.5,0.2222222222222222,0.5,0.3333333333333333,0.4795294117647058,0.47862499999999997,0.5833333333333334,0.4782608695652174,5.0,6.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.2,10.81875,4.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.1111111111111111,0.3333333333333333,0.047619047619047616,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.1111111111111111,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,1239.0,21,5,36,39,9.0,14.0,7.0,75,3.0,5.0,,,3.0,6.0,6.0,33.0,,,,4.0,2.0,3.0,2.0,7.0,,1.0,,9.0,0.6666666666666666,1.0,0.5,,0.5,,0.5,,15.909090909090908,0.8333333333333334,0.6,0.6,0.6666666666666666,,,0.8333333333333334,0.5671333333333334,,,0.25,,,,,,,1.9833333333333334,,1.0,,,,,,,2.0,,,1.0,,,,1.0,4.0,,,,,0.043478260869565216,,0.16666666666666666,,,,,,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.05,0.06666666666666667,0.4,0.15,0.3333333333333333,0.5,0.1,0.75,0.3333333333333333,0.54355,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,1610612743,Chris Andersen,Chris Andersen,2365,DEN,2008.0,33,22,63,65,26.0,31.0,11.0,128,3.0,6.0,,1.0,3.0,9.0,6.0,51.0,,1.0,,4.0,1.0,2.0,,5.0,3.0,3.0,,26.0,0.6666666666666666,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,14.666666666666666,0.6666666666666666,0.5,0.6,0.6666666666666666,1.0,,0.6666666666666666,0.49454444444444445,0.5371,,0.4126984126984127,,2.0,0.2222222222222222,,,,5.366666666666666,,1.0,,,,,,,2.0,,,1.0,,1.0,1.0,8.0,14.0,,,,0.2,0.20588235294117646,0.2,0.1111111111111111,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,,,0.5,0.5,0.5,0.5,0.20689655172413793,0.20833333333333334,0.14285714285714285,0.1935483870967742,0.16666666666666666,0.2,0.25,1.0,0.5,0.5674,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.1111111111111111,0.16666666666666666,0.25,0.25,0.2,0.2222222222222222,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,1610612743,Rodney White,Rodney White,2206,DEN,486.0,8,5,15,17,11.0,10.0,2.0,32,2.0,2.0,2.0,2.0,2.0,3.0,4.0,15.0,2.0,3.0,4.0,2.0,,,,,,2.0,4.0,11.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,23.52941176470588,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.49479999999999996,0.49479999999999996,1.0,0.7333333333333333,,1.0,0.3333333333333333,,,,7.533333333333334,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,1.0,0.125,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,0.5944,0.5,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1610612743,Jon Barry,Jon Barry,468,DEN,1065.0,18,20,33,31,8.0,10.0,7.0,64,,,,,,2.0,6.0,18.0,,,3.0,,3.0,3.0,3.0,6.0,,,3.0,8.0,,,,,0.5,1.5,0.5,1.5,17.073170731707318,,,,,,,0.6666666666666666,0.5114833333333334,0.5172,0.5,0.24242424242424243,,2.0,0.3333333333333333,,,,19.1,,,2.0,,4.0,,1.0,,,,2.0,,,,,3.0,3.0,,,0.6666666666666666,,0.14285714285714285,,,,,0.3333333333333333,,24.624999999999996,,,,1.0,,,,,,3.0,,,,,,1.0,,,,,,,0.16666666666666666,,,,,,0.3,,,0.4211,,1.0,,1.0,1.0,,,,,,0.5,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,803.0,13,12,27,26,11.0,17.0,4.0,53,,,,,2.0,2.0,4.0,19.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.451612903225807,,,,,,,,0.41735,0.4127,0.5,0.4074074074074074,1.0,1.0,0.5,1.0,1.0,1.0,14.950000000000001,1.0,1.0,,,,,,,,,,,,1.0,,5.0,5.0,,,,,0.3,,0.5,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,0.375,,,,,,0.4,,,,,,2.0,,,,1.0,,1.0,,,,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,817.0,14,8,28,28,12.0,21.0,4.0,56,3.0,4.0,1.0,1.0,5.0,8.0,11.0,23.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,4.0,,2.0,2.0,12.0,0.6,0.6,0.625,0.3333333333333333,0.5,0.3333333333333333,0.55,0.3333333333333333,34.375,0.4,0.75,0.75,0.6666666666666666,0.3333333333333333,1.0,0.6,0.5057750000000001,0.3942333333333334,0.18181818181818182,0.42857142857142855,1.0,3.0,0.3,0.3333333333333333,0.5,1.0,6.975,1.0,1.0,1.0,,2.0,1.0,,,4.0,,1.0,,,,,1.0,2.0,1.0,,0.2,,0.1111111111111111,,0.1,1.0,1.0,0.1,,24.9,,,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,,,1.0,,,,,,,0.14285714285714285,0.09090909090909091,,0.07142857142857142,,,,,,0.2768,,1.0,,1.0,,,,,,,0.125,,,0.3333333333333333,,0.5,,1.0,,1.0,,,,,,,,,,,,0.3333333333333333,0.1,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.1,0.125,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,440.0,7,2,14,17,4.0,5.0,4.0,31,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5.555555555555555,1.0,1.0,1.0,,1.0,1.0,1.0,0.7243,0.7243,1.0,0.2857142857142857,,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,3.0,,,,1.0,0.2857142857142857,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.16666666666666666,,,,,,0.2,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
