EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,AtRimAssists,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,OffTwoPtRebounds,OffRebounds,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,PenaltyPointsPct,AtRimFGM,AtRimFGA,ShortMidRangeFGA,SecondChanceFG2A,ThreePtAssists,Arc3Assists,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2M,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BadPassTurnovers,on,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeAssists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimAccuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Travels,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyFtPoints,Corner3Assists,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,OffThreePtRebounds,Loose Ball Fouls,Blocked3s,BlockedCorner3,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,RecoveredBlocks,Defensive 3 Seconds Violations,BlocksRecoveredPct,SecondChanceArc3Frequency,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy
1065,1610612749,Erick Strickland,Erick Strickland,1065,MIL,177.0,3,2,6,7,2.0,7.0,1.0,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,37.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.39525,0.3885,0.3333333333333333,0.5,0.5,16.3,29.7,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,1610612749,Keith Van Horn,Keith Van Horn,1496,MIL,566.0,9,-5,19,21,3.0,7.0,2.0,40,,1.0,,,,1.0,2.0,,,23,,,,,,1.0,1.0,,2.0,,,,,3.0,,,,,,,0.6666666666666666,13.636363636363637,0.3333333333333333,,,,,,0.6666666666666666,0.5088333333333334,,,,,19.3,22.950000000000003,0.15789473684210525,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,1610612749,Brevin Knight,Brevin Knight,1510,MIL,278.0,5,-1,9,10,,4.0,2.0,19,,,,,,,,,,9,,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,8.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,1610612749,Marcus Haislip,Marcus Haislip,2409,MIL,177.0,3,2,6,7,2.0,7.0,1.0,13,1.0,1.0,,,1.0,1.0,,,2.0,4,,,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,12.5,1.0,1.0,1.0,1.0,,,,0.3698,0.3698,,,,18.6,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,1610612749,Dan Gadzuric,Dan Gadzuric,2429,MIL,566.0,9,-5,19,21,3.0,7.0,2.0,40,,1.0,,,2.0,4.0,,,4.0,23,,,,4.0,,1.0,2.0,1.0,5.0,1.0,,1.0,1.0,3.0,1.0,1.0,0.5,0.5,0.5,,,18.181818181818183,0.25,,,,,,0.5,0.47025,,0.25,0.25,,6.275,,0.15789473684210525,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.3868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,1610612749,Daniel Santiago,Daniel Santiago,2091,MIL,45.0,1,1,2,3,2.0,3.0,,5,,,,,,,,,,1,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,1610612749,Desmond Mason,Desmond Mason,2046,MIL,64.0,1,-1,1,2,,,1.0,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,389.0,6,-7,13,14,1.0,,1.0,27,,,,,1.0,3.0,1.0,,2.0,19,,2.0,,,,,,,,,,,,1.0,,,0.3333333333333333,0.25,0.25,1.0,0.25,28.57142857142857,,,,,,,0.75,0.5297125,0.5722,,,1.0,3.6999999999999997,23.4,0.07692307692307693,1.0,,,,1.0,,,,0.25,,,,,,,,,,1.0,,1.0,1.0,,,,,0.5,0.25,1.0,,1.0,2.0,1.0,1.0,,,,,,0.5,0.5,1.0,,0.25,0.5409,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1610612749,Toni Kukoc,Toni Kukoc,389,MIL,325.0,5,-6,12,12,1.0,,,24,,,1.0,,,,1.0,1.0,4.0,16,,,,,1.0,,,,,,,2.0,1.0,1.0,,,,1.5,1.0,,1.0,25.0,,,,,1.0,,1.0,0.53025,,0.5,1.0,,,26.1,0.08333333333333333,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1610612749,Damon Jones,Damon Jones,1800,MIL,243.0,4,-5,8,8,1.0,,,16,1.0,1.0,,,1.0,1.0,,,2.0,13,,,,2.0,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,37.5,1.0,1.0,1.0,1.0,,,,0.4057,,,,,18.4,,0.125,,1.0,,,,,,,,,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
