EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,DefFTReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTOffRebounds,Travels,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffFTReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGA,Fg3aBlocked,LostBallTurnovers,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SelfOReb,StepOutOfBoundsTurnovers,OffensiveGoaltends,SelfORebPct,SecondChanceAtRimPctAssisted,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,3SecondViolations,Arc3PctBlocked
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,6323.0,105,18,181,176,54,59,31.0,357,4.0,9.0,1.0,4.0,1.0,2.0,4.0,1.0,6.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,3.0,5.0,15,3.0,13.0,14.0,33.0,161,1.0,5.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,5.0,4.0,12.0,6.0,4.0,9.0,2.0,7.0,2.0,3.0,4.0,3.0,7.0,3.0,3.0,1.0,17.0,1.0,7.0,3.0,13.0,16.0,8.0,24.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,12.0,1.0,18.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,54,3.0,0.6,0.75,1.0,0.23076923076923078,0.5,0.4,0.23076923076923078,0.3333333333333333,0.2,0.5,0.3392857142857143,0.35714285714285715,0.5714285714285714,0.44594594594594594,0.375,0.6,0.4642857142857143,0.2,0.3333333333333333,18.80733944954128,0.5,0.18309859154929578,0.09722222222222222,0.16666666666666666,0.037037037037037035,0.1797752808988764,0.08080808080808081,0.07407407407407407,0.08,0.15,0.125,0.1,0.25,0.24,0.13333333333333333,0.3333333333333333,0.5,0.32142857142857145,0.4444444444444444,0.6666666666666666,0.5,0.07142857142857142,0.5,0.5,1.0,0.14285714285714285,0.21428571428571427,0.16666666666666666,0.16666666666666666,1.0,0.25,0.2857142857142857,0.2857142857142857,1.0,0.5714285714285714,0.25,0.2857142857142857,0.5,1.0,0.2857142857142857,0.5,0.42857142857142855,0.3333333333333333,0.7857142857142857,0.2857142857142857,0.49535,0.519842857142857,0.43214285714285705,0.24324324324324326,0.375,0.18181818181818182,0.36363636363636365,6.9399999999999995,24.55384615384616,0.2983425414364641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,551.0,9,1,19,17,12,5,4.0,36,,,,,,,1.0,,,,,,,,,,,,1,,,2.0,2.0,21,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,2.0,,4.0,2.0,,,,,,,1.0,12,1.0,,,,,,,,,,,,,,0.3333333333333333,0.5,0.25,,,,13.636363636363637,,,0.16666666666666666,,,,0.14285714285714285,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.3847,,0.3847,0.6666666666666666,0.6666666666666666,0.5,0.5,16.7,,0.631578947368421,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1533,1610612754,Anthony Johnson,Anthony Johnson,1533,IND,11968.0,199,25,345,348,94,102,49.0,693,3.0,8.0,,1.0,5.0,8.0,15.0,,1.0,,,3.0,12.0,,,,1.0,14.0,31,3.0,13.0,9.0,46.0,315,,3.0,,,,,6.0,11.0,,1.0,3.0,15.0,10.0,18.0,6.0,,12.0,3.0,1.0,9.0,6.0,15.0,4.0,4.0,3.0,36.0,,3.0,2.0,15.0,18.0,3.0,21.0,8.0,4.0,4.0,2.0,2.0,6.0,,8.0,1.0,4.0,19.0,1.0,12.0,3.0,3.0,,,,3.0,,15.0,94,2.0,0.35714285714285715,0.35714285714285715,0.6666666666666666,0.23076923076923078,,,0.23076923076923078,0.45161290322580644,,0.5454545454545454,0.42045454545454547,,0.5,0.4583333333333333,,0.5357142857142857,0.29545454545454547,0.03225806451612903,0.125,14.0,0.25,0.0967741935483871,0.022556390977443608,0.05714285714285714,,0.08947368421052632,0.016666666666666666,,,0.05660377358490566,,0.109375,0.11764705882352941,0.07017543859649122,0.06896551724137931,,,0.18181818181818182,0.375,0.42857142857142855,0.3333333333333333,0.18181818181818182,0.625,0.625,0.4,0.3409090909090909,0.022727272727272728,,,,0.2727272727272727,0.25,0.25,0.6666666666666666,0.3333333333333333,,,,,,,0.08333333333333333,,0.4772727272727273,0.25,0.4617681818181818,0.42374999999999996,0.43674166666666664,0.06521739130434782,0.09090909090909091,,0.32608695652173914,11.229032258064517,25.130769230769236,0.27246376811594203,1.0,0.07692307692307693,2.0,3.0,6.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,0.4,0.4,0.3333333333333333,0.25,0.6666666666666666,,,,,,,,,,,,,,,,,,,,True,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,6961.0,116,27,211,211,61,55,32.0,422,6.0,12.0,3.0,4.0,4.0,9.0,10.0,,1.0,,1.0,5.0,13.0,,,2.0,4.0,15.0,31,5.0,14.0,11.0,56.0,199,3.0,5.0,,,3.0,9.0,5.0,7.0,2.0,5.0,5.0,21.0,12.0,18.0,12.0,4.0,13.0,5.0,5.0,1.0,,1.0,,1.0,,2.0,1.0,6.0,2.0,7.0,9.0,8.0,17.0,2.0,1.0,1.0,3.0,3.0,2.0,,5.0,1.0,5.0,10.0,,14.0,8.0,8.0,,,2.0,8.0,6.0,21.0,61,2.0,0.4,0.46153846153846156,0.8,0.35714285714285715,,0.4,0.35714285714285715,0.4838709677419355,0.6,0.7142857142857143,0.5,0.6,0.6666666666666666,0.5490196078431373,0.6428571428571429,0.7,0.3111111111111111,0.16129032258064516,0.3333333333333333,22.672064777327932,0.6,0.07368421052631578,0.0821917808219178,0.10526315789473684,0.04,0.07894736842105263,0.07142857142857142,0.07692307692307693,0.043478260869565216,0.125,,0.04878048780487805,,0.16129032258064516,0.13333333333333333,,0.75,0.26666666666666666,0.5,0.75,0.5,0.2,0.4444444444444444,0.5,0.25,0.2222222222222222,0.022222222222222223,,,,0.28888888888888886,0.38461538461538464,0.38461538461538464,0.8,0.8,0.75,,,,0.08333333333333333,,0.3333333333333333,0.5,0.5777777777777777,0.38461538461538464,0.46579000000000004,0.458975,0.4723375,0.1568627450980392,0.21621621621621623,0.16071428571428573,0.375,9.241935483870968,25.285714285714285,0.2890995260663507,,,1.0,3.0,5.0,3.0,,,,,1.0,2.0,,,6.0,,0.5,0.5,0.4,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,0.1111111111111111,0.07692307692307693,0.05,,,,,,,,,,,,,True,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,15648.0,261,46,460,463,143,145,60.0,923,5.0,9.0,,,1.0,4.0,16.0,1.0,5.0,1.0,1.0,10.0,17.0,3.0,6.0,2.0,5.0,14.0,29,11.0,22.0,5.0,66.0,408,1.0,1.0,3.0,7.0,,11.0,2.0,5.0,3.0,6.0,,13.0,14.0,14.0,24.0,,17.0,10.0,3.0,11.0,5.0,16.0,3.0,8.0,2.0,37.0,2.0,1.0,10.0,20.0,30.0,3.0,33.0,7.0,5.0,2.0,3.0,2.0,6.0,,9.0,2.0,11.0,31.0,1.0,7.0,4.0,7.0,,,1.0,7.0,5.0,13.0,143,5.0,0.5,0.5,0.7272727272727273,0.5,0.42857142857142855,0.5,0.5,0.4827586206896552,1.0,0.4,0.5980392156862745,0.6875,0.5909090909090909,0.6111111111111112,0.6875,0.5909090909090909,0.43137254901960786,0.10344827586206896,0.1111111111111111,11.88679245283019,0.3333333333333333,0.10101010101010101,0.005847953216374269,0.20408163265306123,0.03278688524590164,0.1214574898785425,0.01293103448275862,,,0.015151515151515152,,0.05194805194805195,0.15217391304347827,0.12,0.1951219512195122,0.25,0.7142857142857143,0.17647058823529413,0.5555555555555556,0.625,0.6,0.0784313725490196,0.25,0.3333333333333333,1.0,0.3137254901960784,0.09803921568627451,0.2,0.25,1.0,0.3333333333333333,0.5882352941176471,0.5882352941176471,0.7,,,0.75,0.5,0.3333333333333333,0.09090909090909091,1.0,0.45454545454545453,0.4,0.6078431372549019,0.5882352941176471,0.48535588235294114,0.50175,0.508040909090909,0.07407407407407407,0.125,0.16666666666666666,0.19696969696969696,12.217241379310344,25.0,0.3108695652173913,,,1.0,2.0,8.0,9.0,2.0,1.0,2.0,1.0,3.0,1.0,,,3.0,3.0,0.5,0.5333333333333333,0.375,0.18181818181818182,0.5,,1.0,,,0.25,,0.0425531914893617,1.0,1.0,1.0,0.045454545454545456,0.0625,0.2,0.125,,,,,,True,,,,,,
72,1610612754,Kenny Anderson,Kenny Anderson,72,IND,772.0,13,-6,23,23,11,5,3.0,46,,1.0,,,1.0,3.0,2.0,,,,,,,,,,,2.0,6,,,,4.0,22,,,,,,,2.0,4.0,,,,4.0,,4.0,,,,,2.0,1.0,,1.0,,,,2.0,,,1.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,4.0,11,,,,,,,,,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.3333333333333333,,0.5,,0.3333333333333333,1.0,30.769230769230766,1.0,,,0.25,,0.0625,,,,,,,,,0.25,,,0.16666666666666666,,,,0.5,0.3333333333333333,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,0.16666666666666666,,0.42726666666666663,,0.45135,,,,1.0,10.316666666666668,,0.4782608695652174,,,,1.0,1.0,,,1.0,,,,,,,,,0.5,0.5,,0.25,,,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,True,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,13195.0,220,38,385,390,110,99,47.0,775,28.0,52.0,9.0,19.0,3.0,14.0,18.0,,1.0,,,,,,,,,34.0,84,,1.0,20.0,88.0,336,9.0,21.0,,,4.0,22.0,2.0,11.0,,,9.0,13.0,24.0,44.0,,14.0,,,4.0,6.0,4.0,10.0,4.0,3.0,1.0,24.0,3.0,17.0,4.0,31.0,37.0,21.0,58.0,11.0,4.0,7.0,5.0,2.0,8.0,,13.0,4.0,6.0,28.0,4.0,34.0,16.0,4.0,,,2.0,4.0,2.0,13.0,110,1.0,0.35294117647058826,0.4444444444444444,,,,,,0.40476190476190477,0.42857142857142855,0.18181818181818182,0.4,0.42857142857142855,0.18181818181818182,0.43564356435643564,0.4230769230769231,0.38235294117647056,0.011764705882352941,0.047619047619047616,0.057692307692307696,25.79185520361991,0.38461538461538464,0.1751412429378531,0.11486486486486487,0.1,0.06,0.16129032258064516,0.10101010101010101,0.22,0.075,0.05172413793103448,0.15384615384615385,0.2535211267605634,0.075,0.15151515151515152,0.09090909090909091,0.14285714285714285,0.5,0.611764705882353,0.5384615384615384,0.5714285714285714,0.2857142857142857,0.16470588235294117,0.21428571428571427,0.23076923076923078,0.6666666666666666,0.21176470588235294,0.011764705882352941,,,,,,,,0.9047619047619048,0.47368421052631576,,,,,,,,0.6235294117647059,,0.5074929411764706,0.5377684210526316,0.46265454545454543,0.16,0.16161616161616163,0.25,0.14772727272727273,6.142857142857143,22.7,0.2857142857142857,2.0,0.18181818181818182,1.0,5.0,3.0,,,2.0,1.0,1.0,4.0,1.0,,1.0,2.0,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.45454545454545453,0.2,1.0,1.0,,,0.07142857142857142,0.0625,0.02702702702702703,,,3.0,,,,,6.0,1.0,1.0,0.1276595744680851,0.1111111111111111,True,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,7640.0,127,23,219,221,75,82,26.0,440,8.0,15.0,3.0,4.0,4.0,11.0,14.0,3.0,6.0,1.0,1.0,3.0,17.0,1.0,1.0,1.0,2.0,15.0,40,6.0,23.0,8.0,56.0,182,3.0,5.0,1.0,1.0,4.0,13.0,8.0,17.0,2.0,3.0,3.0,25.0,10.0,20.0,15.0,6.0,17.0,3.0,3.0,7.0,4.0,11.0,3.0,2.0,4.0,26.0,,6.0,5.0,13.0,23.0,6.0,29.0,3.0,3.0,,3.0,,5.0,,8.0,4.0,1.0,5.0,1.0,9.0,4.0,2.0,,,,2.0,2.0,25.0,75,3.0,0.3333333333333333,0.4166666666666667,0.8333333333333334,0.2608695652173913,1.0,0.6666666666666666,0.2608695652173913,0.375,0.6,0.47058823529411764,0.38095238095238093,0.75,0.55,0.417910447761194,0.8125,0.5681818181818182,0.36507936507936506,0.075,0.13333333333333333,30.0,0.375,0.14772727272727273,0.06976744186046512,0.17857142857142858,,0.15517241379310345,0.05042016806722689,0.1724137931034483,0.047619047619047616,,,0.06060606060606061,0.1,0.2571428571428571,0.16,0.3333333333333333,1.0,0.23809523809523808,0.5333333333333333,0.6153846153846154,0.5,0.1746031746031746,0.36363636363636365,0.4,,0.2222222222222222,0.09523809523809523,0.5,0.5,1.0,0.2698412698412698,0.17647058823529413,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.75,0.16666666666666666,1.0,,0.05,1.0,0.1,0.5,0.6031746031746031,0.17647058823529413,0.4615746031746032,0.48705,0.4750225,0.06060606060606061,0.09302325581395349,0.23214285714285715,0.44642857142857145,9.86,25.039130434782606,0.3424657534246575,5.0,0.7142857142857143,5.0,9.0,3.0,3.0,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.45,0.5555555555555556,,3.0,,,0.09090909090909091,,,,,3.0,,,,,3.0,,,0.08571428571428572,,True,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,737.0,12,-1,24,21,5,7,2.0,45,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,1.0,2,,1.0,1.0,3.0,20,,,,,,,1.0,2.0,,1.0,,2.0,2.0,,,,1.0,,,5.0,,5.0,,4.0,,10.0,,,,2.0,2.0,,2.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,2.0,5,,1.0,1.0,,,,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,14.814814814814813,,0.2222222222222222,,,,0.2222222222222222,,,,,,,,0.2857142857142857,,,,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.6666666666666666,,0.5065166666666666,,0.5065166666666666,,,,0.6666666666666666,9.65,24.5,0.20833333333333334,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,8661.0,144,51,257,265,85,91,28.0,522,15.0,18.0,1.0,1.0,8.0,23.0,19.0,,,,,,1.0,,,,,31.0,60,,1.0,16.0,78.0,212,2.0,3.0,,,2.0,6.0,11.0,18.0,,,10.0,32.0,38.0,24.0,,2.0,1.0,,3.0,6.0,1.0,7.0,1.0,4.0,,15.0,1.0,4.0,8.0,18.0,29.0,5.0,34.0,1.0,1.0,,4.0,1.0,5.0,,9.0,3.0,8.0,15.0,2.0,24.0,6.0,7.0,,,1.0,7.0,6.0,32.0,85,4.0,0.6129032258064516,0.6333333333333333,,,,,,0.5166666666666667,0.6666666666666666,0.6111111111111112,0.5081967213114754,0.6666666666666666,0.6111111111111112,0.5342465753424658,0.6,0.6153846153846154,0.01639344262295082,0.05,0.1111111111111111,28.22299651567944,0.4444444444444444,0.16071428571428573,0.04395604395604396,0.23529411764705882,0.03333333333333333,0.1780821917808219,0.04132231404958678,0.037037037037037035,0.043478260869565216,0.04878048780487805,,0.10810810810810811,0.18518518518518517,0.1875,0.2857142857142857,,0.8571428571428571,0.29508196721311475,0.8333333333333334,0.9375,0.8,0.3770491803278688,0.34782608695652173,0.36363636363636365,0.375,0.3114754098360656,,,,,0.01639344262295082,,,,0.3333333333333333,1.0,,,,,,,,0.3114754098360656,,0.416266393442623,0.4132,0.44398333333333334,0.09090909090909091,0.09230769230769231,0.07692307692307693,0.41025641025641024,10.051666666666668,24.8,0.33073929961089493,3.0,0.5,7.0,8.0,8.0,,,2.0,1.0,,2.0,1.0,,7.0,6.0,,0.42105263157894735,0.42105263157894735,0.5,0.4444444444444444,0.875,,2.0,,1.0,0.043478260869565216,,0.038461538461538464,,,3.0,,,,,,,,,,True,,,,,,
