EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGA,Fg2aBlocked,BlockedAtRim,FG2APctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Avg2ptShotDistance,ShortMidRangeFGM,LongMidRangeFGM,PtsAssisted2s,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,ShortMidRangeAssists,LostBallSteals,SecondChanceTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,on,BlockedLongMidRange,LongMidRangePctBlocked,Travels,OffensiveGoaltends,3SecondViolations
109,1610612759,Robert Horry,Robert Horry,109,SAS,4019.0,67,31,125,123,61.0,51,19.0,248,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,2.0,2.0,1.0,7.0,5.0,12.0,103,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,6.0,5.0,12.0,4.0,3.0,4.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,7.0,2.0,10.0,3.0,15.0,7.0,22.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,8.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,61.0,2.0,1.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,1.0,1.0,1.0,0.3888888888888889,0.5,0.4375,0.5,0.6,0.5454545454545454,0.7777777777777778,9.271523178807946,0.3333333333333333,0.22727272727272727,0.17073170731707318,0.16666666666666666,0.21428571428571427,0.11666666666666667,0.3333333333333333,0.16666666666666666,0.25,0.29411764705882354,0.13333333333333333,0.25,1.0,0.2222222222222222,1.0,1.0,0.1111111111111111,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,0.5,0.25,1.0,0.125,0.625,0.2,1.0,0.16666666666666666,0.5366722222222222,0.5594375,0.54145,0.18181818181818182,0.5,0.5,1.0,25.02857142857143,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,1853.0,31,-16,56,56,20.0,15,8.0,112,,,,,,,1.0,,,1.0,,,1.0,,3.0,,2.0,,,56,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,3.0,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,20.0,,,,,,,,,,,,,,,0.4,7.575757575757575,,,,0.2,0.07407407407407407,,,,,,,0.125,1.0,,,,0.2,0.2,,,,,,,,,,0.5,,0.4,,0.42435999999999996,,0.4117,,,,,23.9,0.35714285714285715,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.4,0.2,12.199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,6352.0,106,10,191,191,73.0,70,31.0,382,9.0,11.0,3.0,5.0,3.0,4.0,,,,1.0,,,1.0,20.0,41.0,,1.0,17.0,57.0,186,5.0,8.0,,4.0,14.0,8.0,15.0,,1.0,6.0,22.0,24.0,,6.0,1.0,,6.0,1.0,7.0,1.0,,3.0,15.0,9.0,4.0,11.0,5.0,20.0,12.0,32.0,,,,2.0,10.0,3.0,3.0,7.0,2.0,1.0,25.0,11.0,3.0,4.0,1.0,4.0,,22.0,73.0,,,,,,0.4878048780487805,0.625,0.5333333333333333,0.47619047619047616,0.625,0.5,0.5277777777777778,0.7,0.5789473684210527,0.023809523809523808,27.03862660944206,0.38461538461538464,0.18032786885245902,0.12857142857142856,0.23529411764705882,0.19230769230769232,0.11764705882352941,0.07142857142857142,0.1724137931034483,0.10526315789473684,0.17391304347826086,0.2631578947368421,0.18181818181818182,,0.2619047619047619,0.8181818181818182,0.8181818181818182,,0.023809523809523808,,,,0.625,0.6,,0.25,0.75,,0.0625,,0.2857142857142857,,0.42801428571428574,0.46934999999999993,0.42529375,0.21568627450980393,0.22,0.24561403508771928,0.38596491228070173,24.4,0.38219895287958117,18.0,12.0,2.0,3.0,0.04878048780487805,0.1111111111111111,0.3333333333333333,0.42857142857142855,0.2857142857142857,9.23658536585366,5.0,6.0,16.0,3.0,3.0,1.0,8.0,6.0,1.0,2.0,2.0,0.4,0.47058823529411764,0.8,0.09375,0.15384615384615385,0.05263157894736842,0.15384615384615385,0.05,0.3333333333333333,0.2777777777777778,0.3125,0.6,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,4624.0,77,18,149,148,64.0,65,22.0,297,9.0,10.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,8.0,2.0,1.0,3.0,11.0,18.0,3.0,10.0,7.0,38.0,143,2.0,2.0,2.0,,4.0,4.0,7.0,1.0,4.0,6.0,17.0,10.0,9.0,2.0,8.0,2.0,7.0,1.0,8.0,1.0,,3.0,17.0,4.0,4.0,6.0,,10.0,6.0,16.0,6.0,3.0,1.0,3.0,5.0,,3.0,9.0,,1.0,8.0,,2.0,,,,,17.0,64.0,3.0,1.0,0.3,0.25,0.3,0.6111111111111112,1.0,0.5714285714285714,0.5535714285714286,0.5,0.5,0.5967741935483871,0.5,0.6071428571428571,0.35714285714285715,19.78021978021978,,0.13953488372093023,0.0784313725490196,0.36363636363636365,0.18518518518518517,0.07792207792207792,0.05555555555555555,0.09090909090909091,,0.16666666666666666,0.2,0.42857142857142855,,0.35714285714285715,0.9,1.0,0.07142857142857142,0.2857142857142857,0.25,0.25,1.0,0.5,1.0,0.5,0.36363636363636365,0.75,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.7142857142857143,0.25,0.5015339285714285,0.5679500000000001,0.4646681818181817,0.034482758620689655,,0.10526315789473684,0.4473684210526316,24.73,0.42953020134228187,5.0,3.0,2.0,,0.1111111111111111,0.2,0.25,0.17857142857142858,0.10714285714285714,5.022222222222222,2.0,,12.0,2.0,2.0,1.0,2.0,2.0,,,,0.5454545454545454,0.6,0.4,0.07692307692307693,0.09090909090909091,0.07142857142857142,0.08333333333333333,0.09090909090909091,0.6666666666666666,0.4,0.5,,,,,1.0,2.0,3.0,1.0,1.0,1.0,0.1,0.5,0.5,1.0,0.5,0.09090909090909091,,,,,,,,,,,,,,,,,True,,,,,
2484,1610612759,Devin Brown,Devin Brown,2484,SAS,7862.0,131,1,248,245,98.0,107,37.0,493,5.0,13.0,1.0,3.0,3.0,6.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,12.0,27.0,6.0,10.0,10.0,52.0,244,2.0,5.0,2.0,1.0,8.0,6.0,11.0,2.0,3.0,5.0,23.0,6.0,18.0,,5.0,5.0,9.0,,9.0,,,4.0,18.0,3.0,2.0,10.0,2.0,14.0,4.0,18.0,3.0,2.0,1.0,4.0,7.0,2.0,5.0,18.0,1.0,2.0,17.0,6.0,3.0,1.0,1.0,1.0,,23.0,98.0,6.0,1.0,0.6,0.6666666666666666,0.6,0.4444444444444444,0.4,0.5454545454545454,0.5675675675675675,0.5,0.6428571428571429,0.5813953488372093,0.5714285714285714,0.6388888888888888,0.2702702702702703,16.666666666666668,0.11764705882352941,0.14285714285714285,0.033707865168539325,0.07407407407407407,0.12371134020618557,0.031496062992125984,0.02857142857142857,0.05263157894736842,0.09090909090909091,0.15384615384615385,0.18181818181818182,0.058823529411764705,,0.35135135135135137,0.38461538461538464,0.625,0.13513513513513514,0.13513513513513514,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.5,0.07142857142857142,0.14285714285714285,1.0,0.6216216216216216,1.0,0.501322972972973,0.46362,0.5191464285714285,0.15,0.2,0.15384615384615385,0.4423076923076923,23.720000000000002,0.3951612903225806,5.0,9.0,6.0,,0.2222222222222222,0.2,0.1,0.13513513513513514,0.24324324324324326,7.685185185185185,3.0,4.0,18.0,3.0,1.0,,3.0,2.0,,1.0,3.0,0.75,0.75,0.42857142857142855,0.02631578947368421,,0.043478260869565216,,,0.6,0.6,0.75,1.0,0.4444444444444444,0.4444444444444444,0.75,1.0,2.0,1.0,2.0,2.0,,0.38461538461538464,0.2,0.2,1.0,,,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,1.0,1.0,,,,,,,,,True,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,4979.0,83,4,153,153,65.0,70,25.0,306,4.0,6.0,,1.0,1.0,2.0,2.0,2.0,4.0,10.0,,2.0,4.0,13.0,36.0,4.0,12.0,3.0,41.0,142,,6.0,,1.0,1.0,3.0,16.0,2.0,6.0,1.0,13.0,18.0,6.0,,10.0,4.0,12.0,4.0,16.0,3.0,1.0,5.0,36.0,3.0,,2.0,,2.0,3.0,5.0,4.0,3.0,1.0,2.0,7.0,5.0,,5.0,2.0,,4.0,2.0,,,,,,13.0,65.0,5.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3611111111111111,,0.1875,0.3958333333333333,,0.2727272727272727,0.41,0.07142857142857142,0.2826086956521739,0.25,31.147540983606557,,0.046511627906976744,0.047619047619047616,,0.03278688524590164,0.03571428571428571,0.037037037037037035,0.03571428571428571,,0.07142857142857142,0.06666666666666667,,,0.125,0.6666666666666666,0.8,0.041666666666666664,0.20833333333333334,0.4,0.4,0.5,0.16666666666666666,,,0.09090909090909091,0.5,0.09090909090909091,0.18181818181818182,0.5,0.375,0.4,0.4292197916666667,0.37113999999999997,0.4244840909090909,0.04,0.05263157894736842,0.024390243902439025,0.3170731707317073,25.58333333333333,0.42483660130718953,9.0,21.0,2.0,,0.05555555555555555,0.1111111111111111,,0.1875,0.4375,12.997222222222222,3.0,6.0,8.0,2.0,,,5.0,3.0,,2.0,,0.3076923076923077,0.3076923076923077,0.7142857142857143,,0.125,,,,0.25,0.3333333333333333,0.375,,0.2857142857142857,0.2857142857142857,0.5,,5.0,1.0,1.0,,,0.16666666666666666,,,,,,,,,,,,,,6.0,,,,,,,,True,,,,,
1725,1610612759,Rasho Nesterovic,Rasho Nesterovic,1725,SAS,3130.0,52,-32,93,94,12.0,23,14.0,187,3.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,6.0,16.0,,1.0,,12.0,109,1.0,4.0,,,2.0,1.0,2.0,,,,2.0,,,,,,3.0,1.0,4.0,1.0,,1.0,9.0,3.0,,1.0,,1.0,3.0,4.0,,,2.0,3.0,4.0,,5.0,6.0,,,,,,1.0,,1.0,1.0,2.0,12.0,,,,,,0.375,0.25,0.5,0.35294117647058826,0.25,0.5,0.35294117647058826,0.25,0.5,0.058823529411764705,18.749999999999996,,0.04,0.07692307692307693,,0.02564102564102564,0.06,0.1,,0.1,,,,1.0,0.23529411764705882,0.75,0.75,0.058823529411764705,,,,,0.5,0.5,,0.5,1.0,,,,0.29411764705882354,,0.43565294117647063,0.509675,0.27215,,,0.16666666666666666,0.16666666666666666,22.7,0.12903225806451613,7.0,5.0,1.0,1.0,0.0625,0.14285714285714285,,0.4117647058823529,0.29411764705882354,9.575,1.0,2.0,12.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,0.25,,0.25,,,0.1111111111111111,1.0,0.14285714285714285,0.16666666666666666,1.0,0.4,0.4,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,
2078,1610612759,Jason Hart,Jason Hart,2078,SAS,1282.0,21,-9,41,40,15.0,17,2.0,81,1.0,2.0,,,,1.0,,,,,,,,6.0,8.0,,,,12.0,51,,,,,,3.0,4.0,,,,6.0,6.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,6.0,15.0,,,,,,0.75,,0.75,0.75,,0.75,0.75,,0.75,,18.181818181818183,,0.06666666666666667,,,0.05263157894736842,,,,,0.16666666666666666,,,,0.25,0.5,0.5,,,,,,,,,0.25,,,,,0.25,,0.447025,,0.432425,,,,0.5,,0.36585365853658536,,6.0,,,,,,,0.75,14.4875,,5.0,6.0,,,,,,,,,0.5,0.5,,,,,,,1.0,,,,0.8333333333333334,0.8333333333333334,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
788,1610612759,Kevin Willis,Kevin Willis,788,SAS,645.0,11,-1,27,25,16.0,25,2.0,52,1.0,1.0,,,1.0,1.0,,,,,,,,3.0,3.0,,,,6.0,27,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,,4.0,,,,,,,2.0,2.0,,,1.0,1.0,,,,,,2.0,16.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,10.344827586206897,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,,0.5,,,,0.3333333333333333,1.0,1.0,,,,,,,,,1.0,1.0,,,,0.3333333333333333,,0.49433333333333335,,0.7216,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.5925925925925926,2.0,,,,,,0.5,0.6666666666666666,,5.3,2.0,,6.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2045,1610612759,Hedo Turkoglu,Hedo Turkoglu,2045,SAS,2596.0,43,5,83,81,29.0,36,16.0,164,,,,,,,5.0,2.0,1.0,7.0,1.0,,1.0,,4.0,2.0,12.0,,6.0,80,,3.0,1.0,,3.0,,,,3.0,,,,6.0,,7.0,1.0,1.0,3.0,4.0,3.0,,,11.0,,,3.0,4.0,7.0,1.0,8.0,,,1.0,1.0,2.0,,2.0,3.0,,,2.0,1.0,,1.0,1.0,1.0,,,29.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,,,,0.1875,0.375,,0.17647058823529413,0.375,,0.75,17.27272727272727,0.8,0.15,,,0.1,0.018518518518518517,,,,0.18181818181818182,0.2,,,,,,0.3125,0.4375,0.14285714285714285,0.14285714285714285,1.0,,,0.25,,,0.6666666666666666,0.3333333333333333,,0.75,0.14285714285714285,0.5072718749999999,0.46996666666666664,0.52795,0.058823529411764705,0.2,0.5,,24.391666666666666,0.3493975903614458,1.0,3.0,,,,,,0.0625,0.1875,16.025,,,,,1.0,,1.0,,,1.0,,,,0.5,0.043478260869565216,,0.06666666666666667,,,,,,,,,,1.0,1.0,,,,,,0.2,0.2,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,True,,,,,
