EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,SecondChanceFtPoints,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangePctAssisted,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceFG3M,LostBallSteals,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3Assists,BlockedShortMidRange,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,3SecondViolations,SecondChanceArc3FGM,HeaveAttempts,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1747,1610612748,Rafer Alston,Rafer Alston,1747,MIA,8620.0,144,-7.0,264,258,62,128,49.0,522,3.0,7.0,2.0,3.0,2.0,5.0,6.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,25.0,1.0,1.0,5.0,9.0,18.0,4.0,28.0,10.0,40.0,233,3.0,4.0,2.0,6.0,1.0,3.0,1.0,6.0,7.0,12.0,2.0,16.0,9.0,3.0,4.0,25.0,3.0,1.0,8.0,1.0,9.0,1.0,3.0,2.0,3.0,19.0,2.0,4.0,6.0,10.0,2.0,12.0,2.0,2.0,2.0,3.0,1.0,5.0,3.0,13.0,11.0,1.0,1.0,4.0,12.0,62,3.0,0.1111111111111111,0.14285714285714285,0.75,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.5,0.75,0.3333333333333333,0.32608695652173914,0.5,0.2777777777777778,0.38235294117647056,0.5,0.46153846153846156,0.6086956521739131,0.05555555555555555,0.14285714285714285,17.61006289308176,0.4,0.05714285714285714,0.017857142857142856,0.13793103448275862,0.07462686567164178,0.012578616352201259,0.047619047619047616,0.01818181818181818,0.06666666666666667,0.07407407407407407,0.043478260869565216,0.5,0.15217391304347827,0.42857142857142855,0.5,0.13043478260869565,0.8333333333333334,0.8333333333333334,0.2,0.10869565217391304,0.2,0.2,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.5434782608695652,0.12,0.12,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.2,0.7608695652173914,0.12,0.5024391304347826,0.4897,0.4684722222222222,0.02127659574468085,0.05263157894736842,0.15,0.3,8.366666666666667,24.803571428571423,0.23484848484848486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1885,1610612748,Lamar Odom,Lamar Odom,1885,MIA,19068.0,318,4.0,586,575,102,142,74.0,1161,26.0,44.0,3.0,4.0,5.0,12.0,30.0,10.0,24.0,,,,,6.0,19.0,1.0,1.0,5.0,48.0,98.0,6.0,19.0,33.0,147.0,556,3.0,7.0,1.0,10.0,12.0,14.0,1.0,5.0,13.0,40.0,38.0,58.0,15.0,3.0,6.0,19.0,6.0,10.0,20.0,3.0,23.0,3.0,8.0,2.0,10.0,49.0,16.0,8.0,32.0,42.0,19.0,61.0,12.0,1.0,8.0,16.0,,28.0,15.0,40.0,49.0,,19.0,7.0,40.0,102,3.0,0.3958333333333333,0.4222222222222222,0.8333333333333334,0.3157894736842105,0.2,0.3157894736842105,0.4897959183673469,0.42857142857142855,0.8571428571428571,0.48717948717948717,0.375,0.7105263157894737,0.525,0.45454545454545453,0.6896551724137931,0.1623931623931624,0.10204081632653061,0.1590909090909091,25.112107623318384,0.42857142857142855,0.14814814814814814,0.06722689075630252,0.12121212121212122,0.14184397163120568,0.06060606060606061,0.058823529411764705,0.07627118644067797,0.10606060606060606,0.15306122448979592,0.1346153846153846,0.07142857142857142,0.37606837606837606,0.5909090909090909,0.7027027027027027,0.2564102564102564,0.4,0.4444444444444444,0.25,0.20512820512820512,0.4166666666666667,0.4166666666666667,,,,,0.1623931623931624,0.3157894736842105,0.3157894736842105,0.8333333333333334,0.5,0.75,,0.125,0.2631578947368421,,0.2631578947368421,0.2,0.5384615384615384,0.3157894736842105,0.482476923076923,0.5277000000000001,0.46545000000000003,0.14285714285714285,0.16666666666666666,0.06802721088435375,0.272108843537415,7.289795918367348,24.68421052631579,0.17406143344709898,4.0,4.0,2.0,1.0,2.0,3.0,9.0,9.0,1.0,4.0,4.0,4.0,2.0,3.0,10.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,0.1,0.15384615384615385,0.0625,0.03389830508474576,0.057971014492753624,0.02,0.1111111111111111,0.19230769230769232,0.05660377358490566,0.6,0.5384615384615384,0.2,0.8,,,,,,,,,,,,,,,,,,,,True,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,20643.0,344,6.0,636,625,129,182,82.0,1261,9.0,17.0,2.0,2.0,6.0,6.0,17.0,15.0,40.0,3.0,12.0,1.0,3.0,7.0,32.0,7.0,1.0,4.0,30.0,74.0,10.0,44.0,22.0,112.0,611,4.0,9.0,8.0,12.0,8.0,14.0,1.0,7.0,1.0,20.0,26.0,34.0,30.0,,2.0,32.0,7.0,5.0,20.0,2.0,22.0,2.0,10.0,2.0,8.0,46.0,1.0,13.0,18.0,32.0,1.0,33.0,9.0,,6.0,2.0,,11.0,7.0,28.0,28.0,11.0,9.0,,20.0,129,5.0,0.43333333333333335,0.4482758620689655,1.0,0.22727272727272727,0.14285714285714285,0.22727272727272727,0.40540540540540543,0.4444444444444444,0.5714285714285714,0.3813559322033898,0.3235294117647059,0.4523809523809524,0.4087301587301587,0.3235294117647059,0.4523809523809524,0.3728813559322034,0.06756756756756757,0.23529411764705882,18.767123287671232,0.8181818181818182,0.07659574468085106,0.004098360655737705,0.18309859154929578,0.10130718954248366,0.003215434083601286,0.02040816326530612,,0.06944444444444445,0.0990990990990991,0.21428571428571427,0.06666666666666667,0.1440677966101695,0.5294117647058824,0.6923076923076923,0.1440677966101695,0.35294117647058826,0.375,0.3333333333333333,0.3389830508474576,0.375,0.375,0.1016949152542373,0.25,0.25,1.0,0.2711864406779661,0.21875,0.21875,1.0,0.11764705882352941,1.0,0.058823529411764705,0.4117647058823529,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.25,0.5169491525423728,0.21875,0.49044788135593215,0.45335000000000003,0.4935761904761905,0.07142857142857142,0.10975609756097561,0.10714285714285714,0.17857142857142858,11.762162162162161,24.26590909090909,0.2028301886792453,4.0,1.0,,,1.0,1.0,14.0,8.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,4.0,,,0.058823529411764705,0.058823529411764705,,,,,,0.038461538461538464,0.013888888888888888,0.6666666666666666,0.4444444444444444,0.4666666666666667,0.6666666666666666,1.0,1.0,6.0,2.0,1.0,1.0,2.0,0.125,1.0,1.0,,,,,,,,,,True,,,,
2406,1610612748,Caron Butler,Caron Butler,2406,MIA,20494.0,342,16.0,626,611,110,147,77.0,1237,14.0,29.0,7.0,10.0,6.0,10.0,15.0,22.0,63.0,,,,,,5.0,,,3.0,46.0,107.0,,5.0,35.0,127.0,583,9.0,14.0,,22.0,7.0,16.0,,3.0,22.0,36.0,56.0,36.0,,,10.0,5.0,,5.0,18.0,2.0,20.0,,7.0,3.0,8.0,42.0,10.0,11.0,43.0,60.0,13.0,73.0,1.0,4.0,,9.0,,10.0,7.0,33.0,41.0,,14.0,7.0,36.0,110,9.0,0.6086956521739131,0.6829268292682927,,,,,0.42990654205607476,0.6428571428571429,0.4375,0.4107142857142857,0.6428571428571429,0.3684210526315789,0.4810606060606061,0.6875,0.5806451612903226,0.044642857142857144,0.04672897196261682,0.06896551724137931,19.91584852734923,0.1,0.17479674796747968,0.03937007874015748,0.15492957746478872,0.17034700315457413,0.041935483870967745,0.04081632653061224,0.023076923076923078,0.1518987341772152,0.1875,0.16071428571428573,0.13333333333333333,0.25892857142857145,0.4827586206896552,0.5185185185185185,0.13392857142857142,0.6666666666666666,0.7692307692307693,0.2,0.5625,0.3492063492063492,0.3548387096774194,,,,,0.044642857142857144,,,,0.7142857142857143,0.7,,,0.3157894736842105,,0.15789473684210525,,0.30357142857142855,,0.44401531531531535,0.5179750000000001,0.43535000000000007,0.112,0.11666666666666667,0.1732283464566929,0.28346456692913385,12.10560747663551,27.639999999999997,0.1757188498402556,3.0,4.0,3.0,,6.0,1.0,17.0,7.0,,1.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,,,0.13333333333333333,0.35294117647058826,,0.05357142857142857,0.06666666666666667,0.0625,,0.18181818181818182,0.017241379310344827,0.3333333333333333,0.5714285714285714,0.8181818181818182,0.5,,,10.0,,,,1.0,,,,2.0,1.0,0.015873015873015872,0.14285714285714285,,,,,,True,,,,
258,1610612748,Brian Grant,Brian Grant,258,MIA,24017.0,400,,734,720,139,207,100.0,1454,16.0,29.0,8.0,13.0,5.0,3.0,9.0,23.0,59.0,,,,,,1.0,,,,42.0,97.0,,1.0,8.0,92.0,698,10.0,19.0,,25.0,8.0,11.0,,,,16.0,66.0,18.0,,,8.0,1.0,,11.0,8.0,2.0,10.0,2.0,3.0,1.0,4.0,22.0,34.0,11.0,48.0,67.0,45.0,112.0,9.0,2.0,4.0,9.0,,18.0,23.0,52.0,14.0,,8.0,,16.0,139,8.0,0.7857142857142857,0.868421052631579,,,,,0.4329896907216495,0.5263157894736842,0.7272727272727273,0.42857142857142855,0.5263157894736842,0.7272727272727273,0.4423076923076923,0.5434782608695652,0.7272727272727273,0.01020408163265306,0.1134020618556701,0.2413793103448276,14.386792452830187,0.5,0.17204301075268819,0.1152542372881356,0.13580246913580246,0.1638888888888889,0.11764705882352941,0.1016949152542373,0.0728476821192053,0.21839080459770116,0.18110236220472442,0.140625,0.11764705882352941,0.29591836734693877,0.5517241379310345,0.7272727272727273,0.09183673469387756,0.3333333333333333,0.5,1.0,0.6020408163265306,0.3898305084745763,0.39655172413793105,,,,,0.01020408163265306,,,,0.6842105263157895,0.6153846153846154,,,0.45454545454545453,,,,0.30612244897959184,,0.44568163265306115,0.4962125,0.47309090909090906,0.07692307692307693,0.07766990291262135,0.2717391304347826,0.17391304347826086,11.588659793814434,26.5,0.1893732970027248,4.0,5.0,10.0,1.0,8.0,4.0,7.0,5.0,,5.0,,5.0,4.0,4.0,4.0,2.0,8.0,6.0,8.0,5.0,,3.0,0.3333333333333333,0.38095238095238093,0.041666666666666664,0.12658227848101267,0.2,0.11940298507462686,0.16666666666666666,0.09230769230769231,0.09090909090909091,0.625,0.4375,1.0,0.8,,,2.0,,,,,,,,,2.0,0.01694915254237288,0.125,3.0,,,,,True,,,,
2446,1610612748,Rasual Butler,Rasual Butler,2446,MIA,1482.0,25,-9.0,45,47,21,23,10.0,92,,,,,,,,,4.0,,1.0,,1.0,1.0,5.0,,,2.0,,4.0,1.0,6.0,,3.0,50,,,,,,1.0,,3.0,,,,,3.0,,,5.0,1.0,1.0,,1.0,1.0,,,,,3.0,,1.0,3.0,4.0,,4.0,,,,1.0,1.0,1.0,2.0,6.0,,,,,,21,1.0,,,1.0,0.16666666666666666,,0.16666666666666666,,,,0.15,,,0.15,,,0.6,0.25,,18.965517241379313,,0.15789473684210525,,0.5,0.19047619047619047,,,,,0.2857142857142857,0.5,,,,,,,,,0.4,,,0.1,,,,0.5,0.2,0.2,1.0,,,,,,0.25,0.5,,0.6,0.2,0.45111,,0.4513625,,,,,18.65,24.849999999999998,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,1.0,,0.25,,,,,,,True,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,20201.0,337,2.0,614,600,95,131,79.0,1214,32.0,53.0,2.0,6.0,8.0,12.0,27.0,10.0,34.0,1.0,2.0,1.0,,1.0,3.0,2.0,,,54.0,114.0,2.0,5.0,39.0,153.0,595,6.0,12.0,3.0,19.0,8.0,20.0,,,11.0,27.0,24.0,84.0,6.0,,4.0,2.0,1.0,7.0,37.0,10.0,47.0,8.0,10.0,4.0,23.0,104.0,6.0,3.0,16.0,19.0,8.0,27.0,16.0,4.0,6.0,20.0,1.0,36.0,13.0,33.0,48.0,,19.0,6.0,27.0,95,2.0,0.2222222222222222,0.23076923076923078,1.0,0.4,,0.5,0.47368421052631576,0.5,0.4,0.4789915966386555,0.6,0.4,0.5387323943661971,0.59375,0.5,0.04201680672268908,0.06140350877192982,0.09433962264150944,25.24822695035461,0.4444444444444444,0.06986899563318777,0.02390438247011952,0.043478260869565216,0.06375838926174497,0.02287581699346405,0.038461538461538464,0.015151515151515152,0.05555555555555555,0.09278350515463918,0.037037037037037035,0.06666666666666667,0.44537815126050423,0.6037735849056604,0.6666666666666666,0.226890756302521,0.4444444444444444,0.46153846153846156,0.08333333333333333,0.2857142857142857,0.29411764705882354,0.30303030303030304,0.01680672268907563,0.5,0.5,1.0,0.025210084033613446,0.3333333333333333,0.3333333333333333,1.0,0.4,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.4,,,,0.48739495798319327,0.5,0.49415677966101695,0.49091153846153845,0.44559,0.13970588235294118,0.1450381679389313,0.12418300653594772,0.17647058823529413,7.8394736842105255,28.860000000000003,0.15472312703583063,6.0,1.0,1.0,1.0,,2.0,14.0,8.0,2.0,10.0,4.0,1.0,5.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,,,0.037037037037037035,,0.05263157894736842,0.01818181818181818,0.029850746268656716,0.02127659574468085,,0.05,0.03636363636363636,0.5,0.25,0.3,0.75,1.0,2.0,6.0,,,,,0.6666666666666666,1.0,1.0,2.0,,0.029411764705882353,0.5,,1.0,1.0,0.5,1.0,True,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,3066.0,51,3.0,90,90,28,44,19.0,180,,2.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,5.0,,,5.0,9.0,83,,1.0,,4.0,1.0,1.0,,,2.0,4.0,2.0,2.0,,,,,,1.0,,,,,,,,,3.0,,7.0,8.0,5.0,13.0,,,,,,,,2.0,10.0,,4.0,1.0,4.0,28,1.0,0.5,0.5,,,,,0.4,,1.0,0.4,,1.0,0.45,0.5,0.6666666666666666,,0.2,0.5,8.928571428571427,,0.17073170731707318,0.07692307692307693,,0.14,0.09615384615384616,,0.08,0.18181818181818182,0.1,,,0.4,,,0.2,1.0,1.0,,0.4,0.5,0.5,,,,,,,,,1.0,,,,,,,,0.4,,0.44726,,0.3709,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.540000000000001,,0.3111111111111111,,4.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,0.2,,0.15384615384615385,0.1,0.16666666666666666,,0.3,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,
1917,1610612748,Wang Zhi-zhi,Wang Zhi-zhi,1917,MIA,230.0,4,3.0,7,6,7,6,1.0,13,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,7,1.0,,,,,,,,,,,,,,,,,,,12.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2124,1610612748,Malik Allen,Malik Allen,2124,MIA,2264.0,38,-18.0,68,68,2,25,9.0,136,2.0,6.0,2.0,5.0,,3.0,6.0,2.0,5.0,,,,,,,,,,7.0,17.0,,,1.0,15.0,78,3.0,6.0,,6.0,,,,,,,8.0,6.0,,,6.0,,,2.0,,,,,,,,,4.0,1.0,4.0,6.0,6.0,12.0,2.0,,,,,2.0,3.0,7.0,2.0,,1.0,,,2,1.0,0.5714285714285714,1.0,,,,,0.4117647058823529,0.5,,0.4117647058823529,0.5,,0.4166666666666667,0.5,,,0.11764705882352941,0.16666666666666666,25.31645569620253,1.0,0.18181818181818182,0.15384615384615385,0.14285714285714285,0.1724137931034483,0.18181818181818182,0.125,0.09090909090909091,0.16666666666666666,0.3333333333333333,,1.0,0.35294117647058826,0.3333333333333333,0.4,0.35294117647058826,0.5,0.6,0.6666666666666666,0.29411764705882354,0.4,0.4,,,,,,,,,0.8333333333333334,0.4,,,,,,,0.35294117647058826,,0.44553529411764703,0.54815,,0.05555555555555555,0.05555555555555555,0.4,,7.964705882352941,,0.029411764705882353,,,2.0,,1.0,1.0,,,,2.0,,,,,,,2.0,,2.0,1.0,,,0.16666666666666666,0.25,,0.2857142857142857,0.2857142857142857,0.3333333333333333,,,0.125,0.5,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,True,,,,
