EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,FtPoints,PenaltyFG3M,PenaltyFtPoints,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsPutbacks,FTDefRebounds,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LostBallOutOfBoundsTurnovers,3SecondViolations,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,ShortMidRangePctAssisted,PenaltyArc3FGM,PtsUnassisted3s,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct,on,SecondChanceCorner3FGA,HeaveAttempts,SecondChanceCorner3Frequency,DefensiveGoaltends,BlockedLongMidRange
120,1610612740,Steven Smith,Steven Smith,120,NOH,1463.0,24.0,-5.0,44,42,9,8,9.0,86,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,4.0,11.0,4.0,6.0,20.0,36,1.0,3.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,4.0,4.0,12.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,9,0.5,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.36363636363636365,0.3333333333333333,0.25,0.5882352941176471,0.5,0.16666666666666666,0.5882352941176471,0.5,0.16666666666666666,0.35294117647058826,35.18518518518518,0.5,0.15384615384615385,0.07692307692307693,0.2,0.16666666666666666,0.06060606060606061,0.1111111111111111,0.07142857142857142,0.3333333333333333,0.14285714285714285,0.2,0.1111111111111111,0.17647058823529413,1.0,1.0,0.6666666666666666,0.29411764705882354,0.2,0.2,0.17647058823529413,0.058823529411764705,0.29411764705882354,0.8,0.8,1.0,0.2,1.0,1.0,0.4,0.5,1.0,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.5294117647058824,0.8,0.4533058823529412,0.4122333333333333,0.41578333333333334,0.25,0.1,9.454545454545455,24.150000000000002,0.20454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,11872.0,198.0,-11.0,361,360,100,61,61.0,721,2.0,4.0,,1.0,,,,,29.0,7.0,3.0,9.0,21.0,3.0,6.0,3.0,10.0,33.0,11.0,28.0,60.0,339,,4.0,3.0,6.0,9.0,3.0,7.0,6.0,14.0,18.0,2.0,33.0,21.0,9.0,12.0,15.0,5.0,33.0,,2.0,7.0,9.0,1.0,10.0,,10.0,,8.0,5.0,15.0,9.0,17.0,1.0,11.0,3.0,14.0,100,0.9,0.9,1.0,0.39285714285714285,0.5,0.39285714285714285,0.30303030303030304,,0.42857142857142855,0.4344262295081967,0.45,0.34615384615384615,0.45384615384615384,0.45,0.4375,0.45901639344262296,18.51851851851852,0.6666666666666666,0.05185185185185185,,0.05128205128205128,0.05172413793103448,0.0049504950495049506,,,0.023255813953488372,0.07462686567164178,0.0625,,0.06557377049180328,0.5,0.6666666666666666,1.0,,,,0.47540983606557374,0.11475409836065574,0.3442622950819672,0.42857142857142855,0.42857142857142855,1.0,0.1,,,0.6,0.5,1.0,,,0.23076923076923078,0.23076923076923078,0.5245901639344263,0.42857142857142855,0.49811311475409825,0.50235,0.47693461538461535,0.15,0.23333333333333334,17.95151515151515,24.33214285714286,0.2770083102493075,8.0,2.0,1.0,7.0,1.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,0.16666666666666666,0.03571428571428571,0.06060606060606061,0.25,0.034482758620689655,0.14285714285714285,0.018867924528301886,0.023809523809523808,0.04,0.27586206896551724,0.2857142857142857,0.875,0.2857142857142857,0.3333333333333333,1.0,0.3333333333333333,0.031746031746031744,0.05714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,10921.0,182.0,-16.0,332,332,76,50,62.0,664,9.0,13.0,5.0,6.0,1.0,2.0,1.0,6.0,38.0,,,,,,,,21.0,57.0,,,50.0,324,6.0,9.0,,,14.0,4.0,14.0,,10.0,28.0,14.0,,,,4.0,10.0,2.0,26.0,15.0,3.0,23.0,28.0,22.0,50.0,3.0,5.0,2.0,3.0,4.0,9.0,7.0,11.0,,9.0,,10.0,76,0.6666666666666666,0.875,,,,,0.3684210526315789,0.6666666666666666,0.2857142857142857,0.3684210526315789,0.6666666666666666,0.2857142857142857,0.4098360655737705,0.7,0.3333333333333333,,17.3697270471464,0.5555555555555556,0.17557251908396945,0.1048951048951049,0.10344827586206896,0.1625,0.1134020618556701,0.06451612903225806,0.06578947368421052,0.0425531914893617,0.21311475409836064,0.08333333333333333,0.08823529411764706,0.22807017543859648,0.6923076923076923,0.6923076923076923,0.3333333333333333,0.10526315789473684,0.16666666666666666,0.16666666666666666,0.6666666666666666,,,,,,0.6666666666666666,0.8333333333333334,,,,,0.14285714285714285,0.5,,,0.22807017543859648,,0.4371333333333334,0.5060888888888889,0.41038571428571424,0.28,0.2,11.814035087719299,,0.2289156626506024,11.0,,,8.0,,2.0,1.0,,6.0,6.0,,2.0,,7.0,3.0,2.0,1.0,2.0,,2.0,2.0,2.0,4.0,1.0,,,,0.017543859649122806,,0.02631578947368421,,0.13725490196078433,0.12195121951219512,0.34782608695652173,0.2894736842105263,0.2972972972972973,1.0,,,,,0.06666666666666667,0.06666666666666667,2.0,10.0,2.0,1.0,8.0,5.0,3.0,8.0,5.0,0.25,0.2222222222222222,0.2,0.2,0.625,,,,,,,,,,,,,,,True,,,,,
1742,1610612740,Shammond Williams,Shammond Williams,1742,NOH,368.0,6.0,-1.0,10,8,4,1,3.0,18,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,9,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,4,,,,,,,,,,,,,0.25,0.5,0.5,,15.384615384615383,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.3088,,,1.0,1.0,11.9,,0.4,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,14472.0,241.0,-14.0,440,439,109,73,69.0,879,19.0,35.0,7.0,11.0,4.0,10.0,6.0,22.0,9.0,,,,1.0,,,1.0,28.0,66.0,,1.0,77.0,418,8.0,15.0,,,25.0,5.0,16.0,1.0,20.0,38.0,18.0,,1.0,,4.0,5.0,3.0,11.0,12.0,14.0,27.0,48.0,16.0,64.0,3.0,4.0,,1.0,7.0,11.0,10.0,22.0,3.0,28.0,,20.0,109,0.6785714285714286,0.7916666666666666,,,,,0.42424242424242425,0.5333333333333333,0.3125,0.417910447761194,0.5333333333333333,0.29411764705882354,0.48125,0.625,0.4166666666666667,0.014925373134328358,17.374517374517374,0.36363636363636365,0.15789473684210525,0.06857142857142857,0.2978723404255319,0.18807339449541285,0.06722689075630252,0.06976744186046512,0.022988505747126436,0.16071428571428573,0.1744186046511628,0.3076923076923077,0.0967741935483871,0.5223880597014925,0.5428571428571428,0.6551724137931034,0.5789473684210527,0.3283582089552239,0.2727272727272727,0.2857142857142857,0.13432835820895522,,0.014925373134328358,,,,0.7333333333333333,0.6363636363636364,0.42857142857142855,,,,0.5882352941176471,0.4,,0.058823529411764705,0.5373134328358209,,0.4790791044776119,0.5253333333333333,0.4976588235294117,0.3246753246753247,0.2597402597402597,4.831818181818181,24.9,0.24772727272727274,3.0,,,21.0,,10.0,7.0,,1.0,,1.0,1.0,,4.0,3.0,2.0,1.0,3.0,1.0,2.0,,2.0,9.0,6.0,3.0,,,0.10606060606060606,0.17142857142857143,,,0.06349206349206349,0.06,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,,,,,0.12162162162162163,0.1232876712328767,9.0,8.0,7.0,2.0,7.0,5.0,2.0,7.0,3.0,0.5,0.15555555555555556,0.07692307692307693,0.25,0.42857142857142855,1.0,2.0,1.0,0.045454545454545456,0.8333333333333334,,,,,,,,,,True,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,11776.0,196.0,-1.0,362,358,77,50,57.0,720,11.0,23.0,1.0,2.0,3.0,5.0,,4.0,21.0,4.0,1.0,12.0,32.0,2.0,2.0,6.0,19.0,48.0,13.0,36.0,98.0,346,3.0,4.0,2.0,2.0,12.0,3.0,9.0,7.0,21.0,12.0,26.0,24.0,32.0,12.0,29.0,38.0,21.0,85.0,2.0,4.0,13.0,17.0,4.0,21.0,1.0,6.0,4.0,1.0,8.0,14.0,1.0,15.0,,27.0,,21.0,77,0.3157894736842105,0.3333333333333333,0.6153846153846154,0.3611111111111111,1.0,0.3611111111111111,0.3958333333333333,0.75,0.3333333333333333,0.4583333333333333,1.0,0.46875,0.5104166666666666,1.0,0.525,0.42857142857142855,25.700934579439252,0.42857142857142855,0.0896551724137931,0.014184397163120567,0.11428571428571428,0.09444444444444444,0.020202020202020204,0.029411764705882353,0.014925373134328358,0.057692307692307696,0.09722222222222222,0.14285714285714285,0.020833333333333332,0.27380952380952384,0.4782608695652174,0.5238095238095238,0.2727272727272727,0.047619047619047616,,,0.25,0.047619047619047616,0.38095238095238093,0.375,0.375,0.5833333333333334,0.3333333333333333,0.5,,0.3333333333333333,1.0,1.0,0.3125,0.6,0.0625,0.375,0.7023809523809523,0.375,0.5253095238095238,0.43888750000000004,0.5594218750000002,0.12244897959183673,0.21428571428571427,8.433333333333334,24.391666666666666,0.212707182320442,8.0,1.0,,21.0,3.0,6.0,4.0,,9.0,8.0,1.0,7.0,1.0,2.0,9.0,4.0,5.0,5.0,,3.0,2.0,3.0,10.0,3.0,4.0,0.42857142857142855,,0.08333333333333333,0.08695652173913043,0.09523809523809523,,0.03508771929824561,0.044444444444444446,0.14285714285714285,0.38095238095238093,0.42105263157894735,0.375,0.25,0.25,1.0,,0.11827956989247312,0.17857142857142858,,2.0,,2.0,3.0,3.0,,3.0,,,,,,,,,,,,3.0,15.0,1.0,0.5,0.02702702702702703,,,,,True,,,,,
353,1610612740,Darrell Armstrong,Darrell Armstrong,353,NOH,5301.0,88.0,-20.0,159,162,43,39,21.0,321,,1.0,,,,,,,4.0,2.0,,1.0,12.0,,4.0,3.0,2.0,5.0,2.0,14.0,13.0,156,,1.0,,4.0,,1.0,3.0,3.0,4.0,2.0,2.0,3.0,12.0,1.0,6.0,9.0,4.0,21.0,2.0,1.0,2.0,4.0,5.0,9.0,1.0,4.0,,1.0,2.0,6.0,1.0,6.0,,3.0,1.0,4.0,43,0.5,0.5,0.5,0.14285714285714285,,0.14285714285714285,0.4,,0.3333333333333333,0.2631578947368421,,0.16666666666666666,0.3,,0.2857142857142857,0.7368421052631579,14.207650273224044,0.6666666666666666,0.031746031746031744,0.034482758620689655,0.05263157894736842,0.036585365853658534,0.05952380952380952,,0.07407407407407407,0.047619047619047616,0.03125,0.0625,0.07142857142857142,0.05263157894736842,,,,,,,0.21052631578947367,0.10526315789473684,0.631578947368421,0.08333333333333333,0.09090909090909091,1.0,,,,0.8,,,,,,0.5,0.7894736842105263,0.08333333333333333,0.5243605263157896,0.5206500000000001,0.4805333333333334,,0.3076923076923077,14.260000000000002,24.37857142857143,0.27044025157232704,2.0,1.0,,3.0,,2.0,,1.0,3.0,3.0,,2.0,,3.0,3.0,1.0,2.0,3.0,,,1.0,1.0,,1.0,2.0,,0.07142857142857142,,,,,0.11538461538461539,0.13636363636363635,,0.5,0.5,0.5,0.5,0.5,,,,,,,1.0,,,,,,,0.14285714285714285,,,,,,,,,,,3.0,,,,0.08333333333333333,,,,True,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,23.0,,-2.0,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2561,1610612740,David West,David West,2561,NOH,3009.0,50.0,9.0,93,93,27,17,5.0,186,2.0,3.0,,,1.0,1.0,1.0,4.0,2.0,,,,,,,,4.0,9.0,,,10.0,75,,,,,,1.0,3.0,,2.0,4.0,4.0,,,,5.0,7.0,1.0,16.0,,2.0,8.0,10.0,,10.0,,1.0,,,2.0,3.0,,,,2.0,,2.0,27,0.5,0.5,,,,,0.4444444444444444,,0.3333333333333333,0.4444444444444444,,0.3333333333333333,0.5,,0.3333333333333333,,13.402061855670103,0.3333333333333333,0.24242424242424243,,0.125,0.20408163265306123,,,,0.125,0.25,0.14285714285714285,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.4444444444444444,0.25,0.25,0.2222222222222222,,,,,,,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,,0.44218888888888885,,0.42113333333333336,,0.2,7.577777777777778,,0.2903225806451613,1.0,,,2.0,,,,,2.0,1.0,1.0,3.0,1.0,,,,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,0.4,0.5,0.5,1.0,,,,,0.1,0.1,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,True,,,,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,5764.0,96.0,-13.0,173,173,67,41,23.0,346,2.0,5.0,,,,2.0,6.0,11.0,8.0,,,,1.0,,,1.0,9.0,24.0,,1.0,28.0,176,1.0,2.0,,,2.0,2.0,6.0,1.0,10.0,10.0,8.0,,1.0,,3.0,4.0,,9.0,1.0,2.0,7.0,11.0,1.0,12.0,1.0,5.0,2.0,3.0,4.0,9.0,4.0,9.0,1.0,12.0,,10.0,67,0.5555555555555556,0.5555555555555556,,,,,0.375,0.5,0.3333333333333333,0.36,0.5,0.2857142857142857,0.45161290322580644,0.5,0.45454545454545453,0.04,20.2020202020202,0.5555555555555556,0.10144927536231885,0.015625,0.08695652173913043,0.09782608695652174,0.011494252873563218,,0.034482758620689655,0.08,0.16129032258064516,0.09523809523809523,0.06666666666666667,0.2,0.4,0.4,1.0,0.44,0.5454545454545454,0.5454545454545454,0.32,,0.04,,,,,,,,,,0.2857142857142857,,,0.14285714285714285,0.24,,0.4267458333333333,0.34115,0.4103833333333334,0.07142857142857142,0.35714285714285715,10.279166666666667,35.0,0.3872832369942196,1.0,,,10.0,,6.0,,,1.0,1.0,,2.0,1.0,,6.0,3.0,3.0,2.0,1.0,,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,0.125,0.125,1.0,,,,,0.10714285714285714,0.1111111111111111,,,2.0,,1.0,,1.0,1.0,,0.2,,,,,,,,,0.3333333333333333,,,,,,,,,,True,,,,,
