EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,FtPoints,Points,OpponentPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FTA,TwoPtShootingFoulsDrawn,TsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyFG2M,DefThreePtRebounds,PenaltyFg2Pct,PenaltyEfgPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Fg2aBlocked,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,BlocksRecoveredPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,on,SecondChanceFtPoints,ShortMidRangeAssists,SelfOReb,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,3SecondViolations,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,PenaltyFg3Pct,LongMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,HeaveAttempts,Travels,Corner3PctBlocked,FTOffRebounds,ThreePtShootingFoulsDrawn,DefensiveGoaltends,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,Blocked3s,BlockedCorner3
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,555.0,9,-7.0,15,16,3,31,1.0,1.0,11,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,5.2631578947368425,0.1111111111111111,0.08333333333333333,0.1,0.06666666666666667,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,1327.0,22,-2.0,39,40,4,79,1.0,8.0,41,1.0,4.0,4.0,1.0,5.0,2.0,1.0,0.5,18.6046511627907,0.2222222222222222,0.06666666666666667,0.2,0.05,,,0.125,0.16666666666666666,5.0,14.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,5.0,0.5,0.5,1.0,0.5,1.0,0.5,0.4,0.5,1.5,1.5,0.2857142857142857,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.14285714285714285,1.0,1.0,0.5714285714285714,0.25,0.25,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,0.42857142857142855,0.5,0.45991428571428566,0.3586,0.375,15.6,24.799999999999997,0.1282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,1692.0,28,-5.0,50,51,5,101,3.0,7.0,49,1.0,3.0,4.0,2.0,6.0,4.0,1.0,0.4375,16.07142857142857,0.13636363636363635,0.043478260869565216,0.125,0.06896551724137931,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,6.0,17.0,2.0,3.0,,3.0,,,,,2.0,6.0,,,,,2.0,,2.0,2.0,,,,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,,,1.0,3.0,6.0,0.5,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,0.16666666666666666,0.08333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,0.5,,0.43196666666666667,,0.2857142857142857,9.666666666666666,,0.12,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.16666666666666666,0.25,0.5,1.0,1.0,0.5806,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1610612758,Rodney Buford,Rodney Buford,1934,SAC,1836.0,31,-8.0,56,57,6,113,1.0,12.0,55,,2.0,5.0,,5.0,2.0,,0.46153846153846156,20.634920634920636,0.08695652173913043,,0.16,,,,,,12.0,23.0,1.0,2.0,2.0,5.0,,,,,4.0,9.0,1.0,3.0,,,2.0,1.0,6.0,2.0,3.0,,,3.0,,3.0,,,2.0,1.0,6.0,2.0,2.0,2.0,2.0,12.0,0.75,0.75,1.0,0.3333333333333333,,0.3333333333333333,0.4444444444444444,0.4583333333333333,1.0,1.0,0.25,,,0.15384615384615385,0.16666666666666666,0.5,0.5,0.4166666666666667,0.4,0.4,1.0,,,,,,,,0.4166666666666667,,0.4484708333333333,0.3393,0.16666666666666666,12.822222222222223,23.099999999999998,0.21428571428571427,,,1.0,1.0,1.0,3.0,,,1.0,,,,,1.0,3.0,,1.0,0.75,,0.25,,,1.0,,,0.3904,0.25,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1610612758,Doug Christie,Doug Christie,57,SAC,812.0,14,-11.0,25,27,2,52,,,32,,2.0,2.0,,2.0,,,,17.857142857142854,0.25,,0.25,,,1.0,,,2.0,7.0,,2.0,,1.0,,,,,,4.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,3.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,0.3333333333333333,,0.5,,,0.25,,,,,,,,,,,0.5,,0.503725,,,5.775,,0.08,,1.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,0.6034,,,1.0,,,,,,,,,0.25,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,1529.0,25,-2.0,46,45,5,91,1.0,9.0,42,2.0,6.0,6.0,2.0,8.0,1.0,,0.3076923076923077,26.923076923076923,0.3,0.1,0.2727272727272727,0.07692307692307693,0.14285714285714285,0.25,,,7.0,15.0,1.0,4.0,,3.0,2.0,3.0,,,1.0,8.0,2.0,5.0,,,,1.0,2.0,,6.0,3.0,2.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.4,,0.4,0.125,0.3076923076923077,,,0.38461538461538464,0.09090909090909091,,0.4166666666666667,0.3076923076923077,0.25,0.3333333333333333,0.23076923076923078,,,,0.23076923076923078,0.6666666666666666,1.0,1.0,,,,0.6923076923076923,0.6666666666666666,0.511273076923077,0.577775,,8.3375,24.040000000000003,0.15217391304347827,,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,,2.0,,,0.5,1.0,,,,1.0,1.0,,0.5744,0.2222222222222222,,1.0,,2.0,1.0,,1.0,0.5,,,0.07692307692307693,,,0.15384615384615385,,,,1.0,,,,,,0.125,0.25,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.5,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1610612758,Chris Webber,Chris Webber,185,SAC,856.0,14,7.0,27,27,1,54,,10.0,21,,,2.0,,2.0,2.0,1.0,0.8333333333333334,21.428571428571427,,,,,,,0.16666666666666666,0.16666666666666666,6.0,17.0,2.0,2.0,3.0,3.0,,,,,5.0,5.0,,,,,,1.0,8.0,2.0,,,,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,6.0,0.8,0.8,,,,,1.0,1.0,,,,,,,0.4,1.0,1.0,0.6,1.0,1.0,1.0,,,,,,,,0.4,,0.44212000000000007,0.4819,,12.2,,0.2222222222222222,,,,,,2.0,,,2.0,,,,,,2.0,,,1.0,,0.5,,,0.5,,,,0.2,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1610612758,Anthony Peeler,Anthony Peeler,324,SAC,147.0,2,-3.0,6,6,1,12,,,6,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,1610612758,Darius Songaila,Darius Songaila,2443,SAC,144.0,2,-3.0,6,6,1,12,,,6,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,1610612758,Jabari Smith,Jabari Smith,2074,SAC,141.0,2,-3.0,5,5,1,10,,,6,1.0,,,1.0,1.0,,,,16.666666666666668,,0.3333333333333333,,0.3333333333333333,,,,,5.0,5.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,0.404,0.404,,16.1,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
