EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG3A,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FG3APct,LiveBallTurnoverPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,DefTwoPtRebounds,DefRebounds,BadPassTurnovers,Blocked3s,BlockedArc3,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,SelfOReb,DeadBallTurnovers,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,LongMidRangeFGM,ShootingFouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceFtPoints,PtsPutbacks,Fg3aBlocked,BadPassSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceArc3FGM,PtsUnassisted3s,Arc3Assists,DefAtRimReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTDefRebounds,DefFTReboundPct,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyFG3M,BlockedAtRim,PenaltyFg3Pct,AtRimPctBlocked,DefCorner3ReboundPct,PenaltyCorner3Accuracy,LongMidRangeAssists,on,OffArc3ReboundPct,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,OffensiveGoaltends,FTOffRebounds,Transition Take Fouls Drawn,Technical Free Throw Trips,Arc3PctBlocked,OffFTReboundPct,PenaltyArc3FGM,PenaltyArc3Accuracy,BlockedLongMidRange,StepOutOfBoundsTurnovers,Charge Fouls,BlockedCorner3
1628371,1610612753,Jonathan Isaac,Jonathan Isaac,1628371,ORL,956.0,16,-12,26,29,8,13.0,7.0,55,1.0,2.0,1.0,2.0,1.0,2.0,2.0,35,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,5.405405405405405,0.09090909090909091,0.2,0.14285714285714285,0.25,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.55145,0.55145,0.5,0.5,1.0,1.5,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1630175,1610612753,Cole Anthony,Cole Anthony,1630175,ORL,487.0,8,-10,18,15,9,6.0,1.0,33,,,,,,,1.0,23,,,,,,,,,,,,3.0,2.0,,1.0,9,,,,,,,,0.16666666666666666,,20.0,,,,,,,,,,,,,1.0,0.4863,,0.3333333333333333,1.0,,,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1630532,1610612753,Franz Wagner,Franz Wagner,1630532,ORL,689.0,11,-3,24,24,14,15.0,3.0,48,2.0,2.0,1.0,1.0,4.0,5.0,10.0,32,1.0,1.0,2.0,,,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,14,,,,0.8,1.0,0.5714285714285714,1.0,0.625,1.0,35.71428571428571,0.2,,0.09090909090909091,1.0,,0.2857142857142857,1.0,1.0,,1.0,1.0,,0.5714285714285714,0.5424285714285714,0.7791,0.125,0.16666666666666666,0.2,4.880000000000001,0.5833333333333334,2.0,1.0,2.0,2.0,1.0,,2.0,3.0,4.0,2.0,9.0,2.0,1.0,2.0,1.0,0.2857142857142857,1.0,0.2857142857142857,0.3333333333333333,26.45,1.0,1.0,2.0,3.0,2.0,2.0,2.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.6666666666666666,0.75,1.0,0.16666666666666666,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5437666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1631216,1610612753,Caleb Houstan,Caleb Houstan,1631216,ORL,2835.0,47,-29,90,90,26,30.0,11.0,180,,2.0,,2.0,,4.0,6.0,125,,2.0,3.0,,1.0,1.0,2.0,4.0,,,3.0,,,,,26,1.0,,,,,0.21428571428571427,0.375,0.21428571428571427,0.375,14.953271028037383,0.041666666666666664,0.043478260869565216,0.0425531914893617,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,0.5,,,0.8571428571428571,0.5299576923076923,0.4409,,,0.5,8.975,0.28888888888888886,7.0,5.0,10.0,,6.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,0.7142857142857143,0.5,0.5,0.8333333333333334,27.26,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,0.041666666666666664,0.04878048780487805,,0.07142857142857142,,,,,0.5309099999999999,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.2222222222222222,0.25,1.0,0.058823529411764705,0.25,0.06666666666666667,0.1,1.0,0.07142857142857142,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285,1.0,0.25,1.0,1.0,0.25,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
203914,1610612753,Gary Harris,Gary Harris,203914,ORL,1036.0,17,-28,32,32,13,15.0,7.0,64,,,,,1.0,1.0,2.0,52,,,,2.0,,,,2.0,,,2.0,,,,,13,1.0,1.0,1.0,1.0,,0.3333333333333333,,0.3333333333333333,,6.976744186046512,,,,,,,,,,,,,0.6666666666666666,0.5299666666666667,0.58485,,,,15.2,0.40625,,,2.0,,1.0,,,,,,,,,,,0.6666666666666666,,,,23.85,,,,,,,,,,,,,1.0,2.0,,,,,,,,,0.25,0.2222222222222222,0.3333333333333333,,,,,,0.57345,,1.0,,2.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,0.2,,0.2,,,0.3333333333333333,0.6666666666666666,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1641710,1610612753,Anthony Black,Anthony Black,1641710,ORL,1657.0,28,-23,51,51,18,19.0,7.0,102,4.0,4.0,1.0,1.0,6.0,9.0,14.0,69,1.0,2.0,4.0,6.0,1.0,3.0,4.0,7.0,1.0,,1.0,3.0,2.0,,,18,,0.5,0.6,0.6666666666666666,0.5,0.5454545454545454,0.5,0.5833333333333334,0.6666666666666666,20.634920634920636,0.21428571428571427,0.0625,0.13333333333333333,,0.2,0.36363636363636365,1.0,1.0,0.5,0.5,1.0,,0.5454545454545454,0.4921136363636363,0.4131,,,0.2857142857142857,7.166666666666667,0.35294117647058826,1.0,,2.0,2.0,,,1.0,,,,,,,1.0,1.0,0.18181818181818182,,0.09090909090909091,,24.65,,,1.0,4.0,1.0,1.0,2.0,4.0,6.0,,,,1.0,3.0,,,,,4.0,1.0,1.0,1.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.36363636363636365,0.25,0.25,,,0.4106,0.2857142857142857,1.0,,1.0,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,0.2857142857142857,,0.2857142857142857,0.5,,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.4,0.2,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1631094,1610612753,Paolo Banchero,Paolo Banchero,1631094,ORL,1953.0,33,-15,60,62,12,19.0,9.0,122,2.0,3.0,,,10.0,21.0,40.0,86,,1.0,3.0,4.0,,1.0,1.0,5.0,,,1.0,7.0,9.0,1.0,5.0,12,,0.2,0.2,0.47619047619047616,,0.5833333333333334,0.5,0.5882352941176471,0.5,49.31506849315068,0.05,,0.030303030303030304,,,0.1,0.6666666666666666,0.6666666666666666,1.0,,,,0.4,0.47515666666666667,0.465325,0.14705882352941177,0.2,0.075,11.685714285714287,0.2,9.0,,9.0,5.0,,,9.0,1.0,4.0,1.0,11.0,2.0,1.0,2.0,,0.3,1.0,0.3,,25.98888888888889,1.0,1.0,5.0,10.0,2.0,3.0,2.0,6.0,16.0,3.0,1.0,,3.0,4.0,1.0,,,,6.0,0.6666666666666666,0.6666666666666666,0.75,0.15789473684210525,0.12903225806451613,0.18181818181818182,0.3333333333333333,0.5,0.5555555555555556,0.3333333333333333,1.0,0.4832666666666667,0.15,8.0,,,,,,5.0,2.0,5.0,1.0,2.0,9.0,5.0,1.0,1.0,,,,,,,0.6,0.5555555555555556,0.5,0.5555555555555556,0.047619047619047616,0.1,0.08333333333333333,,0.09090909090909091,,,0.26666666666666666,,,,,0.5555555555555556,0.5555555555555556,0.6,,,,0.6666666666666666,,0.5555555555555556,3.0,,0.375,0.375,,,,,,,,,,,,,0.125,,,1.0,6.0,2.0,0.2,0.5,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
203484,1610612753,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,ORL,1496.0,25,-2,46,48,8,14.0,4.0,94,,,,,,,3.0,63,,,,,,,,3.0,,,1.0,1.0,,,,8,,,,,,0.5,,0.5,,5.769230769230769,,,,,,,,,,,,,1.0,0.55385,,,,,,0.17391304347826086,1.0,,3.0,,,,1.0,,1.0,,3.0,,,,,1.0,,0.3333333333333333,,24.166666666666668,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,0.07407407407407407,,,,,,,,,,1.0,2.0,,,,,,1.0,,,3.0,,,2.0,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.18181818181818182,,0.2222222222222222,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,
202709,1610612753,Cory Joseph,Cory Joseph,202709,ORL,901.0,15,-4,29,29,1,2.0,2.0,58,,,,,1.0,2.0,2.0,40,,,,2.0,,,,1.0,,,1.0,,,,,1,,1.0,1.0,0.5,,0.3333333333333333,,0.3333333333333333,,12.5,,,,,,,,,,,,,0.3333333333333333,0.4708833333333333,,,,,16.6,0.034482758620689655,,,1.0,,,,,1.0,4.0,1.0,11.0,1.0,1.0,1.0,,0.3333333333333333,1.0,,,24.8,,,1.0,1.0,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,0.1,0.05263157894736842,,0.3333333333333333,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,
1628976,1610612753,Wendell Carter Jr.,Wendell Carter Jr.,1628976,ORL,1362.0,23,-23,46,46,11,15.0,3.0,92,2.0,5.0,,2.0,2.0,5.0,10.0,74,,2.0,,4.0,,2.0,2.0,8.0,,,2.0,,,,,11,,1.0,1.0,0.4,,0.625,,0.625,,16.0,0.16666666666666666,,0.1,0.3333333333333333,,0.625,0.4,0.6666666666666666,1.0,1.0,,,1.0,0.6055125,0.55075,,,,1.8,0.2391304347826087,2.0,1.0,3.0,,2.0,,2.0,2.0,2.0,1.0,4.0,,,,,0.375,,0.25,0.5,25.933333333333334,,,,,,,,3.0,,,,1.0,3.0,6.0,,,,1.0,3.0,,0.75,0.75,0.3,0.25,0.3333333333333333,,,,,,0.5319,0.3,,1.0,1.0,,,1.0,1.0,,2.0,,,6.0,1.0,2.0,2.0,1.0,,,1.0,,,1.0,0.6666666666666666,,0.6666666666666666,0.4,,0.2,0.5,0.125,0.5,,,0.125,1.0,1.0,1.0,0.5,0.5,1.0,,,,,0.5,0.5,,2.0,,,,,,,,,,,,,,,0.2,,,,,,,,,1.0,0.5,,1.0,1.0,1.0,0.5,0.4,0.5,1.0,,True,,,,,,,,,,,,,,,,
