EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,HeaveMakes,HeaveAttempts,LostBallSteals,DeadBallTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,FoulsDrawn,BlockedAtRim,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,FtPoints,Fg2aBlocked,Corner3Assists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,LongMidRangePctBlocked,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,OffThreePtRebounds,NonShootingFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsPutbacks,FTDefRebounds,OffensiveGoaltends,AtRimPctBlocked,DefFTReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyFtPoints,FTOffRebounds,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,ShortMidRangePctAssisted,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,ShortMidRangeAssists,OffLongMidRangeReboundPct,on,Charge Fouls Drawn,SecondChanceFtPoints,BlockedLongMidRange,Fg3aBlocked,Charge Fouls,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked
1628379,1610612763,Luke Kennard,Luke Kennard,1628379,MEM,1910.0,32,-17,67,66,42,24.0,9,133,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,82,1.0,2.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,1.0,3.0,2.0,5,1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,42,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5,0.5,9.333333333333334,1.0,0.125,0.07142857142857142,0.21428571428571427,0.16666666666666666,0.03225806451612903,0.5,0.16666666666666666,0.25,0.23076923076923078,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.6,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.4837416666666667,0.51759,1.0,9.166666666666666,25.099999999999998,0.6268656716417911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1628963,1610612763,Marvin Bagley III,Marvin Bagley III,1628963,MEM,1211.0,20,-23,45,46,6,10.0,3,91,5.0,5.0,2.0,2.0,,1.0,1.0,,,5.0,5.0,1.0,1.0,13.0,60,2.0,2.0,,,4.0,,3.0,-1.0,,,,,,,,,,,1.0,1,,1,,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,1.0,1.0,4.0,6,1.0,1.0,,,1.0,1.0,1.0833333333333333,1.0,1.0833333333333333,1.0,0.16666666666666666,18.75,0.3333333333333333,0.16666666666666666,,,0.045454545454545456,,,,,,,1.0,0.8333333333333334,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.74148,0.69335,0.3076923076923077,1.6199999999999999,47.7,0.13333333333333333,1.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7648,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1629630,1610612763,Ja Morant,Ja Morant,1629630,MEM,2950.0,49,-12,103,105,30,18.0,9,208,5.0,7.0,2.0,3.0,4.0,1.0,9.0,,2.0,14.0,23.0,1.0,10.0,36.0,124,5.0,7.0,,2.0,10.0,26.0,3.0,9.0,1.0,4.0,5.0,9.0,2.0,4.0,,23.0,,3.0,,3,,3,,2.0,2.0,2.0,1.0,5.0,2.0,1.0,,1.0,,10.0,30,1.0,0.1,,0.1,0.6086956521739131,0.7142857142857143,0.4696969696969697,0.5555555555555556,0.4864864864864865,0.5,0.30303030303030304,37.16814159292036,0.4,,,0.09090909090909091,0.04918032786885246,,,,,0.07142857142857142,,,0.21212121212121213,0.7142857142857143,0.7142857142857143,0.12121212121212122,0.2727272727272727,0.1111111111111111,0.1111111111111111,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,,0.5151515151515151,0.1111111111111111,0.5261015151515152,0.5601166666666667,0.2777777777777778,8.113043478260868,26.120000000000005,0.2912621359223301,,,,,,2.0,,,,3.0,2.0,,,7.0,1.0,0.07142857142857142,0.07142857142857142,,,,,0.2,,,,,,7.0,12.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,5.0,1.0,0.043478260869565216,0.25,0.2,0.36363636363636365,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.030303030303030304,0.13513513513513514,0.18518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1630217,1610612763,Desmond Bane,Desmond Bane,1630217,MEM,3260.0,54,-23,114,112,51,27.0,14,226,4.0,4.0,2.0,2.0,3.0,1.0,7.0,1.0,5.0,5.0,10.0,2.0,11.0,21.0,133,2.0,5.0,2.0,7.0,10.0,8.0,3.0,7.0,1.0,2.0,3.0,5.0,2.0,2.0,,13.0,1.0,3.0,5.0,8,2.0,10,,2.0,,5.0,3.0,6.0,2.0,,,,,10.0,51,0.5,0.18181818181818182,0.2857142857142857,0.18181818181818182,0.5,0.4,0.38095238095238093,0.4166666666666667,0.4375,0.4166666666666667,0.5238095238095238,23.015873015873016,0.8333333333333334,0.16129032258064516,0.041666666666666664,0.10714285714285714,0.13559322033898305,0.03773584905660377,,0.25,,0.08,,,0.19047619047619047,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.14285714285714285,,0.16666666666666666,1.0,0.4166666666666667,0.2,0.7142857142857143,0.14285714285714285,0.5329404761904762,0.5310166666666667,0.47619047619047616,8.919999999999998,25.472727272727273,0.4473684210526316,1.0,1.0,1.0,2.0,5.0,2.0,,,2.0,1.0,3.0,1.0,,3.0,,0.2,0.2,0.5,0.8333333333333334,0.8333333333333334,0.14285714285714285,0.25,0.3333333333333333,1.0,1.0,0.7209000000000001,0.23809523809523808,1.0,3.0,,4.0,5.0,1.0,1.0,1.0,,2.0,,1.0,,5.0,,2.0,,0.1,,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.5,,,0.19047619047619047,0.08695652173913043,0.16666666666666666,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.034482758620689655,0.08333333333333333,0.1111111111111111,0.25,0.25,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1630583,1610612763,Santi Aldama,Santi Aldama,1630583,MEM,4891.0,82,-34,172,172,72,44.0,19,344,2.0,4.0,1.0,2.0,3.0,4.0,12.0,2.0,7.0,7.0,14.0,5.0,17.0,29.0,213,3.0,5.0,2.0,9.0,12.0,10.0,15.0,12.0,4.0,3.0,1.0,4.0,1.0,3.0,,9.0,1.0,6.0,6.0,13,2.0,15,1.0,,,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,12.0,72,1.0,0.29411764705882354,0.2222222222222222,0.29411764705882354,0.5,0.6,0.46774193548387094,0.42857142857142855,0.46774193548387094,0.42857142857142855,0.5483870967741935,17.894736842105264,0.6666666666666666,0.14285714285714285,0.02631578947368421,0.13043478260869565,0.13636363636363635,0.024691358024691357,,0.0625,0.14285714285714285,0.125,0.058823529411764705,1.0,0.12903225806451613,0.5,1.0,0.0967741935483871,0.3870967741935484,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.5,0.5,0.2857142857142857,0.6774193548387096,0.3333333333333333,0.5149112903225805,0.5202821428571428,0.41379310344827586,9.221428571428572,25.211764705882356,0.4186046511627907,1.0,1.0,2.0,2.0,7.0,4.0,,,,1.0,2.0,3.0,,,,0.2857142857142857,0.4,1.0,0.7,0.7,0.21052631578947367,0.5,0.2,1.0,,0.544,0.2413793103448276,4.0,7.0,1.0,5.0,,2.0,,,,1.0,,,1.0,,,,1.0,0.14285714285714285,,0.16666666666666666,0.22580645161290322,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.16129032258064516,,,1.0,,1.0,,2.0,1.0,3.0,,1.0,,0.3333333333333333,,0.023255813953488372,0.043478260869565216,,0.2,0.2,1.0,0.2,,,0.14285714285714285,,1.0,2.0,4.0,1.0,1.0,0.5,0.3333333333333333,0.03125,1.0,0.4,0.5,1.0,,,,,,,,,,,,True,,,,,,,,
1628991,1610612763,Jaren Jackson Jr.,Jaren Jackson Jr.,1628991,MEM,3101.0,52,-25,110,112,63,42.0,12,222,3.0,5.0,2.0,3.0,,2.0,3.0,,1.0,6.0,18.0,2.0,3.0,27.0,138,2.0,10.0,,1.0,13.0,6.0,6.0,3.0,2.0,,1.0,1.0,1.0,,,3.0,3.0,2.0,3.0,6,4.0,10,2.0,2.0,1.0,,,1.0,5.0,,,,,13.0,63,1.0,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.2,0.42857142857142855,0.18181818181818182,0.5192307692307693,0.40625,0.14285714285714285,22.31404958677686,,0.12,0.11538461538461539,0.06666666666666667,0.09090909090909091,0.05555555555555555,0.2,,,0.07692307692307693,0.2,,0.23809523809523808,0.6,0.75,,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,0.2727272727272727,0.6666666666666666,0.09090909090909091,,0.38095238095238093,0.6666666666666666,0.4921595238095238,0.5011181818181818,0.48148148148148145,6.605555555555556,25.599999999999998,0.5727272727272728,2.0,3.0,2.0,3.0,4.0,6.0,,,1.0,1.0,1.0,3.0,,10.0,,0.5,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333,1.0,0.6666666666666666,,0.6362333333333333,0.14814814814814814,3.0,13.0,,,9.0,3.0,,,,,,,,10.0,,,,0.16666666666666666,,,0.6190476190476191,0.23076923076923078,0.2727272727272727,,,,,,,,,,,,,,,5.0,,0.15384615384615385,,0.10526315789473684,,,,,,,,,,,,4.0,1.0,,0.2,0.5,,,,,,9.0,1.0,1.0,5.0,0.3333333333333333,0.6666666666666666,,,,,,True,,,,,,,,
1629723,1610612763,John Konchar,John Konchar,1629723,MEM,1721.0,29,-13,62,59,28,14.0,10,121,1.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,76,,,1.0,2.0,3.0,,3.0,3.0,1.0,1.0,,1.0,,1.0,,2.0,,,2.0,3,1.0,4,,,,,,,5.0,,,1.0,1.0,3.0,28,1.0,0.2,0.5,0.2,0.5,,0.35714285714285715,0.75,0.35714285714285715,0.75,0.7142857142857143,9.859154929577466,,0.14285714285714285,,,0.06896551724137931,0.02857142857142857,,,0.3333333333333333,,,1.0,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,0.5,1.0,0.8571428571428571,0.3333333333333333,0.5703285714285714,0.6258,0.6,5.4,24.360000000000003,0.45161290322580644,,,,1.0,,2.0,,,,,,5.0,,1.0,,1.0,1.0,,,,0.14285714285714285,1.0,,,,0.66525,,,1.0,,2.0,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,0.2857142857142857,,,,,1.0,,1.0,,1.0,,1.0,,,,0.05,,,,,,0.5,,,0.5,,,,,1.0,,,1.0,0.07692307692307693,,,,,,,,,,,1.0,1.0,1.0,,,True,,,,,,,,
1630590,1610612763,Scotty Pippen Jr.,Scotty Pippen Jr.,1630590,MEM,3026.0,50,-9,102,104,49,26.0,10,206,3.0,3.0,,,,4.0,10.0,1.0,2.0,3.0,5.0,6.0,12.0,33.0,130,,1.0,1.0,2.0,9.0,2.0,15.0,10.0,4.0,4.0,4.0,8.0,4.0,2.0,1.0,20.0,,1.0,3.0,4,,4,,3.0,1.0,3.0,1.0,5.0,7.0,1.0,1.0,1.0,1.0,9.0,49,0.8333333333333334,0.5,0.5,0.5,0.6,,0.7058823529411765,0.5,0.7857142857142857,0.75,0.7058823529411765,23.423423423423422,0.6,0.10714285714285714,,0.038461538461538464,0.07407407407407407,,,,,0.043478260869565216,,1.0,0.17647058823529413,1.0,1.0,,0.5882352941176471,0.4,0.4,0.75,,,0.6666666666666666,0.5,0.8823529411764706,0.4,0.5707382352941177,0.5045666666666667,0.2727272727272727,4.76,24.925,0.4803921568627451,,,,,,4.0,,,2.0,2.0,3.0,4.0,,8.0,,0.6666666666666666,0.6666666666666666,,,,0.23076923076923078,0.6666666666666666,,,,,,,2.0,,2.0,9.0,1.0,,,1.0,2.0,1.0,,2.0,9.0,1.0,3.0,,0.2,,,0.11764705882352941,,,,,0.11764705882352941,0.15789473684210525,0.42857142857142855,2.0,,,,,,,3.0,,2.0,,0.5,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,6.0,,,2.0,,,,,,1.0,,True,,,,,,,,
1641744,1610612763,Zach Edey,Zach Edey,1641744,MEM,1941.0,32,-10,67,66,18,9.0,7,133,4.0,4.0,1.0,1.0,1.0,,,,,5.0,5.0,,,10.0,84,1.0,1.0,,,2.0,4.0,,,,1.0,1.0,2.0,1.0,,,5.0,2.0,3.0,4.0,7,4.0,11,,,,1.0,1.0,2.0,5.0,1.0,,1.0,1.0,2.0,18,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,9.45945945945946,0.5,0.23529411764705882,0.2222222222222222,0.17647058823529413,0.20588235294117646,0.14814814814814814,,0.25,0.75,0.15384615384615385,,1.0,0.8,1.0,1.0,0.2,,,,,1.0,1.0,,,0.8,,0.67294,0.7793,0.2,4.9799999999999995,,0.26865671641791045,2.0,2.0,2.0,2.0,4.0,6.0,,,,1.0,,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,,0.5,1.0,1.0,,0.5972,0.4,,,1.0,,,,,,,,,,3.0,,,,1.0,,,0.25,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,0.1111111111111111,0.3333333333333333,0.6666666666666666,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,0.2,True,,,,,,,,
1631246,1610612763,Vince Williams Jr.,Vince Williams Jr.,1631246,MEM,444.0,7,-4,18,18,1,6.0,2,36,,,,,,,,,,,,,1.0,,25,,,,,,,,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,,1,1.0,2,,,,,,,1.0,1.0,1.0,1.0,1.0,,1,,,,,,,,,,,1.0,4.761904761904762,,,0.14285714285714285,0.2,0.125,0.09090909090909091,,,,0.2,,1.0,,,,,,,,,,,,,1.0,,0.5313,,,,22.4,0.05555555555555555,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
