EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Fouls,Charge Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Arc3Assists,OffTwoPtRebounds,OffRebounds,ShootingFouls,SecondChanceFg2Pct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LongMidRangeFGM,PenaltyArc3FGM,PtsUnassisted3s,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,Loose Ball Fouls,Blocked3s,BlockedArc3,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Fg3aBlocked,ThreePtShootingFoulsDrawn,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,Defensive 3 Seconds Violations,HeaveAttempts,Transition Take Fouls Drawn,on,DefensiveGoaltends
1627736,1610612765,Malik Beasley,Malik Beasley,1627736,DET,4018.0,67,-15.0,140,137,52,60,16,277,2.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,11.0,1.0,3.0,2.0,4.0,4.0,12.0,1.0,1.0,3.0,3.0,5.0,10.0,23.0,4.0,40.0,171,2.0,4.0,6.0,1.0,2.0,2.0,7.0,4.0,12.0,2.0,4.0,30.0,12.0,4.0,4.0,2.0,6.0,2.0,2.0,2.0,14.0,1.0,4,5,5,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,6,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,12.0,50,2.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.43478260869565216,0.5,0.2857142857142857,0.43478260869565216,0.6,0.5,0.6428571428571429,0.75,0.4444444444444444,0.6666666666666666,0.75,0.5454545454545454,0.8214285714285714,21.51898734177215,0.5,0.08695652173913043,0.043478260869565216,0.07246376811594203,0.10526315789473684,0.25,0.14285714285714285,0.10714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.03571428571428571,1.0,1.0,0.03571428571428571,0.39285714285714285,0.5454545454545454,0.5454545454545454,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,1.0,0.25,1.0,1.0,0.2222222222222222,0.5,0.4444444444444444,0.5,0.3333333333333333,0.9285714285714286,0.3333333333333333,0.5387964285714285,0.4977,0.5890666666666667,0.15,0.3,7.860000000000001,25.021739130434778,0.37142857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1630191,1610612765,Isaiah Stewart,Isaiah Stewart,1630191,DET,557.0,9,9.0,21,20,12,8,1,41,1.0,2.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,22,,,2.0,,,,,,,,2.0,,,,,1.0,1.0,,,,3.0,1.0,1,2,3,,,,,,,,,3,,,,,,1.0,1.0,1.0,,12,,,,,,,,,,0.5,,0.5,1.0,,0.5,1.0,,,9.090909090909092,,0.16666666666666666,0.25,0.2,1.0,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.58805,0.5642,,1.0,,1.2,,0.5714285714285714,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1630595,1610612765,Cade Cunningham,Cade Cunningham,1630595,DET,10017.0,167,19.0,331,324,92,96,50,655,14.0,28.0,4.0,12.0,18.0,36.0,8.0,,,,,,,3.0,21.0,,1.0,3.0,36.0,72.0,3.0,21.0,19.0,100.0,363,,1.0,2.0,8.0,24.0,1.0,3.0,9.0,28.0,6.0,66.0,3.0,21.0,3.0,24.0,16.0,40.0,5.0,18.0,4.0,96.0,7.0,18,28,33,5.0,2.0,12.0,7.0,7.0,1.0,19.0,4.0,10,,24.0,,23.0,2.0,7.0,5.0,7.0,26.0,90,1.0,1.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.14285714285714285,,0.3333333333333333,0.14285714285714285,0.5,0.3333333333333333,0.43548387096774194,0.2,0.35185185185185186,0.48058252427184467,0.2,0.421875,0.22580645161290322,31.362467866323907,0.631578947368421,0.17475728155339806,0.11475409836065574,0.1524390243902439,0.10526315789473684,0.2727272727272727,0.13636363636363635,0.3010752688172043,0.5,0.6086956521739131,0.14285714285714285,0.3870967741935484,0.5,0.5625,0.08602150537634409,,,,,0.22580645161290322,0.14285714285714285,0.14285714285714285,0.3333333333333333,,,,0.2,,,0.4444444444444444,0.3333333333333333,,,0.1111111111111111,0.5268817204301075,0.14285714285714285,0.5207467741935485,0.45036666666666664,0.5190814814814815,0.02,0.28,6.979166666666668,26.219047619047622,0.27794561933534745,,2.0,1.0,4.0,,11.0,4.0,5.0,6.0,0.25,0.0425531914893617,0.030864197530864196,0.04878048780487805,0.4,,4.0,1.0,6.0,9.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,10.0,2.0,5.0,0.125,0.17857142857142858,0.1111111111111111,0.3333333333333333,0.014705882352941176,0.02631578947368421,0.06666666666666667,0.021739130434782608,0.18604651162790697,0.10256410256410256,0.08888888888888889,0.7142857142857143,0.5,0.5,0.25,0.3333333333333333,0.09900990099009901,0.125,,,,,,,,,,,,,,,,,True,
202699,1610612765,Tobias Harris,Tobias Harris,202699,DET,8865.0,148,1.0,295,292,73,64,47,587,7.0,12.0,3.0,3.0,5.0,15.0,8.0,6.0,10.0,,1.0,,2.0,2.0,5.0,,,2.0,15.0,35.0,8.0,15.0,8.0,62.0,331,,1.0,11.0,4.0,9.0,2.0,4.0,2.0,16.0,18.0,12.0,24.0,5.0,2.0,1.0,,1.0,,1.0,,2.0,9.0,16,25,32,3.0,2.0,2.0,,2.0,1.0,4.0,2.0,9,,7.0,,8.0,,5.0,4.0,6.0,16.0,71,2.0,,0.6,0.75,1.0,0.5333333333333333,,0.5,0.5333333333333333,0.42857142857142855,0.4444444444444444,0.54,0.8333333333333334,0.5384615384615384,0.5849056603773585,0.9166666666666666,0.6153846153846154,0.3,16.285714285714285,0.5,0.17391304347826086,0.17647058823529413,0.17482517482517482,0.14285714285714285,0.21052631578947367,0.13333333333333333,0.24,0.5833333333333334,0.7,0.42857142857142855,0.3,0.3333333333333333,0.35714285714285715,0.16,0.2,0.6,0.6,1.0,0.1,0.4,0.4,1.0,0.16666666666666666,,,,,,0.23076923076923078,1.0,0.15384615384615385,,0.15384615384615385,0.54,0.4,0.523846,0.6763833333333333,0.5302653846153846,0.1774193548387097,0.25806451612903225,8.148571428571428,24.166666666666668,0.24745762711864408,4.0,4.0,5.0,5.0,6.0,,2.0,7.0,1.0,1.0,0.023809523809523808,0.046357615894039736,0.05714285714285714,0.6666666666666666,1.0,3.0,2.0,,3.0,,5.0,,,1.0,,2.0,1.0,,,,,1.0,2.0,,5.0,1.0,2.0,0.08571428571428572,0.16666666666666666,0.06666666666666667,,0.07462686567164178,,,0.0851063829787234,0.18421052631578946,0.19444444444444445,,0.3333333333333333,0.375,0.375,1.0,1.0,0.09433962264150944,0.13157894736842105,1.0,2.0,1.0,1.0,0.05,0.6,0.25,,,,,,,,,,True,
203501,1610612765,Tim Hardaway Jr.,Tim Hardaway Jr.,203501,DET,11300.0,188,11.0,372,369,109,110,54,741,4.0,8.0,,,2.0,5.0,6.0,2.0,15.0,,4.0,1.0,3.0,14.0,37.0,2.0,6.0,7.0,8.0,19.0,16.0,52.0,8.0,72.0,419,2.0,10.0,9.0,1.0,3.0,3.0,10.0,3.0,14.0,12.0,4.0,45.0,37.0,14.0,2.0,5.0,7.0,4.0,1.0,,19.0,5.0,9,15,17,2.0,,3.0,3.0,6.0,1.0,9.0,3.0,10,,11.0,,10.0,2.0,,,,14.0,107,1.0,1.0,0.75,0.75,0.9375,0.3076923076923077,0.2,0.3,0.3076923076923077,0.42105263157894735,0.3333333333333333,0.4507042253521127,0.3076923076923077,0.4230769230769231,0.48,0.34615384615384615,0.4666666666666667,0.7323943661971831,19.080459770114945,0.3333333333333333,0.07692307692307693,0.07142857142857142,0.0748663101604278,0.06521739130434782,0.21739130434782608,,0.11267605633802817,0.5,0.5,0.75,0.07042253521126761,0.4,0.4,0.08450704225352113,0.2112676056338028,0.13333333333333333,0.13333333333333333,1.0,0.5211267605633803,0.3783783783783784,0.3888888888888889,0.9285714285714286,0.3076923076923077,,,0.46153846153846156,0.3333333333333333,1.0,,,0.23076923076923078,0.3333333333333333,0.5384615384615384,0.8450704225352113,0.3783783783783784,0.5445042253521127,0.5499444444444443,0.5099038461538462,0.125,0.19444444444444445,8.936842105263157,25.40961538461539,0.29301075268817206,1.0,2.0,1.0,3.0,,1.0,1.0,2.0,6.0,0.3333333333333333,0.01,0.011235955056179775,,0.15384615384615385,0.5,2.0,2.0,3.0,,1.0,1.0,1.0,,2.0,2.0,,,,1.0,2.0,,1.0,2.0,,3.0,,,,,,0.09090909090909091,0.01282051282051282,,0.058823529411764705,,0.020833333333333332,0.10869565217391304,,,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.041666666666666664,0.15,1.0,,,,0.041666666666666664,0.5,1.0,1.0,1.0,1.0,0.019230769230769232,0.02702702702702703,,,,,True,
203471,1610612765,Dennis Schröder,Dennis Schröder,203471,DET,4416.0,74,9.0,138,140,56,61,13,278,2.0,4.0,,2.0,3.0,5.0,7.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,,,2.0,10.0,16.0,3.0,7.0,3.0,32.0,165,1.0,2.0,3.0,4.0,6.0,2.0,3.0,1.0,15.0,4.0,16.0,6.0,4.0,1.0,7.0,4.0,11.0,3.0,4.0,,26.0,1.0,3,4,6,5.0,2.0,3.0,1.0,1.0,,4.0,4.0,4,,5.0,2.0,4.0,1.0,1.0,,1.0,14.0,54,,,0.2,0.2,0.6666666666666666,0.42857142857142855,0.5,0.6666666666666666,0.42857142857142855,0.625,0.6666666666666666,0.6304347826086957,0.5,0.7777777777777778,0.64,0.5,0.75,0.30434782608695654,18.70967741935484,0.75,0.06976744186046512,0.03571428571428571,0.056338028169014086,0.045454545454545456,,0.1111111111111111,0.17391304347826086,0.5,0.6666666666666666,,0.21739130434782608,0.6,0.6,0.30434782608695654,0.13043478260869565,0.6666666666666666,0.6666666666666666,1.0,0.17391304347826086,0.25,0.25,,0.6666666666666666,0.5,1.0,,,,0.2222222222222222,,0.1111111111111111,1.0,0.2222222222222222,0.4782608695652174,0.25,0.49274565217391303,0.5325166666666666,0.49059444444444433,0.09375,0.46875,11.225,24.914285714285715,0.4057971014492754,,,,1.0,,1.0,1.0,2.0,3.0,,0.03333333333333333,0.03571428571428571,,,,5.0,1.0,3.0,1.0,3.0,1.0,,1.0,3.0,1.0,2.0,,,,,,,,,1.0,,1.0,0.0625,0.25,,,0.038461538461538464,,0.16666666666666666,0.058823529411764705,0.13333333333333333,,0.125,1.0,0.7142857142857143,0.7142857142857143,0.2,0.5,0.041666666666666664,0.058823529411764705,,,,,,0.3333333333333333,,,,,,,1.0,,,,True,
1630194,1610612765,Paul Reed,Paul Reed,1630194,DET,1210.0,20,-1.0,37,39,11,20,5,76,1.0,2.0,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,3.0,44,,,2.0,,,,,,,,2.0,,,,,,,,,,,3.0,2,5,7,2.0,2.0,1.0,1.0,,,1.0,,2,,1.0,,2.0,,2.0,2.0,3.0,,11,,,,,,,,,,0.5,,0.5,1.0,,0.5,1.0,,,9.523809523809524,1.0,0.16666666666666666,0.2727272727272727,0.21739130434782608,0.3333333333333333,,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.60095,0.6944,,0.6666666666666666,,2.0,,0.2972972972972973,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,0.125,0.15384615384615385,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,0.2,0.3333333333333333,,,,0.14285714285714285,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,1.0,,,,,,,,,,,,True,
1631105,1610612765,Jalen Duren,Jalen Duren,1631105,DET,9212.0,154,-4.0,299,299,70,72,46,598,20.0,29.0,3.0,6.0,4.0,7.0,,,,,,,,,,,,,24.0,36.0,,,11.0,59.0,342,,,20.0,3.0,8.0,,,5.0,11.0,28.0,20.0,,,,11.0,5.0,16.0,2.0,8.0,2.0,37.0,14.0,15,31,51,,,4.0,2.0,4.0,,8.0,1.0,19,,9.0,,14.0,1.0,7.0,6.0,7.0,11.0,70,,1.0,0.5833333333333334,0.875,,,,,,0.6666666666666666,0.375,0.6666666666666666,0.8333333333333334,0.375,0.7023809523809523,0.8333333333333334,0.5,,14.164305949008499,0.5,0.15789473684210525,0.25925925925925924,0.19463087248322147,0.2564102564102564,0.10526315789473684,0.21052631578947367,0.8055555555555556,0.6896551724137931,0.7692307692307693,0.55,0.19444444444444445,0.5714285714285714,0.8,,,,,,,,,,,,,,,,0.75,0.5,,,,0.8055555555555556,,0.5987166666666668,0.5992454545454545,0.5864874999999999,0.3389830508474576,0.1864406779661017,2.563888888888888,,0.23411371237458195,9.0,10.0,10.0,12.0,16.0,3.0,15.0,20.0,9.0,0.8333333333333334,0.17647058823529413,0.13071895424836602,0.16666666666666666,0.8333333333333334,0.9,,,,5.0,1.0,5.0,2.0,2.0,,2.0,2.0,,,3.0,2.0,,,2.0,,7.0,1.0,6.0,0.1388888888888889,0.10344827586206896,0.2857142857142857,0.25,0.07352941176470588,0.1388888888888889,0.3076923076923077,0.0851063829787234,0.08108108108108109,0.2857142857142857,0.2857142857142857,0.8571428571428571,,,,,0.17073170731707318,0.17073170731707318,,3.0,,,0.047619047619047616,0.75,0.1111111111111111,,,,,,,3.0,,,True,
1641709,1610612765,Ausar Thompson,Ausar Thompson,1641709,DET,6377.0,106,26.0,211,207,64,49,35,418,19.0,25.0,8.0,9.0,2.0,7.0,1.0,,1.0,,,,,,1.0,,,1.0,21.0,33.0,,2.0,16.0,58.0,215,,,13.0,9.0,11.0,,1.0,3.0,21.0,32.0,10.0,,,,2.0,3.0,5.0,,2.0,,13.0,7.0,7,16,24,6.0,4.0,3.0,,4.0,1.0,7.0,,17,1.0,18.0,,29.0,4.0,3.0,2.0,3.0,21.0,64,2.0,4.0,0.7619047619047619,0.8421052631578947,,,,,,0.6363636363636364,0.8181818181818182,0.6,0.75,0.75,0.6041666666666666,0.65,0.6176470588235294,0.05714285714285714,21.825396825396826,0.42857142857142855,0.10294117647058823,0.17073170731707318,0.12844036697247707,0.125,0.06666666666666667,0.1875,0.7142857142857143,0.76,0.8636363636363636,0.8421052631578947,0.2,0.2857142857142857,0.5,0.02857142857142857,0.02857142857142857,,,,0.02857142857142857,,,,,,,,,,0.75,0.8888888888888888,,,0.08333333333333333,0.7714285714285715,,0.6432117647058824,0.59812,0.697509090909091,0.22413793103448276,0.3620689655172414,2.881818181818182,38.05,0.3033175355450237,5.0,7.0,6.0,8.0,4.0,3.0,5.0,8.0,4.0,0.75,0.08196721311475409,0.07692307692307693,0.034482758620689655,0.875,0.7142857142857143,,,,6.0,,3.0,2.0,,2.0,1.0,3.0,,,,1.0,,2.0,1.0,,10.0,,1.0,0.18181818181818182,0.12,0.42857142857142855,0.3333333333333333,0.06976744186046512,0.13636363636363635,0.1,0.06060606060606061,0.10344827586206896,0.16,,0.3333333333333333,,,,,0.22727272727272727,0.23809523809523808,1.0,2.0,,,0.1,,0.8,,,,,,1.0,,1.0,,True,
1641842,1610612765,Ronald Holland II,Ronald Holland II,1641842,DET,528.0,9,,16,18,6,10,3,34,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,23,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,1,1,1,,,,,,,,,2,,2.0,,2.0,1.0,,,,2.0,6,2.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,5.2631578947368425,,0.3333333333333333,,0.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,True,
