EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Transition Take Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls Drawn,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangeAssists,Blocked3s,BlockedArc3,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,Travels,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,on
1626157,1610612752,Karl-Anthony Towns,Karl-Anthony Towns,1626157,NYK,19347.0,322,-8.0,635,629,148,117.0,78,1264,26.0,40.0,10.0,12.0,6.0,7.0,18.0,43.0,7.0,15.0,1.0,1.0,10.0,28.0,1.0,2.0,3.0,5.0,51.0,98.0,10.0,29.0,30.0,162.0,704.0,14.0,19.0,1.0,3.0,7.0,38.0,9.0,15.0,3.0,5.0,4.0,31.0,56.0,46.0,27.0,3.0,20.0,1.0,27.0,10.0,11.0,1.0,4.0,3.0,7.0,3.0,3.0,1.0,17.0,8.0,12.0,1.0,41.0,37.0,4.0,82.0,21.0,103.0,1.0,6.0,2.0,4.0,5.0,2.0,3.0,13.0,3.0,2.0,1.0,18.0,2.0,3.0,23.0,41.0,4.0,6.0,2.0,1.0,31.0,33.0,7.0,2.0,17.0,2.0,9.0,6.0,3.0,9.0,5.0,1.0,1.0,31.0,146,2.0,2.0,0.5490196078431373,0.6829268292682927,0.9,0.3448275862068966,0.3333333333333333,0.6,0.35714285714285715,0.5204081632653061,0.7368421052631579,0.6,0.5196850393700787,0.7045454545454546,0.675,0.5755395683453237,0.76,0.7045454545454546,0.2283464566929134,0.034482758620689655,0.11224489795918367,0.1,0.16279069767441862,0.03571428571428571,21.83588317107093,0.2777777777777778,0.36363636363636365,0.1111111111111111,0.24666666666666667,0.06349206349206349,0.2578616352201258,0.0625,0.2524271844660194,0.06309148264984227,0.08064516129032258,0.08333333333333333,0.07368421052631578,0.030303030303030304,0.16,0.31343283582089554,0.24242424242424243,0.288135593220339,0.17073170731707318,0.0196078431372549,0.5555555555555556,0.31496062992125984,0.65,0.7222222222222222,0.5769230769230769,0.33858267716535434,0.4186046511627907,0.5,0.3888888888888889,0.11811023622047244,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.007874015748031496,0.2204724409448819,0.35714285714285715,0.37037037037037035,0.9,0.5454545454545454,0.8333333333333334,0.2,0.045454545454545456,0.09090909090909091,0.5,1.0,0.35,0.8571428571428571,0.25,0.6,0.5433070866141733,0.37037037037037035,0.511265873015873,0.5443233333333333,0.501378947368421,0.12408759124087591,0.1574074074074074,0.2345679012345679,0.19135802469135801,6.678571428571427,27.517241379310345,0.23307086614173228,,,,,,,,,,,,,,,,,,,,,,,,,True
1626166,1610612752,Cameron Payne,Cameron Payne,1626166,NYK,2704.0,45,-23.0,84,88,13,8.0,9,172,,1.0,,,,,3.0,7.0,2.0,2.0,1.0,,,5.0,,,,,5.0,10.0,,6.0,,10.0,89.0,,,,,,,,2.0,,,,,4.0,6.0,,,,,5.0,,,,2.0,1.0,3.0,1.0,,2.0,7.0,,,,2.0,3.0,,5.0,,5.0,,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,3.0,,1.0,4.0,9.0,,,1.0,,2.0,,,,,,,,,,,,,,13,,,0.4,0.4,,,,,,0.5,,,0.3125,,,0.3125,,,0.375,,,,,,20.0,0.6666666666666666,,,0.13636363636363635,,0.08,,0.10638297872340426,,,,,,0.25,0.1111111111111111,,0.05263157894736842,0.16666666666666666,,,0.0625,,,,0.4375,0.42857142857142855,0.42857142857142855,,0.125,1.0,1.0,1.0,0.0625,0.3125,,,,,,,,,,,,,,,0.4375,,0.4645250000000001,,0.45645,,,,,10.26,26.583333333333332,0.15476190476190477,1.0,,,,,,,,,,,,,,,,,,,,,,,,True
1628384,1610612752,OG Anunoby,OG Anunoby,1628384,NYK,20696.0,345,-70.0,684,694,199,184.0,74,1378,19.0,33.0,1.0,3.0,4.0,7.0,6.0,15.0,2.0,11.0,26.0,1.0,11.0,28.0,2.0,5.0,3.0,7.0,27.0,59.0,20.0,54.0,17.0,131.0,797.0,1.0,5.0,2.0,6.0,4.0,12.0,8.0,14.0,6.0,15.0,3.0,37.0,30.0,24.0,51.0,9.0,2.0,,28.0,11.0,10.0,1.0,4.0,5.0,9.0,1.0,3.0,1.0,23.0,5.0,5.0,,10.0,9.0,4.0,23.0,10.0,33.0,1.0,18.0,5.0,13.0,8.0,2.0,4.0,7.0,1.0,4.0,1.0,15.0,2.0,4.0,10.0,25.0,2.0,2.0,,,16.0,19.0,2.0,,8.0,1.0,6.0,2.0,4.0,6.0,3.0,,1.0,37.0,197,4.0,1.0,0.5555555555555556,0.5769230769230769,0.85,0.37037037037037035,0.3333333333333333,0.4,0.37037037037037035,0.4576271186440678,0.2,0.5714285714285714,0.504424778761062,0.36363636363636365,0.5862068965517241,0.5413223140495868,0.46153846153846156,0.5967741935483871,0.4778761061946903,0.018518518518518517,0.1694915254237288,0.2727272727272727,,0.03571428571428571,17.75456919060052,0.5333333333333333,0.3076923076923077,,0.05660377358490566,0.024509803921568627,0.057803468208092484,0.0390625,0.0572289156626506,0.030120481927710843,0.04285714285714286,0.023255813953488372,0.043478260869565216,0.027777777777777776,0.04918032786885246,0.07246376811594203,0.034482758620689655,0.06504065040650407,0.04,0.018867924528301886,0.5,0.2920353982300885,0.5757575757575758,0.7916666666666666,0.7368421052631579,0.13274336283185842,0.4,0.4,0.16666666666666666,0.09734513274336283,0.18181818181818182,0.2,,0.23008849557522124,0.24778761061946902,0.39285714285714285,0.4074074074074074,0.7272727272727273,0.2727272727272727,0.3333333333333333,,0.09090909090909091,0.45454545454545453,0.4,1.0,0.2413793103448276,0.5714285714285714,0.2413793103448276,0.42857142857142855,0.7699115044247787,0.39285714285714285,0.5604709821428572,0.5370785714285714,0.5457553571428572,0.075,0.12307692307692308,0.0916030534351145,0.2824427480916031,6.345762711864406,25.188888888888886,0.2909356725146199,,9.0,3.0,8.0,4.0,3.0,2.0,1.0,0.09090909090909091,0.34615384615384615,0.34615384615384615,1.0,0.27586206896551724,0.375,0.01818181818181818,,,,,,,,,,True
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,19466.0,324,-16.0,637,635,185,145.0,73,1272,21.0,31.0,2.0,3.0,6.0,8.0,4.0,15.0,,2.0,5.0,,7.0,18.0,,,,2.0,25.0,48.0,9.0,23.0,24.0,101.0,721.0,3.0,6.0,,,3.0,9.0,9.0,13.0,1.0,3.0,15.0,36.0,32.0,18.0,24.0,3.0,6.0,,18.0,7.0,11.0,1.0,26.0,19.0,45.0,13.0,15.0,9.0,109.0,7.0,13.0,,27.0,23.0,1.0,51.0,20.0,71.0,,10.0,5.0,5.0,8.0,2.0,5.0,6.0,2.0,3.0,,14.0,4.0,3.0,16.0,28.0,,3.0,2.0,,24.0,32.0,,,10.0,6.0,8.0,4.0,4.0,9.0,4.0,,,36.0,183,1.0,6.0,0.64,0.7272727272727273,0.8888888888888888,0.391304347826087,,0.3333333333333333,0.391304347826087,0.5208333333333334,0.5,0.6923076923076923,0.5422535211267606,0.5,0.65625,0.5804597701149425,0.5625,0.75,0.323943661971831,0.043478260869565216,0.22916666666666666,0.22580645161290322,0.26666666666666666,0.05555555555555555,13.988919667590029,0.5714285714285714,0.1,,0.1554054054054054,0.06914893617021277,0.16666666666666666,0.056451612903225805,0.16129032258064516,0.0641025641025641,0.06153846153846154,0.08536585365853659,0.06666666666666667,0.029411764705882353,0.12962962962962962,0.1791044776119403,0.14814814814814814,0.1452991452991453,0.2222222222222222,,0.4444444444444444,0.43661971830985913,0.6774193548387096,0.875,0.6190476190476191,0.2112676056338028,0.26666666666666666,0.36363636363636365,0.75,0.028169014084507043,,,,0.07042253521126761,0.2535211267605634,0.3888888888888889,0.4117647058823529,0.8571428571428571,0.5,0.6666666666666666,,,,,,0.5,0.75,0.125,,0.7605633802816901,0.3888888888888889,0.5596042253521126,0.47005,0.5622625,0.12345679012345678,0.1724137931034483,0.0891089108910891,0.3564356435643564,4.19375,25.14782608695652,0.2904238618524333,,2.0,1.0,1.0,6.0,6.0,,,,0.4,0.4,1.0,0.0625,1.0,,2.0,1.0,1.0,0.04878048780487805,,,,,,True
1628969,1610612752,Mikal Bridges,Mikal Bridges,1628969,NYK,24452.0,408,-32.0,800,804,211,189.0,95,1604,19.0,29.0,3.0,4.0,6.0,9.0,28.0,46.0,3.0,16.0,20.0,2.0,10.0,35.0,1.0,4.0,3.0,9.0,50.0,91.0,16.0,55.0,6.0,154.0,902.0,4.0,7.0,2.0,6.0,,14.0,13.0,23.0,5.0,16.0,1.0,42.0,38.0,62.0,45.0,3.0,6.0,2.0,33.0,10.0,6.0,,17.0,11.0,28.0,6.0,7.0,6.0,67.0,6.0,3.0,,25.0,18.0,1.0,44.0,9.0,53.0,1.0,21.0,14.0,7.0,12.0,3.0,8.0,7.0,1.0,4.0,,19.0,,6.0,8.0,20.0,,,1.0,,13.0,7.0,1.0,,4.0,,9.0,5.0,4.0,10.0,4.0,,,42.0,209,3.0,,0.38,0.40425531914893614,0.9375,0.2909090909090909,0.3333333333333333,0.3125,0.3018867924528302,0.5494505494505495,0.5714285714285714,0.5652173913043478,0.5068493150684932,0.5384615384615384,0.5256410256410257,0.5167785234899329,0.5384615384615384,0.5384615384615384,0.3767123287671233,,0.06593406593406594,0.20689655172413793,,,18.502202643171806,0.631578947368421,0.07692307692307693,,0.0972972972972973,0.012552301255230125,0.11961722488038277,0.03870967741935484,0.10913705583756345,0.02284263959390863,,0.02727272727272727,0.02654867256637168,0.07142857142857142,0.07462686567164178,0.07228915662650602,0.2,0.11038961038961038,0.14545454545454545,0.013888888888888888,0.4,0.19863013698630136,0.6551724137931034,0.8260869565217391,0.47368421052631576,0.3150684931506849,0.6086956521739131,0.6086956521739131,0.35714285714285715,0.1095890410958904,0.1875,0.1875,,0.136986301369863,0.23972602739726026,0.2857142857142857,0.2857142857142857,0.9,0.3076923076923077,0.75,,0.15384615384615385,0.3076923076923077,0.25,1.0,0.23076923076923078,0.6666666666666666,0.23076923076923078,0.3333333333333333,0.5753424657534246,0.30303030303030304,0.5262093750000001,0.5222500000000001,0.5191789473684212,0.026845637583892617,0.0425531914893617,0.09090909090909091,0.2727272727272727,8.018681318681317,26.05272727272727,0.26375,,6.0,2.0,7.0,5.0,3.0,3.0,,,0.3,0.3,1.0,0.1794871794871795,0.2857142857142857,,4.0,1.0,1.0,,1.0,2.0,0.5,1.0,,True
1629011,1610612752,Mitchell Robinson,Mitchell Robinson,1629011,NYK,7863.0,131,15.0,248,260,44,61.0,34,508,9.0,15.0,7.0,10.0,1.0,1.0,1.0,2.0,,,,,,,,,,,10.0,17.0,,,4.0,24.0,259.0,8.0,12.0,,,1.0,17.0,1.0,2.0,,,2.0,4.0,6.0,14.0,,,14.0,,,,2.0,,1.0,1.0,2.0,1.0,1.0,,5.0,6.0,12.0,1.0,8.0,11.0,1.0,20.0,19.0,39.0,,3.0,2.0,1.0,4.0,,2.0,,,2.0,,4.0,1.0,1.0,10.0,15.0,,1.0,,,18.0,18.0,2.0,,4.0,6.0,1.0,,1.0,1.0,,1.0,,4.0,44,2.0,1.0,0.3,1.0,,,,,,0.5882352941176471,0.6666666666666666,0.5,0.5882352941176471,0.6666666666666666,0.5,0.48,0.6071428571428571,0.25,,,0.11764705882352941,0.13333333333333333,,,10.0,1.0,0.3333333333333333,0.07142857142857142,0.2037037037037037,0.1643835616438356,0.10126582278481013,0.125,0.14285714285714285,0.1487603305785124,0.21052631578947367,0.19047619047619047,0.1388888888888889,0.08333333333333333,0.1,0.2692307692307692,0.25,0.08064516129032258,0.17647058823529413,,,0.8823529411764706,0.6,0.6923076923076923,0.2222222222222222,0.11764705882352941,0.5,0.5,1.0,,,,,,,,,,0.8333333333333334,0.7,,,,,,0.5,1.0,,,0.8823529411764706,,0.5854000000000001,0.5514249999999999,0.53145,0.21052631578947367,0.21052631578947367,0.7083333333333334,0.16666666666666666,1.488235294117647,,0.1774193548387097,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,True
1630540,1610612752,Miles McBride,Miles McBride,1630540,NYK,6211.0,104,4.0,197,203,42,56.0,28,400,2.0,5.0,,,,,,2.0,1.0,3.0,6.0,1.0,5.0,13.0,2.0,3.0,1.0,3.0,3.0,10.0,8.0,19.0,2.0,32.0,213.0,,,2.0,4.0,,6.0,,,1.0,3.0,,3.0,,6.0,21.0,3.0,,,13.0,5.0,1.0,,,3.0,3.0,3.0,,,9.0,,,,3.0,2.0,,5.0,,5.0,,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,3.0,,,2.0,3.0,,,1.0,,4.0,4.0,,,1.0,1.0,,,,,,,,3.0,42,,1.0,,,0.875,0.42105263157894735,0.5,0.3333333333333333,0.42105263157894735,0.3,,,0.5172413793103449,0.75,0.5,0.5161290322580645,0.75,0.375,0.6551724137931034,,0.1,0.2,,,14.655172413793105,0.6666666666666666,,,0.0425531914893617,,0.047619047619047616,,0.045454545454545456,,,,,,,,0.16666666666666666,0.0392156862745098,0.08333333333333333,,,0.1724137931034483,0.4,0.5,,0.06896551724137931,,,,0.10344827586206896,0.3333333333333333,0.3333333333333333,,0.20689655172413793,0.4482758620689655,0.38461538461538464,0.38461538461538464,0.8,,,,0.25,0.75,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.8275862068965517,0.38461538461538464,0.5514189655172413,0.59535,0.51275,0.03333333333333333,0.09090909090909091,0.1875,0.09375,8.58,25.45263157894737,0.2131979695431472,,3.0,,,,,1.0,,,0.5,0.5,1.0,,,,,,,,,,,,,True
1629013,1610612752,Landry Shamet,Landry Shamet,1629013,NYK,483.0,8,-8.0,17,17,8,1.0,3,34,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47058823529411764,,,,,,,,,,,,,,,,,,,,,,,,,True
1628973,1610612752,Jalen Brunson,Jalen Brunson,1628973,NYK,20666.0,344,-9.0,686,678,193,172.0,78,1364,18.0,38.0,2.0,3.0,5.0,12.0,33.0,72.0,9.0,25.0,10.0,2.0,19.0,58.0,3.0,4.0,6.0,17.0,60.0,135.0,26.0,68.0,58.0,256.0,780.0,6.0,8.0,5.0,6.0,6.0,33.0,19.0,38.0,7.0,18.0,36.0,95.0,10.0,110.0,42.0,36.0,6.0,,58.0,19.0,8.0,,34.0,27.0,61.0,15.0,25.0,7.0,149.0,4.0,4.0,,12.0,9.0,1.0,22.0,8.0,30.0,2.0,5.0,3.0,2.0,12.0,6.0,8.0,10.0,3.0,4.0,,22.0,2.0,9.0,9.0,25.0,,,,,68.0,70.0,3.0,,19.0,13.0,2.0,,2.0,2.0,2.0,,,93.0,191,3.0,11.0,0.08333333333333333,0.08771929824561403,0.5384615384615384,0.38235294117647056,0.8333333333333334,0.3888888888888889,0.38235294117647056,0.4444444444444444,0.75,0.5,0.4876847290640394,0.9642857142857143,0.5267857142857143,0.5446808510638298,0.9705882352941176,0.6168831168831169,0.33497536945812806,,0.05925925925925926,0.10526315789473684,0.013888888888888888,,33.29015544041451,0.5454545454545454,0.09090909090909091,,0.05844155844155844,0.02030456852791878,0.07100591715976332,0.03076923076923077,0.06501547987616099,0.024464831804281346,0.027777777777777776,0.012195121951219513,0.010638297872340425,0.08333333333333333,0.08620689655172414,0.05714285714285714,,0.06504065040650407,0.08695652173913043,0.018691588785046728,1.0,0.18719211822660098,0.47368421052631576,0.5294117647058824,0.05555555555555555,0.35467980295566504,0.4583333333333333,0.4647887323943662,0.12121212121212122,0.12315270935960591,0.36,0.4090909090909091,,0.04926108374384237,0.2857142857142857,0.3275862068965517,0.3275862068965517,0.3684210526315789,0.21428571428571427,0.6666666666666666,,0.14285714285714285,0.2857142857142857,0.75,1.0,0.21428571428571427,0.4166666666666667,0.30357142857142855,0.35294117647058826,0.5221674876847291,0.3275862068965517,0.48860837438423643,0.4957833333333333,0.4853767857142858,0.09502262443438914,0.12582781456953643,0.12890625,0.37109375,8.519999999999998,25.811764705882357,0.2813411078717201,5.0,7.0,1.0,1.0,12.0,2.0,5.0,3.0,0.12,0.7,0.7,1.0,0.017857142857142856,1.0,0.02857142857142857,2.0,,,0.023255813953488372,2.0,,1.0,1.0,2.0,True
1630173,1610612752,Precious Achiuwa,Precious Achiuwa,1630173,NYK,372.0,6,-13.0,12,12,12,12.0,3,24,,1.0,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,19.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,0.5,,0.2857142857142857,,,,,,,,,0.5,0.5,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,0.5153,,0.5153,,,,,3.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True
