EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,LostBallOutOfBoundsTurnovers,BlockedAtRim,OffShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,LongMidRangeAssists,SelfOReb,Blocked3s,BlockedCorner3,SelfORebPct,HeaveAttempts,Fg3aBlocked,Transition Take Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,BlockedArc3,FTOffRebounds,Travels,OffFTReboundPct,OffensiveGoaltends,Corner3PctBlocked,on,Transition Take Fouls Drawn,Charge Fouls Drawn
1628978,1610612750,Donte DiVincenzo,Donte DiVincenzo,1628978,MIN,11256.0,188.0,-22.0,376,375,117,140,52.0,751,4.0,9.0,1.0,1.0,1.0,5.0,13.0,1.0,1.0,6.0,13.0,1.0,1.0,1.0,6.0,28.0,1.0,4.0,2.0,6.0,10.0,23.0,12.0,41.0,7.0,63.0,445.0,1.0,2.0,2.0,5.0,2.0,10.0,3.0,6.0,2.0,7.0,6.0,18.0,8.0,12.0,36.0,2.0,28.0,6.0,3.0,15.0,4.0,19.0,4.0,10.0,5.0,42.0,4.0,2.0,9.0,7.0,1.0,17.0,6.0,23.0,10.0,9.0,1.0,11.0,2.0,6.0,9.0,5.0,1.0,20.0,1.0,6.0,9.0,29.0,1.0,1.0,5.0,10.0,2.0,1.0,9.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,117,2.0,3.0,0.4,0.4444444444444444,1.0,0.2926829268292683,0.4,0.2857142857142857,0.2926829268292683,0.43478260869565216,0.5,0.5,0.4375,0.5714285714285714,0.46153846153846156,0.4632352941176471,0.625,0.5625,0.640625,0.13043478260869565,0.1111111111111111,0.15384615384615385,20.183486238532108,0.55,0.08333333333333333,0.08433734939759036,0.025974025974025976,0.10465116279069768,0.046511627906976744,0.09467455621301775,0.03680981595092025,0.02631578947368421,0.1111111111111111,0.046875,0.045454545454545456,0.0967741935483871,0.05128205128205128,0.15384615384615385,0.12280701754385964,0.06896551724137931,1.0,0.140625,0.4444444444444444,0.5,0.203125,0.38461538461538464,0.45454545454545453,0.8,0.015625,1.0,1.0,0.203125,0.46153846153846156,0.46153846153846156,1.0,0.4375,0.21428571428571427,0.21428571428571427,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,1.0,0.5714285714285714,0.25,1.0,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.3333333333333333,0.78125,0.21428571428571427,0.5400179687500001,0.55151,0.49959615384615386,0.03076923076923077,0.08333333333333333,0.15873015873015872,0.2857142857142857,4.891304347826087,25.39268292682927,0.31117021276595747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1629638,1610612750,Nickeil Alexander-Walker,Nickeil Alexander-Walker,1629638,MIN,7544.0,126.0,14.0,246,252,71,98,34.0,498,10.0,13.0,4.0,4.0,1.0,4.0,9.0,,1.0,1.0,6.0,,1.0,2.0,7.0,13.0,,,1.0,1.0,14.0,23.0,8.0,19.0,8.0,60.0,277.0,4.0,4.0,,1.0,2.0,10.0,3.0,6.0,2.0,3.0,8.0,20.0,20.0,8.0,18.0,,13.0,7.0,2.0,6.0,8.0,14.0,3.0,4.0,2.0,36.0,4.0,1.0,4.0,8.0,,12.0,5.0,17.0,1.0,1.0,,6.0,3.0,3.0,5.0,3.0,,11.0,2.0,5.0,10.0,15.0,,,,11.0,1.0,2.0,9.0,1.0,2.0,3.0,2.0,1.0,2.0,,,20.0,71,1.0,3.0,0.7142857142857143,0.7142857142857143,0.75,0.42105263157894735,,0.6666666666666666,0.42105263157894735,0.6086956521739131,1.0,0.5,0.6190476190476191,0.8,0.6666666666666666,0.6521739130434783,0.8333333333333334,0.7692307692307693,0.4523809523809524,0.08695652173913043,0.07692307692307693,0.1111111111111111,20.070422535211268,0.5454545454545454,,0.10810810810810811,0.02040816326530612,0.0851063829787234,0.0784313725490196,0.09917355371900827,0.05,,,0.10526315789473684,,0.12903225806451613,0.06451612903225806,0.16666666666666666,0.06666666666666667,0.11764705882352941,,0.30952380952380953,0.7692307692307693,0.8333333333333334,0.21428571428571427,0.4444444444444444,0.5,0.75,0.023809523809523808,,,0.14285714285714285,0.16666666666666666,0.16666666666666666,1.0,0.30952380952380953,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.8,1.0,0.2,,,,,,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.0,0.7619047619047619,0.5384615384615384,0.5363404761904762,0.6064666666666666,0.4882555555555556,0.046511627906976744,0.08333333333333333,0.16666666666666666,0.3333333333333333,4.982608695652174,24.726315789473684,0.2886178861788618,1.0,1.0,6.0,5.0,2.0,1.0,0.041666666666666664,0.7,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,True,,
1629675,1610612750,Naz Reid,Naz Reid,1629675,MIN,12402.0,207.0,47.0,400,404,94,118,57.0,804,6.0,11.0,1.0,3.0,2.0,10.0,12.0,,,3.0,10.0,1.0,1.0,1.0,17.0,32.0,3.0,3.0,3.0,7.0,16.0,23.0,20.0,42.0,9.0,101.0,437.0,2.0,4.0,4.0,4.0,,16.0,1.0,3.0,3.0,8.0,,11.0,16.0,16.0,57.0,2.0,32.0,17.0,3.0,8.0,5.0,13.0,3.0,4.0,3.0,31.0,4.0,3.0,9.0,14.0,4.0,27.0,7.0,34.0,5.0,4.0,1.0,12.0,1.0,6.0,6.0,6.0,,18.0,3.0,2.0,12.0,23.0,,2.0,2.0,14.0,3.0,,9.0,1.0,5.0,,4.0,1.0,5.0,2.0,2.0,11.0,94,3.0,,0.5,0.5333333333333333,0.95,0.47619047619047616,1.0,0.375,0.47619047619047616,0.6956521739130435,0.5,0.3333333333333333,0.7076923076923077,1.0,0.5,0.7318840579710145,1.0,0.5,0.6461538461538462,0.13043478260869565,0.09090909090909091,0.16666666666666666,18.629550321199144,0.6666666666666666,0.4,0.13861386138613863,0.037037037037037035,0.10112359550561797,0.0425531914893617,0.12105263157894737,0.04,0.04878048780487805,,0.029411764705882353,0.07692307692307693,0.11904761904761904,0.13953488372093023,0.1875,0.10344827586206896,0.0967741935483871,0.4,0.16923076923076924,0.5454545454545454,0.6,0.18461538461538463,0.8333333333333334,1.0,0.4,,,,0.15384615384615385,0.3,0.3,1.0,0.49230769230769234,0.53125,0.53125,0.9411764705882353,0.375,0.3333333333333333,0.125,1.0,1.0,0.375,1.0,1.0,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.42857142857142855,0.8153846153846154,0.53125,0.5341846153846154,0.46483333333333327,0.5117909090909091,0.07246376811594203,0.18518518518518517,0.15841584158415842,0.10891089108910891,4.752173913043479,25.697619047619046,0.235,1.0,,3.0,2.0,3.0,3.0,0.029411764705882353,0.6666666666666666,,0.5,,1.0,1.0,1.0,1.0,0.038461538461538464,,,,,,,,,,,,,,,,,True,,
1630162,1610612750,Anthony Edwards,Anthony Edwards,1630162,MIN,25626.0,427.0,64.0,816,823,189,219,110.0,1639,43.0,65.0,6.0,8.0,22.0,16.0,27.0,6.0,21.0,6.0,11.0,2.0,2.0,3.0,32.0,95.0,2.0,12.0,4.0,17.0,65.0,113.0,38.0,106.0,40.0,284.0,887.0,9.0,15.0,4.0,14.0,5.0,35.0,21.0,36.0,5.0,20.0,14.0,71.0,46.0,84.0,66.0,,93.0,32.0,4.0,34.0,29.0,63.0,17.0,23.0,11.0,155.0,5.0,6.0,35.0,39.0,1.0,75.0,11.0,86.0,12.0,5.0,7.0,18.0,2.0,8.0,6.0,10.0,,24.0,1.0,3.0,8.0,24.0,,1.0,3.0,42.0,2.0,1.0,56.0,7.0,25.0,3.0,11.0,5.0,11.0,7.0,,71.0,188,2.0,3.0,0.35384615384615387,0.35384615384615387,0.5789473684210527,0.3584905660377358,0.2857142857142857,0.25,0.36538461538461536,0.5752212389380531,0.6,0.5833333333333334,0.5570776255707762,0.5172413793103449,0.5089285714285714,0.5847107438016529,0.53125,0.5461538461538461,0.4840182648401826,0.035398230088495575,0.03076923076923077,0.037037037037037035,27.91185729275971,0.75,0.043478260869565216,0.17256637168141592,0.030927835051546393,0.18134715025906736,0.025,0.1766109785202864,0.027918781725888325,0.03896103896103896,0.041666666666666664,0.028368794326241134,0.01694915254237288,0.18309859154929578,0.1504424778761062,0.21428571428571427,0.14893617021276595,0.2692307692307692,0.6363636363636364,0.2968036529680365,0.6615384615384615,0.6825396825396826,0.1232876712328767,0.5925925925925926,0.6153846153846154,0.25,0.0958904109589041,0.2857142857142857,0.3,0.0502283105022831,0.5454545454545454,0.5454545454545454,1.0,0.4337899543378995,0.3368421052631579,0.3404255319148936,0.5,0.27586206896551724,0.75,0.06896551724137931,1.0,1.0,0.41379310344827586,0.16666666666666666,0.5,0.39285714285714285,0.05357142857142857,0.30357142857142855,0.23529411764705882,0.7808219178082192,0.34408602150537637,0.5454691244239631,0.5615214285714286,0.5287436363636363,0.11297071129707113,0.19083969465648856,0.12323943661971831,0.25,6.620353982300884,26.810377358490562,0.23161764705882354,15.0,1.0,48.0,12.0,1.0,6.0,0.021505376344086023,0.3953488372093023,0.6666666666666666,0.6818181818181818,0.3333333333333333,,4.0,,,0.038461538461538464,2.0,1.0,1.0,1.0,2.0,0.009433962264150943,0.047619047619047616,0.010526315789473684,0.3333333333333333,0.018518518518518517,,,,,,,True,,
1630183,1610612750,Jaden McDaniels,Jaden McDaniels,1630183,MIN,29820.0,497.0,77.0,958,962,203,245,132.0,1920,39.0,51.0,6.0,8.0,12.0,21.0,51.0,6.0,12.0,14.0,36.0,5.0,7.0,5.0,7.0,19.0,,2.0,2.0,7.0,66.0,114.0,21.0,55.0,25.0,220.0,1048.0,11.0,15.0,5.0,9.0,8.0,45.0,10.0,18.0,3.0,12.0,11.0,40.0,80.0,52.0,63.0,16.0,19.0,7.0,8.0,10.0,13.0,23.0,10.0,6.0,4.0,59.0,14.0,13.0,27.0,26.0,4.0,57.0,27.0,84.0,19.0,14.0,5.0,9.0,2.0,6.0,9.0,3.0,3.0,18.0,4.0,3.0,24.0,50.0,1.0,5.0,2.0,25.0,2.0,2.0,28.0,4.0,13.0,3.0,11.0,4.0,13.0,10.0,,38.0,202,4.0,2.0,0.6060606060606061,0.6896551724137931,1.0,0.38181818181818183,0.5555555555555556,0.25,0.38181818181818183,0.5789473684210527,0.7333333333333333,0.5555555555555556,0.5769230769230769,0.7708333333333334,0.48333333333333334,0.6077348066298343,0.8035714285714286,0.5714285714285714,0.3254437869822485,0.07017543859649122,0.11764705882352941,0.0392156862745098,17.767857142857142,0.5,0.15384615384615385,0.1,0.05909090909090909,0.1232876712328767,0.06086956521739131,0.11064718162839249,0.06,0.0898876404494382,0.04,0.06748466257668712,0.04477611940298507,0.10843373493975904,0.0703125,0.16326530612244897,0.12258064516129032,0.125,0.7692307692307693,0.30177514792899407,0.7647058823529411,0.8666666666666667,0.30177514792899407,0.4117647058823529,0.42857142857142855,0.6666666666666666,0.07100591715976332,0.5,0.5,0.21301775147928995,0.3888888888888889,0.3888888888888889,1.0,0.11242603550295859,0.3684210526315789,0.3684210526315789,1.0,0.3333333333333333,0.75,0.2916666666666667,0.7142857142857143,1.0,0.08333333333333333,,,0.4,0.16666666666666666,0.23333333333333334,0.2857142857142857,0.6272189349112426,0.3684210526315789,0.5500316568047336,0.52973,0.5654766666666667,0.07303370786516854,0.10569105691056911,0.20454545454545456,0.18181818181818182,6.217543859649123,24.00545454545454,0.21189979123173278,9.0,1.0,,3.0,1.0,7.0,0.03773584905660377,0.5897435897435898,,0.75,0.2,,7.0,2.0,,0.09722222222222222,,,,,,,,,0.5,,2.0,,,,,,True,,
203944,1610612750,Julius Randle,Julius Randle,203944,MIN,24375.0,406.0,78.0,778,778,144,184,108.0,1556,29.0,44.0,6.0,12.0,9.0,29.0,59.0,4.0,7.0,4.0,16.0,1.0,1.0,,19.0,46.0,2.0,4.0,2.0,2.0,62.0,110.0,23.0,62.0,49.0,242.0,847.0,7.0,16.0,3.0,5.0,4.0,27.0,13.0,22.0,2.0,2.0,17.0,49.0,52.0,72.0,48.0,10.0,46.0,19.0,8.0,30.0,26.0,56.0,19.0,21.0,8.0,138.0,4.0,13.0,25.0,14.0,7.0,46.0,18.0,64.0,11.0,8.0,3.0,19.0,3.0,7.0,17.0,12.0,,36.0,5.0,6.0,10.0,31.0,2.0,,6.0,48.0,4.0,2.0,54.0,6.0,26.0,4.0,1.0,1.0,1.0,1.0,,49.0,143,,4.0,0.41935483870967744,0.45614035087719296,0.6956521739130435,0.3709677419354839,0.6,1.0,0.3709677419354839,0.5636363636363636,0.4375,0.5909090909090909,0.561046511627907,0.5476190476190477,0.6666666666666666,0.6173469387755102,0.5869565217391305,0.765625,0.36046511627906974,0.07272727272727272,0.18181818181818182,,25.494505494505496,0.5277777777777778,0.30434782608695654,0.06763285024154589,0.07222222222222222,0.13736263736263737,0.022099447513812154,0.10025706940874037,0.04709141274238227,0.07246376811594203,,0.023255813953488372,0.019230769230769232,0.046875,0.09523809523809523,0.02631578947368421,0.1450381679389313,0.11764705882352941,1.0,0.2558139534883721,0.6590909090909091,0.8055555555555556,0.3430232558139535,0.4915254237288136,0.4915254237288136,0.3103448275862069,0.040697674418604654,0.5714285714285714,0.5714285714285714,0.09302325581395349,0.25,0.25,1.0,0.26744186046511625,0.41304347826086957,0.41304347826086957,0.631578947368421,0.5714285714285714,0.5,0.047619047619047616,1.0,1.0,0.19047619047619047,0.5,1.0,0.375,,0.08333333333333333,1.0,0.6162790697674418,0.41304347826086957,0.5216325581395349,0.5727357142857142,0.5184145833333332,0.13541666666666666,0.2,0.1115702479338843,0.2024793388429752,6.478181818181818,25.19677419354839,0.18508997429305912,8.0,,21.0,7.0,2.0,,0.08695652173913043,0.5517241379310345,,0.8888888888888888,,1.0,7.0,,,0.08974358974358974,,,,,,,,,0.25,,,1.0,3.0,0.05263157894736842,,,True,,
1630545,1610612750,Terrence Shannon Jr.,Terrence Shannon Jr.,1630545,MIN,736.0,12.0,,26,27,13,18,3.0,53,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,2.0,2.0,,1.0,,4.0,31.0,,,,,,,1.0,1.0,,,,2.0,4.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,2.0,13,1.0,,1.0,1.0,,,,,,1.0,,1.0,0.6666666666666666,,1.0,0.6666666666666666,,1.0,0.3333333333333333,,,,10.714285714285714,,,,,0.16666666666666666,,0.1111111111111111,,,,,,,,,0.25,,,0.6666666666666666,1.0,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.5993333333333334,,0.6046,,,,0.5,2.45,23.5,0.5,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,
1641740,1610612750,Jaylen Clark,Jaylen Clark,1641740,MIN,19.0,,,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
203497,1610612750,Rudy Gobert,Rudy Gobert,203497,MIN,19403.0,323.0,54.0,621,620,104,110,87.0,1241,29.0,49.0,10.0,21.0,7.0,1.0,8.0,,,,,,,,,,,,,,30.0,57.0,,,22.0,82.0,656.0,10.0,24.0,,,9.0,29.0,7.0,9.0,,,9.0,23.0,36.0,24.0,,18.0,,,8.0,4.0,5.0,9.0,4.0,,3.0,23.0,11.0,25.0,26.0,35.0,4.0,65.0,37.0,102.0,6.0,4.0,2.0,6.0,,3.0,4.0,3.0,,10.0,3.0,2.0,19.0,31.0,2.0,5.0,1.0,48.0,17.0,,40.0,1.0,17.0,4.0,14.0,8.0,15.0,10.0,,23.0,103,,4.0,0.6,0.8571428571428571,,,,,,0.5263157894736842,0.4166666666666667,0.7777777777777778,0.5263157894736842,0.4166666666666667,0.7777777777777778,0.5324675324675324,0.453125,0.71875,,0.14035087719298245,0.12244897959183673,0.25,11.83673469387755,0.6,0.36363636363636365,0.19553072625698323,0.15723270440251572,0.17567567567567569,0.06832298136645963,0.18654434250764526,0.1125,0.16129032258064516,0.2,0.06956521739130435,0.06521739130434782,0.12244897959183673,0.24719101123595505,0.17073170731707318,0.19444444444444445,0.125,0.6666666666666666,0.8596491228070176,0.5918367346938775,0.6744186046511628,0.14035087719298245,0.125,0.16666666666666666,1.0,,,,,,,,,,,,0.875,0.47619047619047616,,,,,,,0.7777777777777778,,,,0.8596491228070176,,0.6232719298245614,0.5483333333333333,0.7016555555555555,0.2328767123287671,0.2328767123287671,0.35365853658536583,0.2804878048780488,2.056140350877193,,0.16747181964573268,7.0,,,1.0,,6.0,0.14285714285714285,0.5862068965517241,,1.0,,1.0,4.0,1.0,,0.21052631578947367,,,1.0,,,,,,,,1.0,1.0,,0.047619047619047616,1.0,,True,,
201144,1610612750,Mike Conley,Mike Conley,201144,MIN,17919.0,299.0,73.0,568,568,79,92,77.0,1136,2.0,9.0,,,,4.0,19.0,1.0,2.0,4.0,13.0,,1.0,2.0,12.0,38.0,,2.0,,3.0,7.0,30.0,16.0,51.0,7.0,69.0,612.0,1.0,2.0,,3.0,,2.0,1.0,3.0,,5.0,4.0,6.0,6.0,8.0,42.0,,38.0,12.0,1.0,27.0,20.0,47.0,12.0,19.0,5.0,114.0,7.0,3.0,18.0,12.0,,30.0,11.0,41.0,6.0,4.0,2.0,6.0,3.0,4.0,3.0,2.0,,9.0,1.0,,9.0,19.0,,,,13.0,1.0,5.0,8.0,,1.0,2.0,2.0,,2.0,2.0,,6.0,78,1.0,2.0,0.42857142857142855,0.42857142857142855,0.875,0.3137254901960784,,,0.3137254901960784,0.23333333333333334,0.5,0.3333333333333333,0.38271604938271603,0.2,0.125,0.40476190476190477,0.2,0.3,0.6296296296296297,0.03333333333333333,0.1111111111111111,,13.963963963963964,0.6666666666666666,,0.0718562874251497,0.022222222222222223,0.144,0.04964539007092199,0.10273972602739725,0.036231884057971016,0.02040816326530612,,0.05263157894736842,0.043478260869565216,0.09302325581395349,0.06593406593406594,0.06060606060606061,0.15384615384615385,0.11764705882352941,1.0,0.1111111111111111,0.2222222222222222,0.25,0.2345679012345679,0.21052631578947367,0.21052631578947367,0.5,0.024691358024691357,0.5,0.5,0.16049382716049382,0.3076923076923077,0.3333333333333333,1.0,0.4691358024691358,0.3157894736842105,0.3157894736842105,0.8333333333333334,,,0.2,,,0.4,,,,0.25,0.375,,0.7407407407407407,0.3157894736842105,0.525525925925926,0.495175,0.49797499999999995,0.012195121951219513,0.03225806451612903,0.028985507246376812,0.08695652173913043,7.423333333333334,25.02745098039216,0.13908450704225353,,,6.0,8.0,,2.0,0.027777777777777776,0.5,,,,3.0,3.0,,,0.05454545454545454,,1.0,,2.0,,0.0196078431372549,,,,,,1.0,,0.07142857142857142,,0.07692307692307693,True,,
