EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,BadPassSteals,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,OffFTReboundPct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,FTDefRebounds,BlockedAtRim,PenaltyFg3Pct,DefFTReboundPct,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,LongMidRangePctAssisted,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Charge Fouls,FG2APctBlocked,ShortMidRangePctBlocked,on,PenaltyCorner3FGM,BadPassOutOfBoundsTurnovers,Offensive Fouls,OffensiveGoaltends,AtRimPctBlocked,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,Transition Take Fouls Drawn,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,LongMidRangePctBlocked
1628371,1610612753,Jonathan Isaac,Jonathan Isaac,1628371,ORL,4142.0,69,-11.0,124,122,29.0,47,21.0,246,6.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,8.0,1.0,4.0,3.0,18.0,140,1.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,12.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,29.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.75,0.5,1.0,0.625,0.5,1.0,0.6428571428571429,0.6666666666666666,1.0,0.3333333333333333,10.457516339869281,0.5,0.125,0.05263157894736842,0.058823529411764705,0.09375,0.10204081632653061,0.07142857142857142,0.2222222222222222,0.04,0.2857142857142857,0.11764705882352941,0.2857142857142857,0.06666666666666667,1.0,0.5833333333333334,0.8571428571428571,0.8571428571428571,1.0,0.08333333333333333,0.16666666666666666,0.5,0.5,1.0,0.16666666666666666,1.0,0.5,1.0,1.0,1.0,0.9166666666666666,0.6238583333333333,0.55145,0.7702,0.15384615384615385,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.6374999999999997,24.55,0.23387096774193547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1628976,1610612753,Wendell Carter Jr.,Wendell Carter Jr.,1628976,ORL,289.0,5,-2.0,9,9,1.0,4,,18,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.5,,0.4,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1630532,1610612753,Franz Wagner,Franz Wagner,1630532,ORL,3043.0,51,-5.0,93,90,21.0,32,12.0,183,2.0,2.0,1.0,1.0,,,14.0,,1.0,8.0,13.0,21.0,1.0,9.0,8.0,37.0,104,1.0,2.0,1.0,3.0,2.0,4.0,2.0,6.0,4.0,3.0,8.0,10.0,3.0,13.0,2.0,7.0,29.0,,,1.0,5.0,6.0,1.0,7.0,2.0,,3.0,,,1.0,3.0,1.0,5.0,,7.0,,10.0,1.0,5.0,,,,,,6.0,21.0,3.0,,0.15384615384615385,0.15384615384615385,1.0,0.1111111111111111,0.1111111111111111,0.6190476190476191,0.5,0.5,0.48333333333333334,0.5,0.3333333333333333,0.5294117647058824,0.75,0.42857142857142855,0.3,34.25925925925926,1.0,0.25,,0.07692307692307693,,0.18181818181818182,,,,,0.25,0.25,0.09090909090909091,,0.06666666666666667,1.0,1.0,0.5,0.4666666666666667,0.03333333333333333,,,,0.26666666666666666,0.5,1.0,,,,0.36666666666666664,0.460425,0.4614,0.44025833333333336,0.14705882352941177,0.2,0.08108108108108109,0.16216216216216217,9.966666666666669,26.944444444444443,0.22580645161290322,8.0,3.0,5.0,1.0,1.0,1.0,2.0,22.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2,0.25,0.5714285714285714,0.5714285714285714,0.125,0.16666666666666666,0.6,0.6,0.125,0.125,1.0,0.16666666666666666,0.16666666666666666,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1641710,1610612753,Anthony Black,Anthony Black,1641710,ORL,2848.0,47,-2.0,87,84,26.0,33,19.0,171,5.0,10.0,1.0,4.0,2.0,2.0,7.0,1.0,2.0,7.0,7.0,18.0,1.0,9.0,6.0,23.0,93,1.0,6.0,3.0,5.0,3.0,4.0,2.0,8.0,8.0,3.0,7.0,,,,,,,2.0,7.0,4.0,2.0,6.0,9.0,15.0,3.0,1.0,,1.0,1.0,,1.0,4.0,7.0,,6.0,1.0,8.0,,2.0,1.0,,,,,8.0,26.0,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.75,0.3148148148148148,0.14285714285714285,0.5,0.38333333333333336,0.2777777777777778,0.5714285714285714,0.3333333333333333,27.192982456140353,,0.08333333333333333,0.21212121212121213,0.36363636363636365,0.08695652173913043,0.17142857142857143,0.16071428571428573,0.2222222222222222,0.1111111111111111,,0.15384615384615385,,0.3333333333333333,,0.37037037037037035,0.5,0.5,0.6,0.25925925925925924,0.07407407407407407,0.5,0.5,1.0,0.25925925925925924,0.5714285714285714,0.25,1.0,0.3333333333333333,1.0,0.7037037037037037,0.5212222222222223,0.52764,0.51795,0.06896551724137931,0.1,0.21739130434782608,0.34782608695652173,4.888888888888889,25.5,0.2988505747126437,2.0,,1.0,,,2.0,2.0,6.0,,,,,,2.0,,1.0,1.0,,,,0.2857142857142857,0.2857142857142857,0.5,0.037037037037037035,,,,,,,0.3333333333333333,,1.0,1.0,5.0,0.25,0.125,0.5,0.2631578947368421,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203914,1610612753,Gary Harris,Gary Harris,203914,ORL,2965.0,49,-8.0,89,87,26.0,32,18.0,176,,,,,,,,,3.0,2.0,,,1.0,5.0,,3.0,101,,,,,,,,3.0,,3.0,2.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,,,,,,2.0,6.0,,,,,,,,1.0,,1.0,1.0,3.0,26.0,1.0,,,,1.0,0.2,0.2,,,,0.3,,0.5,0.3,,0.5,1.0,4.385964912280702,,0.10526315789473684,0.03225806451612903,0.08333333333333333,,0.0967741935483871,0.018518518518518517,0.1111111111111111,,,0.1111111111111111,,0.1,1.0,,,,,,0.6,,,,0.4,,,,,,1.0,0.46947,0.434775,0.40140000000000003,,,,1.0,,24.580000000000002,0.29213483146067415,,,,1.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,0.25,,,,,,,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,2.0,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
202709,1610612753,Cory Joseph,Cory Joseph,202709,ORL,840.0,14,,25,25,3.0,5,1.0,50,,,,,,,,,1.0,1.0,,,1.0,2.0,,3.0,26,,,,,,,,,,3.0,1.0,,1.0,1.0,,,3.0,,,,1.0,1.0,,1.0,,,,,,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,3.0,,,,,1.0,0.5,0.5,,,,0.75,,,0.75,,,1.0,7.692307692307692,,0.125,,,,0.07692307692307693,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,1.0,0.551925,,,,,,,,25.450000000000003,0.12,,,,,1.0,,,,1.0,1.0,,,,,,,,,,0.3333333333333333,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203484,1610612753,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,ORL,1420.0,24,-5.0,42,43,3.0,20,3.0,85,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,,3.0,49,,,,,,,,,,3.0,1.0,,,,,,,,,2.0,1.0,3.0,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,,,,,1.0,0.5,0.5,,,,0.75,,,0.75,,,1.0,4.3478260869565215,,0.07692307692307693,,0.3333333333333333,,0.15789473684210525,,,,,0.125,,0.3333333333333333,,,,,,,0.5,1.0,1.0,1.0,0.5,,,,,,1.0,0.5574,,,,,,,,24.15,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1629048,1610612753,Goga Bitadze,Goga Bitadze,1629048,ORL,143.0,2,-7.0,4,4,,4,1.0,8,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1630175,1610612753,Cole Anthony,Cole Anthony,1630175,ORL,1850.0,31,-2.0,55,51,15.0,22,11.0,106,1.0,1.0,,,,,1.0,,,2.0,4.0,7.0,,2.0,,8.0,58,,,,,1.0,2.0,,2.0,8.0,,2.0,,1.0,1.0,1.0,,3.0,2.0,1.0,2.0,1.0,3.0,3.0,6.0,,,6.0,1.0,,,7.0,4.0,9.0,,1.0,,,,,,,,1.0,,2.0,15.0,1.0,,1.0,1.0,,,,0.5714285714285714,,0.5,0.4444444444444444,,0.5,0.4444444444444444,,0.5,0.2222222222222222,22.535211267605636,0.8571428571428571,0.09090909090909091,0.0625,0.2857142857142857,0.125,0.16666666666666666,0.09375,,0.14285714285714285,,0.2,,0.2,,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,,,,,0.2222222222222222,,,,,,0.3333333333333333,0.49851875,0.54645,0.38665,,,,0.25,12.457142857142856,30.8,0.2727272727272727,,3.0,5.0,,,,,,,,,,,,6.0,1.0,,,,,,,,0.5555555555555556,0.6,0.6,,,,,,,2.0,2.0,1.0,0.125,,0.5,0.2,1.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1631094,1610612753,Paolo Banchero,Paolo Banchero,1631094,ORL,2214.0,37,-1.0,66,66,13.0,23,12.0,132,4.0,5.0,1.0,1.0,,,8.0,,,7.0,9.0,20.0,4.0,7.0,4.0,34.0,76,1.0,4.0,,2.0,,,1.0,7.0,,6.0,7.0,3.0,2.0,5.0,1.0,1.0,12.0,1.0,2.0,1.0,5.0,7.0,3.0,10.0,1.0,,5.0,1.0,,2.0,6.0,,2.0,,8.0,,6.0,,3.0,,,,,,7.0,13.0,,,,,0.5,0.5714285714285714,0.5714285714285714,0.45,0.25,,0.5555555555555556,0.2,1.5,0.5666666666666667,0.2,1.1666666666666667,0.25925925925925924,43.90243902439025,0.8333333333333334,0.25,0.09090909090909091,0.125,0.07142857142857142,0.21428571428571427,0.08333333333333333,,0.1,,0.2222222222222222,,0.125,,0.18518518518518517,0.8,0.8,,0.2962962962962963,,,,,0.25925925925925924,0.2,1.0,,,,0.4444444444444444,0.5038555555555555,0.4485333333333334,0.553125,0.1,0.13043478260869565,0.058823529411764705,0.20588235294117646,10.41,26.28571428571428,0.19696969696969696,2.0,3.0,7.0,,4.0,2.0,2.0,18.0,4.0,1.0,1.0,1.0,,1.0,3.0,3.0,,,,0.42857142857142855,0.25,0.2857142857142857,,0.25925925925925924,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5,,1.0,0.5714285714285714,1.0,1.0,1.0,0.16666666666666666,,,0.07692307692307693,0.2,,2.0,2.0,1.0,,1.0,,,1.0,,,,,,6.0,2.0,1.0,1.0,0.05,0.125,True,,,,,,,,,,,,,,,,,,,,,,,
