EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsPutbacks,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,SecondChanceFtPoints,FTDefRebounds,Travels,Offensive Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,on,SelfOReb,Technical Free Throw Trips,LongMidRangePctBlocked,SelfORebPct,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,DefensiveGoaltends,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,OffensiveGoaltends
1628379,1610612747,Luke Kennard,Luke Kennard,1628379,LAL,2218.5,37,-7.0,70,69,8.0,20.0,8.0,139,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,5.0,4.0,7.0,7.0,23.0,83.0,2.0,2.0,2.0,9.0,3.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,7.0,2.0,1.0,8.0,0.5,0.5,0.75,0.5714285714285714,0.5714285714285714,0.4,0.6666666666666666,0.7666666666666667,0.5833333333333334,0.2,0.5,23.076923076923077,1.0,0.08695652173913043,0.05405405405405406,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.5,1.0,0.16666666666666666,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.75,0.6666666666666666,0.5329375,0.557925,0.2,0.2857142857142857,0.125,7.040000000000001,26.814285714285713,0.11428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1629020,1610612747,Jarred Vanderbilt,Jarred Vanderbilt,1629020,LAL,4514.299999999999,75,-7.0,135,142,27.0,53.0,20.0,277,6.0,9.0,4.0,,,7.0,,,2.0,,8.0,13.0,1.0,9.0,1.0,20.0,156.0,,14.0,2.0,3.0,,2.0,,3.0,1.0,1.0,2.0,1.0,,,,5.0,11.0,19.0,24.0,,,,1.0,,4.0,12.0,2.0,3.0,2.0,,27.0,0.875,1.0,1.0,0.1111111111111111,0.1111111111111111,0.6153846153846154,0.4318181818181818,0.43478260869565216,0.4090909090909091,0.23076923076923078,0.1111111111111111,15.384615384615383,,0.2682926829268293,0.24358974358974358,0.2727272727272727,0.375,0.4090909090909091,0.6666666666666666,0.75,0.18181818181818182,,,,,0.3181818181818182,0.09090909090909091,,,,,,0.8181818181818182,,0.5531909090909092,0.7094,0.08695652173913043,0.14285714285714285,,2.9461538461538463,23.91111111111111,0.2,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,8.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,0.05555555555555555,0.21621621621621623,0.12,0.08196721311475409,0.1,0.13333333333333333,0.1,0.18181818181818182,0.2222222222222222,0.2,0.8333333333333334,0.5,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,0.6666666666666666,0.5,1.0,1.0,0.5251666666666667,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1629028,1610612747,Deandre Ayton,Deandre Ayton,1629028,LAL,2344.1,39,-14.0,68,69,5.0,23.0,11.0,137,2.0,4.0,6.0,2.0,2.0,,,,,,6.0,12.0,,,2.0,14.0,87.0,,12.0,,,,,,2.0,,2.0,2.0,2.0,,,,6.0,1.0,6.0,10.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,,5.0,1.0,1.0,,,,0.5,0.5,0.5384615384615384,,0.16666666666666666,,21.51898734177215,0.5,0.06666666666666667,0.14285714285714285,0.1111111111111111,,0.3333333333333333,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,,,,,,,,0.3333333333333333,,0.48185000000000006,0.5939,0.07692307692307693,0.07692307692307693,,5.849999999999999,,0.07352941176470588,1.0,3.0,,1.0,2.0,,1.0,4.0,4.0,,1.0,,,,,4.0,4.0,4.0,1.0,1.0,,,2.0,1.0,,,,,0.25,,0.25,,0.4,,0.3333333333333333,0.18181818181818182,0.2,,0.11764705882352941,0.07692307692307693,,,,0.2857142857142857,,1.0,0.3333333333333333,0.5,1.0,,,,0.75,0.3333333333333333,1.0,,0.531525,0.2857142857142857,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.4,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1629060,1610612747,Rui Hachimura,Rui Hachimura,1629060,LAL,2122.6,35,-5.0,65,67,13.0,30.0,7.0,132,,,1.0,4.0,6.0,3.0,,1.0,2.0,,4.0,7.0,3.0,5.0,,17.0,75.0,,8.0,,9.0,,2.0,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,3.0,3.0,,,,,,1.0,4.0,,,,,13.0,1.0,1.0,1.0,0.6,0.6,0.5714285714285714,0.7083333333333334,0.7083333333333334,0.4166666666666667,,,16.216216216216218,,0.045454545454545456,0.07692307692307693,0.07142857142857142,,,,,0.08333333333333333,0.5,0.6666666666666666,0.6666666666666666,1.0,0.25,0.16666666666666666,0.5,0.5,1.0,,,0.4166666666666667,0.5,0.4817916666666666,,,,,15.128571428571428,24.6,0.2,,,,,,2.0,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,1.5,,1.5,,,,0.11764705882352941,,,,,,,0.16666666666666666,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.17647058823529413,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
203935,1610612747,Marcus Smart,Marcus Smart,203935,LAL,2039.6,34,-5.0,64,71,23.0,40.0,8.0,135,1.0,2.0,4.0,,,,,1.0,2.0,,3.0,6.0,1.0,2.0,2.0,11.0,73.0,,,6.0,3.0,,2.0,1.0,1.0,7.0,1.0,8.0,1.0,,2.0,1.0,17.0,,1.0,2.0,2.0,2.0,,3.0,2.0,2.0,4.0,2.0,4.0,2.0,,23.0,,,1.0,0.5,0.5,0.5,0.5625,0.55,0.25,0.16666666666666666,,18.30985915492958,0.6666666666666666,,,,,0.25,0.5,0.5,0.5,,,,,,0.25,0.5,0.5,1.0,,,0.5,0.5,0.5078125,0.51915,0.2,0.25,,5.1000000000000005,25.9,0.359375,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,,,,1.0,4.0,1.0,3.0,,1.0,1.0,1.0,,4.0,,1.0,0.5,1.0,0.5,1.0,0.5,0.25,,,,,,,,,,,,0.5,0.6666666666666666,,,,,1.0,1.0,0.5,0.5,0.4768,0.18181818181818182,0.36363636363636365,,1.0,,,,1.0,,1.0,1.0,1.0,0.25,,,1.0,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2544,1610612747,LeBron James,LeBron James,2544,LAL,3797.6,63,-6.0,110,117,20.0,39.0,17.0,227,1.0,2.0,5.0,3.0,8.0,1.0,,6.0,12.0,4.0,6.0,15.0,6.0,13.0,7.0,37.0,131.0,4.0,6.0,6.0,6.0,12.0,12.0,6.0,,9.0,2.0,11.0,1.0,1.0,2.0,3.0,24.0,5.0,13.0,13.0,3.0,2.0,1.0,5.0,,1.0,5.0,9.0,10.0,4.0,,20.0,0.5,0.5,0.3333333333333333,0.46153846153846156,0.46153846153846156,0.4,0.5357142857142857,0.5606060606060606,0.4642857142857143,,,29.6875,0.6,0.16129032258064516,0.19047619047619047,0.15789473684210525,0.14285714285714285,0.07142857142857142,0.5,0.5,0.17857142857142858,0.2857142857142857,0.375,0.375,0.3333333333333333,0.03571428571428571,0.42857142857142855,0.5,0.5,0.3333333333333333,,0.6666666666666666,0.5357142857142857,0.5,0.46011964285714285,0.4724916666666667,0.125,0.21052631578947367,,12.846666666666666,27.230769230769234,0.18181818181818182,,,,1.0,2.0,,1.0,1.0,4.0,,2.0,9.0,,4.0,,,7.0,,1.0,,1.0,1.0,2.0,,3.0,,9.0,1.0,1.0,,0.5,0.5,0.6666666666666666,0.5625,,,0.21875,,,,,,0.2,0.20833333333333334,0.25,1.0,0.4,0.4,0.5,,,,,,0.16666666666666666,,0.3716,0.10810810810810811,0.24324324324324326,2.0,1.0,1.0,,,,,,,,0.25,,,,,,1.0,,1.0,,0.5,,,,,2.0,2.0,3.0,1.0,1.0,1.0,0.5,0.5,,,,,True,,,,,,,,,,,,,,,,,,
1630559,1610612747,Austin Reaves,Austin Reaves,1630559,LAL,538.2,9,-23.0,15,19,,1.0,3.0,34,1.0,2.0,2.0,,,1.0,,,,,1.0,4.0,,1.0,,2.0,31.0,,,2.0,,,,,,3.0,,3.0,,,,1.0,6.0,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,0.25,0.2,0.2,0.2,,,27.77777777777778,,0.3333333333333333,0.2857142857142857,0.5,,0.4,0.5,0.5,0.4,,,,,0.2,,,,,,,0.6,,0.49424999999999997,,,,,4.45,22.1,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1631222,1610612747,Jake LaRavia,Jake LaRavia,1631222,LAL,1296.0,22,11.0,38,41,12.0,21.0,9.0,79,2.0,2.0,3.0,,,,,,1.0,1.0,2.0,5.0,,1.0,,4.0,36.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,2.0,4.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,12.0,0.5,1.0,,,,0.4,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2,,15.217391304347826,1.0,0.0625,0.06896551724137931,0.14285714285714285,,0.3333333333333333,1.0,1.0,0.5,,,,,,0.16666666666666666,,,,,0.3333333333333333,0.5,,0.4887666666666666,0.5039333333333333,,,,5.5,25.3,0.3157894736842105,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,,1.0,2.0,1.0,,1.0,,,,1.0,,2.0,,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.07692307692307693,0.4,0.13333333333333333,,,0.6666666666666666,,,0.2,0.5,,,,,,,1.0,1.0,0.3333333333333333,1.0,,0.5,0.5,,,,,,2.0,1.0,1.0,2.0,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1642355,1610612747,Bronny James,Bronny James,1642355,LAL,1360.6,23,9.0,36,37,2.0,7.0,6.0,73,2.0,2.0,1.0,,,,,1.0,1.0,,2.0,3.0,1.0,1.0,,7.0,37.0,,2.0,2.0,,3.0,1.0,1.0,,2.0,1.0,3.0,1.0,,,,7.0,,,1.0,1.0,,1.0,2.0,,1.0,3.0,,,,,2.0,0.5,0.5,,1.0,1.0,0.6666666666666666,0.875,0.875,0.25,,,13.636363636363637,0.5,,,,,0.5,1.0,1.0,0.25,,,,,,0.25,1.0,1.0,,,,0.75,1.0,0.546275,0.5427,,,,4.966666666666667,25.0,0.05555555555555555,,,1.0,1.0,,,,,3.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,,,,1.0,1.0,,,,2.0,,,1.0,1.5,1.0,1.5,1.0,,,,0.125,0.058823529411764705,,0.3333333333333333,,,,,0.5,,,,,,,,,1.0,1.0,,0.42857142857142855,0.2857142857142857,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,
1629637,1610612747,Jaxson Hayes,Jaxson Hayes,1629637,LAL,2059.2,34,3.0,62,66,19.0,28.0,8.0,128,2.0,2.0,,,,,,,,,2.0,2.0,,,7.0,11.0,65.0,,4.0,,,,,,,,1.0,1.0,,1.0,,,3.0,3.0,3.0,6.0,2.0,1.0,1.0,2.0,,2.0,5.0,8.0,10.0,5.0,,19.0,1.0,1.0,,,,1.0,1.0,0.9166666666666666,,,,11.267605633802818,1.0,0.11538461538461539,0.07317073170731707,0.15384615384615385,0.25,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,0.53515,,1.0,1.0,,2.9000000000000004,,0.3064516129032258,,,,,,,,,3.0,,,5.0,,,1.0,2.0,,3.0,,,,,,,2.0,2.0,5.0,2.0,,,,,0.75,0.8333333333333334,,0.14285714285714285,,0.09090909090909091,0.12,0.2857142857142857,0.14285714285714285,,,,,1.0,,,,,,,,,,,,0.2727272727272727,0.45454545454545453,3.0,,,,,4.0,,4.0,4.0,3.0,,,,0.75,,,,,,,,,,,,,,5.0,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,
