EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FtPoints,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,DefTwoPtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefTwoPtReboundPct,DefShortMidRangeReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,TwoPtAssists,LongMidRangeAssists,FTOffRebounds,OffRebounds,Steals,BadPassSteals,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyFg3Pct,LiveBallTurnoverPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceFtPoints,ShortMidRangeAssists,PtsAssisted2s,PtsUnassisted3s,OffTwoPtRebounds,LostBallTurnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeFGM,Fg2aBlocked,Corner3Assists,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,on,LostBallSteals,Offensive Fouls Drawn,SecondChanceArc3FGA,AtRimAssists,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,FTDefRebounds,Loose Ball Fouls,DefFTReboundPct,PenaltyCorner3Frequency,BlockedLongMidRange,Travels,OffCorner3ReboundPct,PenaltyCorner3FGM,Charge Fouls Drawn,PenaltyCorner3Accuracy,Blocked3s,BlockedCorner3
1626145,1610612743,Tyus Jones,Tyus Jones,1626145,DEN,268.1,4.0,1.0,9.0,10,9.0,5,1.0,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,9.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,20.0,0.5,1.0,1.0,0.5,0.5,0.5,0.482125,0.482125,1.0,10.8,25.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628971,1610612743,Bruce Brown,Bruce Brown,1628971,DEN,692.5,12.0,7.0,24.0,25,7.0,8,4.0,49,,1.0,,,2.0,4.0,,5.0,23.0,1.0,1.0,,2.0,4.0,,2.0,7.0,0.5,1.0,0.5,1.0,0.5,1.0,,17.857142857142854,0.25,,,,,0.5,0.563975,0.6055,0.4,5.9,,0.2916666666666667,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.375,0.2727272727272727,0.5,0.5,1.0,1.0,0.25,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629661,1610612743,Cameron Johnson,Cameron Johnson,1629661,DEN,162.5,3.0,-5.0,5.0,6,1.0,6,1.0,11,,,,,,,,1.0,6.0,,,,1.0,,,1.0,1.0,,,,,0.5,0.5,,16.666666666666668,,,,,,,,,1.0,,,0.2,,,,,,1.0,,,,,1.0,2.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630192,1610612743,Zeke Nnaji,Zeke Nnaji,1630192,DEN,1143.5,19.0,-3.0,39.0,41,15.0,16,6.0,80,1.0,1.0,,,1.0,1.0,1.0,10.0,46.0,,,,2.0,2.0,,2.0,15.0,1.0,,1.25,,1.0,1.0,0.5,11.11111111111111,0.5,1.0,1.0,,,0.5,0.525675,,0.2,7.2,23.3,0.38461538461538464,,,,,,5.0,,1.0,,2.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,3.0,0.09090909090909091,0.11764705882352941,,,,,,,,0.6,0.75,2.0,1.0,,,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.525675,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203501,1610612743,Tim Hardaway Jr.,Tim Hardaway Jr.,203501,DEN,520.5,9.0,3.0,19.0,20,7.0,8,2.0,39,,,3.0,1.0,,,3.0,6.0,19.0,,,1.0,5.0,,3.0,5.0,7.0,,,0.5,1.5,0.6,1.25,1.0,28.571428571428573,,,,1.0,1.0,1.0,0.49994999999999995,0.55335,0.8333333333333334,,25.599999999999998,0.3684210526315789,,,,,,3.0,,,,,1.0,1.0,1.0,,,3.0,4.0,2.0,0.2,0.125,0.25,,,,,,,0.4,1.0,2.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629618,1610612743,Jalen Pickett,Jalen Pickett,1629618,DEN,250.0,4.0,,8.0,9,8.0,4,1.0,17,,,,,,,,1.0,10.0,,,,1.0,,,1.0,8.0,,,,,0.5,0.5,,11.11111111111111,,,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,2.0,,,,,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631124,1610612743,Julian Strawther,Julian Strawther,1631124,DEN,654.0,11.0,2.0,22.0,23,14.0,10,4.0,45,1.0,1.0,3.0,3.0,1.0,3.0,3.0,6.0,29.0,1.0,2.0,3.0,6.0,,3.0,6.0,14.0,0.3333333333333333,0.5,0.4166666666666667,0.5,0.42857142857142855,0.5,0.5,30.769230769230766,0.16666666666666666,1.0,1.0,0.5,0.6,0.8333333333333334,0.5332166666666667,0.51144,1.0,3.766666666666667,26.166666666666668,0.6363636363636364,,2.0,,1.0,,1.0,,,,,2.0,2.0,3.0,,1.0,2.0,2.0,,0.2857142857142857,0.2,0.25,0.3333333333333333,,,,0.2,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,0.3333333333333333,,0.3333333333333333,,,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641747,1610612743,DaRon Holmes II,DaRon Holmes II,1641747,DEN,250.0,4.0,,8.0,9,8.0,4,1.0,17,,,,,,,,,10.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,0.6666666666666666,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627750,1610612743,Jamal Murray,Jamal Murray,1627750,DEN,700.0,12.0,-6.0,24.0,24,,4,4.0,48,,1.0,3.0,,2.0,9.0,3.0,4.0,28.0,,,,,2.0,3.0,,,0.2222222222222222,,0.16666666666666666,,0.16666666666666666,,0.25,42.857142857142854,0.08333333333333333,,,0.25,,0.3333333333333333,0.46550833333333336,,,14.61111111111111,25.599999999999998,,,1.0,,,7.0,,2.0,2.0,,6.0,,,1.0,,,,,,,,,0.08333333333333333,,,0.5833333333333334,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.4208,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,0.5,0.5,0.1,0.0625,,,2.0,1.0,2.0,0.1111111111111111,1.0,0.5,0.2857142857142857,0.2857142857142857,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642461,1610612743,Spencer Jones,Spencer Jones,1642461,DEN,518.4000000000001,9.0,4.0,18.0,18,1.0,1,3.0,36,,,,,,,1.0,3.0,17.0,,,,,,,,1.0,,,1.5,,1.5,,1.0,4.761904761904762,,,,,,1.0,0.4929,,,,23.3,0.05555555555555555,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,3.0,,,,,,,,1.0,1.0,1.0,1.0,,1.5,1.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4929,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
