EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,FG2A,OpponentPoints,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,Rebounds,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyOffPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefRebounds,Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,PenaltyAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted2s,TwoPtAssists,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceArc3Frequency,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,DefTwoPtRebounds,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,SelfOReb,SelfORebPct,AtRimPctAssisted,Corner3FGM,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimAssists,PenaltyTurnovers,on,SecondChanceFtPoints,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallSteals,SecondChanceTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGA,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,LostBallOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,OffensiveGoaltends,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangeFGM,PenaltyCorner3FGM,LongMidRangeAssists,FTOffRebounds,LongMidRangePctBlocked,OffFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Fg3aBlocked,Technical Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked
1627827,1610612745,Dorian Finney-Smith,Dorian Finney-Smith,1627827,HOU,81.0,1,-6.0,3,3,1.0,1,6,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,16.666666666666668,0.25,0.25,1.0,1.0,1.0,1.0,0.6074,0.6074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629006,1610612745,Josh Okogie,Josh Okogie,1629006,HOU,719.0,12,-8.0,21,24,6.0,4,45,1.0,1.0,1.0,37,1.0,1.0,1.0,2.0,7.4074074074074066,0.125,0.08333333333333333,,0.5,1.0,1.0,0.5381,0.5752,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.75,1.5,0.75,1.5,0.5,0.25,0.1,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.501,1.0,0.8,25.2,0.19047619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641708,1610612745,Amen Thompson,Amen Thompson,1641708,HOU,716.3,12,-12.0,22,22,1.0,2,44,1.0,,4.0,34,,,,,30.769230769230766,,,,0.2,,0.4,0.52289,,7.0,,,,,,1.0,6.0,,,4.0,,,,,,,3.0,,4.0,7.0,,,,,0.2,0.5,0.42857142857142855,0.6666666666666666,0.2,,,,,,,,,,,,0.59625,0.6666666666666666,9.15,24.0,0.3181818181818182,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.25,1.0,1.0,0.5,0.4,0.5,0.5,1.0,0.2,0.2,0.5,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642263,1610612745,Reed Sheppard,Reed Sheppard,1642263,HOU,1166.0,19,-26.0,36,38,4.0,7,74,2.0,,6.0,62,,,,1.0,35.41666666666667,,,,0.14285714285714285,,0.7142857142857143,0.5075571428571429,0.43965,10.0,4.0,8.0,2.0,4.0,4.0,8.0,14.0,2.0,4.0,6.0,12.0,8.0,4.0,1.0,1.0,1.0,,,6.0,10.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,0.3333333333333333,0.1111111111111111,,1.0,0.5714285714285714,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5347416666666667,0.42857142857142855,6.216666666666666,26.737499999999997,0.2777777777777778,1.0,1.0,4.0,,,1.0,,,2.0,,,1.0,2.0,5.0,,12.0,,,2.0,1.0,3.0,,,1.0,1.0,,1.0,,,,0.16666666666666666,,0.16666666666666666,0.5,0.6666666666666666,,0.2857142857142857,0.25,0.25,,,,0.16666666666666666,,,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203991,1610612745,Clint Capela,Clint Capela,203991,HOU,1307.3,22,-20.0,41,43,9.0,8,84,6.0,5.0,8.0,65,5.0,4.0,5.0,7.0,16.666666666666664,0.18181818181818182,0.17857142857142858,0.14285714285714285,0.75,1.0,0.75,0.53035,0.579275,15.0,,,,,,,6.0,,,2.0,,,,,2.0,1.0,,,2.0,15.0,,,,,0.375,0.5,0.375,0.5,,,0.125,0.23076923076923078,,,,,,,,,0.55175,0.3333333333333333,2.3625,,0.36585365853658536,2.0,1.0,2.0,,,3.0,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,0.3333333333333333,1.0,0.375,0.5,0.125,,1.0,,0.25,0.5,1.0,1.0,,,1.0,,,,,4.0,,,,,1.0,,,,2.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,0.4,0.4,0.4,0.5,0.2,0.16666666666666666,0.2,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628988,1610612745,Aaron Holiday,Aaron Holiday,1628988,HOU,127.0,2,7.0,4,5,5.0,1,9,1.0,,1.0,2,,,,,20.0,,,,1.0,,1.0,0.6904,,4.0,,,,,,,2.0,,,2.0,,,,,,,,,2.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.6904,1.0,1.6,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630256,1610612745,Jae'Sean Tate,Jae'Sean Tate,1630256,HOU,298.0,5,,12,12,8.0,3,24,4.0,2.0,4.0,14,2.0,2.0,2.0,4.0,33.333333333333336,0.3333333333333333,0.2857142857142857,,0.8,1.0,1.0,0.57677,0.62215,8.0,,1.0,,1.0,,1.0,4.0,,1.0,2.0,,1.0,,1.0,2.0,,,,2.0,8.0,,,,,0.4,0.5,0.4,0.5,0.2,0.25,0.2222222222222222,0.5,0.3333333333333333,0.2,,,,0.5,,,0.516975,0.5,1.475,25.4,0.6666666666666666,1.0,,,,,2.0,,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,0.5,,,,,2.0,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,0.2,,,,0.5,0.5,0.5,,1.0,,1.0,0.3333333333333333,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631120,1610612745,JD Davison,JD Davison,1631120,HOU,127.0,2,7.0,4,5,5.0,1,9,,,,2,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631095,1610612745,Jabari Smith Jr.,Jabari Smith Jr.,1631095,HOU,1099.3,18,-21.0,34,35,3.0,6,69,,,2.0,55,,,,3.0,9.30232558139535,,,,,,0.5,0.4849,,11.0,,,,,2.0,2.0,6.0,,,,6.0,,,1.0,3.0,3.0,1.0,,,11.0,1.0,1.0,,1.0,0.75,,0.75,,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,16.0,23.549999999999997,0.3235294117647059,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,0.3333333333333333,,,,0.5,,,,,,,,,2.0,0.5,0.5,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631106,1610612745,Tari Eason,Tari Eason,1631106,HOU,615.3,10,-12.0,21,20,3.0,5,41,3.0,3.0,4.0,30,4.0,3.0,3.0,3.0,13.793103448275863,0.2,0.17647058823529413,,0.75,0.75,0.75,0.5676249999999999,0.6003999999999999,11.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,,11.0,,,,,0.25,,0.25,,,,,0.3,,,,,,,,,0.4693,,3.3,,0.5238095238095238,,,1.0,,,1.0,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,0.25,,,,,,0.25,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,1.0,2.0,2.0,,,,0.25,0.25,0.25,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.3333333333333333,,,,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
