EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Minutes,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,DefThreePtRebounds,BlockedShortMidRange,DefThreePtReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,ShortMidRangeFGM,SecondChanceArc3FGA,PtsUnassisted3s,ShortMidRangeAssists,LongMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,ThreePtAssists,Arc3Assists,BadPassSteals,Technical Free Throw Trips,ShortMidRangePctBlocked,DefArc3ReboundPct,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SelfOReb,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctAssisted,on,Corner3Assists,SecondChanceFG2M,PtsPutbacks,Travels,SecondChanceFg2Pct,SecondChanceEfgPct,Blocked3s,BlockedCorner3,SecondChanceAtRimFGM,3SecondViolations,SecondChanceAtRimAccuracy,Corner3FGM,PenaltyCorner3FGM,HeaveAttempts,LostBallOutOfBoundsTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct
1065,1610612754,Erick Strickland,Erick Strickland,1065,IND,8.0,-3.0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,2193.0,-16.0,61,19,122,74,37.0,61.0,26.0,5.0,4.0,6.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,7.0,12.0,1.0,5.0,9.0,26.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,6.0,15.0,8.0,6.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,12.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,15.0,26.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.2,0.25,0.2,0.5833333333333334,0.75,0.5,0.5625,0.5652173913043478,0.25,0.625,0.29411764705882354,0.16666666666666666,0.3333333333333333,35.61643835616439,0.6666666666666666,0.5,0.08695652173913043,0.07692307692307693,0.07692307692307693,0.06451612903225806,0.07692307692307693,0.1,0.2,0.1,0.125,0.1111111111111111,0.5,0.35294117647058826,0.6666666666666666,1.0,0.25,0.058823529411764705,0.29411764705882354,0.6,0.6,1.0,0.058823529411764705,0.23529411764705882,0.25,0.25,1.0,0.125,1.0,0.125,0.375,0.3333333333333333,0.6470588235294118,0.25,0.41908823529411765,0.3619,0.43634375000000003,0.19047619047619047,0.25,0.038461538461538464,0.5769230769230769,9.858333333333334,26.9,0.4262295081967213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,783.0,-9.0,27,8,52,33,13.0,25.0,8.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,2.0,3.0,,,,4.0,1.0,,,2.0,2.0,,,,4.0,4.0,,,,,,,,,,,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,2.0,1.0,4.0,8.0,,1.0,1.0,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,,1.0,,,,10.344827586206897,,,0.25,0.1111111111111111,,0.25,0.08333333333333333,0.25,,,0.5,,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,0.6162666666666667,0.5113,0.66875,,,,1.0,1.8333333333333333,,0.32,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,610.0,,17,6,36,17,10.0,19.0,10.0,2.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,0.6666666666666666,,,12.5,,,0.2222222222222222,,,0.2,,,,,0.3333333333333333,0.2,,,,,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,0.6666666666666666,,0.49428333333333335,,,,,,,13.8,24.55,0.5263157894736842,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,1610612754,Tim Hardaway,Tim Hardaway,896,IND,2842.0,-20.0,83,28,165,97,47.0,82.0,35.0,10.0,,2.0,,1.0,2.0,,1.0,1.0,,3.0,9.0,,4.0,2.0,5.0,3.0,10.0,,13.0,,,,,1.0,,4.0,,,,4.0,6.0,9.0,3.0,1.0,9.0,9.0,4.0,18.0,,,,,2.0,,2.0,1.0,1.0,3.0,3.0,,,3.0,,,1.0,2.0,,,,,,,,,,,,35.0,,,,0.6666666666666666,0.3,,0.3,0.4,,0.43333333333333335,,0.43333333333333335,,,0.6666666666666666,0.2,0.5,17.475728155339805,1.0,,,,,0.05128205128205128,,,,,,,,0.13333333333333333,,,,0.13333333333333333,0.06666666666666667,,,,0.06666666666666667,0.6,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,,,0.8,,0.8,0.3333333333333333,0.4549566666666667,0.3702,0.46482,,,,,10.18,25.499999999999996,0.4268292682926829,,2.0,,0.18181818181818182,0.5,,,1.0,,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,2530.0,-12.0,75,21,151,84,42.0,76.0,30.0,9.0,1.0,2.0,,,1.0,3.0,12.0,,,,,,,4.0,15.0,,,3.0,11.0,3.0,,,,5.0,,,,,8.0,,,,,1.0,2.0,3.0,1.0,7.0,,,4.0,,5.0,,5.0,3.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,4.0,,,3.0,1.0,,,,,,,,30.0,,1.0,1.0,,,,,0.26666666666666666,,0.26666666666666666,,0.3125,,,,0.06666666666666667,,17.894736842105264,1.0,,0.16,,,0.1388888888888889,,,,,0.25,0.2222222222222222,,0.13333333333333333,0.5,0.5,1.0,0.06666666666666667,0.8,0.25,0.25,1.0,,,,,,,,,,,0.13333333333333333,,0.41229333333333334,0.3934666666666667,0.42074,0.0625,0.0625,,,15.08,,0.39473684210526316,,1.0,,0.09090909090909091,,,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,620.0,-17.0,20,11,39,30,10.0,19.0,15.0,4.0,1.0,2.0,1.0,2.0,,,1.0,,,,1.0,,1.0,1.0,3.0,,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,,1.0,2.0,4.0,,2.0,,1.0,,1.0,,,,,1.0,3.0,,,,4.0,4.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,,,4.0,15.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4,0.3333333333333333,0.4,0.25,0.3333333333333333,0.5,24.0,,,,0.25,0.5,,0.2857142857142857,,1.0,0.5,,,,0.5,0.5,1.0,,,0.25,,,,,0.25,,,,0.5,0.5,,0.25,,0.75,,0.4895625,0.4345,0.4895625,0.25,0.3333333333333333,0.5,1.0,7.033333333333334,24.2,0.7894736842105263,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,0.2857142857142857,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,1646.0,-1.0,48,19,95,49,27.0,47.0,18.0,6.0,1.0,4.0,,,1.0,1.0,4.0,,,,1.0,,1.0,2.0,9.0,,1.0,,4.0,4.0,,,,2.0,,1.0,,,2.0,2.0,,1.0,,,2.0,3.0,,7.0,1.0,3.0,1.0,,2.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,2.0,5.0,,1.0,,,,2.0,,,2.0,,,18.0,1.0,0.5,0.5,,,,,0.2222222222222222,,0.2,,0.2,,,0.1,,,21.05263157894737,0.5,,0.0625,0.15789473684210525,0.14285714285714285,0.08333333333333333,0.15384615384615385,0.16666666666666666,0.25,,,,,0.4,0.25,0.25,,0.1,0.4,0.25,0.25,1.0,,0.1,,,,,,,0.3333333333333333,,0.5,,0.458805,0.5040666666666667,0.42641666666666667,,,,,10.588888888888889,25.1,0.3829787234042553,2.0,1.0,2.0,0.125,0.5,0.5,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,0.1111111111111111,1.0,1.0,0.16666666666666666,0.125,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,2553.0,-9.0,72,21,145,80,43.0,73.0,28.0,10.0,2.0,5.0,,,5.0,1.0,2.0,,,,,,,5.0,12.0,,,4.0,14.0,1.0,2.0,2.0,3.0,4.0,,,,6.0,6.0,4.0,,,,,,1.0,,3.0,,3.0,10.0,2.0,15.0,3.0,18.0,1.0,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,3.0,,2.0,4.0,1.0,1.0,2.0,2.0,,2.0,1.0,6.0,28.0,,0.6,0.6,,,,,0.4166666666666667,0.75,0.4166666666666667,0.75,0.5,0.5,0.75,,,,18.085106382978726,0.3333333333333333,0.6666666666666666,0.37037037037037035,0.08108108108108109,,0.3611111111111111,0.06,0.06666666666666667,,,0.3333333333333333,0.5,0.5,0.4166666666666667,0.4,0.4,1.0,0.4166666666666667,0.16666666666666666,0.5,0.5,,,,,,,,,,,,0.4166666666666667,,0.4625000000000001,0.3814,0.357875,0.07692307692307693,0.07692307692307693,0.14285714285714285,0.42857142857142855,6.608333333333333,,0.3835616438356164,1.0,3.0,,0.3333333333333333,,1.0,,,,2.0,,,,,0.4,0.4,,1.0,1.0,,,,0.42857142857142855,,,0.13333333333333333,,,0.25,,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,226.0,-9.0,7,3,12,13,4.0,5.0,3.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,20.0,,,0.5,0.3333333333333333,,0.3333333333333333,0.2222222222222222,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.42395,0.473,,,,,,2.35,,0.6,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
