EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,Fouls,FG3APct,Usage,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ShortMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallSteals,PenaltyTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGA,PtsUnassisted3s,Corner3Assists,AtRimAssists,BadPassOutOfBoundsTurnovers,LongMidRangeFrequency,LongMidRangeFGM,LiveBallTurnovers,LostBallTurnovers,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,LiveBallTurnoverPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,FTDefRebounds,DefFTReboundPct,DefShortMidRangeReboundPct,LongMidRangeAssists,BadPassTurnovers,LongMidRangePctAssisted,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,FTOffRebounds,Technical Free Throw Trips,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,SecondChanceTurnovers,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations
1088,1610612765,Chucky Atkins,Chucky Atkins,1088,DET,749.0,12,-16.0,23,25,7.0,1,48,1.0,1.0,36,1.0,1.0,1.0,4.166666666666667,1.0,1.0,0.35145,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,1610612765,Zeljko Rebraca,Zeljko Rebraca,1442,DET,1742.0,29,5.0,56,57,21.0,6,113,,,62,,9.0,,33.333333333333336,,0.35294117647058826,0.4380529411764705,,21.0,4.0,6.0,1.0,2.0,1.0,2.0,2.0,11.0,6.0,17.0,5.0,17.0,2.0,3.0,4.0,2.0,5.0,4.0,8.0,8.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,6.0,1.0,1.0,7.0,1.0,2.0,2.0,8.0,21.0,2.0,0.6666666666666666,0.8,0.35294117647058826,0.6666666666666666,0.4,0.35294117647058826,0.6666666666666666,0.4,0.425,0.6666666666666666,0.5,0.11764705882352941,0.16666666666666666,0.09090909090909091,0.3333333333333333,0.05555555555555555,0.2,0.1875,0.08695652173913043,0.2,0.25,0.5,0.3333333333333333,0.35294117647058826,0.6666666666666666,0.8,0.5,0.6470588235294118,0.18181818181818182,0.2,1.0,0.6666666666666666,0.5,0.4,0.5,0.4831,0.43368,0.1111111111111111,0.1111111111111111,0.23529411764705882,0.47058823529411764,6.417647058823529,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,1610612765,Mehmet Okur,Mehmet Okur,2246,DET,616.0,10,-9.0,18,20,9.0,1,38,,,24,,1.0,,10.526315789473685,,,0.39844999999999997,,7.0,,,,,,,1.0,2.0,1.0,2.0,,2.0,,,,1.0,1.0,,2.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,2.0,7.0,,1.0,1.0,0.5,,1.0,0.5,,1.0,0.5,,1.0,,,,,0.125,,0.2,0.1,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,0.426,,,,1.0,8.2,0.3888888888888889,1.0,1.0,1.0,3.0,1.0,0.5,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,730.0,12,,24,25,19.0,2,49,3.0,4.0,26,3.0,,0.5,34.61538461538461,0.375,0.75,0.48415,25.9,17.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,4.0,,11.0,1.0,1.0,2.0,1.0,2.0,,11.0,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,11.0,17.0,,,,0.25,1.0,0.5,0.6875,1.0,0.9166666666666666,0.6875,1.0,0.9166666666666666,,,,,0.1111111111111111,,,0.08333333333333333,0.5,,,,0.25,0.5,0.5,,0.25,,,,1.0,1.0,0.3333333333333333,0.5,0.6569,0.5248333333333334,,,0.18181818181818182,1.0,4.775,0.7083333333333334,,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,9.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.75,0.75,0.75,0.25,0.125,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1610612765,Jon Barry,Jon Barry,468,DET,1416.0,24,-7.0,44,45,19.0,4,89,3.0,5.0,55,3.0,1.0,0.8333333333333334,14.583333333333334,0.5,0.8333333333333334,0.49668333333333337,24.9,17.0,,,,,,,,,,1.0,,9.0,,,,,,,3.0,,,,,,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,,,,,,,3.0,17.0,1.0,,,,,,0.75,,0.75,0.75,,0.75,,,,0.5,0.0625,,0.3,0.05263157894736842,,,1.0,0.4,,,,,,,,,,,,,,0.483,,,,0.3333333333333333,14.9,0.38636363636363635,3.0,6.0,2.0,15.0,,,0.09090909090909091,,1.0,2.0,,,2.0,1.0,2.0,3.0,1.0,2.0,6.0,2.0,3.0,,,,,,,0.6666666666666666,0.6,0.5,0.6,,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,,,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,3.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,1610612765,Corliss Williamson,Corliss Williamson,722,DET,714.0,12,-2.0,23,24,9.0,2,47,,,34,,4.0,,20.0,,0.5,0.52365,,9.0,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,1.0,1.0,,2.0,,,,,,,,,2.0,2.0,1.0,,2.0,2.0,,1.0,,1.0,9.0,,,,0.5,,,0.5,,,0.5,,0.5,,,,,,,,,,,,,0.5,,,,0.5,1.0,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,2.4,0.391304347826087,1.0,2.0,,5.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1610612765,Clifford Robinson,Clifford Robinson,361,DET,558.0,9,-1.0,17,16,,2,33,1.0,1.0,20,1.0,,0.3333333333333333,21.05263157894737,0.3333333333333333,0.6666666666666666,0.5141333333333332,24.6,,,1.0,,,,,,,1.0,2.0,,5.0,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,1.0,,0.8333333333333334,1.0,,0.8333333333333334,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.3657,,,,0.4,,10.05,,1.0,1.0,1.0,3.0,,,,,,,,,1.0,,,1.0,,,3.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,1610612765,Michael Curry,Michael Curry,688,DET,371.0,6,10.0,13,13,2.0,2,26,,,9,,1.0,,6.25,,,,,4.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,474.0,8,14.0,16,15,2.0,3,31,,,9,,,,15.0,,1.0,0.5777,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,,,2.0,1.0,5.0,2.0,7.0,,,,,,2.0,,1.0,,2.0,4.0,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,,,,0.2,0.6666666666666666,,0.4444444444444444,0.4,1.0,,,,1.0,1.0,1.0,0.5,,,,,1.0,1.0,1.0,1.0,0.5718,0.5718,0.3333333333333333,0.3333333333333333,0.5,0.5,,0.25,,,,,3.0,0.75,0.5,0.75,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,474.0,8,14.0,16,15,2.0,3,31,3.0,3.0,9,3.0,,0.5,40.0,0.5,0.6666666666666666,0.5689000000000001,24.366666666666664,4.0,1.0,1.0,,,1.0,1.0,,,3.0,3.0,2.0,11.0,,,,1.0,1.0,,2.0,,6.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,2.0,,1.0,,2.0,4.0,,,,1.0,,1.0,0.75,,0.5,0.7857142857142857,,0.5,,,,0.2,,,0.1111111111111111,,,,,0.3333333333333333,0.16666666666666666,1.0,1.0,,,,,,,,0.5,1.0,,0.69505,0.14285714285714285,0.25,,0.18181818181818182,11.066666666666668,0.25,,1.0,,2.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,0.3333333333333333,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,,,,0.5,,0.3333333333333333,2.0,3.0,,,1.0,0.3333333333333333,2.0,,,,,,,,,1.0,1.0,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
