EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ThreePtAssists,Arc3Assists,FTOffRebounds,BadPassSteals,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Corner3Assists,LostBallOutOfBoundsTurnovers,Travels,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SelfOReb,Technical Free Throw Trips,SelfORebPct,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,FoulsDrawn,Offensive Fouls Drawn
123,1610612740,Robert Pack,Robert Pack,123,NOH,766.0,13,-1.0,22,23,9,7,5,45,1.0,3,1.0,2.0,1.0,2.0,1.0,2,6,4,20,1.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3,4.0,9,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,22.22222222222222,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.6666666666666666,0.5,0.5,0.48341666666666666,0.3537,0.5315333333333333,1.0,5.283333333333333,0.4090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,2948.0,49,8.0,88,89,34,48,12,177,2.0,3,,,,1.0,5.0,5,9,22,84,,,1.0,5.0,8.0,2.0,4.0,4.0,1.0,8.0,3.0,7,5.0,34,2.0,0.8,0.8,0.5555555555555556,,0.5588235294117647,0.375,0.6111111111111112,0.5,20.792079207920793,0.17647058823529413,0.6666666666666666,1.0,0.058823529411764705,,,,0.29411764705882354,,,0.6470588235294118,0.5093617647058822,0.53715,0.5163375,0.22727272727272727,11.855555555555554,0.38636363636363635,3.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,8.0,3.0,1.0,1.0,3.0,2.0,9.0,6.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.375,0.3333333333333333,0.375,0.47058823529411764,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.3,0.06,0.6,1.0,0.6,0.6,0.6666666666666666,0.11764705882352941,1.0,1.0,1.0,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,1.0,0.25,1.0,0.5,0.16666666666666666,0.058823529411764705,0.1111111111111111,25.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,1853.0,31,-12.0,55,57,34,37,10,112,1.0,2,,,,3.0,2.0,2,7,9,65,2.0,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,3.0,34,,0.5,1.0,0.2857142857142857,,0.2857142857142857,,0.45,0.5,16.176470588235293,0.2857142857142857,0.5,0.5,0.42857142857142855,,,,0.2857142857142857,,,0.2857142857142857,0.44534285714285715,0.5615,0.3363,0.3333333333333333,7.8,0.6181818181818182,1.0,,,,,,,,,,,5.0,,,,3.0,,,,,,1.0,6.0,9.0,,,1.0,,,1.0,1.0,,6.0,,1.0,2.0,,,,,,,,1.0,0.14285714285714285,0.15151515151515152,,,0.5,0.5,1.0,,,,,,,,,,,,,,0.125,0.125,,1.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,0.5,0.5,0.625,0.25,0.15384615384615385,0.07407407407407407,0.2,0.09375,0.1111111111111111,0.16666666666666666,0.25,0.2222222222222222,0.25,0.07692307692307693,0.2,1.0,0.5,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,5597.0,93,13.0,169,170,61,66,27,339,5.0,13,1.0,5.0,1.0,3.0,6.0,10,22,21,161,10.0,3.0,9.0,6.0,10.0,10.0,3.0,4.0,3.0,9.0,7.0,17,6.0,61,2.0,0.5,0.8333333333333334,0.45454545454545453,0.3333333333333333,0.45454545454545453,0.3333333333333333,0.45652173913043476,0.3,14.5,0.5909090909090909,0.38461538461538464,0.38461538461538464,0.13636363636363635,0.3333333333333333,0.5,1.0,0.2727272727272727,0.5555555555555556,0.2,0.5909090909090909,0.47243181818181823,0.5049111111111112,0.4389888888888889,0.2857142857142857,6.15,0.3609467455621302,4.0,,,,,,,,,,,1.0,,,,,,,,1.0,,3.0,19.0,30.0,3.0,1.0,3.0,3.0,1.0,6.0,2.0,2.0,4.0,2.0,2.0,1.0,,,,,,0.045454545454545456,,0.5,0.2,0.20224719101123595,0.25,0.2,0.6666666666666666,0.6666666666666666,0.75,,,,,,,,,,,,,,0.09090909090909091,0.09090909090909091,,4.0,9.0,5.0,1.0,11.0,8.0,1.0,9.0,15.0,1.0,11.0,2.0,0.5,0.5,0.55,0.14285714285714285,0.20270270270270271,0.14516129032258066,0.058823529411764705,0.12658227848101267,0.14285714285714285,0.125,,0.17857142857142858,0.29411764705882354,0.1724137931034483,0.14285714285714285,0.9,0.4444444444444444,0.5238095238095238,1.0,1.0,1.0,2.0,1.0,4.0,5.0,3.0,2.0,5.0,4.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.16,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,2088.0,35,1.0,63,62,16,23,11,125,2.0,3,1.0,1.0,,4.0,2.0,2,9,4,60,,1.0,2.0,2.0,4.0,,1.0,2.0,,5.0,1.0,5,2.0,16,,1.0,1.0,0.2222222222222222,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5,14.666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,,,,0.2222222222222222,0.5,1.0,0.3333333333333333,0.42633333333333334,,0.53195,0.5,7.988888888888888,0.25396825396825395,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,0.14285714285714285,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,1.0,0.15384615384615385,,,,,,,,0.16666666666666666,0.3,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,632.0,11,-5.0,20,21,3,15,3,41,1.0,1,1.0,1.0,,,,1,1,2,24,,1.0,1.0,2.0,2.0,,,,,,1.0,1,2.0,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3478260869565215,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.643,,0.643,1.0,,0.15,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,0.1111111111111111,0.16666666666666666,,0.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,3105.0,52,7.0,92,93,49,50,10,185,1.0,1,1.0,1.0,4.0,5.0,17.0,12,23,36,92,,5.0,13.0,21.0,10.0,14.0,7.0,7.0,1.0,14.0,2.0,2,21.0,49,,0.4166666666666667,0.4166666666666667,0.5217391304347826,0.38461538461538464,0.48214285714285715,0.4642857142857143,0.5294117647058824,0.5526315789473685,37.86407766990291,0.03571428571428571,1.0,1.0,0.17857142857142858,0.8,0.8,0.25,0.6071428571428571,0.07142857142857142,1.0,0.21428571428571427,0.4043535714285715,,0.3920178571428572,0.5833333333333334,15.186956521739129,0.532608695652174,7.0,1.0,1.0,1.0,1.0,,4.0,,,1.0,5.0,9.0,,1.0,1.0,8.0,3.0,4.0,,1.0,4.0,,4.0,4.0,,,4.0,1.0,2.0,5.0,2.0,,13.0,,1.0,4.0,1.0,0.2,1.0,0.2,0.17857142857142858,0.043478260869565216,,0.8,,0.08163265306122448,,,0.4117647058823529,0.4375,0.5714285714285714,0.03571428571428571,1.0,1.0,1.0,0.14285714285714285,,,,,0.07142857142857142,1.0,,,0.06666666666666667,0.041666666666666664,25.52,,,,,,,,,4.0,,,2.0,,,,,0.1,,,,,,,0.18181818181818182,,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.058823529411764705,0.16666666666666666,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,3642.0,61,9.0,110,109,51,40,17,219,5.0,6,1.0,2.0,,1.0,2.0,5,9,14,105,3.0,1.0,3.0,3.0,8.0,2.0,2.0,3.0,1.0,7.0,1.0,5,3.0,51,2.0,0.8,1.0,0.5555555555555556,0.3333333333333333,0.43333333333333335,0.2,0.4117647058823529,0.25,16.030534351145036,0.4,0.8333333333333334,0.8333333333333334,0.06666666666666667,,,,0.13333333333333333,0.4,0.5,0.8,0.5339035714285715,0.5072666666666666,0.5147375000000001,0.21428571428571427,6.01111111111111,0.4636363636363636,,1.0,3.0,,1.0,,3.0,,1.0,1.0,6.0,1.0,,,2.0,1.0,3.0,3.0,,,1.0,,11.0,15.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,,1.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,0.4,,,0.25,,0.17543859649122806,,0.8,,,,0.2,0.3333333333333333,0.3333333333333333,1.0,0.2,,,,,0.2,,0.2,,0.0625,0.1,26.3,1.0,2.0,1.0,,2.0,2.0,,4.0,10.0,1.0,4.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2127659574468085,0.10526315789473684,,0.08163265306122448,,0.125,,0.0625,0.23076923076923078,0.3333333333333333,,0.6666666666666666,0.5,0.14285714285714285,1.0,,,1.0,1.0,,4.0,2.0,1.0,4.0,2.0,,,,,0.1875,,0.5,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,3091.0,52,30.0,89,88,18,11,16,177,7.0,9,2.0,2.0,,2.0,3.0,7,14,38,72,2.0,2.0,3.0,9.0,6.0,8.0,9.0,11.0,5.0,24.0,1.0,4,9.0,18,,0.42857142857142855,0.42857142857142855,0.5,0.6666666666666666,0.7,0.7,0.6785714285714286,0.6428571428571429,31.48148148148148,0.36,0.7777777777777778,0.7777777777777778,0.08,,,,0.12,0.4,1.0,0.8,0.5541419999999999,0.48888333333333334,0.51022,0.23684210526315788,5.485714285714287,0.20224719101123595,,,,,,7.0,11.0,2.0,2.0,7.0,11.0,3.0,2.0,1.0,2.0,2.0,6.0,11.0,7.0,,4.0,1.0,5.0,6.0,6.0,3.0,4.0,2.0,3.0,6.0,2.0,,6.0,,2.0,1.0,0.2857142857142857,0.6363636363636364,0.5,0.6363636363636364,0.44,,,0.6666666666666666,0.1,0.10416666666666667,,0.42857142857142855,,,,,,,,0.44,0.6363636363636364,0.6363636363636364,0.2857142857142857,0.5,,,0.4,0.6363636363636364,0.07407407407407407,0.125,24.900000000000002,,1.0,,1.0,4.0,,1.0,,4.0,,1.0,1.0,,0.375,0.4,,0.10526315789473684,,0.1111111111111111,0.023809523809523808,,,0.14285714285714285,0.07142857142857142,,0.23076923076923078,0.2,0.25,,0.10526315789473684,2.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,15.0,0.5,0.5,1.0,0.5,,,,True,,,,,,,,,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,1136.0,19,-1.0,38,36,8,8,8,74,1.0,3,,,,,5.0,2,8,6,37,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,,3.0,1.0,3,2.0,8,1.0,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,16.666666666666668,0.375,0.3333333333333333,0.3333333333333333,,,,,0.625,,,0.375,0.4460625,0.3718,0.38455,0.3333333333333333,11.45,0.21052631578947367,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,1.0,0.2,0.2,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,1.0,,,1.0,,,,,,,0.05555555555555555,,0.047619047619047616,0.1111111111111111,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.16666666666666666,True,,,,,,,,,,,,
