EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyFtPoints,PtsAssisted3s,Arc3Assists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,NonShootingFoulsDrawn,LostBallTurnovers,SecondChanceCorner3FGM,PenaltyCorner3FGM,Technical Free Throw Trips,BlockedShortMidRange,Arc3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,LostBallOutOfBoundsTurnovers,on,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
1005,1610612742,Walt Williams,Walt Williams,1005,DAL,2045.0,34,9,66,68,21,48,12,134,3.0,3,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,6,2.0,6.0,14.0,73,1.0,1.0,3.0,2.0,2.0,1.0,3.0,7.0,6.0,2.0,6.0,4.0,2.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,3.0,2.0,4.0,6.0,3,9,1.0,1.0,1.0,1.0,2.0,4.0,5,1.0,1.0,1.0,1.0,7.0,21,0.75,0.75,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5833333333333334,1.5,0.7,0.5833333333333334,1.5,0.7,0.5,0.16666666666666666,0.5,16.47058823529412,0.5,0.16,0.11538461538461539,0.4,0.2,0.08333333333333333,0.2,0.18181818181818182,0.375,0.16666666666666666,0.3333333333333333,0.5,1.0,0.25,1.0,1.0,0.6666666666666666,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,1.0,0.4,1.0,0.2,0.4,0.5,0.75,0.5,0.5271875,0.5115,0.56292,0.21428571428571427,0.5,8.25,23.933333333333334,0.3181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1505,1610612742,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DAL,1574.0,26,11,51,52,20,45,9,103,4.0,5,,,,2.0,3.0,,,,2.0,,,,1.0,4.0,10,,2.0,9.0,51,,,2.0,,1.0,,1.0,,4.0,4.0,,2.0,,2.0,6.0,,6.0,,2.0,1.0,12.0,2.0,1.0,4.0,6.0,3,9,,,,,,,1,,,,,,20,0.5,0.6666666666666666,,,,,0.4,,0.3333333333333333,0.3333333333333333,,0.375,0.3333333333333333,,0.16666666666666666,0.2,0.3333333333333333,18.75,,0.2,0.09523809523809523,0.25,0.20833333333333334,0.07692307692307693,,0.2222222222222222,0.125,,,0.5,,0.4166666666666667,0.8,1.0,0.5,0.16666666666666666,,,,0.25,,0.16666666666666666,,,,,,,,0.5,,0.5833333333333334,,0.49091666666666667,0.4208,0.45725000000000005,0.2222222222222222,,7.529999999999999,24.3,0.39215686274509803,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,0.3333333333333333,0.2,0.5,1.0,0.375,0.3333333333333333,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,7858.0,131,-22,251,255,71,110,42,506,4.0,7,,1.0,5.0,12.0,19.0,3.0,,,,,,,,16.0,38,1.0,3.0,37.0,310,,1.0,4.0,3.0,6.0,,,8.0,16.0,16.0,,,,1.0,4.0,4.0,8.0,3.0,1.0,2.0,20.0,11.0,3.0,17.0,27.0,17,44,4.0,1.0,4.0,5.0,9.0,11.0,24,,,,,8.0,71,0.5,0.5333333333333333,0.3333333333333333,,,0.3333333333333333,0.42105263157894735,0.5,0.4268292682926829,0.25,0.5,0.44047619047619047,0.25,0.5714285714285714,0.07317073170731707,0.02631578947368421,,16.831683168316832,0.4444444444444444,0.25,0.11,0.1111111111111111,0.21052631578947367,0.1223021582733813,0.07692307692307693,0.15384615384615385,0.16666666666666666,0.375,0.16666666666666666,,,0.17073170731707318,0.5714285714285714,0.5714285714285714,0.25,0.2926829268292683,0.4166666666666667,0.45454545454545453,0.2,0.4634146341463415,0.07317073170731707,,,,,,0.16666666666666666,,,,,0.24390243902439024,,0.4468695121951219,0.48327,0.42593333333333333,0.10810810810810811,0.21621621621621623,12.581578947368422,22.5,0.28286852589641437,2.0,2.0,2.0,2.0,7.0,2.0,1.0,,7.0,2.0,,1.0,0.2857142857142857,,0.5384615384615384,,0.19230769230769232,0.25,1.0,0.023809523809523808,0.02564102564102564,7.0,1.0,1.0,2.0,3.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,7.0,1.0,0.08333333333333333,0.15384615384615385,0.045454545454545456,0.17857142857142858,0.09090909090909091,0.13043478260869565,0.3684210526315789,0.3684210526315789,0.8571428571428571,0.3333333333333333,0.3333333333333333,1.0,0.125,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1915,1610612742,Evan Eschmeyer,Evan Eschmeyer,1915,DAL,753.0,13,9,25,25,5,22,5,50,2.0,3,1.0,1.0,1.0,1.0,,,,,,,,,,3.0,4,,,6.0,28,,,2.0,2.0,2.0,,,4.0,6.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,,1,1,,,,,,2.0,4,,,,,4.0,5,1.0,1.0,,,,,0.75,1.0,0.75,0.5,1.0,0.75,0.5,1.0,,,,12.5,,,,,,0.07692307692307693,,,,,,,,0.75,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,1.0,1.0,,,,,,,,0.5,1.0,,,,0.75,,0.550725,0.5999,0.4845,0.3333333333333333,0.6666666666666666,1.875,,0.2,1.0,2.0,,1.0,2.0,,,,,,,,0.5,,,,,1.0,0.5,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,0.5,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,
1952,1610612742,Raja Bell,Raja Bell,1952,DAL,2472.0,41,9,80,83,27,53,14,163,2.0,4,1.0,2.0,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,6,2.0,2.0,15.0,87,,,2.0,1.0,2.0,1.0,1.0,7.0,6.0,,3.0,1.0,1.0,1.0,4.0,,4.0,,2.0,,8.0,1.0,2.0,1.0,3.0,2,5,,1.0,,1.0,1.0,,3,,,,,7.0,27,1.0,1.0,1.0,,1.0,1.0,0.5,0.5,0.75,,0.8333333333333334,0.75,1.0,0.875,0.25,0.16666666666666666,,11.11111111111111,,0.037037037037037035,0.03125,0.25,0.08571428571428572,0.04878048780487805,,0.07692307692307693,0.1111111111111111,,0.4,,,0.5,0.5,0.6666666666666666,1.0,,,,,0.25,0.125,0.125,1.0,1.0,,,0.6666666666666666,0.5,,0.3333333333333333,1.0,0.75,1.0,0.58389375,,0.6727833333333333,0.13333333333333333,0.4666666666666667,7.449999999999999,23.25,0.3375,,,3.0,,,,2.0,,,4.0,,1.0,,0.25,,,,,,0.1111111111111111,0.14285714285714285,1.0,1.0,,2.0,3.0,,1.0,,,,,,,,,,1.0,0.5,,0.1111111111111111,,0.16666666666666666,,,0.5,0.5,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,4121.0,69,-20,131,135,43,49,26,266,4.0,7,4.0,6.0,1.0,4.0,4.0,,,,,,,,,6.0,15,,,17.0,167,,,4.0,5.0,10.0,,,11.0,12.0,,,,,1.0,1.0,1.0,2.0,,1.0,,5.0,4.0,,3.0,4.0,4,8,2.0,,1.0,2.0,4.0,3.0,6,,,,,11.0,43,1.0,1.0,,,,,0.4,0.5,0.4,0.2,0.5,0.4722222222222222,0.3333333333333333,0.5,,0.06666666666666667,,13.664596273291925,0.5,0.0967741935483871,0.07017543859649122,,0.0625,0.05128205128205128,,0.06451612903225806,,0.23076923076923078,,,,0.4666666666666667,0.5714285714285714,0.5714285714285714,1.0,0.26666666666666666,0.25,0.3333333333333333,1.0,0.26666666666666666,,,,,,,0.6,0.6666666666666666,,,,0.4666666666666667,,0.4892533333333333,0.44293333333333335,0.50716,0.23529411764705882,0.6470588235294118,7.760000000000001,,0.3282442748091603,1.0,2.0,5.0,1.0,5.0,,,,1.0,6.0,,2.0,0.2,,0.125,,,0.4,0.5,0.11764705882352941,0.11764705882352941,1.0,,,1.0,,1.0,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,0.25,,0.18181818181818182,,,,0.25,0.25,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,4493.0,75,-37,140,142,34,35,25,282,1.0,3,,1.0,3.0,6.0,13.0,5.0,2.0,4.0,11.0,1.0,1.0,2.0,4.0,6.0,22,6.0,16.0,34.0,197,2.0,3.0,8.0,1.0,6.0,3.0,6.0,14.0,10.0,2.0,3.0,11.0,4.0,3.0,3.0,2.0,5.0,1.0,,,12.0,1.0,1.0,2.0,3.0,1,4,1.0,,1.0,,1.0,4.0,4,1.0,,1.0,1.0,14.0,34,0.8333333333333334,0.8333333333333334,0.375,0.6666666666666666,0.5,0.375,0.2727272727272727,0.16666666666666666,0.39473684210526316,0.75,0.4583333333333333,0.4230769230769231,0.8,0.5,0.42105263157894735,0.13636363636363635,0.07692307692307693,23.529411764705884,1.0,0.0625,0.017241379310344827,0.058823529411764705,0.061224489795918366,0.012987012987012988,,,,,,0.16666666666666666,1.0,0.07894736842105263,0.3333333333333333,0.5,1.0,0.15789473684210525,0.5,0.6,0.6666666666666666,0.34210526315789475,0.13157894736842105,0.2894736842105263,0.36363636363636365,0.36363636363636365,0.25,1.0,0.08333333333333333,,0.16666666666666666,0.3333333333333333,0.5,0.5,0.36363636363636365,0.4598881578947368,0.4671166666666666,0.4776958333333334,0.23529411764705882,0.4117647058823529,13.627272727272725,24.081249999999997,0.24285714285714285,,,4.0,,1.0,,3.0,,,4.0,1.0,1.0,,0.3333333333333333,,,0.15384615384615385,,,0.02631578947368421,0.045454545454545456,2.0,2.0,2.0,3.0,15.0,1.0,,,1.0,1.0,,,,,,,,0.8333333333333334,0.16666666666666666,,0.09090909090909091,,,,0.15384615384615385,0.16666666666666666,1.0,0.4,0.4,1.0,0.5,,2.0,1.0,,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.5,,,,,,,,True,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,680.0,11,-5,22,23,7,14,1,45,,1,,,1.0,1.0,2.0,,,,,,,,,1.0,4,,,4.0,27,,,,1.0,2.0,,,4.0,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,2.0,1,3,,,,,,1.0,3,1.0,1.0,1.0,,4.0,7,1.0,1.0,,,,,0.25,0.5,0.25,,0.5,0.4,,0.6666666666666666,,0.25,,20.833333333333336,,0.125,0.14285714285714285,0.5,0.2,0.1111111111111111,0.5,,,,0.5,,,0.25,,,,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,0.25,,0.442525,0.5686,0.41685,,1.0,10.175,,0.3181818181818182,,1.0,2.0,,1.0,,,,,2.0,,1.0,,1.0,,,0.3333333333333333,1.0,,0.2,0.2,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,2520.0,42,-7,80,80,20,29,9,160,4.0,7,1.0,1.0,,,2.0,3.0,,1.0,3.0,,,1.0,1.0,5.0,9,2.0,6.0,16.0,100,,,2.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,,3.0,1.0,2.0,1.0,,1.0,,,,2.0,3.0,2.0,1.0,3.0,4,7,,,,,,6.0,8,4.0,2.0,4.0,3.0,7.0,20,0.8,0.8,0.3333333333333333,,1.0,0.3333333333333333,0.5555555555555556,1.0,0.5333333333333333,0.3333333333333333,1.1666666666666667,0.5333333333333333,0.3333333333333333,1.1666666666666667,0.4,0.2222222222222222,,16.666666666666668,,0.05555555555555555,0.1111111111111111,0.25,0.11538461538461539,0.1,,0.1875,,,0.16666666666666666,0.5,0.75,0.4666666666666667,0.5714285714285714,0.8,1.0,,,,,0.13333333333333333,0.2,0.2,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,0.8666666666666667,0.3333333333333333,0.5349799999999999,0.5567333333333333,0.5045166666666666,0.125,0.4375,4.444444444444445,23.75,0.25,1.0,3.0,,1.0,3.0,,1.0,,,,,,0.3333333333333333,0.2857142857142857,,,0.16666666666666666,1.0,0.3333333333333333,,,1.0,1.0,,,6.0,,1.0,,,,,,,,,,,1.0,,0.07692307692307693,,,0.2,,0.5,0.5,,0.3333333333333333,0.3333333333333333,1.0,,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,,True,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,4306.0,72,-19,140,141,36,42,24,281,4.0,6,,1.0,2.0,5.0,9.0,1.0,,3.0,11.0,,,,4.0,9.0,20,4.0,12.0,36.0,177,,,2.0,1.0,5.0,,4.0,6.0,4.0,14.0,,10.0,3.0,1.0,11.0,5.0,16.0,,7.0,1.0,37.0,1.0,1.0,4.0,5.0,1,6,2.0,,2.0,,2.0,1.0,4,,,,,6.0,36,0.2222222222222222,0.2222222222222222,0.3333333333333333,,,0.36363636363636365,0.45,0.2,0.46875,,0.1111111111111111,0.5147058823529411,0.25,0.2727272727272727,0.375,0.05,,21.55688622754491,1.0,0.12903225806451613,0.018518518518518517,0.06666666666666667,0.10869565217391304,0.01282051282051282,,0.03333333333333333,0.14285714285714285,0.07142857142857142,0.09090909090909091,,,0.1875,0.6666666666666666,0.8,,0.15625,0.4,0.4,,0.28125,0.03125,0.34375,0.2727272727272727,0.3,,,0.1111111111111111,,,0.4444444444444444,,0.5625,0.3,0.48545,0.5109,0.44646875,0.05555555555555555,0.16666666666666666,10.690000000000001,27.08333333333334,0.2571428571428571,,1.0,6.0,,3.0,,3.0,,,7.0,1.0,2.0,,0.16666666666666666,,,0.2,0.3333333333333333,,0.06060606060606061,0.09523809523809523,3.0,1.0,,4.0,12.0,5.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,,,2.0,1.0,,,,2.0,,1.0,,,,,,1.0,1.0,0.08333333333333333,0.09090909090909091,,,True,,,,,,
