EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,Usage,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,FG2M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,PenaltyFG2M,ThreePtAssists,Arc3Assists,Corner3Assists,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,DefArc3ReboundPct,SecondChanceArc3Frequency,SelfOReb,PenaltyTurnovers,SelfORebPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,Loose Ball Fouls,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,Technical Free Throw Trips,OffAtRimReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallSteals,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,SecondChanceTurnovers,BlockedShortMidRange,on,PenaltyCorner3FGM,LostBallTurnovers,PenaltyCorner3Accuracy,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Travels,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,Clear Path Fouls
1498,1610612757,Antonio Daniels,Antonio Daniels,1498,POR,431.0,7,-4,14,13,11.0,4.0,3.0,27,1.0,1,20,1.0,1.0,1.0,2.0,11.0,5.88235294117647,1.0,0.3408,6.1,0.7857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,1424.0,24,-19,37,43,12.0,16.0,7.0,80,1.0,6,63,3.0,3.0,,6.0,12.0,19.565217391304348,0.16666666666666666,0.5129666666666667,4.433333333333334,0.32432432432432434,2.0,4.0,1.0,2.0,1.0,1.0,3.0,5.0,11.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,4.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.6111111111111112,0.5,0.4,0.3333333333333333,0.25,1.0,0.06666666666666667,0.2857142857142857,0.13636363636363635,0.2,0.4,1.0,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5248,0.4465666666666667,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,1986.0,33,-9,58,61,25.0,29.0,8.0,119,2.0,5,76,,2.0,,6.0,25.0,13.235294117647058,0.4,0.5033200000000001,5.9399999999999995,0.43103448275862066,1.0,2.0,1.0,,1.0,1.0,3.0,4.0,10.0,,1.0,,1.0,4.0,6.0,6.0,,,,,,1.0,1.0,2.0,10.0,,3.0,4.0,1.0,,,,,6.0,1.0,1.0,0.6,,0.6,,0.7142857142857143,,1.0,,,,0.045454545454545456,0.1,0.0625,,0.2,,0.4,0.5,0.5,1.0,0.5,0.5,0.2,1.0,,0.4,0.6549,0.5104,0.16666666666666666,0.16666666666666666,,0.6,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.3,0.2,0.28,0.09090909090909091,0.6,0.3333333333333333,0.1111111111111111,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,1824.0,30,-21,55,56,19.0,26.0,6.0,111,2.0,6,80,2.0,5.0,1.0,13.0,19.0,19.35483870967742,0.16666666666666666,0.4803583333333333,13.049999999999999,0.34545454545454546,1.0,1.0,,,,3.0,1.0,,11.0,,,,3.0,,3.0,2.0,,,,1.0,,,,,1.0,3.0,6.0,,,,,,,3.0,1.0,1.0,0.16666666666666666,,0.4583333333333333,,0.4583333333333333,,0.25,,,,,,,,,,0.08333333333333333,1.0,1.0,1.0,,,0.25,,,0.5833333333333334,,0.465425,,,,0.2727272727272727,,,3.0,,3.0,,,1.0,1.0,,,,,,,,,2.0,,0.25,,0.2,,,,,,,,,,,,,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,6.0,1.0,3.0,9.0,3.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.25,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,24.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
937,1610612757,Scottie Pippen,Scottie Pippen,937,POR,4424.0,74,-32,128,131,32.0,43.0,21.0,259,5.0,13,170,9.0,13.0,5.0,30.0,32.0,19.35483870967742,0.22727272727272727,0.4753204545454545,9.615384615384617,0.25,4.0,4.0,,,1.0,4.0,6.0,2.0,23.0,,3.0,,2.0,2.0,4.0,8.0,4.0,,1.0,3.0,1.0,,2.0,2.0,11.0,1.0,8.0,2.0,,,,,,4.0,0.6666666666666666,0.6666666666666666,0.46153846153846156,,0.4772727272727273,,0.5,,0.6666666666666666,0.07692307692307693,,,0.0392156862745098,,0.0273972602739726,0.11764705882352941,,,0.18181818181818182,1.0,1.0,0.5,0.2,0.25,0.18181818181818182,,,0.5909090909090909,0.3801666666666667,0.38565,,,,0.17391304347826086,1.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,9.0,,,1.0,1.0,6.0,7.0,4.0,1.0,2.0,0.5,0.5,0.14285714285714285,0.2857142857142857,0.10526315789473684,0.1875,0.12962962962962962,,,0.25,0.0625,,1.0,0.25,0.25,1.0,1.0,2.0,,2.0,7.0,,,3.0,9.0,,,6.0,7.0,2.0,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.4090909090909091,0.09090909090909091,0.5,0.5,1.0,0.3181818181818182,0.2857142857142857,0.2857142857142857,0.5,,,,0.2857142857142857,24.255555555555553,1.0,1.0,3.0,1.0,1.0,0.2,0.2727272727272727,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
976,1610612757,Jeff McInnis,Jeff McInnis,976,POR,954.0,16,-11,30,30,11.0,14.0,7.0,60,2.0,3,40,3.0,3.0,3.0,6.0,11.0,10.81081081081081,0.5,0.4257875,10.766666666666666,0.36666666666666664,,,,,1.0,1.0,1.0,,2.0,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,0.3333333333333333,,0.25,,0.25,,,,,,,,,,,,,,,,0.5,0.5,0.25,,,0.25,,0.57795,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,0.16666666666666666,,0.14285714285714285,,,,0.2857142857142857,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,0.25,,,,,0.25,,,,,1.0,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2417,1610612757,Qyntel Woods,Qyntel Woods,2417,POR,336.0,6,-6,11,10,8.0,1.0,3.0,21,1.0,2,16,,,,,8.0,21.428571428571427,0.5,0.3941,13.35,0.7272727272727273,,,,,,1.0,1.0,,2.0,,,,1.0,,2.0,,2.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,2.0,,,0.5,,0.5,,0.5,,1.0,,,,0.16666666666666666,,0.14285714285714285,,,,,,,,,,0.5,,,,,0.4103,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,0.3333333333333333,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
717,1610612757,Arvydas Sabonis,Arvydas Sabonis,717,POR,1236.0,21,-6,39,39,10.0,11.0,6.0,78,2.0,8,52,1.0,1.0,,2.0,10.0,24.444444444444443,0.25,0.527125,2.375,0.2564102564102564,4.0,6.0,2.0,5.0,,,4.0,3.0,11.0,2.0,2.0,4.0,5.0,2.0,10.0,6.0,2.0,2.0,2.0,1.0,,,1.0,1.0,5.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,0.75,1.0,0.5,1.0,0.5,1.0,0.55,1.0,0.8333333333333334,0.25,0.16666666666666666,,0.05555555555555555,,0.05,0.1111111111111111,,1.0,0.75,0.6666666666666666,0.8,0.75,,,,1.0,1.0,0.75,0.60295,0.58442,0.1111111111111111,0.1111111111111111,0.36363636363636365,0.9090909090909091,,4.0,,,,1.0,3.0,,4.0,,,,,1.0,1.0,1.0,1.0,,0.8,0.8,,,0.42857142857142855,0.2,0.3333333333333333,,0.6666666666666666,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,,,,,2.0,4.0,1.0,1.0,0.5,0.8,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1507,1610612757,Derek Anderson,Derek Anderson,1507,POR,1163.0,19,-7,32,33,2.0,4.0,5.0,65,,2,36,,,,,2.0,10.256410256410255,,0.437,19.8,0.0625,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,0.07142857142857142,,0.05555555555555555,,,,,,,,,,0.6666666666666666,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,24.3,,,,,1.0,,,,,,,,,,,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1719,1610612757,Bonzi Wells,Bonzi Wells,1719,POR,3147.0,52,-28,90,93,11.0,32.0,15.0,183,2.0,18,118,6.0,6.0,3.0,12.0,11.0,27.027027027027025,0.08333333333333333,0.48579583333333337,8.872222222222222,0.12222222222222222,4.0,8.0,5.0,,,8.0,6.0,3.0,18.0,1.0,5.0,5.0,1.0,1.0,1.0,4.0,8.0,2.0,,2.0,1.0,2.0,4.0,6.0,14.0,2.0,7.0,7.0,4.0,,,,,1.0,0.3333333333333333,0.4,0.3333333333333333,0.2,0.3125,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.16666666666666666,,,,0.11428571428571428,0.1111111111111111,0.11320754716981132,,0.08333333333333333,,0.3333333333333333,0.5,0.5,0.25,,,0.3333333333333333,0.8333333333333334,,0.5833333333333334,0.5806666666666667,0.33325,0.14814814814814814,0.19047619047619047,0.2777777777777778,0.05555555555555555,2.0,,,,,4.0,4.0,,8.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,3.0,,,0.6666666666666666,,0.16,0.3333333333333333,0.21621621621621623,0.3,,0.1111111111111111,0.2727272727272727,,,0.25,0.25,0.5,1.0,4.0,1.0,,2.0,,,1.0,6.0,,1.0,3.0,2.0,,1.0,0.16666666666666666,,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,1.0,0.08333333333333333,,,,0.5,,,,23.400000000000002,,1.0,,,,,0.5,,2.0,2.0,0.11764705882352941,1.0,,,0.2,,,,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,,,,,,,True,,,,,,,,,,,,,
