EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffLongMidRangeReboundPct,SecondChanceFtPoints,FTOffRebounds,LostBallSteals,LostBallTurnovers,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,ShortMidRangeAssists,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveMakes,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,on
1005,1610612742,Walt Williams,Walt Williams,1005,DAL,9734.0,162.0,-12.0,324.0,314.0,87.0,133.0,39.0,638.0,6.0,12.0,1.0,3.0,2.0,5.0,1.0,5.0,1.0,6.0,3.0,15.0,2.0,7.0,5.0,12.0,2.0,4.0,8.0,23.0,8.0,27.0,7.0,47.0,353.0,1.0,4.0,2.0,2.0,6.0,4.0,11.0,4.0,20.0,4.0,12.0,24.0,2.0,12.0,5.0,3.0,3.0,4.0,7.0,1.0,3.0,2.0,1.0,18.0,4.0,2.0,5.0,10.0,5.0,20.0,6.0,26.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,10.0,3.0,1.0,9.0,23.0,1.0,1.0,7.0,1.0,3.0,1.0,9.0,5.0,4.0,9.0,7.0,2.0,20.0,87.0,10.0,0.25,0.2857142857142857,1.0,0.2962962962962963,0.36363636363636365,0.2962962962962963,0.34782608695652173,0.25,0.3333333333333333,0.4,0.25,0.47058823529411764,0.44339622641509435,0.25,0.5263157894736842,0.54,0.13043478260869565,0.08333333333333333,0.2,0.16666666666666666,17.073170731707318,0.5,0.29411764705882354,0.09803921568627451,0.017391304347826087,0.125,0.07547169811320754,0.1056338028169014,0.03571428571428571,0.03333333333333333,0.021739130434782608,0.058823529411764705,0.10526315789473684,0.15384615384615385,0.08695652173913043,0.06666666666666667,0.09523809523809523,0.15789473684210525,0.06666666666666667,0.7777777777777778,0.24,0.5,0.5454545454545454,0.3333333333333333,0.1,0.2,0.25,0.12,0.16666666666666666,0.2,0.3,0.2,0.2,1.0,0.24,0.4166666666666667,0.4166666666666667,1.0,0.75,0.3333333333333333,0.29411764705882354,0.4,0.4117647058823529,0.2857142857142857,0.23529411764705882,0.5,0.78,0.4166666666666667,0.495531,0.5962,0.45957352941176477,0.057692307692307696,0.12,0.0425531914893617,0.425531914893617,7.243478260869565,24.08888888888889,0.26851851851851855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1505,1610612742,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DAL,1797.0,30.0,7.0,65.0,61.0,34.0,36.0,9.0,126.0,,2.0,,2.0,,1.0,3.0,4.0,,3.0,,,,,,,,,3.0,9.0,,,4.0,10.0,58.0,,2.0,,2.0,6.0,,,,4.0,,6.0,,,,,1.0,1.0,,1.0,,,,1.0,2.0,2.0,1.0,,5.0,,5.0,3.0,8.0,,,,1.0,,1.0,,1.0,,1.0,,3.0,,,4.0,,2.0,,,,,,,,4.0,34.0,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.45454545454545453,,0.3333333333333333,,0.1111111111111111,0.5,,,16.216216216216218,1.0,,0.25,0.045454545454545456,,0.2857142857142857,0.16666666666666666,0.10344827586206896,,,0.5,,0.1111111111111111,0.375,0.3333333333333333,,,,,0.2222222222222222,,,,0.4444444444444444,0.75,0.75,0.3333333333333333,,,,,,,,,,,1.0,,0.16666666666666666,,,,,,0.2222222222222222,,0.42886666666666673,0.5494,0.41714999999999997,0.18181818181818182,0.18181818181818182,,0.4,9.777777777777779,,0.5230769230769231,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,18120.0,302.0,-36.0,580.0,574.0,125.0,170.0,59.0,1154.0,30.0,38.0,8.0,12.0,4.0,5.0,3.0,8.0,5.0,30.0,2.0,9.0,1.0,3.0,2.0,18.0,1.0,3.0,38.0,76.0,4.0,27.0,13.0,101.0,654.0,8.0,14.0,17.0,5.0,13.0,2.0,6.0,2.0,18.0,64.0,12.0,12.0,8.0,18.0,2.0,5.0,1.0,,1.0,,,,1.0,2.0,1.0,18.0,8.0,21.0,4.0,33.0,21.0,54.0,,8.0,3.0,4.0,1.0,3.0,4.0,8.0,1.0,1.0,34.0,58.0,6.0,2.0,16.0,2.0,9.0,,23.0,14.0,8.0,23.0,13.0,1.0,18.0,125.0,5.0,0.8421052631578947,0.9411764705882353,1.0,0.14814814814814814,0.3333333333333333,0.14814814814814814,0.5,0.5714285714285714,0.38461538461538464,0.42718446601941745,0.5714285714285714,0.42105263157894735,0.4590909090909091,0.5666666666666667,0.45,0.2621359223300971,0.06578947368421052,0.10526315789473684,0.125,,18.322981366459626,0.5,0.18181818181818182,0.10714285714285714,0.09523809523809523,0.12121212121212122,0.01098901098901099,0.11068702290076336,0.06785714285714285,0.16666666666666666,0.08955223880597014,,0.045454545454545456,0.07246376811594203,0.10144927536231885,0.15517241379310345,0.14634146341463414,0.08,,0.5652173913043478,0.36893203883495146,0.7894736842105263,0.8823529411764706,0.8666666666666667,0.07766990291262135,0.375,0.42857142857142855,0.2912621359223301,0.16666666666666666,0.16666666666666666,0.08737864077669903,0.2222222222222222,0.2222222222222222,1.0,0.17475728155339806,0.1111111111111111,0.1111111111111111,1.0,0.8571428571428571,0.6666666666666666,0.2631578947368421,0.8,0.15789473684210525,0.3333333333333333,0.15789473684210525,0.3333333333333333,0.6310679611650486,0.1111111111111111,0.50935,0.5463142857142858,0.46879473684210526,0.08181818181818182,0.10843373493975904,0.16831683168316833,0.1782178217821782,8.543421052631578,24.05925925925926,0.21551724137931033,0.06976744186046512,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.15384615384615385,1.0,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True
714,1610612742,Michael Finley,Michael Finley,714,DAL,33202.0,553.0,-35.0,1094.0,1088.0,347.0,417.0,120.0,2182.0,15.0,27.0,3.0,3.0,4.0,7.0,17.0,38.0,19.0,48.0,7.0,20.0,2.0,7.0,19.0,50.0,7.0,18.0,51.0,113.0,26.0,70.0,45.0,225.0,1217.0,6.0,11.0,28.0,15.0,32.0,9.0,25.0,23.0,80.0,44.0,58.0,69.0,8.0,50.0,19.0,9.0,17.0,13.0,30.0,9.0,4.0,8.0,8.0,73.0,6.0,7.0,13.0,35.0,7.0,55.0,13.0,68.0,3.0,17.0,16.0,10.0,1.0,6.0,7.0,17.0,2.0,3.0,19.0,34.0,,5.0,51.0,2.0,19.0,6.0,7.0,4.0,3.0,7.0,5.0,,80.0,347.0,6.0,0.43137254901960786,0.46808510638297873,0.8846153846153846,0.37142857142857144,0.36,0.37142857142857144,0.45132743362831856,0.5454545454545454,0.46875,0.4918032786885246,0.5,0.5,0.5412621359223301,0.5833333333333334,0.572463768115942,0.3825136612021858,0.07964601769911504,0.14814814814814814,0.13157894736842105,,18.189233278955953,0.5882352941176471,0.14285714285714285,0.09776536312849161,0.019337016574585635,0.08552631578947369,0.037037037037037035,0.09411764705882353,0.02480916030534351,0.023255813953488372,0.022222222222222223,0.04032258064516129,0.02631578947368421,0.07964601769911504,0.11029411764705882,0.10091743119266056,0.10989010989010989,0.04918032786885246,0.031578947368421054,0.7142857142857143,0.14754098360655737,0.5555555555555556,0.6521739130434783,0.5333333333333333,0.20765027322404372,0.4473684210526316,0.5151515151515151,0.26229508196721313,0.3958333333333333,0.3958333333333333,0.1092896174863388,0.35,0.35,0.8571428571428571,0.273224043715847,0.38,0.38,0.8947368421052632,0.14285714285714285,1.0,0.12280701754385964,0.5714285714285714,0.12280701754385964,0.2857142857142857,0.3157894736842105,0.3888888888888889,0.5300546448087432,0.38,0.48356393442622947,0.4865833333333333,0.4820991228070174,0.095,0.14615384615384616,0.12444444444444444,0.35555555555555557,10.519469026548673,24.224285714285713,0.3171846435100548,0.014184397163120567,7.0,,1.0,4.0,,,,,0.35294117647058826,0.42105263157894735,,2.0,3.0,1.0,7.0,3.0,10.0,9.0,1.0,2.0,0.3,0.14285714285714285,0.6666666666666666,0.5,0.3333333333333333,0.14285714285714285,1.0,,,,,,,,,,,True
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,40391.0,673.0,-30.0,1316.0,1308.0,422.0,501.0,146.0,2624.0,37.0,52.0,5.0,7.0,9.0,18.0,51.0,109.0,18.0,53.0,8.0,21.0,1.0,5.0,36.0,91.0,11.0,31.0,106.0,214.0,44.0,112.0,44.0,388.0,1482.0,12.0,25.0,36.0,26.0,67.0,12.0,36.0,25.0,113.0,12.0,200.0,81.0,6.0,88.0,35.0,7.0,49.0,33.0,82.0,25.0,8.0,22.0,17.0,197.0,7.0,10.0,12.0,36.0,2.0,50.0,18.0,68.0,9.0,12.0,11.0,24.0,4.0,21.0,15.0,39.0,3.0,7.0,19.0,47.0,,4.0,62.0,4.0,24.0,6.0,,,,,,,113.0,422.0,8.0,0.05660377358490566,0.05825242718446602,0.6136363636363636,0.39285714285714285,0.3333333333333333,0.39090909090909093,0.4953271028037383,0.48,0.3880597014925373,0.5276073619631901,0.4714285714285714,0.42718446601941745,0.5480225988700564,0.5,0.4788135593220339,0.34355828220858897,0.03271028037383177,0.019230769230769232,0.03669724770642202,0.03773584905660377,26.66214382632293,0.6153846153846154,0.03389830508474576,0.08430913348946135,0.023529411764705882,0.06666666666666667,0.035175879396984924,0.07907742998352553,0.027243589743589744,0.021052631578947368,0.037267080745341616,0.027210884353741496,0.057692307692307696,0.08088235294117647,0.08176100628930817,0.09090909090909091,0.05357142857142857,0.08823529411764706,0.054878048780487805,,0.15950920245398773,0.7115384615384616,0.7254901960784313,0.10810810810810811,0.3343558282208589,0.46788990825688076,0.4857142857142857,0.16257668711656442,0.33962264150943394,0.35294117647058826,0.06441717791411043,0.38095238095238093,0.38095238095238093,0.875,0.2791411042944785,0.3956043956043956,0.4,0.5555555555555556,0.2,0.7142857142857143,0.17475728155339806,0.5,0.04854368932038835,0.2,0.30097087378640774,0.3548387096774194,0.5030674846625767,0.3977272727272727,0.4741021604938271,0.4680540000000001,0.46880931372549023,0.07471264367816093,0.10256410256410256,0.09278350515463918,0.2912371134020619,8.75140186915888,24.985714285714277,0.32066869300911854,0.011834319526627219,3.0,1.0,1.0,3.0,,,,0.03225806451612903,0.0196078431372549,0.05555555555555555,,2.0,5.0,1.0,5.0,3.0,10.0,51.0,10.0,,0.3,0.14285714285714285,0.4,1.0,0.14285714285714285,0.2,,1.0,2.0,1.0,3.0,1.0,2.0,0.008928571428571428,0.01098901098901099,0.017543859649122806,,True
1915,1610612742,Evan Eschmeyer,Evan Eschmeyer,1915,DAL,380.0,6.0,-6.0,15.0,13.0,7.0,9.0,2.0,28.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,5.88235294117647,,0.5,0.16666666666666666,,,,0.14285714285714285,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.623,,,,,,,,,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1952,1610612742,Raja Bell,Raja Bell,1952,DAL,9419.0,157.0,16.0,311.0,318.0,105.0,114.0,28.0,629.0,5.0,7.0,1.0,1.0,3.0,5.0,2.0,3.0,7.0,11.0,,1.0,,,1.0,4.0,1.0,3.0,14.0,21.0,1.0,5.0,9.0,40.0,340.0,2.0,2.0,6.0,8.0,13.0,1.0,3.0,7.0,26.0,20.0,8.0,3.0,2.0,4.0,1.0,1.0,5.0,5.0,10.0,4.0,1.0,2.0,1.0,25.0,4.0,3.0,9.0,13.0,,22.0,7.0,29.0,,4.0,4.0,1.0,,1.0,2.0,3.0,,,4.0,15.0,,2.0,13.0,1.0,6.0,1.0,,,,,,,26.0,105.0,3.0,0.7142857142857143,0.7692307692307693,1.0,0.2,0.3333333333333333,0.2,0.6666666666666666,1.0,0.6153846153846154,0.5961538461538461,1.0,0.59375,0.625,1.0,0.65,0.19230769230769232,0.047619047619047616,0.14285714285714285,,,10.204081632653061,0.3333333333333333,,0.11607142857142858,0.03409090909090909,0.21951219512195122,0.07407407407407407,0.1437908496732026,0.04929577464788732,0.1111111111111111,0.02857142857142857,0.09302325581395349,,0.10810810810810811,0.10526315789473684,0.13513513513513514,0.20833333333333334,0.23529411764705882,,,0.2692307692307692,0.7142857142857143,0.8333333333333334,0.6,0.11538461538461539,0.6666666666666666,0.6666666666666666,0.4230769230769231,0.6363636363636364,0.6363636363636364,0.038461538461538464,,,,0.15384615384615385,0.25,0.25,1.0,0.5,1.0,0.3125,0.6,,,0.1875,0.3333333333333333,0.46153846153846156,0.25,0.4863711538461538,0.5773,0.5051156250000001,0.1935483870967742,0.23076923076923078,0.15,0.65,11.29047619047619,24.32,0.33762057877813506,,2.0,,,,,,,,0.5,0.8571428571428571,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,True
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,17565.0,293.0,-6.0,562.0,565.0,219.0,256.0,70.0,1127.0,20.0,40.0,5.0,11.0,9.0,18.0,4.0,13.0,4.0,7.0,,,,,,,,,28.0,60.0,,,34.0,90.0,637.0,7.0,15.0,25.0,13.0,24.0,,,20.0,46.0,40.0,16.0,,8.0,,,11.0,7.0,4.0,11.0,4.0,,4.0,3.0,26.0,9.0,22.0,9.0,24.0,1.0,34.0,31.0,65.0,3.0,9.0,8.0,5.0,1.0,4.0,4.0,9.0,2.0,5.0,19.0,46.0,7.0,1.0,42.0,2.0,15.0,7.0,4.0,3.0,1.0,4.0,3.0,,46.0,219.0,9.0,0.7142857142857143,0.8333333333333334,,,,,0.4666666666666667,0.4666666666666667,0.5416666666666666,0.4666666666666667,0.4666666666666667,0.5416666666666666,0.5625,0.5681818181818182,0.6571428571428571,,0.18333333333333332,0.175,0.23076923076923078,0.14285714285714285,13.949843260188088,0.5555555555555556,0.02857142857142857,0.12834224598930483,0.12021857923497267,0.1232876712328767,0.10843373493975904,0.12692307692307692,0.11654135338345864,0.21052631578947367,0.11764705882352941,0.06557377049180328,0.22727272727272727,0.15517241379310345,0.13043478260869565,0.1,0.1276595744680851,0.11538461538461539,0.14285714285714285,0.75,0.6666666666666666,0.5,0.6060606060606061,0.7,0.21666666666666667,0.3076923076923077,0.4,0.11666666666666667,0.5714285714285714,0.6666666666666666,,,,,,,,,0.7333333333333333,0.45454545454545453,0.75,0.5,,,,,0.6666666666666666,,0.5005433333333333,0.5173461538461538,0.5108791666666667,0.2054794520547945,0.2054794520547945,0.2777777777777778,0.5111111111111111,3.958333333333334,,0.3896797153024911,0.07792207792207792,11.0,,1.0,1.0,,,,,0.5,1.0,0.2,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,True
959,1610612742,Steve Nash,Steve Nash,959,DAL,28384.0,473.0,-5.0,929.0,917.0,294.0,325.0,106.0,1846.0,26.0,42.0,1.0,1.0,8.0,12.0,11.0,34.0,13.0,27.0,4.0,5.0,1.0,1.0,19.0,42.0,6.0,16.0,50.0,103.0,23.0,47.0,44.0,213.0,1051.0,1.0,5.0,10.0,15.0,28.0,7.0,17.0,29.0,80.0,20.0,80.0,48.0,,41.0,19.0,8.0,48.0,30.0,78.0,23.0,7.0,30.0,14.0,186.0,6.0,3.0,14.0,26.0,2.0,42.0,9.0,51.0,,7.0,6.0,16.0,6.0,13.0,12.0,28.0,3.0,4.0,5.0,25.0,6.0,2.0,49.0,5.0,14.0,9.0,1.0,,1.0,1.0,,,80.0,294.0,7.0,0.2,0.2,0.6956521739130435,0.48936170212765956,0.4117647058823529,0.5,0.4854368932038835,0.2,0.5357142857142857,0.5633333333333334,0.5714285714285714,0.5666666666666667,0.6183431952662722,0.625,0.6637931034482759,0.31333333333333335,0.07766990291262135,0.07142857142857142,0.14705882352941177,,18.997107039537127,0.5714285714285714,0.05263157894736842,0.09059233449477352,0.010344827586206896,0.10294117647058823,0.0425531914893617,0.09456264775413711,0.02088167053364269,0.013333333333333334,,0.06060606060606061,,0.06896551724137931,0.09090909090909091,0.1111111111111111,0.10227272727272728,0.10416666666666667,,,0.28,0.6190476190476191,0.6666666666666666,0.15384615384615385,0.22666666666666666,0.3235294117647059,0.3793103448275862,0.18,0.48148148148148145,0.48148148148148145,0.03333333333333333,0.8,0.8,1.0,0.28,0.4523809523809524,0.4523809523809524,0.631578947368421,0.14285714285714285,1.0,0.26666666666666666,0.6666666666666666,0.022222222222222223,1.0,0.35555555555555557,0.375,0.5933333333333334,0.4634146341463415,0.4887864864864865,0.463175,0.4781372093023257,0.1,0.125,0.046948356807511735,0.3755868544600939,7.662135922330096,25.519148936170215,0.31646932185145316,0.019417475728155338,2.0,,1.0,3.0,,,,,0.09090909090909091,0.38461538461538464,,,,2.0,2.0,2.0,2.0,21.0,4.0,4.0,1.0,,,,0.2857142857142857,1.0,1.0,,1.0,,1.0,1.0,2.0,,,0.041666666666666664,1.0,True
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,4562.0,76.0,-19.0,143.0,143.0,44.0,56.0,24.0,286.0,1.0,1.0,,,,,3.0,9.0,2.0,9.0,,1.0,,,,,,,6.0,19.0,,1.0,2.0,14.0,170.0,,3.0,,2.0,4.0,,,2.0,6.0,6.0,6.0,,,,,1.0,1.0,1.0,2.0,,1.0,,1.0,5.0,3.0,8.0,1.0,11.0,6.0,18.0,11.0,29.0,2.0,3.0,2.0,,,,3.0,3.0,,2.0,8.0,19.0,1.0,2.0,2.0,,1.0,,,,,,,,6.0,44.0,7.0,0.5,0.5,,,,,0.3157894736842105,,0.5,0.3,,0.5,0.3333333333333333,,0.6,0.05,0.05263157894736842,,0.1111111111111111,,13.953488372093023,,0.6,0.3142857142857143,0.13793103448275862,0.05555555555555555,0.10714285714285714,0.22641509433962265,0.12790697674418605,,0.1,0.1111111111111111,0.1,0.3333333333333333,0.4375,0.15384615384615385,0.07692307692307693,,0.15384615384615385,,0.05,1.0,1.0,,0.45,0.3333333333333333,0.375,0.45,0.2222222222222222,0.2222222222222222,0.05,,,,,,,,,,,,,,,,0.1,,0.408275,0.4041,0.38,0.047619047619047616,0.05,,0.42857142857142855,13.294736842105262,22.3,0.3076923076923077,0.1935483870967742,,,1.0,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True
