EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls,BlockedShortMidRange,SecondChanceCorner3FGA,PenaltyCorner3FGM,HeaveAttempts,Arc3Assists,BadPassOutOfBoundsTurnovers,Defensive 3 Seconds Violations,AtRimPctBlocked,LongMidRangePctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,on,SecondChanceCorner3FGM,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,Travels
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,9327.0,155,-28.0,306,303,84,147,38,609,7.0,15.0,3.0,7.0,1.0,5.0,7.0,16.0,3.0,11.0,1.0,9.0,2.0,2.0,9.0,1.0,1.0,2.0,7.0,17.0,42.0,3.0,18.0,15.0,58.0,299,5.0,10.0,1.0,1.0,3.0,16.0,4.0,11.0,2.0,9.0,1.0,15.0,16.0,18.0,6.0,3.0,10.0,9.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,3.0,9.0,1.0,3.0,20.0,5.0,28.0,13.0,41.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,8.0,1.0,1.0,5.0,10.0,1.0,17.0,1.0,8.0,1.0,6.0,4.0,2.0,6.0,2.0,15.0,84,3.0,0.47058823529411764,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.2222222222222222,0.16666666666666666,0.40476190476190477,0.5,0.36363636363636365,0.35833333333333334,0.5909090909090909,0.35,0.4264705882352941,0.6666666666666666,0.35714285714285715,0.3,0.05555555555555555,0.023809523809523808,0.0625,0.1111111111111111,21.714285714285715,0.5,0.3125,0.09090909090909091,0.20833333333333334,0.07563025210084033,0.07692307692307693,0.06666666666666667,0.17037037037037037,0.07317073170731707,0.0625,0.09375,0.07692307692307693,0.06451612903225806,0.07142857142857142,0.29411764705882354,0.07142857142857142,0.23529411764705882,0.04,0.14285714285714285,0.10526315789473684,0.3333333333333333,0.25,0.4666666666666667,0.4666666666666667,0.5714285714285714,0.26666666666666666,0.4375,0.4666666666666667,0.42857142857142855,0.18333333333333332,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.15,0.1111111111111111,0.1111111111111111,1.0,0.15,0.2222222222222222,0.25,0.5,0.6363636363636364,0.42857142857142855,0.09090909090909091,1.0,0.25,0.2,0.1,0.35,0.2857142857142857,0.55,0.2222222222222222,0.4862508333333333,0.50405,0.468515,0.11940298507462686,0.16326530612244897,0.27586206896551724,0.25862068965517243,8.328571428571427,24.394444444444446,0.27450980392156865,,,,,,,,,,,,,True,,,,,,
2063,1610612756,Jake Voskuhl,Jake Voskuhl,2063,PHX,4118.0,69,-35.0,133,136,55,77,17,269,9.0,13.0,4.0,7.0,4.0,5.0,2.0,2.0,,,,,,,,,,,,11.0,15.0,,,6.0,28.0,145,4.0,7.0,,,,8.0,5.0,6.0,,,5.0,15.0,14.0,8.0,,,8.0,,,,,2.0,,2.0,,,1.0,1.0,4.0,,8.0,,4.0,7.0,,11.0,8.0,19.0,,4.0,2.0,2.0,,,3.0,1.0,,3.0,,1.0,4.0,16.0,2.0,7.0,1.0,3.0,1.0,4.0,2.0,,4.0,2.0,15.0,55,5.0,0.6363636363636364,1.0,,,,,,0.7333333333333333,0.5714285714285714,0.8333333333333334,0.7333333333333333,0.5714285714285714,0.8333333333333334,0.7777777777777778,0.5714285714285714,0.9375,,,,,,13.548387096774194,,,,0.14,0.13114754098360656,0.2857142857142857,,0.171875,0.10526315789473684,0.14285714285714285,0.09090909090909091,0.13636363636363635,,,0.14285714285714285,0.09090909090909091,0.16666666666666666,0.2,0.3333333333333333,,0.5,0.8666666666666667,0.6923076923076923,0.6923076923076923,0.5555555555555556,0.13333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.5714285714285714,,,0.8333333333333334,0.8,,,,0.8666666666666667,,0.5309466666666667,0.5643,0.48536666666666667,0.17647058823529413,0.17647058823529413,0.2857142857142857,0.5357142857142857,1.4266666666666665,,0.41353383458646614,4.0,2.0,,,,,,,,,,,True,,,,,,
2207,1610612756,Joe Johnson,Joe Johnson,2207,PHX,9815.0,164,-41.0,324,322,88,155,41,646,4.0,9.0,,4.0,,1.0,4.0,11.0,4.0,18.0,2.0,4.0,2.0,,9.0,,,,4.0,12.0,38.0,2.0,13.0,2.0,32.0,318,1.0,6.0,,1.0,,2.0,1.0,11.0,1.0,6.0,,5.0,6.0,18.0,6.0,,2.0,8.0,,6.0,1.0,5.0,3.0,8.0,1.0,3.0,1.0,1.0,19.0,2.0,4.0,,5.0,12.0,3.0,20.0,6.0,26.0,,4.0,2.0,2.0,6.0,3.0,6.0,1.0,3.0,12.0,1.0,2.0,5.0,15.0,3.0,5.0,1.0,3.0,,2.0,1.0,,2.0,2.0,5.0,88,6.0,0.25,0.2727272727272727,1.0,0.15384615384615385,,0.16666666666666666,0.16666666666666666,0.3157894736842105,0.16666666666666666,0.09090909090909091,0.29411764705882354,0.14285714285714285,0.14705882352941177,0.3018867924528302,0.14285714285714285,0.14705882352941177,0.2549019607843137,0.07692307692307693,0.15789473684210525,0.18181818181818182,0.1111111111111111,17.426273458445042,0.5,0.16666666666666666,,0.12,0.031007751937984496,0.12195121951219512,0.041666666666666664,0.12056737588652482,0.03389830508474576,0.03636363636363636,0.058823529411764705,,0.029411764705882353,0.07142857142857142,0.027777777777777776,0.21428571428571427,0.1388888888888889,0.12,0.125,,1.0,0.17647058823529413,0.4444444444444444,0.6666666666666666,,0.21568627450980393,0.36363636363636365,0.4444444444444444,0.5,0.35294117647058826,0.2222222222222222,0.23529411764705882,0.25,0.0784313725490196,0.5,0.5,1.0,0.17647058823529413,,,,0.5714285714285714,,,,0.058823529411764705,,0.11764705882352941,0.23529411764705882,,0.43137254901960786,,0.450069,0.55206,0.4275647058823529,0.05660377358490566,0.075,0.0625,0.15625,10.792105263157895,26.515384615384615,0.2716049382716049,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.3333333333333333,0.05555555555555555,0.14285714285714285,0.5,True,,,,,,
2405,1610612756,Amar'e Stoudemire,Amar'e Stoudemire,2405,PHX,5731.0,96,-26.0,192,188,33,80,25,380,11.0,18.0,1.0,2.0,1.0,2.0,3.0,10.0,,1.0,,,,1.0,1.0,,,1.0,1.0,14.0,29.0,1.0,1.0,6.0,37.0,178,1.0,3.0,,,1.0,3.0,1.0,3.0,1.0,1.0,2.0,7.0,16.0,12.0,3.0,,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,,,,1.0,5.0,1.0,5.0,,1.0,10.0,,11.0,6.0,17.0,,6.0,2.0,4.0,3.0,,8.0,,3.0,11.0,3.0,,5.0,19.0,6.0,7.0,1.0,3.0,1.0,2.0,1.0,,2.0,2.0,7.0,33,4.0,0.5714285714285714,0.6153846153846154,1.0,1.0,,1.0,1.0,0.4827586206896552,0.3333333333333333,0.3333333333333333,0.5166666666666667,0.3333333333333333,0.625,0.5606060606060606,0.375,0.7,0.03333333333333333,,0.06896551724137931,0.1,,20.183486238532108,0.2727272727272727,,,0.18518518518518517,0.06944444444444445,0.04,0.03125,0.13924050632911392,0.057692307692307696,0.10344827586206896,,0.08695652173913043,,0.14285714285714285,0.2222222222222222,0.15789473684210525,0.17647058823529413,0.058823529411764705,,,1.0,0.6,0.6111111111111112,0.6470588235294118,0.5454545454545454,0.3333333333333333,0.3,0.3333333333333333,0.6666666666666666,0.03333333333333333,,,,,,,,0.03333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,,,0.5,0.5,,0.25,1.0,0.6333333333333333,1.0,0.46139,0.45175,0.402325,0.09375,0.0967741935483871,0.08108108108108109,0.1891891891891892,3.924137931034483,25.9,0.171875,1.0,1.0,,,,1.0,1.0,,0.05555555555555555,,,,True,,,,,,
358,1610612756,Anfernee Hardaway,Anfernee Hardaway,358,PHX,7262.0,121,-3.0,241,237,58,105,30,478,3.0,5.0,,,,,2.0,4.0,3.0,6.0,2.0,4.0,1.0,3.0,12.0,,2.0,3.0,4.0,8.0,15.0,5.0,16.0,8.0,39.0,225,,,,2.0,,,1.0,2.0,3.0,5.0,5.0,16.0,6.0,10.0,15.0,,,12.0,3.0,,,10.0,2.0,12.0,2.0,6.0,2.0,2.0,26.0,1.0,2.0,,7.0,5.0,2.0,14.0,3.0,17.0,,7.0,4.0,3.0,5.0,4.0,4.0,,1.0,9.0,,1.0,7.0,17.0,3.0,10.0,,2.0,3.0,4.0,4.0,,4.0,3.0,16.0,58,3.0,0.375,0.375,1.0,0.3125,,0.6,0.3125,0.5333333333333333,,0.5,0.5,,0.7857142857142857,0.5416666666666666,,0.8,0.5161290322580645,,,,,16.423357664233574,0.5555555555555556,0.15384615384615385,,0.06666666666666667,0.024096385542168676,0.20588235294117646,0.02631578947368421,0.11009174311926606,0.024793388429752067,0.03125,0.04,,0.034482758620689655,,0.038461538461538464,0.125,0.04,0.14285714285714285,0.3076923076923077,,0.75,0.16129032258064516,0.6,0.6,,0.12903225806451613,0.5,0.5,0.5,0.1935483870967742,0.5,0.5,0.6666666666666666,0.12903225806451613,0.5,0.5,1.0,0.3870967741935484,0.25,0.25,1.0,,,1.0,,,,0.14285714285714285,0.5714285714285714,0.75,0.6774193548387096,0.25,0.4776596774193548,0.59625,0.4405571428571429,0.06060606060606061,0.11764705882352941,,0.41025641025641024,10.166666666666668,24.575,0.24066390041493776,,,,,,,1.0,,,,,,True,,,,,,
950,1610612756,Stephon Marbury,Stephon Marbury,950,PHX,8562.0,143,-46.0,283,280,86,140,34,563,18.0,39.0,1.0,4.0,4.0,13.0,3.0,8.0,6.0,19.0,,1.0,,1.0,11.0,,,1.0,6.0,27.0,66.0,1.0,12.0,14.0,71.0,285,3.0,7.0,,1.0,1.0,7.0,6.0,18.0,1.0,6.0,7.0,22.0,6.0,48.0,,3.0,,10.0,1.0,6.0,,12.0,3.0,15.0,1.0,5.0,5.0,2.0,33.0,1.0,1.0,,6.0,6.0,1.0,13.0,2.0,15.0,,4.0,2.0,2.0,9.0,2.0,2.0,1.0,7.0,11.0,1.0,3.0,3.0,15.0,1.0,20.0,2.0,8.0,3.0,,,,,,22.0,86,9.0,0.1111111111111111,0.1111111111111111,,0.08333333333333333,,0.16666666666666666,0.09090909090909091,0.4090909090909091,0.42857142857142855,0.3333333333333333,0.36538461538461536,0.375,0.3125,0.40804597701149425,0.3888888888888889,0.3793103448275862,0.15384615384615385,,0.09090909090909091,,,30.153846153846153,0.8181818181818182,0.0625,,0.07692307692307693,0.008620689655172414,0.15789473684210525,0.022727272727272728,0.10344827586206896,0.0125,,,0.02857142857142857,0.03225806451612903,,0.10714285714285714,0.05,0.06666666666666667,0.16666666666666666,0.14285714285714285,,,0.5,0.46153846153846156,0.5454545454545454,0.05555555555555555,0.10256410256410256,0.375,0.375,,0.24358974358974358,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.01282051282051282,,,,0.14102564102564102,0.09090909090909091,0.09090909090909091,,0.5,0.25,,,0.5416666666666666,0.3076923076923077,,0.25,0.16666666666666666,0.6538461538461539,0.1,0.4961201298701298,0.4088,0.47560652173913043,0.09523809523809523,0.1111111111111111,0.09859154929577464,0.30985915492957744,6.719696969696969,28.625000000000004,0.303886925795053,,,1.0,,1.0,2.0,,,0.15384615384615385,,0.125,,True,,,,,,
2418,1610612756,Casey Jacobsen,Casey Jacobsen,2418,PHX,1246.0,21,13.0,48,48,18,26,5,96,,1.0,,,,,,,,,1.0,3.0,2.0,,1.0,,,,1.0,,1.0,1.0,4.0,,3.0,36,,,,,,,,,1.0,3.0,,3.0,,,3.0,,,1.0,,,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,3.0,,2.0,,,1.0,,,,,,3.0,18,1.0,,,1.0,0.25,,0.3333333333333333,0.25,,,,0.3,,0.5,0.25,,0.375,0.8,,,,,11.11111111111111,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,0.2,,,,,,,,,,0.6666666666666666,0.3333333333333333,,1.0,,0.5013099999999999,,0.4412,,,,1.0,,23.625,0.375,,,,1.0,,,,,,,,0.5,True,,,,,,
448,1610612756,Bo Outlaw,Bo Outlaw,448,PHX,1816.0,30,-26.0,58,61,14,33,8,119,,4.0,,,,1.0,,2.0,,,,,,,,,,,,,6.0,,,,,64,,,,,,,,1.0,,,,,,,,,,,,3.0,,2.0,,2.0,,1.0,1.0,,4.0,,1.0,,1.0,3.0,,4.0,1.0,5.0,,,,,2.0,,1.0,1.0,2.0,3.0,,2.0,3.0,8.0,,2.0,,1.0,,,,,,,,14,2.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,14.084507042253522,0.6666666666666666,,,0.15789473684210525,0.029411764705882353,0.14285714285714285,,0.15384615384615385,0.025,,0.1111111111111111,,,,,0.5,0.2222222222222222,,0.25,,,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.6666666666666666,,0.47111666666666663,,0.4856,0.14285714285714285,0.14285714285714285,,,2.5166666666666666,,0.2413793103448276,,,,,,,,1.0,0.5,,,,True,,,,,,
281,1610612756,Scott Williams,Scott Williams,281,PHX,1152.0,19,-13.0,34,33,3,11,6,67,,3.0,,1.0,,,1.0,3.0,2.0,4.0,,,,,,,,,,3.0,10.0,,,2.0,8.0,38,,1.0,,,2.0,2.0,,,,,,,6.0,,,,,,,1.0,,,,,,,,,,,4.0,,,1.0,,1.0,4.0,5.0,,1.0,,1.0,,,,,,,,,3.0,5.0,,2.0,,1.0,,1.0,1.0,,1.0,1.0,,3,,1.0,1.0,,,,,,0.3,,,0.3,,,0.36363636363636365,0.5,,,,0.1,,,25.0,,,,0.1111111111111111,0.21052631578947367,,,0.08333333333333333,0.18181818181818182,0.16666666666666666,0.14285714285714285,0.3333333333333333,,,0.3333333333333333,,,,,,1.0,0.3,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5,1.0,,,,,,,,,1.0,,,,,,,,,0.3,,0.44160000000000005,0.5804,,0.09090909090909091,0.09090909090909091,0.25,,10.66,,0.08823529411764706,,,,,,,,,0.3333333333333333,,,,True,,,,,,
339,1610612756,Tom Gugliotta,Tom Gugliotta,339,PHX,46.0,1,,1,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,1,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,100.0,,,,0.5,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,True,,,,,,
