EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,Arc3FGA,PenaltyFG2M,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,BadPassSteals,PenaltyTurnovers,PenaltyFg2Pct,PenaltyEfgPct,OffLongMidRangeReboundPct,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimFGM,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,BlockedShortMidRange,Defensive 3 Seconds Violations,OffAtRimReboundPct,SelfORebPct,PenaltyAtRimAccuracy,Technical Free Throw Trips,BlockedLongMidRange,ShortMidRangePctBlocked,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceTurnovers,3SecondViolations,SecondChanceAtRimPctAssisted,on,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,OffThreePtRebounds,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PtsUnassisted3s,DefensiveGoaltends,PenaltyArc3FGM,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,PenaltyArc3Accuracy,Corner3Assists,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,4694.0,78,-40,143,142,6.0,16,17,285,5.0,7.0,1.0,1.0,5.0,5.0,6.0,22,1.0,16.0,34,1.0,4.0,36.0,157,2.0,4.0,1.0,5.0,2.0,2.0,2.0,24.0,8.0,2.0,2.0,3.0,3.0,2.0,1.0,6.0,1.0,3.0,5.0,1.0,9.0,1.0,10.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,11,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,0.75,0.8,0.47058823529411764,0.5,0.45714285714285713,0.5,0.4864864864864865,0.625,0.3333333333333333,0.02857142857142857,0.058823529411764705,0.14285714285714285,0.045454545454545456,25.30864197530864,0.5,0.25,0.08771929824561403,0.014084507042253521,0.25,0.11594202898550725,0.0136986301369863,0.06666666666666667,0.1111111111111111,0.1,0.07894736842105263,0.25,0.25,1.0,0.2,0.7142857142857143,0.8333333333333334,0.6,0.14285714285714285,1.0,1.0,0.8,0.6285714285714286,0.2727272727272727,0.2857142857142857,0.8333333333333334,0.02857142857142857,0.25,1.0,0.22857142857142856,0.43459571428571425,0.41100000000000003,0.3627,0.05555555555555555,0.05714285714285714,0.1388888888888889,0.05555555555555555,12.705882352941174,23.2,0.04195804195804196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,2695.0,45,-20,79,81,28.0,21,11,160,2.0,4.0,1.0,1.0,1.0,3.0,2.0,3,,5.0,10,1.0,2.0,12.0,109,1.0,2.0,,2.0,4.0,,4.0,6.0,4.0,2.0,1.0,,1.0,,,3.0,2.0,,6.0,,6.0,2.0,8.0,1.0,,,,1.0,1.0,1.0,,1,,,2.0,,1.0,,1.0,1.0,1.0,1.0,4.0,28.0,1.0,0.6,0.75,0.5,0.5,0.45454545454545453,0.5,0.5,0.5,0.5,0.09090909090909091,0.1,0.25,,14.285714285714285,,,0.2,0.0625,,0.15789473684210525,0.06060606060606061,0.1,0.21428571428571427,0.3333333333333333,0.15384615384615385,,,1.0,0.36363636363636365,0.5,0.6666666666666666,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,,0.5,1.0,0.45454545454545453,0.46805454545454545,0.48614999999999997,0.41152500000000003,0.08333333333333333,0.09090909090909091,0.16666666666666666,0.3333333333333333,7.87,24.7,0.35443037974683544,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.07142857142857142,0.09090909090909091,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,6770.0,113,-41,206,203,33.0,31,25,409,7.0,11.0,2.0,3.0,3.0,6.0,10.0,30,,20.0,47,1.0,14.0,54.0,236,3.0,7.0,1.0,7.0,4.0,3.0,7.0,26.0,14.0,2.0,3.0,9.0,9.0,4.0,3.0,18.0,3.0,2.0,9.0,1.0,12.0,3.0,15.0,6.0,3.0,8.0,6.0,2.0,,10.0,4.0,7,,,21.0,1.0,9.0,2.0,1.0,,1.0,1.0,7.0,33.0,,0.65,0.6842105263157895,0.425531914893617,0.42857142857142855,0.4166666666666667,0.42857142857142855,0.46551724137931033,0.5,0.5833333333333334,0.020833333333333332,0.06382978723404255,0.18181818181818182,0.03333333333333333,29.059829059829063,0.8,0.25,0.11392405063291139,0.030927835051546393,0.1,0.1111111111111111,0.030303030303030304,,0.15,0.07692307692307693,0.10869565217391304,0.15384615384615385,,1.0,0.22916666666666666,0.6363636363636364,0.7777777777777778,0.7142857142857143,0.125,0.5,0.5,0.3333333333333333,0.625,0.3333333333333333,0.3448275862068966,0.7,,0.42857142857142855,0.6666666666666666,0.25,0.4494708333333333,0.46564285714285714,0.531125,0.16071428571428573,0.16363636363636364,0.12962962962962962,0.12962962962962962,12.54468085106383,25.2,0.16019417475728157,3.0,1.0,2.0,1.0,,,3.0,2.0,0.5,0.5,0.03571428571428571,0.020833333333333332,0.75,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.05263157894736842,0.08,0.3333333333333333,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,5776.0,96,-44,176,173,17.0,25,23,349,3.0,6.0,,,3.0,8.0,5.0,11,,11.0,25,,18.0,40.0,205,2.0,2.0,2.0,6.0,1.0,6.0,8.0,10.0,12.0,,3.0,18.0,18.0,7.0,3.0,36.0,1.0,,6.0,,6.0,1.0,7.0,6.0,2.0,5.0,4.0,2.0,1.0,7.0,,4,,,18.0,,4.0,3.0,1.0,,1.0,1.0,8.0,17.0,1.0,0.45454545454545453,0.45454545454545453,0.44,1.0,0.44,1.0,0.5625,1.0,1.0,,0.12,0.3333333333333333,,19.40298507462687,0.7142857142857143,,0.09090909090909091,0.012048192771084338,,0.07228915662650602,0.011764705882352941,,0.06666666666666667,0.1,0.0975609756097561,,,1.0,0.24,0.5,0.75,1.0,0.32,0.375,0.42857142857142855,,0.44,0.45454545454545453,0.45454545454545453,0.4,,,,0.24,0.435036,0.37615,0.3792,0.13793103448275862,0.13793103448275862,0.15,0.2,10.776,,0.09659090909090909,,,1.0,,,,4.0,1.0,1.0,1.0,0.02,,,,8.0,,1.0,1.0,,,,,,4.0,1.0,0.125,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1610612762,Calbert Cheaney,Calbert Cheaney,384,UTA,7354.0,123,-57,221,221,33.0,35,28,442,4.0,5.0,,1.0,3.0,8.0,3.0,14,,10.0,27,,2.0,22.0,263,1.0,3.0,,2.0,4.0,1.0,5.0,14.0,6.0,,2.0,8.0,8.0,4.0,1.0,16.0,3.0,2.0,2.0,,4.0,3.0,7.0,2.0,1.0,2.0,1.0,5.0,,7.0,5.0,15,,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0,33.0,3.0,0.7,0.7,0.37037037037037035,0.3333333333333333,0.37037037037037035,0.3333333333333333,0.39285714285714285,0.3333333333333333,0.5,,0.07407407407407407,0.2,,13.88888888888889,0.2857142857142857,,0.022988505747126436,0.029411764705882353,0.1,0.037383177570093455,0.02857142857142857,0.04,,,0.0392156862745098,0.15384615384615385,,,0.18518518518518517,0.8,1.0,1.0,0.2962962962962963,0.375,0.42857142857142855,0.3333333333333333,0.5185185185185185,0.21428571428571427,0.21428571428571427,0.6666666666666666,,0.3333333333333333,,0.18518518518518517,0.4176296296296296,0.4476,0.349175,0.07407407407407407,0.07407407407407407,0.09090909090909091,0.22727272727272727,12.337037037037037,,0.1493212669683258,1.0,,2.0,,,,1.0,1.0,0.5,0.5,0.034482758620689655,,0.25,1.0,3.0,1.0,1.0,1.0,,,,0.07142857142857142,1.0,,,0.125,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,399.0,7,-14,10,13,1.0,4,2,23,,,,,,,,1,,,1,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,3,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,16.666666666666668,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3842,,,,,,,15.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1610612762,Tony Massenburg,Tony Massenburg,763,UTA,1918.0,32,-17,56,57,,10,9,113,,,,,4.0,6.0,,1,,4.0,7,,3.0,11.0,71,2.0,2.0,1.0,5.0,,,,4.0,4.0,4.0,,,,,,,3.0,2.0,5.0,,7.0,3.0,10.0,,,3.0,1.0,,,3.0,3.0,5,,,4.0,,2.0,,3.0,2.0,3.0,2.0,,,,0.5,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.6111111111111112,0.8333333333333334,,,,,,18.46153846153846,1.0,,0.21739130434782608,0.11538461538461539,0.4,0.25,0.1111111111111111,0.1,,,0.4166666666666667,0.3333333333333333,0.5,0.6666666666666666,,,,,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,,,,,,,,0.36562857142857147,0.39295,,0.2222222222222222,0.2222222222222222,0.45454545454545453,,9.785714285714286,,,,,,,,,,,,,0.125,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1610612762,Mark Jackson,Mark Jackson,349,UTA,1609.0,27,-13,47,50,18.0,12,5,97,,,,,1.0,4.0,1.0,2,,2.0,6,1.0,,7.0,62,,,,,1.0,,2.0,2.0,2.0,,1.0,5.0,5.0,2.0,1.0,10.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,4,,,,,,,,,,,2.0,18.0,1.0,0.5,0.5,0.3333333333333333,,0.5,,0.5,,1.0,0.14285714285714285,0.16666666666666666,,,13.20754716981132,,,0.047619047619047616,,,0.04,,,,0.3333333333333333,,,,,,,,,0.5714285714285714,0.25,0.3333333333333333,,0.2857142857142857,0.5,0.5,1.0,,,,0.14285714285714285,0.3928357142857143,,0.3495,,,,0.2857142857142857,12.816666666666668,25.8,0.3829787234042553,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,0.14285714285714285,,,2.0,,,,,,,,,,,0.25,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,5555.0,93,-39,167,165,29.0,21,20,332,8.0,15.0,3.0,6.0,1.0,6.0,,2,,9.0,23,,6.0,24.0,190,3.0,7.0,,6.0,4.0,3.0,7.0,12.0,6.0,4.0,9.0,6.0,6.0,3.0,,12.0,11.0,,14.0,1.0,15.0,11.0,26.0,2.0,,2.0,1.0,3.0,2.0,5.0,5.0,7,,,8.0,,4.0,,9.0,4.0,9.0,8.0,7.0,29.0,,0.6666666666666666,0.8571428571428571,0.391304347826087,0.42857142857142855,0.391304347826087,0.42857142857142855,0.4444444444444444,0.42857142857142855,0.5833333333333334,,0.391304347826087,0.4,,16.842105263157894,0.4,0.3333333333333333,0.20588235294117646,0.14285714285714285,,0.17073170731707318,0.1375,0.125,0.3125,0.2727272727272727,0.14634146341463414,,,0.8888888888888888,0.6521739130434783,0.5333333333333333,0.8888888888888888,0.75,0.2608695652173913,0.16666666666666666,0.3333333333333333,,0.08695652173913043,,,,,0.8571428571428571,0.5,0.6521739130434783,0.4961130434782609,0.5484857142857142,0.577725,0.14814814814814814,0.14814814814814814,0.25,0.2916666666666667,3.1478260869565218,,0.17365269461077845,4.0,,2.0,,,,2.0,1.0,0.5,0.5,0.16666666666666666,,1.0,2.0,3.0,,,1.0,3.0,,0.10526315789473684,,0.5,,2.0,0.5,,,,,,,,,,,,1.0,1.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,4703.0,78,22,151,151,73.0,92,29,302,5.0,8.0,1.0,3.0,1.0,3.0,7.0,10,2.0,13.0,21,6.0,9.0,38.0,159,1.0,3.0,3.0,5.0,11.0,7.0,24.0,22.0,4.0,,,2.0,2.0,,1.0,4.0,6.0,1.0,7.0,1.0,9.0,8.0,17.0,4.0,2.0,1.0,,3.0,,4.0,3.0,12,,3.0,11.0,1.0,5.0,1.0,,,,,24.0,73.0,3.0,0.8461538461538461,0.8461538461538461,0.6190476190476191,0.3333333333333333,0.5370370370370371,0.25,0.59375,0.5,0.6666666666666666,0.2222222222222222,,,,19.25133689839572,0.25,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.07692307692307693,0.10526315789473684,0.12121212121212122,0.0625,,0.07142857142857142,0.1935483870967742,,0.14285714285714285,,0.2962962962962963,0.625,0.625,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,,0.37037037037037035,0.7,0.7,0.8571428571428571,0.07407407407407407,0.75,0.3333333333333333,0.5185185185185185,0.4804777777777777,0.5890375,0.5310428571428571,0.16129032258064516,0.2,0.13157894736842105,0.631578947368421,10.104761904761904,25.616666666666664,0.48344370860927155,6.0,4.0,7.0,4.0,,,2.0,,0.6363636363636364,0.6071428571428571,0.125,0.14814814814814814,0.42857142857142855,4.0,1.0,,,1.0,,,0.16666666666666666,,0.6666666666666666,,,,,1.0,3.0,,1.0,0.16666666666666666,0.16666666666666666,,,,,,,1.0,False,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.5,0.5,1.0,0.25,0.14285714285714285,0.5,0.07142857142857142,,,,,,,,,,,,,,,,
