EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg2aBlocked,ThreePtAssists,Arc3Assists,BadPassSteals,BadPassTurnovers,Technical Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,PenaltyFG2A,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,ShortMidRangeFGM,OffTwoPtRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,OffTwoPtReboundPct,OffAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,Corner3FGA,PenaltyCorner3FGA,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,FTDefRebounds,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,Corner3Frequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyPointsPct,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyEfgPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefCorner3ReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,PenaltyFG2M,PenaltyFg2Pct,on,PenaltyAtRimFGM,Corner3FGM,SecondChanceFtPoints,HeaveAttempts,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,SelfOReb,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Travels,LostBallOutOfBoundsTurnovers
1503,1610612753,Tracy McGrady,Tracy McGrady,1503,ORL,1409.0,23,-30,42,45,4.0,7,5,87,1.0,2.0,1.0,4.0,6.0,1.0,5.0,1.0,5.0,9.0,1.0,5.0,4.0,17.0,69,1.0,1.0,2.0,1.0,8.0,2.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,0.8,0.8,0.2,0.2,0.5555555555555556,1.0,0.4642857142857143,1.0,0.53125,1.0,0.35714285714285715,38.297872340425535,0.5,0.15384615384615385,0.1111111111111111,0.25,0.2,0.14285714285714285,0.5,0.5,0.07142857142857142,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.35714285714285715,0.2,0.2,1.0,0.5,0.2,0.48431428571428575,0.52425,0.1875,0.2727272727272727,0.11764705882352941,13.922222222222224,25.1,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,1610612753,Jacque Vaughn,Jacque Vaughn,1521,ORL,1399.0,23,-15,43,46,7.0,19,4,89,1.0,3.0,,2.0,3.0,,,,3.0,6.0,,,1.0,7.0,59,,,,,2.0,4.0,,,,2.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,3.0,,1.0,,,7.0,0.3333333333333333,0.3333333333333333,,,0.5,,0.5,,0.5,,,14.893617021276597,1.0,0.06666666666666667,0.05,,,0.5,0.3333333333333333,0.5,,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,0.5,,0.5021833333333333,,,,,10.116666666666665,,0.16279069767441862,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1610612753,Gordan Giricek,Gordan Giricek,1921,ORL,1259.0,21,-33,39,42,7.0,13,4,81,,1.0,,1.0,3.0,,,,1.0,4.0,,,,2.0,64,,1.0,,,2.0,,,,,,,,,,,1.0,2.0,,,1.0,,1.0,1.0,2.0,2.0,,,,,7.0,1.0,1.0,,,0.25,,0.25,,0.25,,,11.627906976744185,1.0,,0.058823529411764705,,,0.25,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,0.25,,0.45477500000000004,0.50685,,,,14.1,,0.1794871794871795,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,0.2,0.2,0.05,1.0,0.25,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,1610612753,Steven Hunter,Steven Hunter,2212,ORL,2426.0,40,-29,75,79,14.0,29,8,154,2.0,6.0,4.0,,,,,,3.0,10.0,,,,6.0,103,,1.0,,,4.0,2.0,,,,1.0,1.0,,1.0,2.0,2.0,2.0,3.0,,,,1.0,,1.0,5.0,10.0,,3.0,1.0,2.0,14.0,0.6666666666666666,0.6666666666666666,,,0.3,,0.3,,0.2727272727272727,,,14.285714285714286,,0.08333333333333333,0.058823529411764705,,0.125,0.6,0.3333333333333333,0.6666666666666666,0.4,,,,,,,,,0.6,,0.4914899999999999,0.3933,0.18181818181818182,0.18181818181818182,,2.5,,0.18666666666666668,3.0,,,,,,0.3,0.5,0.125,1.0,,1.0,,,1.0,,,0.02564102564102564,,,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,0.03571428571428571,0.1111111111111111,0.3333333333333333,1.0,0.25,0.25,0.6157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,1610612753,Drew Gooden,Drew Gooden,2400,ORL,1282.0,21,-14,39,44,13.0,18,6,83,2.0,2.0,3.0,1.0,2.0,,,,4.0,7.0,,1.0,6.0,14.0,54,2.0,2.0,4.0,1.0,,8.0,,,,2.0,2.0,,2.0,4.0,3.0,7.0,11.0,,,1.0,,1.0,1.0,,,,6.0,,2.0,13.0,,,,,0.5714285714285714,1.0,0.5,1.0,0.6363636363636364,1.0,0.125,26.08695652173913,1.0,0.21428571428571427,0.19047619047619047,0.2,0.2,0.25,1.0,1.0,0.375,0.25,0.5,0.5,,,,,,0.375,,0.44895624999999995,0.458225,0.2,0.2222222222222222,0.2857142857142857,7.285714285714286,24.1,0.3333333333333333,1.0,,,,,,0.14285714285714285,,0.25,2.0,,1.0,1.0,1.0,4.0,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.3333333333333333,0.16666666666666666,1.0,,1.0,3.0,,1.0,,,,1.0,1.0,,0.2,0.2,1.0,,0.3333333333333333,0.5,0.55795,2.0,1.0,1.0,6.0,6.0,4.0,3.0,1.0,1.0,1.0,6.0,0.6,0.3333333333333333,1.0,0.4,0.125,1.0,0.5,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,307.0,5,-12,9,10,1.0,1,2,19,,,,,,,1.0,,,,,1.0,,,21,,,,,,,,1.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,9.090909090909092,,,,,,,,,,,,,,1.0,,,,1.0,,0.4971,,,,,,26.8,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,1610612753,Jeryl Sasser,Jeryl Sasser,2219,ORL,576.0,10,-11,19,22,8.0,22,2,41,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,,3.0,26,,,3.0,2.0,,,,2.0,1.0,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,8.0,,,0.3333333333333333,0.3333333333333333,,,0.375,1.5,0.375,1.5,0.75,19.047619047619047,,0.16666666666666666,0.2222222222222222,,,,,,,0.25,,,,0.5,0.5,0.5,0.5,0.75,0.5,0.450225,0.479925,,,1.0,22.5,25.366666666666664,0.42105263157894735,,,,,,,,,0.3333333333333333,,,,,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,,,,1.0,,,,0.4293,,1.0,1.0,,3.0,,,,1.0,1.0,3.0,0.75,,,,0.25,,0.5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1610612753,Darrell Armstrong,Darrell Armstrong,353,ORL,936.0,16,-13,30,30,7.0,9,4,60,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,41,,,,2.0,,2.0,3.0,2.0,1.0,3.0,3.0,,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,3.0,,1.0,7.0,,,0.3333333333333333,0.3333333333333333,1.0,,0.625,,0.7,,0.75,17.142857142857142,1.0,0.1111111111111111,0.07692307692307693,,0.25,,,,,0.25,1.0,1.0,,0.5,0.5,0.5,0.5,0.75,0.5,0.5109375,0.53925,0.2,0.5,,17.3,26.233333333333334,0.23333333333333334,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61305,,1.0,1.0,,,,,,,,,,,,,0.25,,0.5,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,1610612753,Pat Burke,Pat Burke,2469,ORL,917.0,15,-8,28,27,,10,1,55,,,2.0,,2.0,,,,1.0,4.0,,,2.0,4.0,33,,,,,,2.0,,,,1.0,1.0,1.0,,2.0,3.0,6.0,7.0,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,0.25,,0.25,,0.4,,,20.689655172413794,1.0,0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,,,,0.5,0.5,,,,,,,,,,0.38145,,0.2,0.2,,14.075,,,,,,,,,,,,,,,,2.0,1.0,0.6666666666666666,,0.07692307692307693,,0.5,,,1.0,1.0,,,,,,,,,0.08333333333333333,0.25,,,0.5,0.5,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1610612753,Chris Whitney,Chris Whitney,43,ORL,958.0,16,11,30,30,7.0,15,3,60,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,5.0,27,,,3.0,1.0,2.0,,3.0,1.0,1.0,,,,,,1.0,1.0,3.0,,,,,,,1.0,2.0,,,,,7.0,1.0,1.0,0.5,0.5,0.5,,0.625,1.5,0.625,1.5,0.5,11.76470588235294,,0.1,0.06666666666666667,,,,,,,0.5,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.4872375,0.5061,,,0.6,19.1,24.85,0.23333333333333334,,,,,,,,,0.25,,,,1.0,,2.0,,0.2,0.13333333333333333,,,,,,1.0,,,,,,,,,0.1,,,,,,,,1.0,,,3.0,,,,,,3.0,1.5,,,,0.25,,,0.6,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.5,,1.0,1.0,,1.0,,,,0.5,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
