EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeAssists,OffAtRimReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,PtsPutbacks,BlockedShortMidRange,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,SelfOReb,BadPassTurnovers,Technical Free Throw Trips,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,AtRimPctBlocked,OffFTReboundPct,SecondChanceArc3FGA,BlockedLongMidRange,SecondChanceArc3Frequency,Blocked3s,BlockedArc3,on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
1501,1610612749,Tim Thomas,Tim Thomas,1501,MIL,5576.0,93,-19,175,173,74.0,85.0,14.0,348,6.0,6.0,1.0,1.0,3.0,3.0,2.0,9.0,4.0,9.0,2.0,2.0,1.0,1.0,5.0,1.0,12.0,24.0,2.0,7.0,11.0,41.0,200,1.0,1.0,1.0,3.0,4.0,7.0,1.0,2.0,5.0,16.0,14.0,10.0,6.0,5.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,1.0,2.0,3.0,9.0,1.0,13.0,3.0,16.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,3.0,7,16,2.0,2.0,18.0,2.0,7.0,3.0,5.0,5.0,5.0,3.0,1.0,16.0,74.0,5.0,0.5833333333333334,0.5833333333333334,1.0,0.2857142857142857,0.5,0.2857142857142857,0.5,1.0,0.5714285714285714,0.4838709677419355,1.0,0.6111111111111112,0.5256410256410257,1.5,0.6666666666666666,0.22580645161290322,0.041666666666666664,0.1111111111111111,23.316062176165804,0.16666666666666666,0.09090909090909091,0.13043478260869565,0.044444444444444446,0.15,0.041666666666666664,0.1348314606741573,0.043478260869565216,0.14285714285714285,0.3333333333333333,0.10714285714285714,0.1111111111111111,0.17391304347826086,0.16666666666666666,0.6,0.1935483870967742,1.0,1.0,0.8333333333333334,0.2903225806451613,0.2222222222222222,0.25,0.2903225806451613,0.4444444444444444,0.4444444444444444,0.5,0.06451612903225806,1.0,1.0,1.0,0.16129032258064516,1.0,1.0,1.0,0.3333333333333333,1.0,0.1111111111111111,1.0,0.1111111111111111,0.41935483870967744,0.4614,0.7086,0.5016611111111112,0.19444444444444445,0.2413793103448276,0.07317073170731707,0.3902439024390244,9.6875,24.628571428571426,0.4228571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
193,1610612749,Anthony Mason,Anthony Mason,193,MIL,7248.0,121,-20,218,219,80.0,97.0,26.0,437,5.0,7.0,,,,,2.0,6.0,,,,,,,,,7.0,13.0,,,7.0,21.0,248,,,3.0,3.0,1.0,3.0,,,4.0,6.0,6.0,8.0,,,,1.0,,1.0,,,,2.0,3.0,1.0,1.0,9.0,2.0,12.0,4.0,16.0,3.0,3.0,,1.0,4.0,,1.0,1.0,5.0,1.0,2.0,5,11,1.0,3.0,11.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,6.0,80.0,2.0,0.42857142857142855,0.42857142857142855,,,,,0.5384615384615384,,0.3333333333333333,0.5384615384615384,,0.3333333333333333,0.5833333333333334,0.75,0.42857142857142855,,,,9.274193548387096,0.2,0.18181818181818182,0.12,0.015384615384615385,0.04,0.09375,0.1,0.041237113402061855,,0.3333333333333333,0.20833333333333334,0.05,0.0967741935483871,0.047619047619047616,1.0,0.5384615384615384,0.7142857142857143,0.7142857142857143,0.4,0.46153846153846156,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,0.5384615384615384,0.4430615384615385,,0.35533333333333333,0.2,0.2,0.14285714285714285,0.2857142857142857,4.838461538461538,,0.3669724770642202,1.0,0.047619047619047616,0.06896551724137931,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2046,1610612749,Desmond Mason,Desmond Mason,2046,MIL,6197.0,103,-14,197,201,99.0,87.0,16.0,398,11.0,13.0,3.0,4.0,6.0,8.0,1.0,2.0,3.0,8.0,,,,,1.0,,15.0,23.0,,1.0,10.0,40.0,231,3.0,4.0,,6.0,8.0,13.0,,,7.0,23.0,26.0,4.0,,1.0,,2.0,,2.0,,1.0,1.0,4.0,,2.0,5.0,8.0,4.0,17.0,2.0,19.0,3.0,1.0,2.0,,2.0,,,,2.0,,1.0,5,13,,2.0,13.0,1.0,5.0,2.0,3.0,2.0,3.0,2.0,,23.0,99.0,1.0,0.8666666666666667,0.9285714285714286,,,,,0.6521739130434783,0.75,0.6153846153846154,0.625,0.75,0.6153846153846154,0.6666666666666666,0.75,0.6764705882352942,0.041666666666666664,,,14.883720930232558,,0.4,0.13114754098360656,0.03508771929824561,0.2631578947368421,,0.1625,0.023809523809523808,,,0.14814814814814814,0.21428571428571427,0.05,0.21428571428571427,0.6666666666666666,0.5416666666666666,0.8461538461538461,0.8461538461538461,0.8181818181818182,0.08333333333333333,0.5,0.5,0.3333333333333333,0.375,0.375,1.0,,,,,0.041666666666666664,1.0,0.75,0.6666666666666666,0.6153846153846154,0.75,,,,0.5833333333333334,0.51426875,0.5208333333333334,0.5584384615384616,0.17857142857142858,0.18518518518518517,0.15,0.575,7.613043478260869,25.1,0.5025380710659898,,0.047619047619047616,,1.0,2.0,1.0,0.0625,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
208,1610612749,Sam Cassell,Sam Cassell,208,MIL,7262.0,121,-14,223,228,89.0,101.0,21.0,451,1.0,3.0,,,,2.0,5.0,11.0,9.0,17.0,3.0,5.0,1.0,2.0,9.0,3.0,15.0,31.0,7.0,14.0,7.0,58.0,262,1.0,2.0,,2.0,5.0,12.0,2.0,5.0,6.0,22.0,12.0,18.0,15.0,9.0,,5.0,2.0,7.0,2.0,3.0,,16.0,1.0,2.0,1.0,7.0,,8.0,3.0,11.0,1.0,,1.0,6.0,2.0,,1.0,1.0,8.0,,4.0,3,10,1.0,1.0,8.0,,,4.0,1.0,1.0,1.0,,,22.0,89.0,2.0,0.4,0.4,0.7142857142857143,0.5,0.4,0.5,0.4838709677419355,0.5,0.4166666666666667,0.5666666666666667,0.3333333333333333,0.47058823529411764,0.5816326530612245,0.3333333333333333,0.525,0.3111111111111111,,,22.4,0.75,,0.10606060606060606,0.029850746268656716,0.03225806451612903,0.030303030303030304,0.08247422680412371,0.03,,,0.07407407407407407,0.1,0.15789473684210525,,,0.06666666666666667,0.3333333333333333,0.3333333333333333,1.0,0.24444444444444444,0.45454545454545453,0.45454545454545453,0.37777777777777777,0.5294117647058824,0.5294117647058824,0.4444444444444444,0.1111111111111111,0.6,0.6,0.6666666666666666,0.2,,,,0.11764705882352941,,0.11764705882352941,0.5,0.17647058823529413,0.37777777777777777,0.4541811111111111,0.3551,0.4581764705882353,,,0.034482758620689655,0.3793103448275862,13.309677419354838,24.857142857142858,0.3991031390134529,2.0,0.1,0.03571428571428571,0.2,,,,0.16666666666666666,1.0,4.0,1.0,1.0,6.0,4.0,1.0,5.0,1.0,0.043478260869565216,0.4444444444444444,0.4444444444444444,0.75,0.3333333333333333,0.3333333333333333,0.4444444444444444,,,,,,,,,,,,True,,,,,,,,
389,1610612749,Toni Kukoc,Toni Kukoc,389,MIL,11111.0,185,-32,347,349,147.0,152.0,34.0,696,11.0,18.0,2.0,3.0,4.0,7.0,5.0,9.0,5.0,9.0,,3.0,,1.0,26.0,7.0,21.0,36.0,11.0,29.0,14.0,89.0,398,4.0,8.0,3.0,11.0,7.0,13.0,4.0,8.0,4.0,30.0,22.0,20.0,30.0,25.0,2.0,18.0,4.0,22.0,2.0,14.0,1.0,48.0,1.0,4.0,6.0,8.0,5.0,19.0,6.0,25.0,13.0,8.0,5.0,5.0,6.0,1.0,1.0,2.0,11.0,1.0,5.0,3,12,3.0,1.0,20.0,,8.0,2.0,1.0,,1.0,1.0,,30.0,147.0,4.0,0.5238095238095238,0.55,0.9090909090909091,0.3793103448275862,0.5,0.39285714285714285,0.5833333333333334,0.5,0.5384615384615384,0.5769230769230769,0.5,0.6190476190476191,0.5933333333333334,0.5,0.625,0.4461538461538462,0.05555555555555555,0.1111111111111111,22.22222222222222,0.45454545454545453,0.2631578947368421,0.06779661016949153,0.038834951456310676,0.13953488372093023,0.02127659574468085,0.08695652173913043,0.03333333333333333,0.03125,,0.06818181818181818,,0.12195121951219512,0.14285714285714285,1.0,0.27692307692307694,0.6111111111111112,0.6470588235294118,0.36363636363636365,0.13846153846153847,0.5555555555555556,0.625,0.13846153846153847,0.5555555555555556,0.5555555555555556,0.8,0.046153846153846156,,,,0.4,0.375,0.6666666666666666,,0.3333333333333333,0.5714285714285714,0.047619047619047616,,0.3333333333333333,0.7230769230769231,0.48778750000000015,0.43155000000000004,0.457615,0.1095890410958904,0.18181818181818182,0.12359550561797752,0.33707865168539325,6.875,26.83103448275862,0.42363112391930835,3.0,0.029411764705882353,0.023809523809523808,0.6,2.0,1.0,0.05405405405405406,0.125,,11.0,4.0,,3.0,11.0,,4.0,,,0.4230769230769231,0.4230769230769231,0.9090909090909091,,0.5714285714285714,0.44,1.0,2.0,1.0,2.0,0.05555555555555555,0.07692307692307693,,,,,,True,,,,,,,,
56,1610612749,Gary Payton,Gary Payton,56,MIL,8971.0,150,-16,288,288,132.0,138.0,26.0,576,18.0,33.0,,2.0,13.0,18.0,6.0,15.0,3.0,8.0,,,,,11.0,4.0,27.0,56.0,,11.0,8.0,62.0,318,,3.0,,,18.0,33.0,,4.0,2.0,38.0,14.0,40.0,,11.0,6.0,22.0,12.0,34.0,9.0,12.0,2.0,80.0,1.0,1.0,3.0,8.0,,11.0,2.0,13.0,4.0,2.0,2.0,4.0,5.0,,1.0,,9.0,,4.0,4,13,2.0,2.0,13.0,1.0,6.0,1.0,1.0,,1.0,,,38.0,132.0,4.0,0.25925925925925924,0.25925925925925924,,,,,0.48214285714285715,,0.5454545454545454,0.40298507462686567,,0.4864864864864865,0.4246575342465753,,0.48717948717948717,0.16417910447761194,0.10714285714285714,,25.705329153605017,0.4444444444444444,,0.07766990291262135,0.011764705882352941,0.08333333333333333,0.029411764705882353,0.07913669064748201,0.01680672268907563,,,0.05,0.04,0.13157894736842105,0.06896551724137931,,0.4925373134328358,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.22388059701492538,0.4,0.4,0.11940298507462686,0.375,0.375,0.3333333333333333,,,,,0.16417910447761194,0.5,,,0.4864864864864865,0.7222222222222222,,,0.10810810810810811,0.6567164179104478,0.499539552238806,0.4481,0.4878837837837838,0.08333333333333333,0.09836065573770492,,0.6129032258064516,5.019642857142857,25.145454545454548,0.4583333333333333,8.0,0.03333333333333333,0.03333333333333333,,,,,0.14285714285714285,,,,1.0,,,1.0,3.0,,0.030303030303030304,,,,,,,,3.0,,3.0,0.18181818181818182,,1.0,1.0,0.25,,,True,,,,,,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,6346.0,106,-32,198,196,79.0,78.0,23.0,394,9.0,15.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,10.0,1.0,2.0,,1.0,10.0,5.0,15.0,30.0,3.0,12.0,9.0,48.0,238,3.0,8.0,,6.0,6.0,8.0,1.0,6.0,5.0,20.0,26.0,4.0,9.0,10.0,1.0,8.0,1.0,9.0,1.0,3.0,2.0,19.0,1.0,6.0,3.0,8.0,,11.0,7.0,18.0,1.0,,1.0,2.0,5.0,1.0,,,7.0,1.0,3.0,2,13,2.0,1.0,10.0,1.0,4.0,1.0,,,,,,20.0,79.0,5.0,0.8666666666666667,0.9285714285714286,1.0,0.25,0.16666666666666666,0.25,0.5,0.375,0.75,0.4642857142857143,0.375,0.5357142857142857,0.5108695652173914,0.375,0.625,0.2857142857142857,0.03333333333333333,,23.660714285714285,0.2857142857142857,,0.1111111111111111,0.09836065573770492,0.13636363636363635,0.03571428571428571,0.11702127659574468,0.07865168539325842,0.1111111111111111,,0.09090909090909091,0.20833333333333334,0.038461538461538464,0.1111111111111111,,0.35714285714285715,0.6,0.6428571428571429,0.8888888888888888,0.11904761904761904,0.2,0.2,0.23809523809523808,0.5,0.5,0.8,0.047619047619047616,0.5,0.5,1.0,0.23809523809523808,0.625,0.4,0.5,0.35714285714285715,1.0,0.07142857142857142,,0.35714285714285715,0.6428571428571429,0.5078190476190476,0.5516571428571428,0.5299357142857143,0.08888888888888889,0.12121212121212122,0.125,0.4166666666666667,7.356666666666667,24.54166666666667,0.398989898989899,3.0,0.125,0.038461538461538464,1.0,2.0,,0.05263157894736842,0.25,,2.0,1.0,,,2.0,,2.0,1.0,,0.2,0.2,1.0,,0.2,0.2,,,,2.0,0.06666666666666667,,,,,,,True,,,,,,,,
2038,1610612749,Joel Przybilla,Joel Przybilla,2038,MIL,162.0,3,-6,6,5,,,,11,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
911,1610612749,Ervin Johnson,Ervin Johnson,911,MIL,2118.0,35,-2,65,67,30.0,18.0,9.0,132,2.0,3.0,1.0,2.0,1.0,1.0,,2.0,,,,,,,,,2.0,5.0,,,,4.0,65,1.0,2.0,,2.0,1.0,2.0,,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,4.0,1.0,3.0,3.0,2.0,1.0,6.0,4.0,10.0,3.0,3.0,,,3.0,,,,3.0,,1.0,5,8,,2.0,,,,,1.0,1.0,1.0,1.0,,2.0,30.0,1.0,0.5,0.5,,,,,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,,,,10.81081081081081,,0.3333333333333333,0.10526315789473684,0.13043478260869565,0.2,0.14285714285714285,0.14705882352941177,0.13333333333333333,,,,0.16666666666666666,0.2,0.25,1.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.4,,,,,,,,,,,,1.0,0.5,,0.5,1.0,,,,0.6,0.46966,0.47634999999999994,0.50745,,,0.5,0.5,5.88,,0.46153846153846156,2.0,0.25,0.16666666666666666,,,,0.125,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,
2409,1610612749,Marcus Haislip,Marcus Haislip,2409,MIL,564.0,9,-5,18,19,5.0,4.0,1.0,37,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,3.0,22,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3,4,,,2.0,,,1.0,,,1.0,,,1.0,5.0,,1.0,1.0,,,,,1.0,,,1.0,,,0.75,,0.5,,,,10.526315789473685,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.4319,,,,,,0.3333333333333333,19.5,,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,
