EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,ThreePtAssists,Arc3Assists,FTOffRebounds,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,SecondChanceArc3FGA,SecondChanceFG3A,HeaveAttempts,Corner3Assists,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceArc3Frequency,DefensiveGoaltends,on,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1496,1610612755,Keith Van Horn,Keith Van Horn,1496,PHI,15012.0,250,12,444,444,99,30,65.0,888,9.0,16.0,6.0,8.0,3.0,3.0,7.0,17.0,1.0,10.0,1.0,7.0,1.0,2.0,6.0,11.0,1.0,2.0,17.0,43.0,7.0,18.0,19.0,74.0,457,7.0,12.0,7.0,21.0,3.0,7.0,2.0,4.0,4.0,16.0,16.0,18.0,21.0,10.0,11.0,6.0,3.0,7.0,7.0,4.0,1.0,2.0,14.0,10.0,10.0,27.0,3.0,40,10.0,50,1.0,8.0,3.0,5.0,5.0,1.0,3.0,7.0,1.0,2.0,1.0,12.0,2.0,3.0,12.0,22.0,2.0,3.0,20.0,8.0,2.0,2.0,1.0,1.0,2.0,1.0,16.0,99,0.47058823529411764,0.6666666666666666,1.0,0.3888888888888889,0.5,0.3888888888888889,0.3953488372093023,0.5833333333333334,0.42857142857142855,0.45081967213114754,0.5833333333333334,0.5454545454545454,0.5211267605633803,0.65625,0.6153846153846154,0.29508196721311475,0.06976744186046512,0.125,0.058823529411764705,15.900383141762452,0.4166666666666667,0.25,0.17880794701986755,0.05405405405405406,0.16666666666666666,0.17535545023696683,0.04672897196261682,0.09090909090909091,0.04878048780487805,0.02564102564102564,0.09523809523809523,0.2558139534883721,0.18181818181818182,0.16326530612244897,0.18181818181818182,0.029411764705882353,0.26229508196721313,0.5625,0.6428571428571429,0.2222222222222222,0.2786885245901639,0.4117647058823529,0.4375,0.7142857142857143,0.16393442622950818,0.1,0.1,1.0,0.11475409836065574,0.14285714285714285,0.14285714285714285,1.0,0.18032786885245902,0.5454545454545454,0.5454545454545454,1.0,0.6666666666666666,0.75,0.2727272727272727,1.0,0.18181818181818182,0.5,0.18181818181818182,0.5,0.5573770491803278,0.5454545454545454,0.4801262295081967,0.5048583333333334,0.5044863636363636,0.11594202898550725,0.1568627450980392,0.28378378378378377,0.21621621621621623,7.827906976744186,24.6,0.22297297297297297,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1730,1610612755,Brian Skinner,Brian Skinner,1730,PHI,1167.0,19,-16,32,36,25,22,7.0,68,1.0,2.0,,,1.0,2.0,,1.0,,,,,,,,,,,1.0,3.0,,,2.0,4.0,43,,,,,1.0,2.0,,,2.0,4.0,2.0,,,,,,2.0,,,,,,,2.0,1.0,,,1,3.0,4,,,,,1.0,,1.0,1.0,,,,2.0,,1.0,2.0,4.0,,1.0,2.0,1.0,,,,,,,4.0,25,1.0,1.0,,,,,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.5,,0.6666666666666666,,0.6666666666666666,0.5,1.0,13.636363636363637,0.5,,,0.10526315789473684,0.16666666666666666,0.06666666666666667,0.14285714285714285,0.14285714285714285,0.25,,,,,,0.5,,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,0.6666666666666666,,0.4936333333333333,,0.54365,0.25,0.25,,1.0,4.2,,0.78125,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1903,1610612755,Kenny Thomas,Kenny Thomas,1903,PHI,23445.0,391,-10,688,695,217,139,106.0,1383,32.0,55.0,15.0,21.0,8.0,16.0,12.0,25.0,10.0,21.0,,,,,,,,,54.0,101.0,,,19.0,127.0,740,17.0,27.0,3.0,37.0,15.0,25.0,,,10.0,40.0,70.0,38.0,,26.0,,,8.0,10.0,11.0,7.0,1.0,2.0,23.0,37.0,20.0,40.0,10.0,70,42.0,112,6.0,8.0,6.0,2.0,6.0,1.0,4.0,13.0,1.0,2.0,1.0,19.0,1.0,4.0,15.0,42.0,10.0,7.0,29.0,14.0,1.0,4.0,2.0,,5.0,,40.0,217,0.6481481481481481,0.8536585365853658,,,,,0.5346534653465347,0.6296296296296297,0.6,0.5346534653465347,0.6296296296296297,0.6,0.5521739130434783,0.6166666666666667,0.625,,0.07920792079207921,0.10909090909090909,0.04,16.482164821648215,0.3157894736842105,0.45454545454545453,0.16597510373443983,0.13261648745519714,0.20618556701030927,0.17751479289940827,0.12576687116564417,0.1414141414141414,0.20689655172413793,0.09016393442622951,0.11428571428571428,0.11842105263157894,0.24210526315789474,0.2236842105263158,0.14285714285714285,0.15384615384615385,0.5445544554455446,0.5818181818181818,0.6530612244897959,0.625,0.24752475247524752,0.48,0.5,0.6666666666666666,0.2079207920792079,0.47619047619047616,0.5,0.7,,,,,,,,,0.7777777777777778,0.7142857142857143,0.64,0.5,,,,,0.5445544554455446,,0.4875257425742574,0.5274851851851852,0.49107600000000007,0.12280701754385964,0.12280701754385964,0.29133858267716534,0.31496062992125984,5.400990099009901,,0.31540697674418605,4.0,4.0,0.0851063829787234,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,0.047619047619047616,0.0625,0.8,0.2,,,,,,,,,,True,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,9631.0,161,-34,277,284,121,101,52.0,561,9.0,11.0,,1.0,2.0,4.0,2.0,2.0,6.0,18.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,17.0,31.0,4.0,6.0,7.0,53.0,319,1.0,4.0,,2.0,7.0,12.0,2.0,2.0,5.0,25.0,20.0,14.0,9.0,,3.0,1.0,2.0,8.0,11.0,5.0,1.0,2.0,25.0,,4.0,16.0,1.0,21,2.0,23,,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,,5.0,,,6.0,14.0,2.0,,9.0,4.0,1.0,1.0,,1.0,1.0,,25.0,121,0.5882352941176471,0.5882352941176471,0.75,0.6666666666666666,1.0,0.6666666666666666,0.5483870967741935,0.25,0.5833333333333334,0.6216216216216216,0.25,0.7142857142857143,0.6463414634146342,0.25,0.7352941176470589,0.16216216216216217,0.06451612903225806,0.09090909090909091,,13.569321533923304,0.4,0.1,0.1509433962264151,,0.10526315789473684,0.1388888888888889,0.013793103448275862,,,,0.17647058823529413,0.1111111111111111,0.16666666666666666,0.10714285714285714,0.1,,0.2972972972972973,0.8181818181818182,0.9,0.4444444444444444,0.05405405405405406,1.0,1.0,0.5,0.4864864864864865,0.3333333333333333,0.35294117647058826,0.8333333333333334,0.08108108108108109,1.0,1.0,1.0,0.08108108108108109,0.3333333333333333,0.3333333333333333,,0.25,,0.2857142857142857,0.5,0.07142857142857142,1.0,0.07142857142857142,1.0,0.4594594594594595,0.3333333333333333,0.4866148648648649,0.4817666666666667,0.45046785714285714,0.1,0.11764705882352941,0.03773584905660377,0.4716981132075472,10.629032258064516,24.216666666666665,0.4368231046931408,2.0,2.0,0.09523809523809523,0.10526315789473684,3.0,3.0,,1.0,,,,1.0,,0.05555555555555555,,1.0,,3.0,,,,,,,,,True,,,,,,,,,,
727,1610612755,Eric Snow,Eric Snow,727,PHI,17678.0,295,26,522,525,162,76,73.0,1047,9.0,16.0,,2.0,3.0,5.0,2.0,13.0,18.0,32.0,,,,,,3.0,,2.0,29.0,61.0,,3.0,36.0,94.0,537,4.0,9.0,,8.0,9.0,19.0,,2.0,22.0,40.0,38.0,20.0,,,2.0,,3.0,26.0,38.0,10.0,6.0,10.0,88.0,3.0,10.0,15.0,,25,6.0,31,1.0,9.0,1.0,8.0,19.0,7.0,11.0,9.0,1.0,8.0,,28.0,,9.0,12.0,38.0,2.0,1.0,40.0,11.0,7.0,,,,,,40.0,162,0.6551724137931034,0.6551724137931034,,,,,0.47540983606557374,0.4444444444444444,0.47368421052631576,0.453125,0.4,0.42857142857142855,0.5487804878048781,0.4,0.59375,0.046875,0.04918032786885246,0.125,0.07692307692307693,18.0327868852459,0.6785714285714286,,0.08241758241758242,0.015,0.14492753623188406,0.099601593625498,0.02564102564102564,,0.045454545454545456,0.011363636363636364,0.1,0.07407407407407407,0.07692307692307693,0.1568627450980392,0.1111111111111111,0.03333333333333333,0.25,0.5625,0.6428571428571429,0.5555555555555556,0.203125,0.15384615384615385,0.16666666666666666,0.5,0.5,0.5625,0.5625,0.7222222222222222,,,,,0.046875,,,,0.2,,0.23809523809523808,0.6,,,0.09523809523809523,,0.296875,,0.4297563492063491,0.37852857142857144,0.4318775,0.14666666666666667,0.1527777777777778,0.0851063829787234,0.425531914893617,11.254098360655737,31.2,0.3103448275862069,3.0,6.0,0.08823529411764706,0.08333333333333333,12.0,9.0,,,,,,,,,,,,,1.0,1.0,1.0,3.0,4.0,0.1,0.1,,True,,,,,,,,,,
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,22264.0,371,-23,655,661,197,131,100.0,1316,36.0,68.0,3.0,6.0,8.0,11.0,11.0,22.0,32.0,91.0,,1.0,,,12.0,34.0,3.0,10.0,79.0,181.0,12.0,35.0,51.0,245.0,711,13.0,25.0,,26.0,21.0,43.0,3.0,10.0,26.0,77.0,44.0,114.0,24.0,6.0,33.0,12.0,12.0,53.0,58.0,24.0,8.0,21.0,121.0,8.0,9.0,10.0,,19,9.0,28,4.0,21.0,10.0,11.0,16.0,4.0,13.0,14.0,3.0,3.0,,30.0,4.0,12.0,3.0,18.0,,6.0,70.0,24.0,13.0,1.0,,1.0,1.0,,77.0,197,0.27848101265822783,0.2894736842105263,0.6666666666666666,0.34285714285714286,0.3,0.35294117647058826,0.43646408839779005,0.52,0.4883720930232558,0.44907407407407407,0.4642857142857143,0.4811320754716981,0.49193548387096775,0.4642857142857143,0.5507246376811594,0.16203703703703703,0.06629834254143646,0.08823529411764706,0.13636363636363635,36.01036269430052,0.5333333333333333,,0.043859649122807015,0.030303030303030304,0.09782608695652174,0.059375,0.02912621359223301,0.043478260869565216,0.03571428571428571,0.017241379310344827,0.058823529411764705,0.0273972602739726,0.04597701149425287,0.09333333333333334,0.11764705882352941,0.03571428571428571,0.3148148148148148,0.5294117647058824,0.5806451612903226,0.2777777777777778,0.10185185185185185,0.5,0.5789473684210527,0.18181818181818182,0.4212962962962963,0.3516483516483517,0.36363636363636365,0.3125,0.004629629629629629,,,,0.1574074074074074,0.35294117647058826,0.35294117647058826,0.6666666666666666,0.21428571428571427,0.5,0.20754716981132076,0.7272727272727273,,,0.18867924528301888,0.3,0.47685185185185186,0.36363636363636365,0.4813520930232558,0.4387304347826087,0.4545846153846154,0.10212765957446808,0.12,0.10612244897959183,0.3142857142857143,10.26574585635359,26.245714285714286,0.300763358778626,1.0,2.0,0.022222222222222223,,5.0,3.0,,5.0,,,,,,0.03296703296703297,,,,12.0,3.0,3.0,1.0,2.0,1.0,0.09090909090909091,0.10714285714285714,,True,,,,,,,,,,
1761,1610612755,Greg Buckner,Greg Buckner,1761,PHI,2659.0,44,3,77,79,29,36,13.0,156,,1.0,,,,,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,,,2.0,6.0,1.0,4.0,2.0,9.0,88,,,,,1.0,2.0,1.0,1.0,,5.0,2.0,2.0,3.0,,1.0,,,1.0,2.0,,,1.0,5.0,,1.0,3.0,1.0,5,,5,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,2.0,,2.0,1.0,8.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,,5.0,29,0.5,0.5,1.0,0.25,1.0,0.25,0.3333333333333333,,0.5,0.35,,0.8333333333333334,0.4090909090909091,,0.8333333333333334,0.4,,,,14.444444444444445,0.5,0.2,0.1111111111111111,,0.07692307692307693,0.1,,,,,,0.1,0.18181818181818182,0.14285714285714285,,,0.1,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,0.2,0.5,0.5,,0.3,0.3333333333333333,0.3333333333333333,1.0,0.1,,,,,,,,0.3333333333333333,1.0,,,0.5,,0.4689500000000001,,0.43048333333333333,0.09090909090909091,0.14285714285714285,,0.5555555555555556,10.950000000000001,24.725,0.37662337662337664,,4.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,True,,,,,,,,,,
2422,1610612755,John Salmons,John Salmons,2422,PHI,501.0,8,3,15,15,12,3,2.0,30,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,14,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,2,,2,,,,,1.0,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,1.0,,,,18.75,0.5,,0.25,,,0.16666666666666666,,,,,,1.0,0.25,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,0.4974,,0.4974,,,,,,23.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
238,1610612755,Tyrone Hill,Tyrone Hill,238,PHI,4296.0,72,-16,120,130,42,55,22.0,250,4.0,5.0,3.0,3.0,2.0,2.0,,1.0,,1.0,,,,,,,,,4.0,7.0,,,2.0,10.0,148,3.0,3.0,,6.0,2.0,2.0,,,2.0,6.0,2.0,6.0,,6.0,,,,1.0,1.0,1.0,,,2.0,7.0,1.0,4.0,,5,7.0,12,,1.0,1.0,,3.0,,1.0,1.0,,2.0,1.0,4.0,,3.0,4.0,10.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,6.0,42,0.25,1.0,,,,,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.625,1.0,1.0,,,,,8.450704225352114,0.75,,0.1,0.1346153846153846,0.05263157894736842,0.0847457627118644,0.11666666666666667,0.15789473684210525,0.2,0.08695652173913043,,0.125,0.15384615384615385,0.058823529411764705,,,0.7142857142857143,0.8,0.8,0.25,0.14285714285714285,,,,0.14285714285714285,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,0.7142857142857143,,0.5181857142857142,0.5614333333333333,0.56655,0.125,0.125,0.6,0.6,4.014285714285714,,0.35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
42,1610612755,Monty Williams,Monty Williams,42,PHI,2594.0,43,-13,80,75,29,29,15.0,155,3.0,11.0,2.0,5.0,,2.0,,,,2.0,,,,,,1.0,,,3.0,13.0,,1.0,,6.0,91,2.0,5.0,,4.0,,3.0,,,,,,6.0,,4.0,1.0,,,,,,,,,5.0,1.0,1.0,,2,5.0,7,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,29,,,,,,,0.23076923076923078,0.4,,0.21428571428571427,0.4,,0.21428571428571427,0.4,,0.07142857142857142,,,,14.0,,,0.04,0.1282051282051282,0.07142857142857142,0.05128205128205128,0.10869565217391304,0.18181818181818182,0.16666666666666666,,0.1,,,0.07142857142857142,,0.18181818181818182,0.7857142857142857,0.2727272727272727,0.2727272727272727,,,,,,0.14285714285714285,,,,,,,,0.07142857142857142,,,,1.0,0.4,0.6666666666666666,,,,,,0.8571428571428571,,0.5449461538461539,0.5748800000000001,0.5246000000000001,,,0.6666666666666666,,2.4615384615384617,35.8,0.3625,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
