EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassSteals,SecondChanceCorner3FGA,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,LostBallTurnovers,Travels,BlockedShortMidRange,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,OffCorner3ReboundPct,SecondChanceTurnovers,on,3SecondViolations,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3
1501,1610612749,Tim Thomas,Tim Thomas,1501,MIL,7213.0,120,28,230,231,75.0,45,18.0,461,6.0,13.0,1.0,2.0,3.0,3.0,4.0,13.0,5.0,11.0,5.0,6.0,1.0,1.0,6.0,10.0,3.0,4.0,15.0,37.0,11.0,16.0,16.0,79.0,234,1.0,4.0,2.0,4.0,3.0,6.0,4.0,5.0,8.0,26.0,18.0,12.0,33.0,2.0,10.0,6.0,3.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,5.0,2.0,13.0,1.0,16.0,5.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,12,2.0,1.0,20.0,2.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,3.0,2.0,26.0,75.0,1.0,0.6,0.6428571428571429,1.0,0.6875,0.8,0.6875,0.40540540540540543,0.25,0.5,0.5943396226415094,0.25,0.8181818181818182,0.6475409836065574,0.4,0.9285714285714286,0.3018867924528302,0.08108108108108109,0.15384615384615385,0.07692307692307693,25.396825396825395,0.3333333333333333,0.14285714285714285,0.14130434782608695,0.0625,0.125,0.1388888888888889,0.05102040816326531,0.045454545454545456,0.12121212121212122,0.1388888888888889,0.16666666666666666,0.11538461538461539,0.14285714285714285,0.041666666666666664,0.6666666666666666,0.24528301886792453,0.46153846153846156,0.5454545454545454,0.6666666666666666,0.24528301886792453,0.3076923076923077,0.3333333333333333,0.5,0.20754716981132076,0.45454545454545453,0.45454545454545453,0.6,0.11320754716981132,0.8333333333333334,0.8333333333333334,1.0,0.18867924528301888,0.6,0.6,1.0,0.5,0.5,0.2727272727272727,1.0,0.09090909090909091,1.0,0.36363636363636365,0.75,0.5471698113207547,0.6,0.4670349056603774,0.484425,0.4948272727272727,0.15254237288135594,0.18604651162790697,0.0625,0.05063291139240506,0.3291139240506329,8.97837837837838,24.65625,0.32608695652173914,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
193,1610612749,Anthony Mason,Anthony Mason,193,MIL,5037.0,84,-13,154,157,72.0,55,13.0,311,3.0,6.0,,,,,1.0,4.0,,2.0,,,,,,,,,4.0,12.0,,,8.0,16.0,180,,,2.0,2.0,1.0,4.0,,,5.0,7.0,,8.0,,,,,1.0,,,,,,,,,2.0,6.0,1.0,9.0,,9.0,,1.0,,,,,5.0,5.0,2.0,3.0,10,,5.0,11.0,1.0,,,3.0,,3.0,,,,,7.0,72.0,,,,,,,,0.3333333333333333,,0.25,0.3333333333333333,,0.25,0.47058823529411764,1.0,0.4375,,0.08333333333333333,0.16666666666666666,,13.095238095238095,,0.16666666666666666,0.11764705882352941,,0.16666666666666666,0.12698412698412698,,,,0.14285714285714285,0.11764705882352941,0.1,0.18181818181818182,,,0.5,0.5,0.6,,0.3333333333333333,0.25,0.25,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,0.5,,0.4369416666666666,,0.3682,0.21428571428571427,0.21428571428571427,,0.125,0.4375,5.824999999999999,,0.4675324675324675,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2046,1610612749,Desmond Mason,Desmond Mason,2046,MIL,12238.0,204,-2,387,392,145.0,107,35.0,779,15.0,22.0,4.0,6.0,7.0,12.0,4.0,6.0,9.0,23.0,,2.0,,1.0,,2.0,,1.0,28.0,51.0,,4.0,22.0,78.0,427,6.0,9.0,1.0,13.0,11.0,21.0,,2.0,13.0,35.0,38.0,18.0,,6.0,2.0,,2.0,2.0,3.0,5.0,2.0,1.0,,13.0,6.0,5.0,26.0,5.0,36.0,6.0,42.0,1.0,6.0,3.0,2.0,,1.0,5.0,7.0,1.0,9.0,19,,4.0,31.0,3.0,,,12.0,,5.0,4.0,3.0,4.0,2.0,35.0,145.0,1.0,0.6785714285714286,0.76,,,,,0.5490196078431373,0.6666666666666666,0.5238095238095238,0.509090909090909,0.6,0.4782608695652174,0.5652173913043478,0.5909090909090909,0.5645161290322581,0.07272727272727272,0.0392156862745098,0.09090909090909091,,17.715617715617714,0.2857142857142857,0.35714285714285715,0.1925925925925926,0.04411764705882353,0.1724137931034483,0.18902439024390244,0.03428571428571429,0.06976744186046512,0.03773584905660377,0.11764705882352941,0.21951219512195122,0.2558139534883721,0.125,0.04,0.5,0.4,0.6818181818181818,0.75,0.7333333333333333,0.10909090909090909,0.6666666666666666,0.6666666666666666,0.5,0.41818181818181815,0.391304347826087,0.391304347826087,0.6666666666666666,0.03636363636363636,,,,0.03636363636363636,,,,0.6,0.6666666666666666,0.5217391304347826,0.5833333333333334,0.043478260869565216,,0.043478260869565216,,0.4727272727272727,,0.48556090909090904,0.48150555555555563,0.5264673913043478,0.1875,0.2,,0.16666666666666666,0.44871794871794873,9.862745098039214,24.025000000000002,0.37467700258397935,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025,0.4,0.5,0.1,,,,,,,,,,,,,,,,True,,,,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,3660.0,61,-11,112,111,58.0,43,14.0,223,5.0,8.0,2.0,4.0,2.0,2.0,,,4.0,7.0,1.0,2.0,,1.0,,6.0,,3.0,9.0,15.0,1.0,8.0,3.0,24.0,141,3.0,5.0,,6.0,3.0,5.0,,4.0,3.0,9.0,10.0,8.0,3.0,2.0,6.0,,,6.0,1.0,7.0,,1.0,3.0,15.0,4.0,1.0,4.0,,5.0,4.0,9.0,,,,1.0,1.0,1.0,2.0,3.0,2.0,2.0,6,1.0,,3.0,1.0,,,1.0,,1.0,1.0,,1.0,,9.0,58.0,3.0,0.5555555555555556,0.625,1.0,0.125,,0.125,0.6,0.6,0.6,0.45652173913043476,0.6,0.3333333333333333,0.5,0.6,0.45,0.34782608695652173,,,,20.930232558139533,0.3333333333333333,,0.10810810810810811,0.10526315789473684,0.16666666666666666,0.11627906976744186,0.07547169811320754,0.1111111111111111,0.07692307692307693,0.07142857142857142,0.18181818181818182,0.08333333333333333,0.2,,,0.34782608695652173,0.625,0.625,0.6,,,,,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.5,0.08695652173913043,0.5,0.5,1.0,0.2608695652173913,,,,0.8,0.5,0.2222222222222222,1.0,0.1111111111111111,,0.3333333333333333,,0.6956521739130435,,0.5171978260869566,0.5233800000000001,0.5185888888888889,0.043478260869565216,0.06666666666666667,,0.25,0.375,8.246666666666666,24.287499999999998,0.5178571428571429,,,,1.0,2.0,,,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,True,,,,,,
208,1610612749,Sam Cassell,Sam Cassell,208,MIL,9987.0,166,-2,315,322,113.0,80,29.0,637,2.0,6.0,,,,3.0,8.0,17.0,13.0,27.0,,1.0,,1.0,7.0,14.0,2.0,4.0,23.0,50.0,7.0,15.0,9.0,76.0,337,,1.0,,3.0,3.0,14.0,2.0,5.0,4.0,16.0,16.0,30.0,15.0,,14.0,7.0,,10.0,5.0,15.0,5.0,5.0,3.0,35.0,1.0,4.0,8.0,,12.0,2.0,14.0,1.0,3.0,2.0,8.0,1.0,5.0,4.0,12.0,4.0,4.0,15,1.0,1.0,10.0,,,2.0,3.0,,1.0,,,,,16.0,113.0,1.0,0.34782608695652173,0.34782608695652173,0.7142857142857143,0.4666666666666667,0.4,0.4666666666666667,0.46,,0.21428571428571427,0.5153846153846153,0.75,0.3157894736842105,0.5362318840579711,0.75,0.35714285714285715,0.23076923076923078,,,,23.142857142857142,0.6666666666666666,,0.07339449541284404,0.008771929824561403,0.14814814814814814,0.08823529411764706,0.013513513513513514,0.03125,,0.0975609756097561,0.05405405405405406,0.06451612903225806,0.13636363636363635,0.02857142857142857,,0.09230769230769231,0.3333333333333333,0.3333333333333333,,0.26153846153846155,0.47058823529411764,0.47058823529411764,0.125,0.4153846153846154,0.48148148148148145,0.48148148148148145,0.5384615384615384,0.015384615384615385,,,,0.2153846153846154,0.5,0.5,0.7142857142857143,,,0.15789473684210525,,0.05263157894736842,,0.21052631578947367,0.5,0.3230769230769231,0.5,0.44694461538461544,0.467725,0.4630157894736842,0.04411764705882353,0.05660377358490566,,0.039473684210526314,0.21052631578947367,13.130000000000003,25.42,0.35873015873015873,1.0,,1.0,,2.0,3.0,1.0,,,0.2,,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.029411764705882353,0.034482758620689655,0.5,1.0,1.0,,,,True,,,,,,
56,1610612749,Gary Payton,Gary Payton,56,MIL,10367.0,173,-7,335,338,121.0,100,29.0,673,14.0,29.0,1.0,3.0,8.0,16.0,10.0,21.0,6.0,16.0,,,,,1.0,10.0,1.0,5.0,30.0,66.0,1.0,10.0,12.0,75.0,366,1.0,7.0,,2.0,12.0,29.0,1.0,5.0,5.0,32.0,10.0,50.0,3.0,2.0,10.0,1.0,7.0,24.0,11.0,35.0,9.0,11.0,11.0,81.0,2.0,1.0,7.0,,8.0,4.0,12.0,1.0,6.0,2.0,4.0,1.0,1.0,4.0,8.0,4.0,7.0,17,1.0,3.0,15.0,3.0,,,6.0,,3.0,1.0,,1.0,,32.0,121.0,4.0,0.16666666666666666,0.1724137931034483,1.0,0.1,0.2,0.1,0.45454545454545453,0.14285714285714285,0.41379310344827586,0.4144736842105263,0.125,0.39705882352941174,0.4573170731707317,0.125,0.42105263157894735,0.13157894736842105,0.10606060606060606,0.2413793103448276,,24.324324324324323,0.5,,0.058333333333333334,0.01639344262295082,0.041666666666666664,0.05555555555555555,0.02631578947368421,0.02564102564102564,,0.043478260869565216,0.030303030303030304,0.0975609756097561,0.05,0.02702702702702703,,0.3815789473684211,0.4827586206896552,0.6363636363636364,0.2857142857142857,0.27631578947368424,0.47619047619047616,0.47619047619047616,0.1,0.21052631578947367,0.375,0.375,,,,,,0.13157894736842105,0.1,0.1,1.0,0.375,0.3333333333333333,0.47058823529411764,0.5,,,0.14705882352941177,0.2,0.5131578947368421,0.1,0.48302499999999987,0.43485833333333335,0.49185294117647055,0.0759493670886076,0.08695652173913043,,0.02666666666666667,0.4266666666666667,6.786363636363636,24.82,0.3611940298507463,4.0,,1.0,2.0,2.0,3.0,,,0.02564102564102564,,,,,1.0,,,2.0,,,0.06666666666666667,0.038461538461538464,0.125,,,1.0,0.25,,True,,,,,,
389,1610612749,Toni Kukoc,Toni Kukoc,389,MIL,6197.0,103,-14,197,201,99.0,87,16.0,398,7.0,11.0,1.0,2.0,4.0,6.0,4.0,7.0,3.0,6.0,,,,,8.0,15.0,3.0,4.0,14.0,24.0,8.0,15.0,10.0,62.0,231,2.0,5.0,2.0,6.0,6.0,11.0,3.0,4.0,3.0,24.0,16.0,12.0,21.0,,15.0,8.0,2.0,8.0,3.0,11.0,1.0,7.0,,25.0,1.0,2.0,3.0,1.0,6.0,2.0,8.0,,7.0,2.0,3.0,1.0,3.0,4.0,7.0,3.0,3.0,9,2.0,1.0,12.0,,,,4.0,,2.0,,,,,24.0,99.0,2.0,0.5714285714285714,0.5714285714285714,0.875,0.5333333333333333,0.75,0.5333333333333333,0.5833333333333334,0.4,0.5454545454545454,0.6666666666666666,0.4,0.7,0.6888888888888889,0.5,0.7058823529411765,0.38461538461538464,0.08333333333333333,0.09090909090909091,0.14285714285714285,24.186046511627907,0.42857142857142855,0.1,0.04918032786885246,0.017543859649122806,0.10526315789473684,0.0625,0.023809523809523808,,,0.037037037037037035,,0.1,0.14285714285714285,,,0.28205128205128205,0.6363636363636364,0.7,0.42857142857142855,0.1794871794871795,0.5714285714285714,0.6666666666666666,0.75,0.15384615384615385,0.5,0.5,0.6666666666666666,,,,,0.38461538461538464,0.5333333333333333,0.5333333333333333,0.875,0.4,0.5,0.4,0.6666666666666666,,,0.26666666666666666,0.75,0.6666666666666666,0.5333333333333333,0.4858230769230769,0.45302,0.46406,0.09302325581395349,0.14285714285714285,,0.0967741935483871,0.3870967741935484,7.387499999999999,25.45333333333333,0.5025380710659898,5.0,,,2.0,1.0,,1.0,,0.0625,,,,,,,3.0,1.0,1.0,,0.037037037037037035,0.04,,,,,,,True,,,,,,
911,1610612749,Ervin Johnson,Ervin Johnson,911,MIL,3571.0,60,2,113,113,29.0,12,10.0,226,2.0,3.0,,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,2.0,5.0,,,,4.0,116,,1.0,,,1.0,2.0,,,,2.0,4.0,,,,,,,3.0,,3.0,,,3.0,6.0,3.0,1.0,11.0,2.0,14.0,3.0,17.0,,2.0,,,,,1.0,1.0,1.0,8.0,16,3.0,1.0,,,,,,,,5.0,5.0,5.0,3.0,2.0,29.0,,1.0,1.0,,,,,0.4,,0.5,0.4,,0.5,0.4,,0.5,,,,,4.838709677419355,,0.6666666666666666,0.2682926829268293,0.06666666666666667,0.1111111111111111,0.24,0.05555555555555555,0.16666666666666666,,0.1875,0.29411764705882354,0.375,0.125,,0.6,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,0.2,,,,,,,,,,,,1.0,,1.0,0.5,,,,,0.6,,0.5104599999999999,0.5521,0.58045,,,,,0.5,5.66,,0.25663716814159293,2.0,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,True,,,,,,
2409,1610612749,Marcus Haislip,Marcus Haislip,2409,MIL,1304.0,22,7,41,41,10.0,1,5.0,82,2.0,2.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,4.0,6.0,,,1.0,9.0,44,1.0,1.0,,2.0,,,,,1.0,1.0,6.0,2.0,,2.0,,,,2.0,,2.0,,,1.0,4.0,2.0,,2.0,,2.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,1.0,,3.0,4,,,2.0,,,,1.0,,,,,,,1.0,10.0,,0.75,1.0,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6428571428571429,1.0,0.5,,,,,16.666666666666668,1.0,,0.18181818181818182,0.125,,0.14285714285714285,0.1,,0.16666666666666666,0.6666666666666666,,,,0.5,,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,0.3333333333333333,,0.4441833333333333,0.5538,,0.14285714285714285,0.14285714285714285,,0.2222222222222222,0.1111111111111111,9.883333333333333,,0.24390243902439024,1.0,,,,1.0,1.0,,,0.2,,,,,,,,,,,,,,,,,,1.0,True,,,,,,
2038,1610612749,Joel Przybilla,Joel Przybilla,2038,MIL,1616.0,27,2,51,54,3.0,5,6.0,105,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,59,1.0,1.0,,2.0,,,,,,,,2.0,,2.0,,,,,1.0,1.0,1.0,,,3.0,2.0,,6.0,1.0,7.0,2.0,9.0,,,,,,,1.0,1.0,,5.0,8,1.0,1.0,,,,,,,,2.0,2.0,2.0,1.0,,3.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,3.3333333333333335,,1.0,0.3333333333333333,0.09523809523809523,,0.3333333333333333,0.08,0.2,0.125,0.14285714285714285,0.3333333333333333,0.5,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,0.5855,0.5855,,,,,1.0,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
