EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,LongMidRangeFGA,PenaltyFG2A,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,LongMidRangeFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Corner3Assists,Travels,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,BlockedLongMidRange,OffensiveGoaltends,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,3pt And 1 Free Throw Trips,SecondChanceCorner3PctAssisted
1425,1610612751,Aaron Williams,Aaron Williams,1425,NJN,575.0,10,-6,16,20,4,3.0,36,1.0,3.0,1.0,3.0,2.0,4.0,21,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,25.0,0.2,0.2222222222222222,0.2,0.2,0.3333333333333333,0.25,1.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3820666666666666,0.25,0.25,6.033333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1533,1610612751,Anthony Johnson,Anthony Johnson,1533,NJN,553.0,9,2,24,24,16,3.0,48,,1.0,,2.0,,,15,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,14.814814814814813,,,,,,,,,,0.5,,,0.36419999999999997,,,16.55,15.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,15.0,0.5,1.0,0.5,0.5,0.3406,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2215,1610612751,Jason Collins,Jason Collins,2215,NJN,31738.0,529,127,1008,1009,267,137.0,2017,6.0,19.0,33.0,89.0,51.0,117.0,935,28.0,39.0,55.0,74.0,51.0,125.0,5.0,13.0,6.0,,13.0,18.0,37.0,74.0,61.0,20.0,12.0,9.0,12.0,7.0,6.0,0.3707865168539326,0.3626373626373626,0.4834710743801653,11.809685641461343,0.1527777777777778,0.09535452322738386,0.14925373134328357,0.10144927536231885,0.1360544217687075,0.09574468085106383,0.11029411764705882,0.12195121951219512,0.5833333333333334,0.2087912087912088,0.3157894736842105,0.35294117647058826,0.4797611111111112,0.18181818181818182,0.18518518518518517,6.5764044943820235,284.0,23.0,23.0,14.0,12.0,17.0,5.0,39.0,5.0,1.0,284.0,0.15730337078651685,0.10526315789473684,0.2777777777777778,0.25274725274725274,0.5084913043478262,0.28174603174603174,22.0,47.0,13.0,26.0,7.0,13.0,5.0,2.0,2.0,13.0,27.0,19.0,45.0,8.0,26.0,42.0,38.0,16.0,1.0,1.0,5.0,5.0,1.0,6.0,10.0,2.0,15.0,4.0,7.0,1.0,4.0,3.0,3.0,6.0,10.0,1.0,11.0,3.0,1.0,1.0,42.0,0.5757575757575758,0.76,0.48148148148148145,0.34782608695652173,0.48148148148148145,0.34782608695652173,0.6081081081081081,0.5384615384615384,0.02197802197802198,0.2553191489361702,0.10810810810810811,0.08,0.13761467889908258,0.13513513513513514,0.05952380952380952,0.13432835820895522,0.14285714285714285,0.15841584158415842,0.1951219512195122,0.12195121951219512,0.18518518518518517,0.5164835164835165,0.46808510638297873,0.6285714285714286,0.5454545454545454,0.5,0.21739130434782608,0.21739130434782608,0.8,0.02197802197802198,0.9629629629629629,0.5,0.3076923076923077,0.5652173913043478,0.5384615384615384,0.5384615384615384,0.5665571428571428,0.38461538461538464,0.358974358974359,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
467,1610612751,Jason Kidd,Jason Kidd,467,NJN,31308.0,522,133,991,992,255,134.0,1983,10.0,18.0,75.0,160.0,49.0,268.0,918,112.0,13.0,57.0,76.0,17.0,93.0,4.0,24.0,13.0,9.0,19.0,51.0,11.0,23.0,57.0,17.0,2.0,1.0,2.0,2.0,2.0,0.46875,0.5093023255813953,0.5444915254237288,24.826989619377162,0.1601123595505618,0.03225806451612903,0.15151515151515152,0.03571428571428571,0.027586206896551724,0.031914893617021274,0.13432835820895522,0.0392156862745098,1.0,0.08372093023255814,0.5555555555555556,0.5882352941176471,0.49226565420560753,0.07456140350877193,0.09826589595375723,11.138750000000002,270.0,89.0,41.0,13.0,90.0,104.0,63.0,222.0,32.0,26.0,270.0,0.08125,0.05555555555555555,0.6274509803921569,0.413953488372093,0.49743135593220333,0.272452068617558,27.0,53.0,2.0,4.0,10.0,18.0,38.0,46.0,55.0,4.0,9.0,4.0,18.0,20.0,28.0,83.0,38.0,2.0,1.0,45.0,14.0,12.0,13.0,14.0,4.0,,13.0,6.0,11.0,3.0,6.0,6.0,14.0,,4.0,4.0,8.0,1.0,,1.0,83.0,0.25333333333333335,0.25675675675675674,0.4444444444444444,0.4878048780487805,0.4375,0.4583333333333333,0.47058823529411764,0.5486111111111112,0.2558139534883721,0.18867924528301888,0.16216216216216217,,0.12264150943396226,0.0547945205479452,0.036585365853658534,0.06060606060606061,,0.19,0.16393442622950818,0.11392405063291139,0.14814814814814814,0.24651162790697675,0.5094339622641509,0.627906976744186,0.2962962962962963,0.3,0.42696629213483145,0.4367816091954023,0.21052631578947367,0.21395348837209302,0.25,0.5,,0.3,0.5555555555555556,0.5023255813953489,0.48273846153846167,0.06716417910447761,0.30970149253731344,25.063636363636363,5.0,9.0,1.0,1.0,2.0,3.0,18.0,1.0,6.0,3.0,16.0,23.0,2.0,7.0,5.0,19.0,51.0,18.0,18.0,2.0,2.0,12.0,0.7391304347826086,0.41818181818181815,0.2857142857142857,0.2631578947368421,0.42592592592592593,0.02247191011235955,0.04186046511627907,0.5555555555555556,0.5555555555555556,0.6,0.391304347826087,0.391304347826087,0.7777777777777778,0.0625,1.0,0.375,0.16666666666666666,1.0,0.05,0.6666666666666666,0.26666666666666666,0.1875,0.4,,,,,,,,True,,,,,,
954,1610612751,Kerry Kittles,Kerry Kittles,954,NJN,25944.0,432,87,823,822,180,111.0,1645,4.0,14.0,41.0,99.0,23.0,159.0,764,20.0,13.0,28.0,38.0,14.0,52.0,,21.0,14.0,,1.0,11.0,9.0,25.0,27.0,15.0,5.0,2.0,5.0,2.0,2.0,0.41414141414141414,0.4755244755244755,0.5129032258064516,17.309697601668404,0.09722222222222222,0.03735632183908046,0.10160427807486631,0.0345679012345679,0.03225806451612903,0.03896103896103896,0.11607142857142858,,0.4,0.0979020979020979,0.2857142857142857,0.2857142857142857,0.5322355633802817,0.0967741935483871,0.13513513513513514,7.841414141414142,195.0,35.0,17.0,6.0,29.0,33.0,10.0,70.0,10.0,5.0,195.0,0.06060606060606061,,0.9090909090909091,0.24475524475524477,0.5199020000000001,0.23693803159173754,24.0,50.0,4.0,11.0,6.0,8.0,13.0,40.0,44.0,5.0,15.0,2.0,15.0,8.0,4.0,26.0,62.0,8.0,1.0,39.0,4.0,2.0,4.0,15.0,1.0,,10.0,,7.0,,5.0,1.0,1.0,1.0,,3.0,,1.0,,,26.0,0.7560975609756098,0.8378378378378378,0.3333333333333333,0.47058823529411764,0.325,0.4230769230769231,0.35714285714285715,0.4642857142857143,0.3076923076923077,0.12,,,0.11627906976744186,0.017543859649122806,0.04081632653061224,0.0196078431372549,,0.0875,0.08333333333333333,0.10606060606060606,0.15,0.34965034965034963,0.48,0.5454545454545454,0.7083333333333334,0.5,0.37142857142857144,0.37142857142857144,0.9230769230769231,0.27972027972027974,0.55,0.36363636363636365,,0.3076923076923077,0.75,0.6573426573426573,0.5276888888888889,0.09433962264150944,0.16352201257861634,25.636363636363637,3.0,4.0,,,1.0,1.0,15.0,1.0,5.0,1.0,8.0,18.0,1.0,5.0,2.0,9.0,54.0,,15.0,2.0,,,1.0,0.4090909090909091,0.2,0.2222222222222222,0.4186046511627907,,0.027972027972027972,0.75,0.75,1.0,0.375,0.375,1.0,,,0.25,0.2,1.0,0.038461538461538464,1.0,0.3076923076923077,0.125,0.38461538461538464,2.0,1.0,,,,,,True,,,,,,
2210,1610612751,Richard Jefferson,Richard Jefferson,2210,NJN,27171.0,453,110,861,856,202,112.0,1717,15.0,36.0,76.0,155.0,37.0,189.0,785,40.0,14.0,38.0,69.0,18.0,87.0,2.0,10.0,7.0,1.0,19.0,30.0,16.0,42.0,53.0,22.0,2.0,2.0,2.0,2.0,3.0,0.49032258064516127,0.4840764331210191,0.525,20.97902097902098,0.12025316455696203,0.03954802259887006,0.12903225806451613,0.03836930455635491,0.046511627906976744,0.04878048780487805,0.17094017094017094,0.02857142857142857,1.0,0.22929936305732485,0.4166666666666667,0.45454545454545453,0.4874321656050955,0.12716763005780346,0.1286549707602339,8.763870967741937,219.0,54.0,37.0,11.0,25.0,31.0,14.0,68.0,11.0,8.0,219.0,0.07096774193548387,0.08333333333333333,0.36666666666666664,0.34394904458598724,0.5057802631578947,0.25435540069686413,42.0,65.0,8.0,11.0,15.0,20.0,19.0,1.0,2.0,12.0,23.0,5.0,29.0,23.0,18.0,64.0,112.0,10.0,,1.0,6.0,5.0,4.0,7.0,2.0,2.0,14.0,17.0,3.0,5.0,3.0,2.0,8.0,3.0,8.0,6.0,7.0,,1.0,,64.0,0.7368421052631579,0.7887323943661971,0.5217391304347826,0.6216216216216216,0.5217391304347826,0.6052631578947368,0.5370370370370371,0.64,0.012738853503184714,0.1076923076923077,0.5483870967741935,0.08695652173913043,0.16091954022988506,0.031746031746031744,0.027972027972027972,0.017857142857142856,0.14285714285714285,0.10227272727272728,0.08108108108108109,0.17647058823529413,0.10526315789473684,0.4140127388535032,0.6461538461538462,0.7241379310344828,0.7619047619047619,0.5333333333333333,0.35185185185185186,0.3584905660377358,0.8421052631578947,0.006369426751592357,0.4782608695652174,0.7272727272727273,0.25,0.5263157894736842,0.75,0.4267515923566879,0.456875,0.15343915343915343,0.3386243386243386,23.3,,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,2.0,,,,,,,0.018518518518518517,0.006369426751592357,,,,,,,,,,,,,,0.02631578947368421,,,,1.0,,,,,,True,,,,,,
446,1610612751,Lucious Harris,Lucious Harris,446,NJN,7102.0,118,42,227,230,109,36.0,457,2.0,4.0,9.0,25.0,12.0,42.0,215,6.0,3.0,5.0,8.0,4.0,12.0,1.0,2.0,1.0,,5.0,9.0,3.0,9.0,15.0,3.0,,,,,,0.36,0.42857142857142855,0.5,18.81918819188192,0.05813953488372093,0.03614457831325301,0.06956521739130435,0.039603960396039604,0.07692307692307693,,0.034482758620689655,0.05,,0.11428571428571428,0.5,0.5,0.46920999999999996,0.08108108108108109,0.1111111111111111,12.696000000000002,121.0,14.0,10.0,2.0,7.0,10.0,3.0,23.0,4.0,2.0,121.0,0.08,,0.4444444444444444,0.4,0.49034000000000005,0.5330396475770925,3.0,7.0,,1.0,2.0,4.0,4.0,9.0,10.0,1.0,4.0,2.0,7.0,3.0,10.0,22.0,12.0,,,9.0,3.0,3.0,1.0,3.0,1.0,,3.0,,1.0,1.0,2.0,1.0,4.0,,4.0,1.0,5.0,,,,22.0,0.6666666666666666,0.6666666666666666,0.25,0.3,0.5,0.4,0.5833333333333334,0.55,0.2857142857142857,0.14285714285714285,,,0.10344827586206896,0.05555555555555555,0.029411764705882353,0.058823529411764705,,0.07407407407407407,0.06666666666666667,0.09090909090909091,0.14285714285714285,0.2,0.42857142857142855,0.5,0.6666666666666666,1.0,0.2857142857142857,0.3076923076923077,0.5,0.2571428571428571,0.2,,,0.26666666666666666,0.5,0.4857142857142857,0.5393666666666667,0.16666666666666666,0.5238095238095238,24.78,,1.0,,,,,4.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,5.0,12.0,,4.0,,,,1.0,0.4,1.0,0.4,0.4,0.07142857142857142,0.02857142857142857,,,,0.4444444444444444,0.4444444444444444,1.0,,,0.2,1.0,1.0,,,0.3333333333333333,0.4,0.4444444444444444,,,,,,,,True,,,,,,
2243,1610612751,Brian Scalabrine,Brian Scalabrine,2243,NJN,401.0,7,2,15,13,13,1.0,28,,,1.0,1.0,,2.0,12,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,6.25,,,,,,,,,,,,,0.5188,,,,12.0,,1.0,,,,,,,,12.0,,,,,0.5188,0.8,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2030,1610612751,Kenyon Martin,Kenyon Martin,2030,NJN,28099.0,468,131,889,884,185,122.0,1773,23.0,57.0,104.0,204.0,51.0,259.0,816,82.0,26.0,56.0,76.0,29.0,105.0,8.0,23.0,12.0,4.0,19.0,38.0,24.0,62.0,70.0,32.0,14.0,8.0,15.0,11.0,6.0,0.5098039215686274,0.49760765550239233,0.5395833333333333,26.78227360308285,0.17391304347826086,0.07222222222222222,0.17149758454106281,0.0688836104513064,0.10687022900763359,0.07407407407407407,0.175,0.09090909090909091,0.7333333333333333,0.2727272727272727,0.40350877192982454,0.46,0.484556937799043,0.13733905579399142,0.14035087719298245,7.031372549019609,231.0,52.0,49.0,17.0,29.0,35.0,10.0,76.0,19.0,9.0,231.0,0.08333333333333333,0.12280701754385964,0.5,0.24880382775119617,0.4934754901960784,0.25984251968503935,59.0,95.0,13.0,21.0,16.0,25.0,22.0,5.0,5.0,18.0,34.0,6.0,42.0,24.0,17.0,65.0,126.0,20.0,,5.0,6.0,6.0,4.0,15.0,3.0,,15.0,5.0,11.0,1.0,10.0,,11.0,7.0,12.0,8.0,7.0,2.0,,,65.0,0.6057692307692307,0.6702127659574468,0.5294117647058824,0.4897959183673469,0.5294117647058824,0.47058823529411764,0.5384615384615384,0.5158730158730159,0.023923444976076555,0.10526315789473684,0.1724137931034483,,0.16304347826086957,0.04918032786885246,0.04054054054054054,0.05454545454545454,,0.07865168539325842,0.24778761061946902,0.16901408450704225,0.14285714285714285,0.45454545454545453,0.6210526315789474,0.6941176470588235,0.6101694915254238,0.391304347826087,0.4230769230769231,0.4230769230769231,0.8181818181818182,0.023923444976076555,0.6176470588235294,0.6190476190476191,0.23076923076923078,0.49019607843137253,0.64,0.4784688995215311,0.4794818181818182,0.16216216216216217,0.25096525096525096,25.1,,,,,,,,,,,2.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0392156862745098,,,4.0,,1.0,1.0,,,,True,,,,,,
915,1610612751,Rodney Rogers,Rodney Rogers,915,NJN,5244.0,87,13,168,177,90,24.0,345,1.0,5.0,8.0,20.0,,22.0,179,8.0,4.0,6.0,14.0,5.0,19.0,2.0,1.0,,1.0,4.0,8.0,5.0,13.0,,,,,,,5.0,0.4,0.39285714285714285,0.39285714285714285,18.181818181818183,0.12244897959183673,0.06666666666666667,0.14666666666666667,0.06329113924050633,0.13043478260869565,,0.09090909090909091,0.125,,0.17857142857142858,0.2,0.2,0.5114407407407408,,,5.585,67.0,3.0,9.0,,5.0,8.0,4.0,19.0,4.0,3.0,67.0,,,0.5,0.10714285714285714,0.51145,0.39880952380952384,6.0,12.0,2.0,4.0,3.0,5.0,1.0,8.0,8.0,2.0,4.0,,4.0,3.0,,6.0,8.0,4.0,1.0,7.0,3.0,2.0,,1.0,1.0,,5.0,3.0,1.0,,1.0,1.0,3.0,1.0,2.0,,,,,,6.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4,0.25,0.4,0.25,0.2857142857142857,,0.42857142857142855,,0.19230769230769232,0.05263157894736842,0.037037037037037035,0.05555555555555555,,0.16666666666666666,0.13333333333333333,0.29411764705882354,,0.42857142857142855,0.5,0.5,0.5,,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.8,0.5,,0.4166666666666667,0.6,0.7142857142857143,0.57728,0.18181818181818182,0.2727272727272727,27.9375,,,,,,,2.0,,1.0,,3.0,2.0,,1.0,,3.0,6.0,,2.0,1.0,,,1.0,0.25,,,0.2857142857142857,,,,,,0.25,0.2857142857142857,1.0,,,0.2,,,,,0.25,,0.2857142857142857,,,,,1.0,0.125,0.125,True,,,,,,
