EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,SecondChanceAtRimFGM,SecondChanceFG2M,PtsUnassisted2s,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,SecondChanceAtRimAccuracy,PenaltyAtRimFGA,ShortMidRangeFGA,Fg2aBlocked,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangeFrequency,PenaltyAtRimFrequency,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,OffLongMidRangeReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,PenaltyFG2M,LostBallSteals,PenaltyFg2Pct,PenaltyEfgPct,on,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,PtsUnassisted3s,ThreePtAssists,Arc3Assists,BlockedShortMidRange,DefensiveGoaltends,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,FTOffRebounds,SelfOReb,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3Assists,SecondChanceTurnovers,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,BlockedLongMidRange,3SecondViolations,HeaveAttempts
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,142.0,2,-2.0,4,5,2,9,1.0,1.0,1.0,1.0,2.0,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,966.0,16,-4.0,29,29,20,58,,1.0,2.0,6.0,8.0,31,4.0,2.0,3.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.2857142857142857,0.4444444444444444,23.684210526315788,0.2222222222222222,0.25,0.2,0.14285714285714285,,,,0.2857142857142857,0.4242714285714286,11.0,8.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,11.0,0.3333333333333333,0.5,0.14285714285714285,0.0625,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.5,1.0,0.7142857142857143,0.4,0.4,1.0,0.14285714285714285,0.5,0.5,0.48605,0.45705,0.2222222222222222,0.25,0.25,0.5,15.83333333333333,22.0,0.3793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,307.0,5,-6.0,9,11,8,20,,,,2.0,,11,,,,,,,,,,,27.272727272727273,,,,,,,,,0.4059,3.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,18.1,,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,351.0,6,-3.0,11,11,4,22,1.0,2.0,2.0,3.0,4.0,13,2.0,,,1.0,,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,35.71428571428571,,,,0.6666666666666666,0.5,0.5,,0.6666666666666666,0.5720666666666666,,2.0,1.0,1.0,1.0,,,,,1.0,,2.0,,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,1.0,,,0.14285714285714285,,0.14285714285714285,0.5,,,0.3333333333333333,1.0,1.0,1.0,,1.0,,0.5419,,,,0.5,,6.066666666666666,,,,,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,1610612762,John Amaechi,John Amaechi,680,UTA,966.0,16,-4.0,29,29,20,58,1.0,2.0,1.0,4.0,4.0,31,,1.0,1.0,1.0,4.0,,,0.25,0.25,0.3333333333333333,15.789473684210526,0.1111111111111111,0.08333333333333333,0.2,0.5,0.5,0.5,,0.5,0.40395,11.0,8.0,,,1.0,,,,2.0,,1.0,1.0,1.0,,2.0,2.0,,,,,,,,3.0,4.0,,2.0,11.0,0.5,0.3333333333333333,,,,,,,,0.25,,,,,,,,0.3876,,,0.25,0.5,6.825,,0.3793103448275862,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,0.25,1.0,0.25,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,659.0,11,,20,18,12,38,1.0,1.0,1.0,3.0,2.0,24,,1.0,2.0,3.0,2.0,,,0.3333333333333333,0.25,0.25,18.51851851851852,0.2,0.2857142857142857,,0.25,1.0,1.0,,0.5,0.38005,6.0,7.0,1.0,,2.0,,,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,6.0,1.0,,0.25,0.09090909090909091,0.5,0.08333333333333333,,0.5,,0.5,,,,,1.0,,0.5859,0.1293,,,1.0,,12.933333333333332,27.1,0.3,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.25,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,679.0,11,1.0,20,19,13,39,,,2.0,4.0,4.0,21,,1.0,1.0,4.0,,,,0.5,0.4,0.4,22.22222222222222,0.16666666666666666,0.14285714285714285,0.5,,,,,0.2,0.38605999999999996,8.0,6.0,,2.0,4.0,,,1.0,,,,,2.0,1.0,,2.0,2.0,2.0,,4.0,3.0,,3.0,,,,2.0,8.0,,0.3333333333333333,0.2,0.2727272727272727,,0.25,,,,0.8,0.5,0.5,,,,,,0.3874666666666666,,,,0.5,17.650000000000002,24.9,0.4,,,1.0,1.0,,,4.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,0.5,,0.2,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612762,Carlos Arroyo,Carlos Arroyo,2306,UTA,466.0,8,-2.0,13,13,13,26,,,1.0,3.0,3.0,14,2.0,,,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.375,22.22222222222222,,,,,,,,,0.35603333333333326,8.0,5.0,,1.0,2.0,,,,1.0,2.0,1.0,3.0,2.0,,,,1.0,1.0,,2.0,1.0,,1.0,,2.0,1.0,,8.0,0.5,,,0.14285714285714285,,0.125,1.0,,,0.6666666666666666,0.5,0.5,1.0,,,,0.35805,0.3596,0.25,0.25,1.0,,15.199999999999998,,0.6153846153846154,,,,,,1.0,,1.0,,,0.5,0.5,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1610612762,Mark Jackson,Mark Jackson,349,UTA,149.0,2,1.0,5,5,3,10,,,,1.0,,4,,,,,1.0,,,,,,16.666666666666668,,,,,,,,,0.4004,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,0.4004,,,,,7.1,,0.6,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1610612762,Tony Massenburg,Tony Massenburg,763,UTA,145.0,2,-1.0,5,5,5,10,,,,,,2,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.5,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
