EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,SecondChancePoints,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceTsPct,SecondChancePointsPct,ThreePtAssists,Assists,Arc3Assists,AssistPoints,BadPassOutOfBoundsTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,DefCorner3ReboundPct,LongMidRangePctAssisted,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Travels,BlockedLongMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,TwoPtAssists,AtRimAssists,LongMidRangeAssists,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,on,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,LostBallSteals,SecondChanceFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips
1444,1610612758,Lawrence Funderburke,Lawrence Funderburke,1444,SAC,928.0,15,-7.0,31,30,29.0,19,6.0,61,2.0,6.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,8.0,3.0,9.0,33,3.0,3.0,8.0,3.0,9.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,9.0,29.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.375,0.375,0.45,0.45,0.125,0.16666666666666666,29.72972972972973,0.3333333333333333,0.15384615384615385,0.18181818181818182,0.4,1.0,0.2222222222222222,0.25,0.2,0.25,1.0,0.3333333333333333,0.14285714285714285,0.5,0.75,0.3333333333333333,0.4,0.5,0.125,0.125,1.0,1.0,0.6666666666666666,0.75,0.3333333333333333,0.75,0.4968625,0.46724999999999994,0.4968625,0.1111111111111111,0.1111111111111111,1.0,3.2249999999999996,0.9354838709677419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,1610612758,Scot Pollard,Scot Pollard,1513,SAC,461.0,8,,17,16,16.0,7,4.0,33,1.0,1.0,,1.0,1.0,,,,1.0,1.0,2.0,4.0,16,,1.0,1.0,2.0,4.0,2.0,,,,2.0,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,4.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,14.285714285714286,0.5,,0.2857142857142857,,,,0.2857142857142857,0.25,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.5509,,0.5509,,,1.0,,0.9411764705882353,2.0,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,1610612758,Keon Clark,Keon Clark,1721,SAC,294.0,5,4.0,10,10,10.0,8,1.0,20,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,10.0,,,,,,,,,,,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,1610612758,Gerald Wallace,Gerald Wallace,2222,SAC,927.0,15,-7.0,31,30,29.0,19,6.0,61,,,,,,,2.0,4.0,2.0,4.0,2.0,6.0,33,,2.0,4.0,,4.0,2.0,2.0,,,,1.0,3.0,1.0,5.0,,5.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,,,4.0,29.0,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,,,18.91891891891892,0.3333333333333333,0.23076923076923078,,0.2,,0.2222222222222222,,,,,0.3333333333333333,0.2857142857142857,,,,,,,1.0,0.5,0.5,,,,,0.39580000000000004,,0.39580000000000004,0.2,0.2,0.6666666666666666,19.85,0.9354838709677419,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1610612758,Jim Jackson,Jim Jackson,754,SAC,569.0,9,5.0,19,18,17.0,9,3.0,37,,,,,,1.0,,1.0,,2.0,,3.0,14,,,1.0,,3.0,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,3.0,17.0,,,,,0.5,0.75,0.5,0.75,,,22.727272727272727,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,0.4103333333333334,,0.4151,,,1.0,17.95,0.8947368421052632,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,24.2,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612758,Hedo Turkoglu,Hedo Turkoglu,2045,SAC,804.0,13,-14.0,25,25,23.0,14,6.0,50,,1.0,,,1.0,,,,,1.0,4.0,4.0,33,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,1.0,4.0,,2.0,,4.0,23.0,,,,,,,0.5,0.5,,,12.903225806451614,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,1.0,0.59395,,0.59395,,,1.0,,0.92,,,,,,,,2.0,,4.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,0.5,,0.5,,,,0.5,,,25.2,2.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1610612758,Doug Christie,Doug Christie,57,SAC,114.0,2,-7.0,6,5,6.0,5,1.0,11,,,,,,,,1.0,,1.0,,,10,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,6.0,,,,,,,,,1.0,,28.57142857142857,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.3444,,0.3444,,,,20.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,1610612758,Bobby Jackson,Bobby Jackson,1517,SAC,467.0,8,-7.0,14,14,13.0,12,2.0,28,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,13.0,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9285714285714286,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,76.0,1,-2.0,2,2,2.0,2,1.0,4,,,,,,,,,,,,,2,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,33.333333333333336,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,18974.0,316,33.0,620,616,217.0,122,86.0,1236,30.0,43.0,10.0,6.0,9.0,36.0,3.0,12.0,51.0,91.0,35.0,137.0,659,15.0,12.0,28.0,15.0,39.0,56.0,46.0,6.0,5.0,24.0,4.0,32.0,3.0,39.0,30.0,69.0,6.0,16.0,7.0,17.0,38.0,52.0,21.0,8.0,,39.0,217.0,0.5490196078431373,0.6511627906976745,0.5604395604395604,0.42857142857142855,0.5604395604395604,0.42857142857142855,0.6008771929824561,0.5,0.06593406593406594,0.09302325581395349,18.156424581005588,0.2,0.14883720930232558,0.1038961038961039,0.058823529411764705,0.07462686567164178,0.127208480565371,0.09731543624161074,0.14516129032258066,0.11214953271028037,0.04878048780487805,0.1891891891891892,0.13392857142857142,0.05357142857142857,0.4725274725274725,0.6976744186046512,0.7692307692307693,0.6,0.3956043956043956,0.13186813186813187,0.25,0.25,0.6666666666666666,0.32142857142857145,0.6666666666666666,0.4725274725274725,0.4794648351648351,0.5171769230769231,0.45236785714285715,0.19811320754716982,0.19811320754716982,0.2846715328467153,5.115384615384615,0.35,3.0,21.0,1.0,2.0,0.5526315789473685,0.15328467153284672,7.0,27.0,4.0,61.0,1.0,3.0,11.0,8.0,11.0,0.08333333333333333,1.0,,,,,,,,,,,,8.0,8.0,10.0,7.0,1.0,,,,,,,0.625,,,,,,,,,20.0,11.0,7.0,2.0,,False,7.0,18.0,9.0,16.0,3.0,2.0,1.0,2.0,3.0,6.0,6.0,3.0,7.0,2.0,0.6,0.6,0.05555555555555555,0.05263157894736842,0.04838709677419355,0.11538461538461539,0.10344827586206896,0.058823529411764705,0.6363636363636364,0.5,0.5294117647058824,0.3888888888888889,0.7,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
