EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Usage,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,Points,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,NonShootingPenaltyNonTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SelfOReb,SelfORebPct,LongMidRangeAssists,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,3SecondViolations,DefShortMidRangeReboundPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Corner3Assists,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BadPassOutOfBoundsTurnovers,ShortMidRangePctBlocked,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,FoulsDrawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
123,1610612740,Robert Pack,Robert Pack,123,NOH,535.0,9,-13.0,17,16,10.0,6,2.0,33,1.0,1.0,24,1.0,1,10.0,5.2631578947368425,1.0,0.3521,8.8,0.5882352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,755.0,13,-6.0,23,24,17.0,16,4.0,47,,3.0,28,,2,17.0,22.22222222222222,,0.5395666666666666,13.166666666666666,0.7391304347826086,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,1.0,0.25,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333,0.25,0.25,0.25,0.6666666666666666,0.5719875,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,3613.0,60,16.0,108,110,31.0,39,16.0,218,2.0,16.0,102,5.0,9,31.0,17.46031746031746,0.125,0.5093125,4.6875,0.28703703703703703,10.0,2.0,2.0,4.0,,,,,10.0,,23.0,3.0,,8.0,,3.0,5.0,2.0,12.0,1.0,8.0,16.0,,,2.0,0.625,0.625,0.6388888888888888,,0.07142857142857142,0.11538461538461539,,0.625,0.25,0.5,0.6666666666666666,,,0.6666666666666666,,,0.625,0.4903,,7.0,4.0,6.0,2.0,1.0,3.0,4.0,6.0,3.0,11.0,2.0,1.0,5.0,12.0,8.0,1.0,2.0,2.0,1.0,1.0,7.0,5.0,2.0,8.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,3.0,4.0,7.0,2.0,2.0,5.0,0.6,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6875,0.625,0.0625,0.25,0.25,0.3333333333333333,0.13157894736842105,0.175,0.09090909090909091,0.1568627450980392,0.2222222222222222,0.09090909090909091,0.18181818181818182,0.1111111111111111,0.19047619047619047,0.1111111111111111,0.2,0.2857142857142857,0.7,0.7,0.42857142857142855,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5714666666666667,0.058823529411764705,0.058823529411764705,0.4782608695652174,0.21739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,1523.0,25,-5.0,46,48,28.0,32,4.0,94,4.0,10.0,56,,3,28.0,23.52941176470588,0.4,0.47883000000000003,3.3299999999999996,0.6086956521739131,6.0,4.0,,,,,,,5.0,,12.0,5.0,,4.0,,,,,,2.0,4.0,6.0,,,2.0,0.5,0.5,0.5454545454545454,,0.4,0.2222222222222222,0.3333333333333333,0.6,,,,,,0.8,,,0.6,0.4871,,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,2.0,3.0,2.0,8.0,6.0,,,,,,,2.0,2.0,,2.0,1.0,,,1.0,,1.0,1.0,2.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,8.0,0.6,0.6,0.5,0.6,0.5,0.6,0.5,0.6666666666666666,,,1.0,,0.15384615384615385,0.11764705882352941,,0.1,0.14285714285714285,0.16666666666666666,,,0.2222222222222222,,0.5,1.0,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,,0.5,1.0,0.75,0.5038,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.6666666666666666,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,1279.0,21,-8.0,34,37,16.0,16,4.0,71,4.0,7.0,44,1.0,1,16.0,25.64102564102564,0.5,0.39005,13.514285714285714,0.47058823529411764,,,1.0,3.0,,,1.0,,2.0,1.0,5.0,5.0,,2.0,1.0,4.0,4.0,2.0,8.0,,3.0,3.0,1.0,1.0,,0.2857142857142857,0.25,0.2777777777777778,0.125,,0.15789473684210525,,,0.375,0.3333333333333333,0.3333333333333333,,0.125,,,,0.125,0.37884,26.7,,,,,1.0,1.0,,,,,1.0,1.0,3.0,2.0,,,,,1.0,,,3.0,,,1.0,,,1.0,,1.0,1.0,,,2.0,,1.0,,,,,,,3.0,0.5,0.5,,0.2,,0.2,,0.25,,,1.0,,0.17647058823529413,,,,,,,,0.25,0.25,,,,,,0.25,0.25,,1.0,,,,,,,,0.6,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,1798.0,30,17.0,53,53,2.0,2,10.0,106,,2.0,38,3.0,5,2.0,7.936507936507937,,0.47145,7.85,0.03773584905660377,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,3.0,4.0,3.0,9.0,2.0,7.0,9.0,2.0,1.0,,0.5,0.5,0.5,,0.3333333333333333,0.22580645161290322,0.25,0.5,0.5,1.0,1.0,,,,,,0.5,,,,,,,,,1.0,1.0,,2.0,,,,2.0,,,1.0,1.0,,,2.0,5.0,,2.0,2.0,1.0,,1.0,,3.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,0.6666666666666666,,0.2,0.10526315789473684,,0.07692307692307693,0.125,,0.16666666666666666,,0.08333333333333333,0.25,0.5,1.0,,,,,,,1.0,,,,0.3922,,,1.0,,,,,1.0,1.0,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,3037.0,51,24.0,89,90,13.0,23,15.0,179,3.0,17.0,78,1.0,4,13.0,38.679245283018865,0.09375,0.5427129032258065,3.8764705882352937,0.14606741573033707,12.0,1.0,,2.0,,,15.0,4.0,9.0,15.0,47.0,1.0,4.0,10.0,14.0,5.0,6.0,2.0,13.0,,2.0,4.0,3.0,1.0,1.0,0.5294117647058824,0.65625,0.6714285714285714,0.46875,,0.044444444444444446,,0.375,0.0625,,,,0.46875,0.2,,0.8,0.84375,0.499025,27.053333333333335,8.0,,1.0,,1.0,5.0,,1.0,1.0,7.0,,5.0,11.0,8.0,,1.0,1.0,,,1.0,1.0,2.0,,2.0,3.0,3.0,2.0,2.0,1.0,6.0,1.0,,,6.0,1.0,2.0,,,,,,,11.0,0.4444444444444444,0.4444444444444444,,,0.75,0.6,0.7,0.6875,0.058823529411764705,,0.5,,0.058823529411764705,0.03125,0.1,0.047619047619047616,0.06666666666666667,,,0.125,0.05555555555555555,0.125,,,0.6666666666666666,0.7272727272727273,0.5,0.3333333333333333,0.3333333333333333,,,0.25,,,0.5227499999999999,0.030303030303030304,0.05555555555555555,0.14893617021276595,0.23404255319148937,1.0,0.08333333333333333,3.0,2.0,1.0,,,,8.0,2.0,3.0,2.0,8.0,2.0,3.0,2.0,9.0,15.0,1.0,8.0,1.0,0.375,0.5333333333333333,0.6666666666666666,0.5,0.5714285714285714,0.08333333333333333,0.5333333333333333,0.5333333333333333,0.375,0.75,0.6666666666666666,0.5,0.5,0.5714285714285714,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,1005.0,17,7.0,32,29,,1,5.0,61,,6.0,27,,1,,16.216216216216218,,0.49255,6.483333333333333,,4.0,,,2.0,,,,,2.0,,5.0,,,,,,1.0,,3.0,,,1.0,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,0.6666666666666666,,,2.0,,,,,1.0,,,,,,,,4.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.09090909090909091,,0.07692307692307693,0.2,,,,,,,,0.5,0.5,1.0,,,,,,,,,0.16666666666666666,0.16666666666666666,,,1.0,0.25,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,168.0,3,4.0,5,6,,2,,11,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
72,1610612740,Kenny Anderson,Kenny Anderson,72,NOH,1188.0,20,14.0,38,39,9.0,15,5.0,77,1.0,4.0,31,1.0,1,9.0,13.636363636363637,0.25,0.497675,2.475,0.23684210526315788,3.0,2.0,,,,,,,1.0,,5.0,2.0,,,,4.0,5.0,2.0,11.0,,,,2.0,2.0,,0.25,0.25,0.5,,,,,0.75,,,,,,1.0,,,0.75,0.56975,,1.0,,,1.0,,3.0,,,,,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,3.0,2.0,,,,,,,,3.0,1.0,1.0,,0.5,,0.5,,0.75,0.25,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,0.5,,0.4,0.4,,0.6,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,
